"","YQ","p","d","revenue","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",28.0370967741935,"Up",156457000,-136661000,-16611000,-120050000,19796000,-11993000,-13166000,2345000,-1172000,7803000,-276000,7527000,-1209000,6318000,5199000,-10000,5189000,5189000,19422000,19422000,77558000,77558000,10822000,13815000,121617000,235400000,539927000,-304527000,77339000,1005760000,433552000,558140000,14068000,1318499000,1440116000,69728000,30529000,39199000,36624000,36624000,187852000,1000927000,194230000,54566000,54566000,102616000,37048000,1195157000,1383009000,229366000,-179194000,6651000,56823000,284000,57107000,1440116000,6318000,16611000,-2568000,4252000,24613000,-1069000,-1050000,-2119000,-20415000,-253000,-20668000,1826000,4245000,4245000,36407000,1082427000,40799000,0.12653,0.03317,0.09086,0.0036,7.86259,0.64741,24.21785,0.75162,1.16463,1.15427,35.11548,12.75345,9.157,0.00389,0.03059,29.19782,53.69797
"2","2011_Q2",14.7761904761905,"Down",207668000,-171169000,-17806000,-153363000,36499000,-11126000,-13378000,2705000,-453000,25373000,8014000.00000001,33387000,-14407000,18980000,18980000,-35000,18945000,18945000,28049325.5883579,28049325.5883579,90064065.330158,90064065.330158,10936263.6044726,-17742773.3395506,111306881.183438,250111421.602868,584136007.64959,-334024586.046721,66335260.3620834,916453474.523539,346332197.476861,550184440.501209,19936836.5454695,1232900156.48849,1344207037.67193,74514017.360342,29094938.4624348,45467973.3215942,35239957.0660379,42824086.78258,78838187.4408988,350074516.514765,890376965.397632,14288202.6967845,14288202.6967845,111206547.793119,764882214.907728,1240451481.9124,1319289669.3533,229374396.474545,-238178281.150604,33393861.165471,24589976.4894118,327391.829221284,24917368.3186331,1344207037.67193,18980000,17806000,4353000.00000001,-17487000,23652000,-653000,4568000,3915000,-29650000,-332000,-29982000,-2415000,-2415000,-2415000,54305000,0,50572000,0.17576,0.09123,3.93172540308602,-0.240372070627278,2.66940999999999,1.26837082457098,-8.1977801626209,0.153837896543115,4.25205,4.21421,46.60936,5.37210119853899,11.35047,-0.262903833750279,-0.0104508072828441,5.43502719247594,14.2399425449075
"3","2011_Q3",7.99765625,"Down",178725000,-167347000,-18494000,-148853000,11378000,-12207000,-13123000,1147000,-231000,-829000,-347000,-1176000,-275000,-1451000,-1451000,-23000,-1474000,-1474000,27714625.5883579,27714625.5883579,84659565.330158,84659565.330158,9635263.60447256,-10366173.3395506,111643281.183438,238970721.602868,573443807.64959,-334473086.046721,61703560.3620834,845497074.523539,290447897.476861,532619940.501209,22429236.5454695,1146171356.48849,1257814637.67193,70712717.360342,27067238.4624348,43694373.3215942,36176557.0660379,41992186.78258,548798487.440899,49796416.5147649,684707665.397632,20136802.6967845,20136802.6967845,100020547.793119,564550314.907728,734504081.912397,1283302569.3533,229755996.474545,-285150081.150604,29542361.165471,-25851723.5105882,363791.829221284,-25487931.6813669,1257814637.67193,-1451000,18494000,-4765000,21349000,33627000,204000,233000,437000,-26180000,6000,-26174000,7890000,7890000,7890000,29872000,0,51700000,0.06366,-0.00825,3.98207540308602,-0.247751070627278,-35.07463,0.837676824570982,-18.7840161626209,0.357686896543114,-0.32831,-0.32894,39.80778,-5.881932801461,11.51525,-0.270973833750279,-0.0141678072828441,8.93378919247593,18.1993715449075
"4","2011_Q4",6.84079365079365,"Down",187306000,-162669000,-17607000,-145062000,24637000,-11226000,-13120000,1226000,668000,13411000,-203489000,-190078000,34637000,-155441000,-155441000,-78000,-155519000,-155519000,23924000,23924000,72399000,72399000,7950000,14749000,119022000,216955000,538519000,-321564000,60304000,793355000,259427000,511409000,22519000,1070614000,1189636000,64218000,25713000,38505000,38016000,38016000,1106921000,0,158424000,48581000,48581000,80195000,29647999.9999998,158424000,1265345000,230544000,-317241000,10587000,-76110000,401000,-75709000,1189636000,-155441000,17607000,166527000,-2144000,26549000,-1402000,-133000,-1535000,-21500000,-4487000,-25987000,-973000,-973000,-973000,42244000,1004687000,4061000.00000001,0.13153,-0.83029,2.05417,-0.13073,-0.0261099999999956,0.10753,-16.71327,0.844529999999999,-34.63906,-34.63906,41.71905,-16.95213,0.90451,-0.14302,0.00373000000000002,23.21662,39.80854
"5","2012_Q1",10.8629032258065,"Up",149522000,-125120000,-15589000,-109531000,24402000,-11095000,-12779000,1073000,611000,13307000,-20762000,-7455000,211000,-7244000,-8769000,-51000,-8820000,-8820000,23555000,23555000,69307000,69307000,7060000,35819000,135741000,202041000,515719000,-313678000,58228000,762238000,247271000,493589000,21378000,1022507000,1158248000,60787000,26796000,33991000,38902000,35365000,1094239000,0,164903000,73518000,73518000,66204000,25181000,164903000,1259142000,230802000,-326062000,-6086000,-101346000,452000,-100894000,1158248000,-7244000,15589000,15978000,-7544000,16779000,-3764000,1905000,-1859000,-1e+07,-6993000,-16993000,-2073000,-369000,-369000,39991000,994550000,28472000,0.1632,-0.05899,0.08742,-0.00761,-3.22812,0.12405,-12.47985,0.85867,-1.96183,-1.96183,33.25815,-22.54237,6.33302,-0.00833,0.0269,24.28034,39.79162
"6","2012_Q2",12.3555555555556,"Up",192042000,-155711000,-16965000,-138746000,36331000,-9885000,-12697000,2812000,0,26446000,-3562999.99999997,22883000,-8477000,14406000,14624000,-70000,14554000,14554000,31428000,31428000,83953000,83953000,7922000,31942000,155245000,207706000,532868000,-325162000,52720000,751737000,247271000,484585000,19881000,1012163000,1167408000,66382000,31335000,35047000,37636000,37636000,104018000,0,1149259000,72703000,72703000,67516000,1009040000,1149259000,1253277000,231048000,-311505000,-5934000,-86391000,522000,-85869000,1167408000,14406000,16965000,11937000,-18743000,24565000,-551000,5558000,5007000,-10645000,-10136000,-20781000,8791000,7873000,7873000,53296000,1.19209289550781e-07,42479000,0.18918,0.07579,-0.16949,0.01247,2.91872,1.49248,-14.59522,0,3.23724,3.23724,42.71587,-19.21593,9.4486,0.01369,0.03995,-0.589690000000004,-0.86504999999999
"7","2012_Q3",14.4587301587302,"Up",163690000,-147595000,-16522000,-131073000,16095000,-18829000,-20258000,1429000,0,-2734000,-37809000,-40543000,14359000,-26184000,-26543000,-83000,-26626000,-26626000,29655000,29655000,64667000,64667000,8164000,7253000,109739000,202649000,531811000,-329162000,52391000,739508000,247271000,473665000,18572000,994548000,1104287000,79432000,31659000,47773000,38559000,38559000,125073000,936595000,145115000,69778000,69778000,50129000,25208000,1081710000,1206783000,240872000,-338132000,-5782000,-103042000,546000,-102496000,1104287000,-26184000,16522000,24929000,22853000,38120000,-869000,58000,-811000,-30365000,-13427000,-43792000,-6483000,-1773000,-1773000,32617000,943677000,40242000,0.09833,-0.16266,0.25978,-0.02411,-1.51138,0.8774,-11.77395,0.85456,-5.37335,-5.37617,33.03398,-20.79472,8.12117,-0.027,0.0408,28.02287,56.78919
"8","2012_Q4",13.455,"Down",171745000,-147907000,-16250000,-131657000,23838000,-22703000,-24465000,1762000,1.16415321826935e-10,1135000,-2196000,-1061000,120000,-941000,-1352999.99999999,-119000,-1472000,-1472000,19176000,19176000,69098000,69098000,6294000,9894000,104462000,198285000,531774000,-333489000,52699000,731984000,247271000,463077000,21636000,982968000,1087430000,71941000,26347000,45594000,37452000,37452000,118860000,925547000,146413000,69579000,69579000,50429000,26404999.9999999,1071960000,1190820000,241281000,-339605000,-5630000,-103954000,564000,-103390000,1087430000,-941000,16250000,1100000,-7228000,9181000,-1646000,-234000,-1880000,-9500000,-7771000,-17271000,-9970000,-10479000,-10479000,40088000,935014000,31094000,0.1388,-0.00856999999999999,0.0142400000000001,-0.00135,-21.12364,0.87887,-11.51775,0.85984,-0.28455,-0.284639999999998,33.19963,-20.09511,6.01071,-0.00151,0.03179,22.84569,38.41925
"9","2013_Q1",12.5816666666667,"Down",179444000,-153542000,-15454000,-138088000,25902000,-26727000,-25422000,1228000,-2533000,-825000,-2996000,-3821000,3159000,-662000,-3027000,-127000,-3154000,-3154000,13920000,13920000,67925000,67925000,7271000,33222000,122338000,184370000,513236000,-328866000,52234000,702194000,243729000,447017000,11448000,938798000,1061136000,60943000,22434000,28002000,37386000,34850000,110311000,914244000,150637000,68636000,68636000,60140000,21861000,1064881000,1175192000,241562000,-342760000,-13435000,-114633000,577000,-114056000,1061136000,-662000,15402000,-148000,-6421000,8171000,-3424000,324000,-3100000,-10150000,-1074000,-11224000,-6153000,-5256000,-5256000,41304000,926226000,28300000,0.14435,-0.01758,0.02765,-0.00297,-8.97273,1.10903,-10.30364,0.87286,-0.62083,-0.62032,35.32154,-22.56422,5.57054,-0.00328,0.02939,22.08759,35.22145
"10","2013_Q2",15.740625,"Up",184656000,-147381000,-15041000,-132340000,37275000,-13334000,-23386000,3045000,7007000,23941000,-850000.000000001,23091000,-9439000,13652000,14698000,-118000,14580000,14580000,20284000,20284000,77267000,77267000,7075000,5976000,110602000,181827000,516761000,-334934000,53251000,697825000,244229000,441588000,12008000,932903000,1043505000,61290000,21527000,39763000,34449000,34449000,105235000,889089000,148372000,68137000,68137000,58335000,21900000,1037461000,1142696000,241940000,-328194000,-13528000,-99782000,591000,-99191000,1043505000,13652000,15041000,3799000,-13911000,18581000,5147000,-1068000,4079000,-2.9e+07,5999.99999999953,-28994000,-6334000,6364000,6364000,52316000,898585000,52991000,0.20186,0.07896,-0.14699,0.01397,3.6345,1.051,-11.52016,0.86112,2.815,2.81174,35.65201,-19.26517,10.23111,0.01538,0.05591,16.78838,23.56274
