"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",11.7478125,"Up",147546000,-67083000,80463000,-77167000,-15281000,3296000,-233000,-1595000,-470000,1832000,3063000,1329652.75131088,3063000,637000,3700000,-689000,-689000,-689000,4900768.28162316,4900768.28162316,-39630671.3379421,-39630671.3379421,75597453.7712457,23209182.7230257,31268240.8255947,40867550.7149268,528041360.281644,339360051.792571,215803713.403847,9721780.49402226,867401412.074215,908268962.789142,41670267.2896585,-17861055.8402296,57154602.6241267,-91381924.8479451,-91344281.5652356,-50124015.0599691,330043237.031023,129487968.948595,19805240.217038,-1051909.92290244,110734638.654628,459535264.111945,409411249.051976,288857815.40711,498857713.737166,498857713.737166,908268962.789142,-689000,-689000,12395000,-3190000,-32751000,-24235000,-4342000,4728000,386000,0,-4012000,292000,-167000,17851000,14131000,-9718000,-9718000,-9718000,15691000,0,-22039000,0.54534,0.02234,-0.00467,-0.221485791545268,-0.117548530857073,31.98694,1.34916760660898,0.895746448049525,0.342451336238706,-0.01406,-0.01368,3.01102,9.20577703089,-0.44976,0,-0.153321403228421,-0.63208880681788,0,88.3127134933579,-103.029888644324
"2","2011_Q1",12.7443548387097,"Up",137241000,-63444000,73797000,-78067000,-18497000,-4270000,-1691000,-1849000,-254000,412000,-5961000,0,-5961000,1693000,-4268000,-1895000,-1895000,-1895000,26901000,26901000,33307000,33307000,109787000,11674000,81977000,169995000,507476000,340248000,214528000,12284000,847724000,1017719000,123547000,58033000,57349000,65004000,65004000,188551000,265117000,57837000,15556000,9431000,32850000,322954000,511505000,269711000,506214000,506214000,1017719000,-1895000,-1895000,12114000,7631000,3123000,20973000,-5418000,-2003000,-144678000,-1.86264514923096e-09,155196000,515000,410000,-19638000,136073000,12368000,12368000,12368000,7844000,265117000,3855999.99999999,0.53772,-0.03111,-0.01381,-0.00374,-0.00186,-2.03483,0.90159,1.01045,0.2605,-0.03862,-0.0373900000000001,2.79696,10.31658,0.0785800000000003,0,-0.00229,0.00465,0,30.3692,-55.78829
"3","2011_Q2",12.9193650793651,"Up",131554000,-45585000,85969000,-88822000,-16004000,-2853000,-2351000,-2392000,-416000,457000,-5204000,-89550.9171036262,-5204000,2018000,-3186000,-3185000,-3185000,-3185000,33428077.2394589,33428077.2394589,52038890.4459807,52038890.4459807,116433765.409585,3990689.09232476,96218669.7248018,201900733.095024,494587379.906119,337775149.402476,213892095.532051,12014989.8353259,832362529.308595,1034263262.40362,153281910.903447,81129935.2800765,66626299.1252911,95242474.949315,95229927.1884119,248661838.353323,218658087.656326,34362927.017135,14543253.2609873,11081053.3076341,8738620.44845721,253019661.962685,501681500.316008,281466394.864297,532581762.087611,532581762.087611,1034263262.40362,-3185000,-3185000,13986000,8621000,30602000,50024000,-5471000,10839000,5368000,-8165000,-42247000,-151000,-151000,-4382000,-54945000,447000,447000,447000,11133000,0,34246000,0.65349,-0.02169,-0.02421,0.0771719305150895,0.0422386769523575,-10.75228,0.788414131130339,0.934330350650158,0.212417887920431,-0.0649,-0.0649,2.68073,11.0387759897033,0.69784,0.16638,0.0542154677428072,0.20990293560596,-2.56358,5.66862550221403,-21.3230629518919
"4","2011_Q3",12.9340625,"Up",249686000,-92016000,157670000,-90590000,-18696000,67080000,213000,-3405000,460000,3158000,67293000,395000,67688000,-27698000,39990000,40147000,40147000,40147000,31031000,31031000,41196000,41196000,105456000,0,87581000,177683000,486973000,333847000,213752000,10463000,820820000,998503000,150263000,74595000,75668000,58627000,58627000,208890000,184961000,40356000,15518000,8803000,16035000,225317000,434207000,306673000,564296000,564296000,998503000,40147000,40147000,13890000,-13092000,21650000,62595000,-5350000,-21772000,-27122000,0,-37910000,-294000,-294000,6414000,-31790000,3683000,3683000,3683000,80970000,184961000,124968000,0.63147,0.26866,0.16079,0.07115,0.04021,3.11276,0.85061,0.76947,0.18524,0.81381,0.76734,5.06134,11.43874,2.5332,0,0.05084,0.15826,0,1.90106999999999,2.29472
"5","2011_Q4",14.0636507936508,"Up",166349000,-65154000,101195000,-91723000,-16753000,9472000,18007000,-1460000,-467000,19934000,27479000,615000,28094000,-8374000,19720000,19780000,19780000,19780000,26883000,26883000,33083000,33083000,85671000,0,69254000,145637000,482005000,329228000,213712000,8787000,811233000,956870000,140052000,65827000,74225000,18750000,18750000,158802000,156270000,56009000,17025000,8803000,30181000,212279000,371081000,326453000,585789000,585789000,956870000,19780000,19780000,13443000,19833000,4441000,57497000,-5931000,10416000,4485000,0,-28690000,348000,-287000,-37788000,-66130000,-4148000,-4148000,-4148000,22915000,156270000,29799000,0.60833,0.05694,0.11891,0.03377,0.02067,1.50652,0.9171,0.63347,0.16331,0.39099,0.38844,3.28824,11.57937,0.58904,0,0.02478,0.03734,0,5.64639,13.65995
"6","2012_Q1",16.9093548387097,"Up",149265000,-56614000,92651000,-86312000,-14048000,6339000.00000001,-1795000,-1199000,-690000,93999.9999999925,4544000,-38000,4506000,-235000,4271000,7613000,7613000,7613000,27325000,27325000,49773000,49773000,67364000,3679000,54958000,144462000,477356000,326204000,213712000,8665000,803560000,948022000,139979000,76580000,53289000,33472000,33472000,173451000,127563000,62978000,17884000,15552000,29542000,190541000,363992000,323831000,584030000,584030000,948022000,7613000,7613000,13851000,23406000,-1092000,43778000,-5860000,-4156000,-10016000,0,-28863000,-486000,-576000,-3971000,-33320000,441999.999999999,441999.999999999,442000,20190000,127563000,13473000,0.62071,0.04247,0.051,0.01304,0.00803,1.76974,0.83287,0.62324,0.13456,0.15027,0.14314,2.94635,11.5282,0.26594,-1.38777878078145e-17,0.00983,0.01739,4.44089209850063e-16,4.96474,15.8129
"7","2012_Q2",18.2915873015873,"Up",138196000,-42988000,95208000,-92999000,-16199000,2209000,-1392000,-1205000,-220000,33000,817000,1511000,2328000,-974000,1354000,1353000,1353000,1353000,28882000,28882000,24118000,24118000,71045000,3569000,59458000,124045000,475480000,337663000,216883000,13969000,813143000,937188000,115578000,73697000,41881000,56035000,56035000,171613000,107761000,65033000,18860000,15552000,30621000,172794000,344407000,325184000,592781000,592781000,937188000,1353000,1353000,13807000,-1976000,39302000,52486000,-9055000,1366000,-20225000,-10110000,-19801000,123000,-268000,-916000,-30704000,1557000,1557000,1557000,16016000,107761000,47237000,0.68893,0.01598,0.00979,0.00228,0.00144,34.91279,0.72282,0.581,0.11498,0.02668,0.02587,2.72528,11.68986,0.93153,0.19937,0.01497,0.0617,7.47228,4.92501,35.70801
"8","2012_Q3",17.9846031746032,"Down",270816000,-95484000,175332000,-98152000,-20070000,77180000,-1474000,-947000,-564000,37000,75706000,5003000,80709000,-32133000,48576000,48576000,48576000,48576000,31787000,31787000,44111000,44111000,75668000,0,67650000,151566000,471954000,335895000,217741000,14917000,807849000,959415000,175364000,91939000,83425000,10528000,10528000,185892000,62964000,64958000,16626000,16356000,31976000,127922000,313814000,373760000,645601000,645601000,959415000,48576000,48576000,13638000,5193000,-3685999.99999999,63721000,-7330000,-26404000,-27926000,0,-44797000,2260000,-1765000,9647000,-32890000,2905000,2905000,2905000,90818000,62964000,111935000,0.64742,0.28499,0.17937,0.07524,0.05063,2.30433,0.81534,0.48608,0.06563,0.9537,0.92515,5.317,12.67525,2.19765,-2.77555756156289e-17,0.0628,0.14471,0,0.34329,0.403949999999995
"9","2012_Q4",19.478064516129,"Up",164877000,-61953000,102924000,-95111000,-18237000,7813000,-744000,-842000,-471000,569000,7069000,0,7069000,-1096000,5973000,5973000,5973000,5973000,29999000,29999000,38210000,38210000,65001000,0,56944000,133210000,469520000,336460000,217741000,15812000,805980000,939190000,146414000,84169000,62245000,12231000,12231000,158645000,69998000,56192000,17151000,16583000,22458000,126190000,284835000,379733000,654355000,654355000,939190000,5973000,5973000,13370000,7752000,-28693000,-1598000,-8983000,8720000,-263000,0,7033000,931000,-813000,-7891000,73000,-1788000,-1788000,-1788000,21183000,69998000,-15397000,0.62425,0.04739,0.03623,0.00913,0.00636,-2.57777,0.83967,0.43529,0.07453,0.11622,0.11329,3.20816,12.73238,-0.29959,0,0.00765,-0.01973,0,1.88826,5.11954
"10","2013_Q1",20.9168333333333,"Up",157407000,-54980000,102427000,-100085000,-19323000,2342000.00000001,-1713000,-1447000,-446000,180000,629000.000000007,492000,1120999.99999999,1128000,2249000,2374000,2374000,2374000,37177000,37177000,47152000,47152000,62735000,2915000,51593000,147064000,542882000,424391000,250414000,11596000,967273000,1114337000,138439000,66875000,71564000,58403000,43916000,406570000,0,63472000,17794000,24648000,21030000,63472000,470042000,369586000,644295000,644295000,1114337000,2374000,2374000,14785000,17989000,-263000.000000004,34885000,-15097000,-2825999.99999999,-154110000,-12351000,139663000,-2031000,-2248000,1122000,126403000,7178000,7178000,7178000,17127000,209728000,638999.999999985,0.65071,0.01488,0.01508,0.00368,0.00213,0.26917,0.36172,0.72954,0.18821,0.0460699999999998,0.04551,3.05479,12.50378,0.0124,0.23969,0.01605,0.00070000000000003,5.20261,10.07479,73.67677
