"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",16.70640625,"Up",11693000,-4656000,-2032000,-2270000,-354000,7037000,-3294000,-3255000,-354797.096130736,-39000,3743000,3743000,3743000,3743000,-23000,3720000,3720000,83177000,83177000,83177000,450722000,456476000,-5754000,2158576787.67864,202325000,183606000,18719000,653047000,736224000,7585000,7585000,57804000,57804000,65389000,307178000,307178000,372567000,366409000,-8295000,3770000,361884000,1773000,363657000,736224000,3743000,2270000,-577000,-480000,4956000,-9945945008.89259,-733000,-89589000,-2728000,0,91744052.5617789,91744052.5617789,1625000,-1103000,-85736000,-85736000,-85736000,9307000,307178000,0.60181,0.31814,0.01023,0.00505,1.27203,1.0245,0.41723,0.20451,0.20451,0.64283,19.89467,0.14997,0.00961,0.73333,24.06801,31.83189
"2","2018_Q3",16.4603174603175,"Down",11574000,-5966000,-3292000,-2276000,-398000,5608000,-3847000,-3376000,-118265.698710245,-471000,1761000,1761000,1761000,1761000,-59000,1702000,1702000,35805000,35805000,35805000,477203000,484458000,-7255000,1333831872.60719,227690000,197665000,30025000,704893000,740698000,7401000,7401000,57649000,57649000,65050000,307276000,307276000,372326000,369794000,-9328000,6101000,366567000,1805000,368372000,740698000,1761000,2276000,-960000,523000,3600000,-5430984205.33555,-4265000,-47853000,-2729000,0,30581350.8539263,30581350.8539263,-390000,-3119000,-47372000,-47372000,-47372000,7884000,307276000,0.48453,0.14705,0.00462,0.0023,0.55042,1.01073,0.41485,0.09356,0.09356,0.63621,20.1499,0.15001,0.00656,1.60341,34.43316,48.40781
"3","2018_Q4",17.1869841269841,"Up",11644000,-5525000,-2779000,-2290000,-456000,6119000,-4049000,-3747000,0,-302000,2070000,2070000,2070000,2070000,-60000,2010000,2010000,19248000,19248000,19248000,526562000,535318000,-8756000,718558436.303593,263185000,221090000,42095000,789747000,808995000,9247000,9247000,57776000,57776000,67023000,371375000,371375000,438398000,369807000,-10053000,8978000,368732000,1865000,370597000,808995000,2070000,2290000,-3140000,1040000,2260000,-2500266602.66778,-3668000,-79307000,-2735000,6.4e+07,0,0,-975000,60290000,-16757000,-16757000,-16757000,8409000,371375000,0.52551,0.17262,0.00542,0.00248,0.28718,1.18295,0.45906,0.11026,0.11026,0.63873,20.22666,0.15003,0.0064,1.3607,41.87501,57.54649
"4","2019_Q1",17.623606557377,"Up",14813000,-5257000,-2559000,-2306000,-392000,9556000,-5194000,-5011000,0,-183000,4362000,4362000,4362000,4362000,-54000,4308000,4308000,16418000,16418000,16418000,659666000,669923000,-10257000,315784478.767864,303659000,262531000,41128000,963325000,979743000,20800000,20800000,57620000,57620000,78420000,543965000,543965000,622385000,370713000,-8486000,-6876000,355351000,2007000.00000001,357358000,979743000,4362000,2306000,-4929000,973000,2712000,-835498200.889259,10058000,-167756000,-2735000,173853000,0,0,-1654000,169464000,4420000,4420000,4420000,11862000,543965000,0.64511,0.29083,0.01206,0.0044,0.20936,1.74163,0.55521,0.23593,0.23593,0.81123,19.46062,0.14978,0.00781,0.63487,44.4737,55.20584
"5","2019_Q2",25.1803174603175,"Up",21820000,-6137000,-2982000,-2343000,-812000,15683000,-4546000,-4521000,0,-25000,11137000,11137000,11137000,11137000,-4518000,6619000,6619000,9040000,9040000,9040000,661098000,672862000,-11764000,128538000,327276000,236919000,90357000,1116912000,1125952000,30238000,30238000,57605000,57605000,87843000,436699000,436699000,524542000,372276000,-4619000,-10793000,356864000,244546000,601410000,1125952000,11137000,2343000,-6120000,-10624000,-3264000,-118385000,1050000,-120574000,-2741000,-117500000,0,0,244129000,123888000,50000,50000,50000,18026000,436699000,0.71874,0.30335,0.01101,0.00588,0.10291,0.87219,0.38785,0.36177,0.21591,1.19261,19.50503,0.14981,0.00902,0.41411,23.72456,27.26895
"6","2019_Q3",29.00359375,"Up",19680000,-7462000,-4474000,-2343000,-645000,12218000,-6276000,-5986000,-5.82076609134674e-11,-290000,5942000,5942000,5942000,5942000,-1419000,4523000,4523000,73004000,73004000,73004000,663232000,676503000,-13271000,159847000,337182000,235457000,101725000,1160261000,1233265000,37600000,37600000,57656000,57656000,95256000,544945000,544945000,640201000,627102000,-4926000,-30341000,591835000,1229000.00000003,593064000,1233265000,5942000,2343000,-5080000,-1363000,1842000,-30633000,-4107000,-38310000,-2748000,109625000,-7.45058059692383e-09,-7.45058059692383e-09,-1405000,105472000,69004000,69004000,69004000,14561000,544945000,0.62083,0.22983,0.00763,0.00367,0.7664,1.07948,0.44187,0.17595,0.33893,0.76558,23.02322,0.1069,0.00639,0.60756,32.4113,38.6267
"7","2019_Q4",35.09515625,"Up",22310000,-6066000,-3096000,-2345000,-625000,16244000,-8752000,-7708000,-759000,-285000,7492000,5481000,5481000,5481000,-49000,5432000,5432000,13539000,13539000,13539000,673123000,687902000,-14779000,486699000,463801000,244503000,219298000,1623623000,1637162000,42975000,42975000,57494000,57494000,100469000,691567000,691567000,792036000,888861000,-5809000,-39284000,843768000,1358000,845126000,1637162000,5481000,2345000,-2485000,-8465000,-3124000,-376868000,-53816000,-452691000,-4825000,145006000,264600000,264600000,-5657000,399124000,-56691000,-56691000,-56691000,18589000,691567000,0.7281,0.24348,0.00643,0.00332,0.13476,0.93718,0.42242,0.14988,0.14988,0.61558,23.2815,0.13313,0.00667,0.88825,36.47469,41.74021
"8","2020_Q1",48.5282258064516,"Up",29586000,-6822000,-3883000,-2348000,-591000,22764000,-11596000,-11653000,356000,-299000,11168000,11168000,11168000,11168000,-49000,11119000,11119000,22704000,22704000,22704000,671616000,687902000,-16286000,1112122000,760119000,242837000,517282000,2543857000,2566561000,43008000,43008000,57333000,57333000,100341000,1372922000,1372922000,1473263000,1133081000,-2146000,-39123000,1091812000,1486000,1093298000,2566561000,11168000,2348000,-7353000,-3580000,2583000,-838796000,-70404000,-909200000,-6308000,693750000,247300000,247300000,-18131000,916611000,9994000,9994000,9994000,25112000,1372922000,0.76942,0.37582,0.01017,0.00433,0.22627,1.34754,0.53493,0.25393,0.25393,0.67566,24.93405,0.14406,0.00707,0.56732,53.76784,59.31374
"9","2020_Q2",52.755873015873,"Up",40165000,-8399000,-5253000,-2348000,-798000,31766000,-14370000,-15148000,818000,-40000,17396000,17396000,17396000,17396000,-49000,17347000,17347000,257739000,257739000,257739000,670109000,687902000,-17793000,1157103000,814676000,241171000,573505000,2641888000,2899627000,68821000,68821000,57172000,57172000,125993000,1542396000,1542396000,1668389000,1284153000,7236000,-61779000,1229610000,1628000,1231238000,2899627000,17396000,2348000,-9184000,-3124000,7436000,-62627000,1271000,-61356000,-7452000,173800000,150086000,150086000,-9548000,306886000,252966000,252966000,252966000,34114000,1542396000,0.79089,0.43189,0.01409,0.00598,2.04566,1.35505,0.53193,0.35969,0.35969,0.83281,25.49577,0.15452,0.00894,0.42958,37.65777,40.44126
"10","2020_Q3",52.319375,"Down",37353000,-9260000,-6369000,-2354000,-537000,28093000,-15531000,-16233000,822000,-120000,12562000,12562000,12562000,12562000,-48000,12514000,12514000,96700000,96700000,96700000,688081000,707381000,-19300000,1173739000,870843000,240845000,629998000,2732663000,2829363000,73825000,73825000,57007000,57007000,130832000,1460114000,1460114000,1590946000,1287896000,11454000,-62744000,1236606000,1811000,1238417000,2829363000,12562000,2354000,-7608000,4032000,11340000,-63989000.0000001,-82000,-84347000,-7960000,-81200000.0000001,0,0,1492000,-87667999.9999999,-160675000,-160675000,-160675000,30447000,1460114000,0.75209,0.33502,0.0101,0.00442,0.73912,1.28466,0.51606,0.24497,0.24489,0.73121,24.20731,0.15582,0.00759,0.63609,44.77991,48.53216
