"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",78.66625,"Down",-20986000,-9027000,-9027000,-11959000,-20986000,-20000,30000,-21006000,-69056000,-69056000,-69056000,-69056000,-69122000,5029000,5029000,2177000,1608000,7206000,783000,1003000,1003000,1786000,8992000,27034000,13309000,13725000,27034000,27284000,358198000,-376490000,-18292000,-18292000,8992000,-69056000,65000,48738000,2115000,-18138000,2150000,20042000,20042000,19885000,3897000,3897000,3897000,-20921000,0,3.77881,-7.68706,0.26655,-1.49158,0,-69.2053,-69.2053,-18.31404,3.82247,0.24038,0.23964
"2","2018_Q3",43.3009523809524,"Down",-23242000,-11409000,-11409000,-11833000,-23242000,0,32000,-23242000,-23242000,-23244000,-23244000,-23244000,-23244000,22788000,22788000,1687000,1133000,24475000,717000,977000,977000,1694000,26169000,20840000,7998000,12842000,20840000,20911000,404992000,-399734000,5258000,5258000,26169000,-23244000,66000,10663000,-6672000,-19187000,0,37542000,37542000,36931000,17744000,17744000,17744000,-23176000,0,-4.42069,-0.888230000000001,1.17442,3.97699,0,-16.67307,-16.67307,3.7716,-4.36179,0.98326,0.98047
"3","2018_Q4",55.0271428571429,"Up",-18433000,-8582000,-8582000,-9851000,-18433000,2000,35000,-18431000,-18431000,-18431000,-18431000,-18431000,-18431000,12076000,12076000,1348000,902000,13424000,652000,950000,950000,1602000,15026000,25042000,8034000,17008000,25042000,25091000,408100000,-418165000,-10065000,-10065000,15026000,-18431000,65000,4735000,4703000,-8928000,0,0,0,-1892000,-10820000,-10820000,-10820000,-18368000,0,1.8312,-1.22661,0.53606,-2.4929,0,-10.68364,-10.68364,-5.83424,1.84016,0.65745,0.65513
"4","2019_Q1",54.1237704918033,"Down",-14981000,-5209000,-5209000,-9772000,-14981000,0,30000,-14981000,-14981000,-14981000,-14981000,-14981000,-14981000,1330000,1330000,1148000,717000,2478000,593000,939000,939000,1532000,4010000,23319000,8882000,14437000,27329000,27366000,409790000,-433146000,-23356000,-23356000,4010000,-14981000,66000,1756000,2912000,-10247000,-7000,0,0,-507000,-10761000,-10761000,-10761000,-14915000,4010000,0.64142,-3.73591,0.09067,-1.17169,1,-8.68458,-8.68458,-13.53962,0.77586,-0.17968,-0.17889
"5","2019_Q2",77.4625396825397,"Up",-13632000,-5743000,-5743000,-7889000,-13632000,4000,18000,-13628000,-18068000,-18068000,-18068000,-18068000,-18068000,184000,184000,1229000,813000,1413000,527000,1294000,1294000,1821000,3234000,27303000,11933000,15370000,32085000,32085000,422363000,-451214000,-28851000,-28851000,3234000,-18068000,66000,6559000,3765000,-7678000,250000,6273000,6273000,6267000,-1161000,-1161000,-1161000,-13566000,4010000,0.62625,-5.58689,0.04404,-1.11209,1.23995,-10.07615,-10.07615,-16.08961,0.72735,-0.28203,-0.28066
"6","2019_Q3",76.78953125,"Down",-11941000,-6695000,-6695000,-5246000,-11941000,101000,108000,-11840000,-35446000,-35450000,-35450000,-35450000,-35450000,50679000,50679000,2170000,1769000,52849000,461000,1105000,1105000,1566000,54415000,18043000,8567000,9476000,18623000,18623000,522456000,-486664000,35792000,35792000,54415000,-35450000,66000,26283000,-10447000,-19548000,0,75446000,75446000,70028000,50480000,50480000,50480000,-11875000,0,-0.99044,-0.651469999999999,2.83783,0.52031,0,-14.36445,-14.36445,14.50303,-0.99044,4.26771,4.24412
"7","2019_Q4",84.37734375,"Up",-14297000,-8634000,-2412000,-5663000,-14297000,499000,212000,-13798000,-13798000,-13798000,-13798000,-13798000,-13798000,35835000,32120000,1697000,1311000,37532000,546000,911000,911000,1457000,38989000,14532000,5163000,9369000,14914000,14914000,524537000,-500462000,24075000,24075000,38989000,-13798000,66000,2431000,-3124000,-14425000,-3738000,0,0,-411000,-18574000,-18574000,-18574000,-14231000,0,-0.57313,-0.35389,2.51656,0.61948,0,-4.45868,-4.45868,7.77959,-0.57313,2.51809,2.50647
"8","2020_Q1",80.0117741935484,"Down",-12872000,-9440000,-5424000,-3432000,-12872000,155000,120000,-12717000,-12717000,-12717000,-12717000,-12717000,-12717000,23804000,15571000,2617000,2313000,26421000,394000,1480000,1480000,1874000,28295000,12462000,6008000,6454000,12659000,12659000,528815000,-513179000,15636000,15636000,28295000,-12717000,65000,2073000,-2867000,-13446000,-4627000,3218999.99999999,3218999.99999999,2192000,-15881000,-15881000,-15881000,-12807000,0,-0.81332,-0.44944,2.08713,0.80961,0,-3.76545,-3.76545,4.62975,-0.81332,1.85867,1.84929
"9","2020_Q2",67.397619047619,"Down",-19244000,-14997000,-7142000,-4247000,-19244000,98000,102000,-19146000,-19146000,-19146000,-19146000,-19146000,-19146000,10271000,8785000,3446000,2966000,13717000,622000,1306000,1306000,1928000,15645000,14358000,7120000,7238000,14461000,14624000,533346000,-532325000,1021000,1021000,15645000,-19146000,69000,3565000,636000,-14876000,6902000,1584000,1584000,1364000,-6610000,-6610000,-6610000,-19175000,0,-18.7522,-1.22378,0.94855,14.32321,0,-5.95582,-5.95582,0.31761,-16.17061,0.53565,0.53372
"10","2020_Q3",43.471875,"Down",-22372000,-19732000,-9735000,-2640000,-22372000,-320000,29000,-22692000,-52666000,-52666000,-52666000,-52666000,-52666000,123556000,123556000,2894000,2694000,127890000,1084000,6082000,6082000,7166000,135056000,16962000,8421000,8541000,61806000,66517000,653530000,-584991000,68539000,68539000,135056000,-52666000,54000,36552000,1008000,-15052000,1045000,106274000,106274000,128548000,114541000,114541000,114541000,-22318000,44302000,-0.768410000000003,-0.38996,2.06922,0.9705,0.32803,-13.68532,-13.68532,17.80993,-0.448020000000003,3.55112,3.54255
"11","2020_Q4",36.15578125,"Down",-26118000,-21901000,-7200000,-4217000,-26157000,-636000,21000,-26793000,-29897000,-29899000,-29899000,-29899000,-29899000,86697000,86697000,10975000,10638000,102079000,1976000,8272000,8272000,10248000,112327000,14988000,5427000,9561000,65692000,72117000,655100000,-614890000,40210000,40210000,112327000,-29899000,58000,5567000,-11548000,-35822000,-297000,0,0,-603000,-36722000,-36722000,-36722000,-26099000,48055000,-0.74357,-0.26618,1.5539,1.79351,0.42781,-5.50605,-5.50605,7.40488,-0.31576,1.48059,1.47731
