"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.981746031746,"Up",3.329e+09,-1.928e+09,1.401e+09,-9.27e+08,4.74e+08,1.1e+07,1.1e+07,4.85e+08,4.85e+08,-1.83e+08,3.02e+08,3.02e+08,3.02e+08,3.02e+08,2.481e+09,2.056e+09,1.534e+09,6.49e+08,6.49e+08,4.664e+09,2.585e+09,6.96e+08,6.96e+08,3.281e+09,7.945e+09,2.091e+09,1.052e+09,1.45e+08,8.94e+08,2.091e+09,-11270545916.0394,9.47e+08,9.47e+08,9.47e+08,3.038e+09,2.975e+09,1.105e+10,1.46e+08,4.907e+09,4.907e+09,7.945e+09,3.02e+08,1.66e+08,6e+06,-1.45e+08,3.29e+08,-1.07e+08,-3.23e+08,-3.05e+08,-6.7e+07,-2.54e+08,8e+06,-3.13e+08,-2.89e+08,-2.89e+08,-3e+06,-2.92e+08,6.4e+08,0,5.71e+08,0.42085,0.14239,0.09072,0.06154,0.03801,1.89073,2.23051,0.61912,0,0.4521,0.44675,4.98353,7.34581,0.85479,0.1003,4.69276623235745,0.06303,0.09754,0.22185,-3.87656,-5.23418
"2","2010_Q3",12.7084375,"Down",3.317e+09,-2.003e+09,1.314e+09,-9.17e+08,3.97e+08,1e+06,1e+06,3.98e+08,3.98e+08,-1.64e+08,2.34e+08,2.34e+08,2.34e+08,2.34e+08,1.703e+09,1.353e+09,1.632e+09,7.18e+08,7.18e+08,4.053e+09,2.565e+09,6.9e+08,6.9e+08,3.255e+09,7.308e+09,2.029e+09,1.141e+09,1.6e+07,8.72e+08,2.029e+09,-5759927549.62365,9.52e+08,9.52e+08,9.52e+08,2.981e+09,2.987e+09,1.1221e+10,1.67e+08,4.327e+09,4.327e+09,7.308e+09,2.34e+08,1.66e+08,-2.4e+07,-1.65e+08,2.11e+08,-1.41e+08,-8.2e+07,-7.3e+07,-6.3e+07,-7.9e+08,1e+06,-8.52e+08,-7.14e+08,-7.14e+08,1.1e+07,-7.03e+08,5.63e+08,0,4.21e+08,0.39614,0.11969,0.07055,0.05408,0.03202,1.79915,1.99754,0.68893,0,0.36223,0.36,5.13467,6.69814,0.6517,0.09752,5,0.05626,0.07975,0.26923,-3.02487,-4.28967
"3","2010_Q4",14.27359375,"Up",3.654e+09,-2.149e+09,1.505e+09,-1.001e+09,5.04e+08,-2e+06,-2e+06,5.02e+08,5.02e+08,-1.99e+08,3.03e+08,3.03e+08,3.03e+08,3.03e+08,1.654e+09,1.403e+09,2.16e+09,6.63e+08,6.63e+08,4.477e+09,2.587e+09,6.64e+08,6.64e+08,3.251e+09,7.728e+09,2.409e+09,1.438e+09,1.1e+07,9.6e+08,2.412e+09,-2076963774.81182,9.72e+08,9.72e+08,9.72e+08,3.384e+09,2.994e+09,1.1462e+10,1.83e+08,4.344e+09,4.344e+09,7.728e+09,3.03e+08,1.6e+08,4.9e+07,-1.16e+08,3.96e+08,-1.65e+08,-4.2e+07,-5.7e+07,-6.2e+07,-2.46e+08,0,-3.05e+08,3.4e+07,3.4e+07,1.6e+07,5e+07,6.64e+08,3e+06,5.82e+08,0.41188,0.13793,0.08292,0.06975,0.03921,1.92079,1.85614,0.77901,0.00039,0.48558,0.48325,5.85577,6.96154,0.93269,0.09936,6,0.06862,0.10942,0.20462,-2.48645,-3.27579
"4","2011_Q1",15.0746774193548,"Up",4.364e+09,-2.695e+09,1.669e+09,-1.076e+09,5.93e+08,4e+06,4e+06,5.97e+08,5.97e+08,-2.32e+08,3.65e+08,3.65e+08,3.65e+08,3.65e+08,1.661e+09,1.561e+09,1.62e+09,6.45e+08,6.45e+08,3.926e+09,2.563e+09,5.76e+08,5.76e+08,3.139e+09,7.065e+09,2.092e+09,1.049e+09,5e+07,9.93e+08,2.095e+09,138345408.396059,8.9e+08,8.9e+08,8.9e+08,2.985e+09,2.994e+09,1.1767e+10,1.85e+08,4.08e+09,4.08e+09,7.065e+09,3.65e+08,1.56e+08,1.08e+08,1.79e+08,8.08e+08,-1.44e+08,-2.5e+07,6000000.00000001,-6e+07,-5.99e+08,2e+06,-6.57e+08,1.57e+08,1.57e+08,1e+06,1.58e+08,7.49e+08,2999999.99999994,1.016e+09,0.38245,0.13588,0.08364,0.08946,0.05166,2.78356,1.87399,0.73162,0.000420000000000006,0.60231,0.59738,7.20132,6.73267,1.67657,0.09901,6,0.08546,0.2043,0.16438,-2.21362,-2.79595
"5","2011_Q2",14.6395238095238,"Down",3.295e+09,-1.991e+09,1.304e+09,-9.18e+08,3.86e+08,-5e+06,-5e+06,3.81e+08,3.81e+08,-1.48e+08,2.33e+08,2.33e+08,2.33e+08,2.33e+08,2.467e+09,2.417e+09,1.713e+09,6.9e+08,6.9e+08,4.87e+09,2.559e+09,5.98e+08,5.98e+08,3.157e+09,8.027e+09,2.087e+09,1.053e+09,8.5e+07,9.49e+08,2.09e+09,1.246e+09,9.2e+08,9.2e+08,2.166e+09,4.256e+09,2.92e+09,1.1934e+10,2e+08,3.771e+09,3.771e+09,8.027e+09,2.33e+08,1.51e+08,1.2e+07,-1.65e+08,2.31e+08,-1.27e+08,-2e+06,-7.9e+07,-6.6e+07,-4.9e+08,-1e+06,6.89e+08,8.41e+08,8.41e+08,1.5e+07,8.56e+08,5.37e+08,1.249e+09,3.93e+08,0.39575,0.11715,0.07071,0.06179,0.02903,1.6867,2.33014,1.12861,0.1556,0.39966,0.39626,5.6518,6.46827,0.6741,0.11321,4,0.05034,0.06616,0.28326,-2.26816,-3.15544
"6","2011_Q3",12.38078125,"Down",3.386e+09,-2.135e+09,1.251e+09,-9.17e+08,3.34e+08,-2.1e+07,-2.1e+07,3.13e+08,3.13e+08,-1.24e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,2.179e+09,2.104e+09,1.75e+09,7.52e+08,7.52e+08,4.681e+09,2.56e+09,5.65e+08,5.65e+08,3.125e+09,7.806e+09,2.115e+09,1.161e+09,2e+06,9.52e+08,2.158e+09,1.606e+09,9.18e+08,9.18e+08,2.524e+09,4.682e+09,2.929e+09,1.2063e+10,2.14e+08,3.124e+09,3.124e+09,7.806e+09,1.89e+08,1.45e+08,6.4e+07,-7e+07,3.28e+08,-1.34e+08,-5.1e+07,-1.6e+08,-6e+07,-8.3e+08,1e+06,-4.89e+08,-3.21e+08,-3.21e+08,8e+06,-3.13e+08,4.79e+08,1.649e+09,3.99e+08,0.36946,0.09864,0.05582,0.0605,0.02421,2.11111,2.16914,1.49872,0.21125,0.34935,0.34615,6.25878,5.77449,0.73752,0.11091,6,0.04375,0.07011,0.31746,-1.10647,-1.58683
"7","2011_Q4",13.3434920634921,"Up",3.585e+09,-2.271e+09,1.314e+09,-9.68e+08,3.46e+08,-2.1e+07,-2.1e+07,3.25e+08,3.25e+08,-1.32e+08,1.93e+08,1.93e+08,1.93e+08,1.93e+08,1.417e+09,1.392e+09,2.322e+09,8.15e+08,8.15e+08,4.554e+09,2.55e+09,5.53e+08,5.53e+08,3.103e+09,7.657e+09,2.43e+09,1.472e+09,1e+06,9.57e+08,2.482e+09,1.606e+09,9.1e+08,9.1e+08,2.516e+09,4.998e+09,2.928e+09,1.2201e+10,2.26e+08,2.659e+09,2.659e+09,7.657e+09,1.93e+08,1.48e+08,4.4e+07,-3.06e+08,7.9e+07,-1.55e+08,-1e+06,-1.06e+08,-5.5e+07,-6.38e+08,0,-6.84e+08,-7.11e+08,-7.11e+08,-1e+06,-7.12e+08,4.94e+08,1.658e+09,1.65e+08,0.36653,0.09651,0.05384,0.07258,0.02521,0.85492,1.83481,1.87965,0.21653,0.3837,0.38218,7.12724,5.28628,0.32803,0.10934,4,0.04745,0.03157,0.28497,0.48785,0.69653
"8","2012_Q1",16.0801612903226,"Up",4.283e+09,-2.878e+09,1.405e+09,-1.033e+09,3.72e+08,-2.2e+07,-2.2e+07,3.5e+08,3.5e+08,-1.32e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,1.885e+09,1.885e+09,1.615e+09,8.09e+08,8.09e+08,4.309e+09,2.523e+09,5.9e+08,5.9e+08,3.113e+09,7.422e+09,2.069e+09,1.066e+09,5e+06,9.98e+08,2.128e+09,1.606e+09,9.33e+08,9.33e+08,2.539e+09,4.667e+09,2.922e+09,1.2364e+10,2.29e+08,2.755e+09,2.755e+09,7.422e+09,2.18e+08,1.48e+08,-8.8e+07,4.47e+08,7.25e+08,-1.32e+08,-2e+06,-1.09e+08,-5.5e+07,-7.2e+07,2e+06,-1.18e+08,4.98e+08,4.98e+08,-5e+06,4.93e+08,5.2e+08,1.665e+09,9.67e+08,0.32804,0.08686,0.0509,0.07913,0.02937,4.43578,2.02491,1.69401,0.22433,0.44581,0.44219,8.75869,5.63395,1.97751,0.11247,6,0.051,0.18065,0.25229,-0.42308,-0.5914
"9","2012_Q2",19.5912698412698,"Up",3.487e+09,-2.112e+09,1.375e+09,-9.8e+08,3.95e+08,-2.2e+07,-2.2e+07,3.73e+08,3.73e+08,-1.4e+08,2.33e+08,2.33e+08,2.33e+08,2.33e+08,2.047e+09,1.972e+09,1.591e+09,8.07e+08,8.07e+08,4.445e+09,2.521e+09,6.06e+08,6.06e+08,3.127e+09,7.572e+09,1.995e+09,1.016e+09,5.9e+07,9.2e+08,2.054e+09,1.566e+09,9.35e+08,9.35e+08,2.501e+09,4.555e+09,2.859e+09,1.2536e+10,2.26e+08,3.017e+09,3.017e+09,7.572e+09,2.33e+08,1.44e+08,1.8e+07,-3.1e+07,3.64e+08,-1.48e+08,-8.3e+07,-2.31e+08,-6.1e+07,4.4e+07,1.5e+07,-4.2e+07,9.1e+07,9.1e+07,-4e+06,8.7e+07,5.39e+08,1.625e+09,5e+08,0.39432,0.11328,0.06682,0.07723,0.03077,2.14592,2.16407,1.50978,0.21461,0.47648,0.47166,7.13088,6.16973,1.02249,0.12474,6,0.05272,0.08965,0.2618,-0.78293,-1.06835
"10","2012_Q3",24.0293650793651,"Up",3.575e+09,-2.148e+09,1.427e+09,-1.002e+09,4.25e+08,-2e+07,-2e+07,4.05e+08,4.05e+08,-1.62e+08,2.43e+08,2.43e+08,2.43e+08,2.43e+08,2.114e+09,2.039e+09,1.668e+09,7.58e+08,7.58e+08,4.54e+09,2.521e+09,6e+08,6e+08,3.121e+09,7.661e+09,2.19e+09,1.201e+09,1.2e+07,9.77e+08,2.238e+09,1.566e+09,9.59e+08,9.59e+08,2.525e+09,4.763e+09,2.871e+09,1.2719e+10,2.24e+08,2.898e+09,2.898e+09,7.661e+09,2.43e+08,1.41e+08,-2e+06,2.24e+08,6.06e+08,-1.49e+08,-4.8e+07,-1.47e+08,-6e+07,-3.22e+08,2e+06,-3.91e+08,68000000.0000001,68000000.0000001,-1e+06,66999999.9999999,5.66e+08,1.614e+09,8.03e+08,0.39916,0.11888,0.06797,0.08385,0.03172,3.30453,2.0286,1.64355,0.21068,0.50103,0.4939,7.37113,5.97526,1.65567,0.12371,8,0.05538,0.14677,0.24691,-0.88339,-1.17647
