"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.878253968254,"Up",2.1448e+10,1.1147e+10,1.3225e+10,-2.078e+09,1.0301e+10,6.08e+08,5.807e+09,3.886e+09,-5.33e+09,1.6118e+10,-1.2117e+10,-1.992e+09,-1.0125e+10,4.001e+09,4.001e+09,4.001e+09,-1.401e+09,2.6e+09,2.6e+09,-5.3e+07,2.547e+09,-1.75e+08,2.372e+09,1.6301e+10,5.4192e+10,2.66005e+11,7.56307e+11,-2.5123e+10,7.8143e+11,1.0405e+10,2.4819e+10,9.5601e+10,1.22363e+12,8.04893e+11,6.34375e+11,1.70518e+11,4.6333e+10,1.99879e+11,5.4371e+10,1.105476e+12,9.276e+09,6.1899e+10,-1.46e+09,4.3636e+10,2.791e+09,1.16142e+11,2.012e+09,1.18154e+11,1.22363e+12,2.6e+09,7.13e+08,5.33e+09,8.8074e+10,-8.7836e+10,8.881e+09,1.109e+09,6.899e+09,-1.2532e+10,1.7219e+10,1.2695e+10,-5.11e+08,-1.2853e+10,4.26e+08,-1.9125e+10,-2.92e+08,-3.2355e+10,-1.0779e+10,-1.0779e+10,-1.0779e+10,4.714e+09,2.46212e+11,-8.0612e+10,0.18654,0.11059,0.02008,0.00194,-33.98482,9.35623,0.20121,0.457,0.45395,4.13224,20.58916,-15.53098,0.09845,0.00236,-0.06588,0.21543,48.77196,57.46338
"2","2010_Q3",18.81546875,"Down",2.1394e+10,1.1449e+10,1.3472e+10,-2.023e+09,9.945e+09,4.27e+08,6.053e+09,3.465e+09,-3.989e+09,1.7405e+10,-1.2746e+10,-2.225e+09,-1.0521e+10,4.659e+09,4.659e+09,4.659e+09,-1.514e+09,3.145e+09,3.145e+09,-8.3e+07,3.062e+09,-1.84e+08,2.878e+09,1.7571e+10,7.3898e+10,2.61927e+11,7.41681e+11,-2.4584e+10,7.66265e+11,1.0508e+10,2.482e+10,9.5457e+10,1.225862e+12,8.15623e+11,6.40608e+11,1.75015e+11,4.5187e+10,1.85072e+11,5.8582e+10,1.104464e+12,8.98e+09,6.143e+10,-6.31e+08,4.6126e+10,3.867e+09,1.19772e+11,1.626e+09,1.21398e+11,1.225862e+12,3.145e+09,6.22e+08,3.989e+09,8.8833e+10,-8.8616e+10,7.973e+09,1.237e+09,8.728e+09,-1.8126e+10,7.186e+09,-9.75e+08,-3.78e+08,-1.5813e+10,-1.69e+08,1.073e+10,-9.8e+07,-5.728e+09,1.27e+09,1.27e+09,1.27e+09,5.281e+09,2.30259e+11,-8.0584e+10,0.21777,0.13452,0.02371,0.00235,-28,9.09788,0.18783,0.55136,0.54707,4.09862,21.22533,-15.43814,0.07242,0.00266,-0.06574,0.13134,40.27419,45.651
"3","2010_Q4",20.03140625,"Up",2.0874e+10,1.1098e+10,1.313e+10,-2.032e+09,9.776e+09,4.87e+08,5.635e+09,3.654e+09,-3.445e+09,1.7429e+10,-1.2253e+10,-2.28e+09,-9.973e+09,5.176e+09,5.176e+09,5.176e+09,-1.751e+09,3.425e+09,3.425e+09,-8.6e+07,3.339e+09,-1.89e+08,3.15e+09,1.6001e+10,5.6549e+10,2.86834e+11,7.29725e+11,-2.3939e+10,7.53664e+11,9.636e+09,2.4831e+10,9.7208e+10,1.220784e+12,8.14512e+11,6.30061e+11,1.84451e+11,5.0715e+10,1.63143e+11,6.7249e+10,1.095619e+12,8.84e+09,6.1655e+10,-4.66e+08,4.8953e+10,4.676e+09,1.23658e+11,1.507e+09,1.25165e+11,1.220784e+12,3.425e+09,1.67e+08,3.445e+09,9.6619e+10,-9.771e+10,5.946e+09,1.323e+09,-1.4314e+10,1.8332e+10,8.498e+09,1.3816e+10,-5.14e+08,-1.9864e+10,1.78e+08,-1.111e+09,-2.1e+07,-2.1332e+10,-1.57e+09,-1.57e+09,-1.57e+09,5.343e+09,2.13858e+11,-8.9293e+10,0.24796,0.15091,0.02517,0.00258,-28.34698,8.7534,0.17518,0.60113,0.59742,3.98351,21.91141,-17.04032,0.09809,0.003,-0.07314,0.16317,37.03107,38.22585
"4","2011_Q1",23.3525806451613,"Up",2.1494e+10,1.1063e+10,1.2969e+10,-1.906e+09,1.0431e+10,5.81e+08,5.997e+09,3.853e+09,-2.989e+09,1.8505e+10,-1.334e+10,-2.195e+09,-1.1145e+10,5.165e+09,5.165e+09,5.165e+09,-1.672e+09,3.493e+09,3.493e+09,-7.9e+07,3.414e+09,-1.82e+08,3.232e+09,1.6044e+10,8.0637e+10,2.93007e+11,7.34245e+11,-2.3022e+10,7.57267e+11,9.644e+09,2.477e+10,9.9781e+10,1.258128e+12,8.47942e+11,6.56686e+11,1.91256e+11,5.5401e+10,1.56983e+11,6.9913e+10,1.130239e+12,8.689e+09,6.2213e+10,-4.87e+08,5.1918e+10,4.075e+09,1.26408e+11,1.481e+09,1.27889e+11,1.258128e+12,3.493e+09,4.22e+08,2.989e+09,1.01081e+11,-1.12013e+11,-4.028e+09,1.775e+09,1.808e+09,-2.3206e+10,-9.575e+09,-2.9211e+10,-3.79e+08,10000000.0000038,3.04e+08,3.343e+10,-8.3e+07,3.3282e+10,43000000.0000005,43000000.0000005,43000000.0000005,5.587e+09,2.12384e+11,-1.02979e+11,0.2403,0.15037,0.02527,0.00257,-31.86231,8.83766,0.16881,0.61481,0.61054,4.08872,22.39324,-19.5893,0.0721,0.00287,-0.08185,0.11726,35.14229,38.01355
"5","2011_Q2",20.7314285714286,"Down",2.0329e+10,1.0651e+10,1.2472e+10,-1.821e+09,9.678e+09,7.99e+08,5.874e+09,3.005e+09,-2.21e+09,1.8119e+10,-1.2733e+10,-2.347e+09,-1.0386e+10,5.386e+09,5.386e+09,5.386e+09,-1.572e+09,3.814e+09,3.814e+09,-5.5e+07,3.759e+09,-1.89e+08,3.57e+09,1.6978e+10,9.3041e+10,2.77416e+11,7.29172e+11,-2.1983e+10,7.51155e+11,9.545e+09,2.4777e+10,9.3737e+10,1.244666e+12,8.37662e+11,6.46703e+11,1.90959e+11,5.4737e+10,1.48603e+11,6.8721e+10,1.109723e+12,1.1897e+10,6.3669e+10,-5.41e+08,5.4855e+10,3.591e+09,1.33471e+11,1.472e+09,1.34943e+11,1.244666e+12,3.814e+09,4.77e+08,2.21e+09,8.9322e+10,-7.8612e+10,1.7211e+10,1.642e+09,8.181e+09,-1.0883e+10,2.292e+09,1.232e+09,-8.85e+08,-9.38e+09,3.08e+09,-1.028e+10,-4.4e+07,-1.7509e+10,9.34e+08,9.34e+08,9.34e+08,5.863e+09,2.0334e+11,-6.9535e+10,0.26494,0.17561,0.02646,0.00287,-19.47759,8.22364,0.16337,0.67629,0.6694,3.85106,23.03061,-13.1725,0.16765,0.00358,-0.05587,0.2479,31.78612,34.60119
"6","2011_Q3",18.82859375,"Down",2.0386e+10,1.0678e+10,1.2384e+10,-1.706e+09,9.708e+09,1.01e+09,6.044e+09,2.654e+09,-1.838e+09,1.8548e+10,-1.2475e+10,-2.171e+09,-1.0304e+10,6.073e+09,6.073e+09,6.073e+09,-2.001e+09,4.072e+09,4.072e+09,-1.24e+08,3.948e+09,-2.2e+08,3.728e+09,2.4059e+10,8.8406e+10,2.90034e+11,7.31028e+11,-2.0893e+10,7.51921e+11,9.613e+09,2.4776e+10,9.1818e+10,1.259734e+12,8.53635e+11,6.51492e+11,2.02143e+11,5.3881e+10,1.42872e+11,7.143e+10,1.121818e+12,1.173e+10,6.4102e+10,-1.546e+09,5.7942e+10,4.173e+09,1.36401e+11,1.515e+09,1.37916e+11,1.259734e+12,4.072e+09,4.91e+08,1.838e+09,6.8035e+10,-6.3086e+10,1.135e+10,1.419e+09,-1.3426e+10,4.329e+09,-3.817e+09,-1.1495e+10,-7.88e+08,-7.05e+09,-8.5e+08,1.5973e+10,-5.9e+07,7.226e+09,7.081e+09,7.081e+09,7.081e+09,6.564e+09,1.96753e+11,-5.3102e+10,0.2979,0.18287,0.02703,0.00296,-14.2441,8.13407,0.15619,0.70518,0.69987,3.85616,23.58245,-10.04464,0.14906,0.00358,-0.04215,0.21137,26.30926,28.43636
"7","2011_Q4",18.892380952381,"Up",1.9628e+10,1.0542e+10,1.2178e+10,-1.636e+09,9.086e+09,2.02e+08,5.987e+09,2.897e+09,-1.811e+09,1.7817e+10,-1.1677e+10,-2.088e+09,-9.589e+09,6.14e+09,6.14e+09,6.14e+09,-1.998e+09,4.142e+09,4.142e+09,-8.7e+07,4.055e+09,-2.16e+08,3.839e+09,1.8314e+10,8.9804e+10,3.22178e+11,7.40067e+11,-2.0039e+10,7.60106e+11,9.607e+09,2.5038e+10,9.9937e+10,1.304945e+12,8.95428e+11,6.65565e+11,2.29863e+11,5.0775e+10,1.33214e+11,8.6284e+10,1.165701e+12,1.1566e+10,6.4397e+10,-2.087e+09,6.1135e+10,2.757e+09,1.37768e+11,1.476e+09,1.39244e+11,1.304945e+12,4.142e+09,5.15e+08,1.811e+09,8.0199e+10,-7.7439e+10,9.228e+09,5.028e+09,-2.3424e+10,-2.817e+09,-2.0048e+10,-4.1506e+10,-9.23e+08,-1.3774e+10,-4.78e+08,4.1793e+10,-8.5e+07,2.6533e+10,-5.745e+09,-5.745e+09,-5.745e+09,6.655e+09,1.83989e+11,-6.3758e+10,0.31282,0.19559,0.02757,0.00294,-16.60797,8.37164,0.14099,0.72774,0.72202,3.72081,23.92364,-12.08637,0.17497,0.00365,-0.04886,0.24043,24.89482,26.9829
"8","2012_Q1",22.9408064516129,"Up",2.0605e+10,1.0892e+10,1.2378e+10,-1.486e+09,9.713e+09,5.39e+08,5.525e+09,3.649e+09,-2.04e+09,1.8565e+10,-1.2508e+10,-2.251e+09,-1.0257e+10,6.057e+09,6.057e+09,6.057e+09,-1.874e+09,4.183e+09,4.183e+09,-7.6e+07,4.107e+09,-2.19e+08,3.888e+09,1.944e+10,4.4367e+10,3.64133e+11,7.50259e+11,-1.9372e+10,7.69631e+11,9.531e+09,2.5115e+10,1.01022e+11,1.313867e+12,9.2007e+11,6.76067e+11,2.44003e+11,4.9091e+10,1.25354e+11,7.7665e+10,1.17218e+12,1.1431e+10,6.4888e+10,-2.744e+09,6.4385e+10,2.281e+09,1.40241e+11,1.446e+09,1.41687e+11,1.313867e+12,4.183e+09,7.25e+08,2.04e+09,7.7188e+10,-1.0826e+11,-2.4124e+10,5.406e+09,-1.9542e+10,4.5742e+10,-1.4773e+10,1.6725e+10,-7.85e+08,-1.4895e+10,-3.73e+08,2.4642e+10,-6.4e+07,8.525e+09,1.126e+09,1.126e+09,1.126e+09,6.782e+09,1.74445e+11,-9.4198e+10,0.29396,0.18869,0.02744,0.00296,-24.22788,8.27302,0.13277,0.73751,0.73127,3.90853,24.43378,-17.86828,0.14891,0.00356,-0.0717,0.2019,22.85535,25.59105
"9","2012_Q2",24.244126984127,"Up",2.1636e+10,1.0888e+10,1.2255e+10,-1.367e+09,1.0748e+10,9.97e+08,5.672e+09,4.079e+09,-1.995e+09,1.9641e+10,-1.2993e+10,-2.417e+09,-1.0576e+10,6.648e+09,6.648e+09,6.648e+09,-2.328e+09,4.32e+09,4.32e+09,-7.2e+07,4.248e+09,-2.26e+08,4.022e+09,1.7e+10,7.4143e+10,3.65021e+11,7.47669e+11,-1.8852e+10,7.66521e+11,9.291e+09,2.514e+10,9.5535e+10,1.333799e+12,9.30267e+11,6.75254e+11,2.55013e+11,5.0964e+10,1.29752e+11,7.5967e+10,1.18695e+12,1.2101e+10,6.6577e+10,-2.958e+09,6.7239e+10,2.557e+09,1.45516e+11,1.333e+09,1.46849e+11,1.333799e+12,4.32e+09,6.49e+08,1.995e+09,9.2128e+10,-8.3187e+10,1.5905e+10,2.365e+09,-2.121e+09,-2.9616e+10,-3.163e+09,-3.2961e+10,-1.451e+09,5.25e+09,8.15e+08,1.0194e+10,-1.92e+08,1.4616e+10,-2.44e+09,-2.44e+09,-2.44e+09,7.297e+09,1.80716e+11,-7.1197e+10,0.30727,0.18589,0.02739,0.00302,-17.70189,8.08279,0.13549,0.76137,0.75349,4.09571,25.25556,-13.47764,0.27468,0.0041,-0.05338,0.36077,22.43607,24.62635
"10","2012_Q3",25.5336507936508,"Up",2.1289e+10,1.1037e+10,1.2354e+10,-1.317e+09,1.0252e+10,4.44e+08,5.875e+09,3.933e+09,-1.8e+09,1.9489e+10,-1.2397e+10,-2.354e+09,-1.0043e+10,7.092e+09,7.092e+09,7.092e+09,-2.371e+09,4.721e+09,4.721e+09,-9.9e+07,4.622e+09,-2.19e+08,4.403e+09,1.6811e+10,7.4635e+10,3.55791e+11,7.56879e+11,-1.832e+10,7.75199e+11,9.317e+09,2.5406e+10,9.7365e+10,1.336204e+12,9.28933e+11,6.74934e+11,2.53999e+11,5.6023e+10,1.24984e+11,7.6827e+10,1.186767e+12,1.1694e+10,6.7145e+10,-4.638e+09,7.0456e+10,3.413e+09,1.4807e+11,1.367e+09,1.49437e+11,1.336204e+12,4.721e+09,7.35e+08,1.8e+09,1.17102e+11,-1.04882e+11,1.9476e+10,2.622e+09,1.392e+09,-3.761e+09,-1.1362e+10,-1.4758e+10,-1.324e+09,-6.91e+08,-1.605e+09,-1.334e+09,4.7e+07,-4907000000.00001,-1.89e+08,-1.89e+08,-1.89e+08,7.827e+09,1.81007e+11,-9.2062e+10,0.33313,0.20682,0.02946,0.0033,-20.90893,7.94159,0.13546,0.82963,0.8198,4.01134,25.69641,-17.34662,0.24947,0.00429,-0.0689,0.3007,20.97815,23.15228
