"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",14.7739682539683,"Down",175092000,-153546000,21546000,-11712000,-11510000,-243000,9834000,4425000,-4526000,8951000,14259000,12752000,-2517000,10235000,10235000,10235000,10235000,163864442.491116,163864442.491116,-323618480.312033,-323618480.312033,-458201090.644433,72640055.5175913,-12607466.8641777,64729856.3311047,-545315072.947759,258689283.859639,112243157.371024,63629777.145523,257376166.069066,-287938906.878693,-795549690.040757,-632145625.590617,-4368550.8484259,9022196.52210052,-786527493.518657,95389110.8751489,53538982.6911028,49312011.6979923,4226970.9931105,148928093.566252,-637599399.952405,46747187.1791255,-48182589.8194634,325849898.393726,324414495.753388,349660493.073712,-287938906.878693,10235000,6743000,-4761000,-8206000,4011000,-5315000,-225000,-5540000,-15863000,-821000,-16684000,-18213000,-18213000,1796000,-16417000,16577000,0,5573000,0.12306,0.05616,0.05845,-0.469600445989441,-0.276258262323459,0.5445,68.9407182495892,-2.48636004801214,0.72760979766859,0.50357,0.49995,8.61461,29.379450018206,0.27419,-0.290230412039752,1.27557487748392,155.511026121786,-10884.3516213286
"2","2011_Q3",11.37546875,"Down",162139000,-142649000,19490000,-11263000,-11161000,-16000,8227000,644999.999999998,-4394000,5039000,8872000,7239000,-1854000,5385000,5385000,5385000,5385000,93273721.2455578,93273721.2455578,-74254240.1560165,-74254240.1560165,-119283545.322216,39758027.7587957,-5222233.43208884,31508428.1655523,-60506036.4738796,204588141.92982,61104078.6855122,33284888.5727615,269987083.034533,209481046.560653,-302674345.020379,-245243812.795308,-1877775.42421295,4350098.26105026,-298324246.759328,139305555.437574,29300491.3455514,25085505.8489961,4214985.49655525,168606046.783126,-129718199.976203,39480593.5895627,119438705.090268,169503949.196863,328423247.876694,339199246.536856,209481046.560653,5385000,6723000,-4549000,2951000,10510000,-7824000,3609000,-4215000,1000,-4000.00000000023,62999.9999999981,6358000,6358000,553000,6911000,14950000,0,11931000,0.12021,0.05074,0.03321,-0.123465222994721,-0.0747841311617295,2.2156,31.9939141247946,-0.635430024006071,0.479914898834295,0.26838,0.26288,8.08069,22.183185009103,0.59462,-0.0753302060198759,0.585247438741958,65.9851280608928,-4675.78704566432
"3","2011_Q4",7.90349206349206,"Down",179390000,-163789000,15601000,-10997000,-10798000,-158000,4604000,-6535000,-4432000,-2103000,-1931000,-4211000,166000,-4045000,-4045000,-4045000,-4045000,49894907.0818526,49894907.0818526,55013919.9479945,55013919.9479945,64103818.2259278,20652675.9195986,-1123077.81069628,13137809.3885174,189665321.175373,170329047.30994,32771359.5618374,16423962.8575872,270338361.011511,460003682.186884,-39154448.3401262,-37249604.2651028,-370925.141404317,1566366.08701675,-37588082.2531095,161916518.479191,15076497.1151838,10957501.9496654,4118995.16551842,176993015.594375,139404933.341266,35763197.8631876,208244568.363423,73614649.7322876,317622415.958898,320598748.845619,460003682.186884,-4045000,6834000,6543000,-25266000,-15934000,-4006000,-350000,-4356000,6074000,-364000,5760000,-14530000,-14530000,487000,-14043000,11438000,0,-1.8e+07,0.08697,0.02566,-0.02255,0.0258549256684265,0.0128619562794235,4.44994,12.1392880415982,0.381919991997976,0.354891632944765,-0.20159,-0.19746,8.94044,17.546591669701,-0.89708,0.0169465979933747,0.198452479580653,23.1384593536309,-1306.06902855477
"4","2012_Q1",8.93241935483871,"Up",196191000,-178176000,18015000,-11988000,-11190000,-1188000,6027000,9138000,-3327000,12465000,15165000,16642000,-3128000,13514000,13514000,13514000,13514000,27490000,27490000,99815000,99815000,134883000,11881000,578000,5591000,274069000,151027000,21022000,9410000,263307000,537376000,60758000,42842000,421000,342000,61100000,168322000,8299000,4292000,4007000,176621000,237721000,34607000,241272000,23776000,299655000,299655000,537376000,13514000,5677000,-10058000,4160000,13293000,-3125000,-160000,-3285000,-3199000,2000,-3168000,6840000,6840000,1508000,8348000,11704000,168664000,15867000,0.09182,0.03072,0.06888,0.0451,0.02515,1.17412,4.48558,0.79332,0.31387,0.67351,0.6597,9.77777,14.93421,0.79078,0.02835,0.03329,12.06203,23.42359
"5","2012_Q2",10.7569841269841,"Up",171013000,-159183000,11830000,-10535000,-10371000,41000,1295000,-274000,-3733000,3459000,1021000,559000,-273000,286000,286000,286000,286000,19821000,19821000,95778000,95778000,135976000,1e+07,769000,4841000,261575000,141797000,19633000,8606000,253770000,515345000,62811000,46036000,767000,348000,63159000,163622000,6400000,2453000,3947000,170022000,233181000,35024000,241558000,5582000,282164000,282164000,515345000,286000,6782000,-1404000,-3843000,1821000,-949000,-360000,-1309000,-4988000,49000,-4939000,-4427000,-4427000,-3242000,-7669000,8077000,163970000,3558000,0.06918,0.00757,0.00167,0.00101,0.000549999999999998,12.44056,4.14153,0.8264,0.31818,0.014,0.014,8.37027,13.81058,0.17415,0.000629999999999999,0.00786000000000001,17.84685,111.31197
"6","2012_Q3",11.4866666666667,"Up",167110000,-156228000,10882000,-11833000,-10986000,-490000,-951000,-2883000,-3727000,844000,-3834000,-6011000,-1806000,-7817000,-7817000,-7608000,-7608000,24677000,24677000,84201000,84201000,114180000,10707000,321000,6445000,233765000,137924000,21699000,10017000,248843000,482608000,40407000,28950000,955000,356000,40763000,158722000,6891000,2882000,4009000,165613000,206376000,35930000,233950000,5441000,275321000,276232000,482608000,-7817000,6686000,4099000,9513000,12481000,-2129000,14000,-2471000,-4900000,131000,-4769000,5241000,5241000,-385000,4856000,5735000,159078000,14925000,0.06512,-0.00569,-0.04553,-0.02754,-0.01576,-1.96175,5.73473,0.74711,0.32962,-0.37873,-0.37873,8.3189,13.70574,0.74298,-0.0172,0.03375,23.43522,-141.32597
"7","2012_Q4",13.2603225806452,"Up",179037000,-165447000,13590000,-11673000,-11148000,-669000,1917000,6245000,-3618000,9863000,8162000,8171000,-861000,7310000,7310000,7535000,7535000,35820000,35820000,100713000,100713000,112417000,10559000,122000,6376000,259509000,134523000,20997000,10006000,253403000,512912000,59294000,42589000,1254000,37000,59331000,158722000,7204000,2943000,4261000,165926000,225257000,36337000,241485000,8947000,286769000,287655000,512912000,7310000,6916000,-6789000,5515000,12952000,-2027000,0,-2027000,0,-302000,-302000,10623000,10623000,520000,11143000,8833000,158759000,13182000,0.07591,0.01071,0.04209,0.02619,0.01469,1.74944,4.37392,0.78308,0.30952,0.37007,0.37007,8.79313,14.08423,0.64741,0.01661,0.02906,13.91815,64.13093
"8","2013_Q1",14.9228333333333,"Up",187926000,-169832000,18094000,-11723000,-10977000,-953000,6371000,2500000,-3074000,5574000,8871000,6130000,4919000,11049000,11049000,11278000,11278000,10886000,10886000,99236000,99236000,112750000,15125000,596000,6722000,237997000,127090000,21383000,10322000,244236000,482233000,64275000,48541000,1332000,7237000,71512000,114315000,5626000,794000,4832000,119941000,191453000,36732000,252763000,28000,289523000,290780000,482233000,11049000,6751000,-2262000,517000,16055000,-742000,-309000,-1051000,-37810000,-2085000,-39824000,-24820000,-24820000,-114000,-24934000,13122000,121552000,7978000,0.09628,0.0339,0.06001,0.03879,0.02339,0.707389999999999,3.32807,0.65841,0.25206,0.54494,0.54494,9.08031,13.98932,0.38549,0.02698,0.01909,8.43362,17.37027
"9","2013_Q2",19.65625,"Up",172900000,-154880000,18020000,-11838000,-11147000,-581000,6182000,-649000,-1320000,671000,5533000,5291000,-3233000,2058000,2058000,2294000,2294000,12592000,12592000,95549000,95549000,116710000,13326000,382000,6468000,238177000,122133000,20815000,10169000,238133000,476310000,56127000,44569000,464000,7200000,63327000,112750000,6400000,831000,5569000,119150000,182477000,37110000,255057000,445000,292612000,293833000,476310000,2058000,6517000,3857000,-8051000,4381000,-1055000,-41000,-1096000,-1700000,116000,-1555000,1730000,1730000,-24000,1706000,12699000,119950000,6826000,0.10422,0.03575,0.01327,0.00781,0.00482,2.97559,3.76107,0.62102,0.25183,0.11418,0.11161,8.60584,14.56433,0.33975,0.00546,0.01625,8.45405,17.36622
"10","2013_Q3",22.9021875,"Up",172071000,-155380000,16691000,-12185000,-11532000,-580000,4506000,40999.9999999998,-1217000,1258000,4547000,4433000,-2216000,2217000,2217000,2426000,2426000,15246000,15246000,88618000,88618000,107101000,13515000,1047000,7714000,224480000,119129000,21129000,10898000,236470000,460950000,51203000,38623000,158000,7263000,58466000,99419000,6093000,1055000,5038000,105512000,163978000,37782000,257483000,415000,295680000,296972000,460950000,2217000,6480000,1876000,9785000,20358000,-1761000,-1634000,-3395000,-14566000,262000,-14304000,2659000,2659000,-5000.00000000003,2654000,10986000,106682000,21226000,0.097,0.02619,0.0141,0.00817,0.00526,8.74938,3.8395,0.55217,0.23144,0.1207,0.11746,8.56117,14.71118,1.05607,0.00592,0.0518,8.32296,20.29206
