"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.71301587301587,"Down",64605000,-45785000,18820000,-16128000,-15182000,-946000,2692000,-718000,-718000,1974000,1974000,-616000,1358000,1358000,1358000,1358000,1220000,1220000,76046000,76046000,13054000,6567000,90320000,3013000,72753000,59481000,75766000,166086000,33070000,4486000,28584000,39279000,44819000,84098000,80684000,1304000,81988000,81988000,166086000,1358000,946000,808000,-1515000,1597000,-91000,-91000,-91000,-109000,-2e+05,-695000,-695000,702000,702000,702000,3638000,48587000,2648000,0.29131,0.04167,0.02102,0.01656,0.00818,1.94993,2.29945,1.02574,0.29254,0.50166,0.50166,23.8659,30.2874,0.9782,0.0104,0.02028,13.02007,17.59547
"2","2010_Q3",4.950625,"Down",67165000,-47429000,19736000,-16464000,-15513000,-951000,3272000,-750000,-750000,2522000,2522000,-868000,1654000,1654000,1654000,1654000,935000,935000,76647000,76647000,15284000,8872000,92866000,3053000,72079000,59613000,75132000,167998000,32324000,5411000,26913000,39471000,44819000,84290000,80750000,2958000,83708000,83708000,167998000,1654000,951000,1153000,-4560000,-802000,-255000,-255000,-255000,-240000,-495000,1012000,1012000,-285000,-285000,-285000,4223000,49556000,276000,0.29384,0.04872,0.02463,0.01976,0.00985,0.166870000000001,2.35277,1.00695,0.29498,0.15752,0.15752,6.39667,7.97219,0.0262900000000001,0.01241,0.00207,11.51338,14.85972
"3","2010_Q4",3.86125,"Down",69842000,-49710000,20132000,-17335000,-16277000,-1058000,2797000,-855000,-855000,1942000,1942000,-463000,1479000,1479000,1479000,1479000,612000,612000,75712000,75712000,15271000,8719000,91595000,3151000,78953000,63702000,82104000,173699000,33471000,4600000,28871000,41948000,45255000,87203000,82059000,4437000,86496000,86496000,173699000,1479000,1058000,1321000,421000,4279000,-178000,-178000,-178000,-5238000,-5416000,814000,814000,-323000,-323000,-323000,3855000,50521000,4561000,0.28825,0.04005,0.02118,0.0171,0.00851,3.08384,2.18354,1.00817,0.29085,0.13844,0.13844,6.53768,8.0966,0.42694,0.01071,0.03302,12.94656,17.84376
"4","2011_Q1",4.71338709677419,"Up",28487000,-27452000,1035000,-523000,-70000,-453000,512000,-681000,-681000,-169000,-169000,45000,-124000,1537000,1537000,1537000,816000,816000,70954000,70954000,14028000,7704000,85798000,2923000,78203000,63930000,81126000,166924000,29833000,3304000,26529000,37132000,41701000,78833000,82117000,5974000,88091000,88091000,166924000,1537000,1091000,1837000,1164000,5629000,-88000,-88000,-88000,-1000,-89000,-5336000,-5336000,204000,204000,204000,1603000,45185000,2634000,0.03633,0.01797,0.05395,0.01745,0.00921,1.71373,2.31062,0.8949,0.27069,0.1432,0.1431,2.65415,8.20749,0.24541,0.01139,0.01952,27.67873,86.6582
"5","2011_Q2",5.59666666666667,"Up",66842000,-47788000,19054000,-17048000,-16119000,-929000,2006000,-713000,-713000,1293000,1293000,-440000,853000,853000,853000,853000,1255000,1255000,64845000,64845000,13275000,6937000,79375000,2724000,77440000,63891000,80164000,159539000,32145000,3524000,28621000,40211000,30336000,70547000,82165000,6827000,88992000,88992000,159539000,853000,929000,1126000,8543000,11451000,-42000,-42000,-42000,1174015.7329974,-42000,-10970000,-10970000,439000,439000,439000,2935000,34234000,11876000,0.28506,0.03001,0.01276,0.00959,0.00535,13.92263,1.97396,0.79273,0.21458,0.07938,0.07932,6.22017,8.28141,1.10516,0.00683,0.09508,11.23646,16.44018
"6","2011_Q3",5.053125,"Down",68252000,-48142000,20110000,-17420000,-16493000,-927000,2690000,-668000,-668000,2022000,2022000,-689000,1333000,1333000,1333000,1333000,24105000,24105000,51285000,51285000,15428000,9090000,90818000,2576000,76656000,63851000,79232000,170050000,36711000,5246000,31465000,45039000,34589000,79628000,82262000,8160000,90422000,90422000,170050000,1333000,927000,1239000,14148000,17647000,-90000,-90000,-90000,-500000.000000002,-590000,5793000,5793000,22850000,22850000,22850000,3617000,40027000,18364000,0.29464,0.03941,0.01953,0.01474,0.00784,13.77644,2.01643,0.88063,0.23538,0.12405,0.12377,6.35139,8.41448,1.70891,0.01017,0.14017,4.40199,5.91896000000001
"7","2011_Q4",3.75888888888889,"Down",69384000,-48373000,21011000,-17882000,-16955000,-927000,3129000,-548000,-548000,2581000,-13408000,6745000,-6663000,-6663000,-6663000,-6663000,1297000,1297000,69918000,69918000,17091000,10753000,88306000,2482000,65553000,50735000,68035000,156341000,37902000,4661000,33241000,46470000,28402000,74872000,82358000,-889000,81469000,81469000,156341000,-6663000,927000,8558000,-20105000,-17283000,-145000,-145000,-145000,0,-145000,-5380000,-5380000,-22808000,-22808000,-22808000,4056000,34652000,-22939000,0.30282,0.0451,-0.09603,-0.08179,-0.04262,3.44274,1.90028,0.91902,0.22164,-0.62004,-0.6219,6.45673,7.58133,-2.13465,-0.05738,-0.19754,8.22362,10.65996
"8","2012_Q1",3.89612903225806,"Up",25627000,-24329000,1298000,3325000,3709000,-384000,4623000,1668000,1668000,6291000,22749000,-9860000,12889000,2496000,2496000,2496000,2020000,2020000,72368000,72368000,14712000,8137000,89100000,2251000,63341000,50695000,65592000,154692000,34579000,5266000,29313000,43293000,24958000,68251000,82448000,3993000,86441000,86441000,154692000,2496000,771000,4807000,-3941999.99999999,4132000,-274000,-274000,-274000,1.16415321826935e-10,-274000,-3135000,-3135000,723000,723000,723000,5394000,31527000,11038000,0.05065,0.1804,0.0974,0.02888,0.01614,4.42228,2.05807,0.78957,0.2038,0.23175,0.23175,2.37948,8.02609,1.02488,0.02116,0.09357,5.47034,6.38265
"9","2012_Q2",4.45793650793651,"Up",58889000,-43865000,15024000,-12201000,-11570000,-631000,2823000,-404000,-404000,2419000,2914000,-1168000,1746000,629000,629000,629000,1319000,1319000,73836000,73836000,13842000,7506000,88997000,2563000,62825000,50655000,65388000,154385000,33130000,3720000,29410000,40498000,26750000,67248000,82515000,4622000,87137000,87137000,154385000,629000,634000,479000,-3025000,-1283000,-288000,-288000,-288000,495000,207000,375000,375000,-701000,-701000,-701000,3457000,31902000,1312000,0.25512,0.04794,0.01068,0.00722,0.00407,2.08585,2.19757,0.77175,0.20664,0.05848,0.05846,5.47499,8.10125,0.12198,0.00528,0.01102,8.84669,10.83351
"10","2012_Q3",4.78746031746032,"Up",60440000,-44633000,15807000,-12590000,-11959000,-631000,3217000,-426000,-426000,2791000,2791000,-956000,1835000,1464000,1464000,1464000,1493000,1493000,69141000,69141000,14754000,8418000,85388000,2813000,62309000,50615000,65122000,150510000,34215000,4929000,29286000,39836000,2.2e+07,61836000,82588000,6086000,88674000,88674000,150510000,1464000,635000,1075000,3841000,7015000,-466000,-466000,-466000,-1.16415321826935e-10,-466000,-6375000,-6375000,174000,174000,174000,3852000,25527000,8183000,0.26153,0.05323,0.02422,0.01651,0.00973,5.58948,2.14349,0.69734,0.1696,0.13598,0.13553,5.61397,8.23649,0.76008,0.01282,0.07165,6.23936,7.47094
"11","2012_Q4",6.24322580645161,"Up",61211000,-45528000,15683000,-11816000,-11181000,-635000,3867000,-407000,-407000,3460000,3460000,-1256000,2204000,1797000,1797000,1797000,1713000,1713000,71400000,71400000,14938000,8602000,88051000,2852000,61799000,50576000,64651000,152702000,37670000,4589000,33081000,41592000,20500000,62092000,82727000,7883000,90610000,90610000,152702000,1797000,639000,587000,581000,3604000,-259000,-259000,-259000,0,-259000,-3125000,-3125000,220000,220000,220000,4506000,22402000,6084000,0.25621,0.06317,0.02936,0.01983,0.01177,3.38564,2.11702,0.68527,0.1467,0.16699,0.16747,5.68823,8.42022,0.56537,0.0159,0.05383,4.59143,5.35014
"12","2013_Q1",9.09616666666667,"Up",63775000,-46238000,17537000,-12276000,-11652000,-624000,5261000,-331000,-331000,4930000,4930000,-1427000,3503000,3745000,3745000,3745000,1737000,1737000,71303000,71303000,14796000,7293000,87836000,2489000,59532000,50536000,62021000,149857000,36834000,4117000,32717000,39190000,16250000,55440000,82789000,11628000,94417000,94417000,149857000,3745000,636000,1636000,52000,6069000,-101000,-101000,-101000,-9.31322574615479e-10,-101000.000000001,-5944000,-5944000,23999.9999999995,23999.9999999995,23999.9999999995,5897000,16458000,7275000,0.27498,0.08249,0.05872,0.03966,0.02499,1.94259,2.24129,0.58718,0.10982,0.34763,0.34535,5.91989,8.76423,0.6753,0.03378,0.06561,2.49635,2.79814
"13","2013_Q2",15.39421875,"Up",62998000,-47200000,15798000,-12056000,-11510000,-546000,3742000,-208000,-208000,3534000,3534000,-847000,2687000,13261000,13261000,13261000,17784000,17784000,60640000,60640000,12773000,5515000,91197000,2476000,56777000,50496000,60153000,151350000,40453000,4818000,35635000,40470000,3097000,43567000,82894000,24889000,107783000,107783000,151350000,13261000,546000,-12448000,11666000,13025000,-179000,-179000,-179000,19659000,19480000,-16458000,-16458000,16047000,16047000,16047000,4288000,0,16622000,0.25077,0.0594,0.2105,0.12303,0.08762,1.25345,2.25345,0.40421,0,1.23038,1.22278,5.84505,10.00028,1.54222,0.1196,0.14991,-4.14739,-4.75254
"14","2013_Q3",22.4334375,"Up",65755000,-49142000,16613000,-12633000,-12092000,-541000,3980000,-142000,-142000,3838000,3838000,-1256000,2582000,2432000,2432000,2432000,38777000,38777000,43605000,43605000,13012000,5754000,95394000,2502000,56359000,50456000,59761000,155155000,41780000,5415000,36365000,41790000,3097000,44887000,82947000,27321000,110268000,110268000,155155000,2432000,541000,556000,17692000,21221000,-228000,-228000,-228000,3.72529029846191e-09,-228000,0,0,20993000,20993000,20993000,4521000,0,23241000,0.25265,0.06053,0.03699,0.02206,0.01567,9.55633,2.2827,0.40707,0,0.2256,0.22119,6.09972,10.22894,2.15594,0.02145,0.20501,-8.57708,-9.74296
"15","2013_Q4",26.78609375,"Up",67306000,-50080000,17226000,-12963000,-12424000,-539000,4263000,24000,24000,4287000,4287000,-1517000,2770000,2567000,2567000,2567000,29464000,29464000,54516000,54516000,13425000,6167000,97405000,2471000,55941000,50416000,59312000,156717000,40780000,4379000,36401000,40799000,3097000,43896000,82933000,29888000,112821000,112821000,156717000,2567000,540000,1071000,-13321000,-9143000,-170000,-170000,-170000,0,-170000,0,0,-9313000,-9313000,-9313000,4803000,0,-7171000,0.25594,0.06334,0.03814,0.02275,0.01638,-2.79353,2.38744,0.38908,0,0.23788,0.22965,6.23723,10.4551,-0.66454,0.02214,-0.06186,-6.1345,-6.91156
"16","2014_Q1",24.926393442623,"Down",69882000,-51780000,18102000,-14626000,-14092000,-534000,3476000,-160000,-160000,3316000,3316000,-192000,3124000,885000.000000001,885000.000000001,885000.000000001,15565000,15565000,61354000,61354000,14561000,6235000,91480000,2634000,68920000,60026000,72454000,163934000,45537000,4633000,40904000,45537000,4541000,50078000,83083000,30773000,113856000,113856000,163934000,885000.000000001,533000,3938000,-3066000,2290000,-310000,-310000,-310000,-15879000,-16189000,-4.65661287307739e-10,0,-13899000,-13899000,-13899000,4009000,0,824999.999999996,0.25904,0.04974,0.01266,0.00777,0.0054,0.9322,2.00892,0.43984,0,0.08079,0.07844,6.37901,10.39306,0.0753100000000001,0.00747,0.00697,-3.88251,-4.47785
"17","2014_Q2",22.4515873015873,"Down",71683000,-53015000,18668000,-14898000,-14403000,-495000,3770000,-154000,-154000,3616000,3616000,-1262000,2354000,2354000,2354000,2354000,16965000,16965000,59042000,59042000,13121000,4795000,89128000,3897000,68617000,59986000,73414000,162542000,42549000,3715000,38834000,42554000,3441000,45995000,83420000,33127000,116547000,116547000,162542000,2354000,495000,1332000,-1511000,2670000,-1484000,-1484000,-1484000,-17637254.0712027,-1484000,2306910.76554368,214000,1400000,1400000,1400000,4265000,0,2532000,0.26042,0.05259,0.03284,0.0202,0.01448,1.07562,2.09447,0.39465,0,0.21696,0.21188,6.60673,10.74166,0.23336,0.01962,0.0211,-3.97773,-4.5
"18","2014_Q3",21.635,"Down",76965000,-56385000,20580000,-16482000,-15399000,-1083000,4098000,-151000,-151000,3947000,3947000,-1218000,2729000,2729000,2729000,2729000,19541000,19541000,48725000,48725000,12881000,4555000,81147000,6958000,76130000,64324000,83988000,165135000,42207000,4769000,37438000,42210000,3441000,45651000,83628000,35856000,119484000,119484000,165135000,2729000,1083000,812000,7709000,12333000,-2474000,-2474000,-2474000,-7283000,-9757000,3858951.9144837,0,2576000,2576000,2576000,5181000,0,11634000,0.26739,0.05324,0.03546,0.02284,0.01653,4.2631,1.92246,0.38207,-8.67361737988404e-19,0.25023,0.24515,7.05712,10.9558,1.06675,0.0222,0.09464,-3.77167,-4.76842
"19","2014_Q4",21.105625,"Down",81658000,-59818000,21840000,-16880000,-15774000,-1106000,4960000,-179000,-179000,4781000,4781000,-1544000,3237000,3237000,3237000,3237000,14124000,14124000,62121000,62121000,15263000,6937000,91508000,7646000,75293000,64237000,83839000,175347000,45047000,3613000,41434000,46028000,6367000,52395000,83859000,39093000,122952000,122952000,175347000,3237000,1106000,1369000,-13125000,-7413000,-818000,-818000,-818000,47000,-771000,2767000,2767000,-5417000,-5417000,-5417000,6066000,3904000,-6333000,0.26746,0.06074,0.03964,0.02633,0.01846,-1.95644,1.98809,0.42614,0.02226,0.28904,0.29099,7.29154,10.97884,-0.5655,0.02484,-0.0486,-1.6848,-2.06048
"20","2015_Q1",22.3206557377049,"Up",82636000,-59989000,22647000,-17404000,-16258000,-1146000,5243000,-196000,-196000,5047000,5047000,-1404000,3643000,3923000,3923000,3923000,13363000,13363000,68333000,68333000,15676000,7168000,97372000,7695000,74836000,64220000,83431000,180803000,41219000,3951000,37268000,43205000,9642000,52847000,84940000,43016000,127956000,127956000,180803000,3923000,1146000,2507000,-8138000,-562000.000000002,-498000,-498000,-498000,14000.0000000005,-484000,-531000,285000,-761000,-761000,-761000,6389000,3663000,-843000,0.27406,0.06345,0.04747,0.03066,0.0217,-0.214890000000001,2.25372,0.41301,0.02026,0.36853,0.35374,7.76289,12.02029,-0.07919,0.02831,-0.00608000000000003,-1.51823,-1.85009
"21","2015_Q2",27.3919047619048,"Up",81915000,-59989000,21926000,-18299000,-17153000,-1146000,3627000,-173000,-173000,3454000,3454000,-1292000,2162000,2162000,2162000,2162000,7396000,7396000,74370000,74370000,14666000,6158000,96432000,8075000,77883000,66088000,86858000,183290000,41290000,2995000,38295000,43283000,9390000,52673000,85439000,45178000,130617000,130617000,183290000,2162000,1146000,1121000,-5333000,-904000,-731000,-731000,-731000,-4250000,-4981000,-245000,-82000,-5967000,-5967000,-5967000,4773000,3418000,1000,0.26767,0.04428,0.02639,0.01655,0.0118,0.00046,2.22794,0.40326,0.01865,0.1975,0.19369,7.48287,11.93176,9e-05,0.01533,1e-05,-0.83344,-1.09677
"22","2015_Q3",29.28078125,"Up",85809000,-62127000,23682000,-18584000,-17423000,-1161000,5098000,-169000,-169000,4929000,4929000,-1676000,3253000,3253000,3253000,3253000,42024000,42024000,47063000,47063000,12757000,4249000,101844000,8062000,77209000,66002000,86171000,188015000,43093000,3507000,39586000,45104000,8485000,53589000,85995000,48431000,134426000,134426000,188015000,3253000,1161000,1683000,29851000,35948000,-29999.9999999998,-30000,-30000,-146000,-176000,-286000,-1144000,34628000,34628000,34628000,6259000,3531000,37756000,0.27599,0.05941,0.03791,0.0242,0.0173,11.60652,2.25798,0.39865,0.01878,0.29592,0.29008,7.80579,12.22833,3.43455,0.02259,0.26219,-6.15002,-7.55061
