"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",8.06650793650794,"Up",7919288,-4967455,2951833,-2850313,-2500517,101520,-71783,-76697,-77669,4914,29737,29737,17012,17012,17012,17012,-654135.517349499,-654135.517349499,-5732918.99522033,-5732918.99522033,889121.106993987,2937490.81853551,2681121.85059934,-59814.9079108398,-2560442.58704033,2644413.47018774,592849.00258914,402848.542831757,413009.048608853,3237262.47277688,676819.885736551,3596013.36494534,5031542.32825861,-1435528.96331327,-24737500.2414559,181422.308939602,181422.308939602,-20960064.567571,2731043.78213633,2606494.09850822,-10.669448202578,5337537.88064456,-15622526.6869264,13097305.4608911,3202040.74161767,16299346.572663,16299346.572663,676819.885736551,17012,104642,140952,-93876,168730,-88514,-88514,-174974,-274974,-194758,-194758,-194758,206162,0,0.37274,0.01282,0.00215,1.24594397834449,0.522327944191116,6.62158496777563,-4.55079652563255,-1.10579301725685,0.00632,0.00632,2.94336,276.820465334699,0.655150508086605,-1864.41896577023,8034.98148814874
"2","2011_Q3",6.349375,"Down",8199347,-5029906,3169441,-2990797,-2634278,178644,-65604,-72616,-75798,7012,113040,113040,67839,67839,67839,67839,-19506.7586747494,-19506.7586747494,-505369.497610165,-505369.497610165,3534531.05349699,1611060.40926775,1258755.92529967,-28948.4539554199,4620715.20647983,3269154.73509387,661925.00129457,391679.271415878,355859.024304426,3931079.73638844,8551794.94286828,2948744.18247267,3346577.16412931,-397832.981656637,-9303704.12072797,183333.654469801,183333.654469801,-6171626.2837855,2499004.89106817,1167168.54925411,-5.33472410128898,3666173.44032228,-2505452.84346322,10101628.2304456,955619.370808834,11057247.7863315,11057247.7863315,8551794.94286828,67839,111697,111251,205478,496265,-109520,-109520,-383921,-383921,2824,2824,2824,290341,0,0.38655,0.02179,0.00827,0.554851989172245,0.232988972095558,3.96593748388781,-1.37848826281628,-0.291566508628427,0.02524,0.02523,3.05043,119.53340266735,0.292185254043303,-861.700237885117,3574.66455907437
"3","2011_Q4",3.58285714285714,"Down",8383842,-5159450,3224392,-2979311,-2640053,245081,-50243,-60229,-70964,9986,194838,194838,117261,117261,117261,117261,295793.747108417,295793.747108417,2422891.83412995,2422891.83412995,5008512.35116566,942080.136422585,521958.975099889,-4055.1513184733,8669278.06882661,3598630.24503129,676413.66709819,380514.09047196,315807.008101475,4275043.91212948,12944321.9809561,2711554.72749089,2452144.3880431,259410.339447788,-706162.040242657,184607.884823267,184607.884823267,2190000.5720715,2342307.29702272,390592.849751371,-1.77824136709633,2732900.14677409,4922900.71884559,8307681.07681519,-286259.876397056,8021421.2621105,8021421.2621105,12944321.9809561,117261,116886,117596,-85929,265814,-71760,-71760,163212,-137674,56380,56380,56380,361967,0,0.3846,0.02923,0.01399,0.170993996390748,0.0721163240318526,2.45371249462927,0.429927245727908,0.160317830457191,0.04369,0.04357,3.12373,34.8434142224499,0.0903950846811008,-266.332972628372,1084.42803969146
"4","2012_Q1",4.05290322580645,"Up",8190382,-5051224,3139158,-2994754,-2656615,144404,-63155,-68467,-69973,5312,81249,81249,68776,68776,68776,68776,384904,384904,3672128,3672128,5647815,727964,266439,14164,10432811,3722749,663621,369352,294269,4386370,14819181,2742763,2127163,615600,2952072,185245,185245,5880080,2238417,85525,0,2323942,8204022,7417244,-802085,6615159,6615159,14819181,68776,120707,92921,479846,762250,-261707,-346397,-168933,-279151,136702,136702,136702,265111,5190489,0.38327,0.01763,0.0084,0.0104,0.00464,1.77426,1.24019,0.35025,0.02642,0.02624,3.14573,2.54072,0.00578,18.12669,33.27875
"5","2012_Q2",3.14,"Down",7996802,-4994704,3002098,-3051214,-2694867,-49116,-56812,-62321,-63236,5509,-105928,-105928,-68259,-68259,-68259,-68259,340962,340962,3862602,3862602,5789189,766126,287904,25008,10758879,3731420,650853,358192,292661,4382273,15141152,2900687,2150552,750135,3567944,185245,185245,6653876,2164800,60723,0,2225523,8879399,7132097,-870344,6261753,6261753,15141152,-68259,110301,35592,-261625,-183991,-107812,-100798,517069,240847,-43942,-43942,-43942,61185,5732744,0.37541,-0.00614,-0.00854,-0.0109,-0.00451,1.61693,1.41804,0.37862,-0.02633,-0.02633,3.08486,2.41554,-0.00566,88.12261,-109.77649
"6","2012_Q3",2.62825396825397,"Down",8275430,-5062472,3212958,-3099262,-2686401,113696,-41518,-51755,-66355,10237,72178,72178,46333,46333,46333,46333,254460,254460,3687238,3687238,5833425,832693,351798,27482,10607816,3769532,636670,347033,289637,4406202,15014018,2985854,2245149,740705,3324370,185245,185245,6495469,2098433,95962,0,2194395,8689864,7148165,-824011,6324154,6324154,15014018,46333,112062,98913,112161,369469,101035.751831568,-115214,-340757,-340757,-86502,-86502,-86502,225758,5422803,0.38825,0.01374,0.0056,0.00733,0.00309,1.63311,1.37408,0.36118,0.09055,0.09027,16.17222,12.35895,0.00391,22.89329,45.45756
"7","2012_Q4",3.96435483870968,"Up",7653586,-4808629,2844957,-3029778,-2667866,-184821,-60619,-64970,-65068,4351,-245440,-245440,-117563,-117563,-117563,-117563,218536,218536,3766299,3766299,6117273,725079,253829,20885,10827187,3926994,648378,335874,286613,4575372,15402559,2856582,2189873,666709,4118296,185245,185245,7160123,2016782,0,-4.44089209850063e-16,2016782,9176905,7167228,-941574,6225654,6225654,15402559,-117563,111883,-51814,-460291,-517785,202372.998423659,-230414,692120,712275,-35924,-35924,-35924,-72938,6135078,0.37172,-0.02415,-0.01536,-0.01888,-0.00763,1.51215,1.47405,0.39832,-0.22965,-0.22965,14.95049,12.16117,-0.00951,-81.11741,-32.01228
"8","2013_Q1",15.0265,"Up",7738363,-4855143,2883220,-2736612,-2457326,146608,-57659,-66764,-67334,9105,88949,88949,115954,115954,115954,115954,278263,278263,3667086,3667086,6098597,610212,226596,11718,10654158,3677898,938874,324715,482719,4616772,15270930,3014648,2413201,601447,3892652,181000,181000,7088300,1916315,0,0,1916315,9004615,7091935,-825620,6266315,6266315,15270930,115954,114765,54702,54927,340348,145490,145490,-326111,-426111,59727,59727,59727,261373,5808967,0.37259,0.01895,0.01498,0.0185,0.00759,1.50306,1.43699,0.38039,0.22628,0.22628,15.101,12.22837,0.0096,21.1602,37.72444
"9","2013_Q2",13.21484375,"Down",7206025,-4495177,2710848,-2725372,-2459104,-14524,-59085,-66438,-66767,7353,-73609,-73609,-51145,-51145,-51145,-51145,285639,285639,3704913,3704913,6090591,633654,235890,9097,10714797,3594333,928909,313555,481769,4523242,15238039,2929219,2351542,577677,4073493,181000,181000,7183712,1814345,0,7.105427357601e-15,1814345,8998057,7116747,-876765,6239982,6239982,15238039,-51145,120327,77348,-220194,-73664,-25602,2169,78871,78871,7376,7376,7376,105803,5887838,0.37619,-0.00202,-0.0071,-0.0082,-0.00336,1.49154,1.442,0.38639,-0.10077,-0.10077,14.19778,12.29442,-0.00422,52.94934,-385.72012
"10","2013_Q3",15.23953125,"Up",7998320,-4899405,3098915,-2839660,-2565282,259255,-59111,-65996,-66114,6885,200144,200144,140984,140984,140984,140984,405189,405189,3764702,3764702,6092707,779139,380595,7294,11041737,3486108,839962,302396,465724,4326070,15367807,2991979,2245329,746650,4107252,165727,165727,7264958,1698648,0,0,1698648,8963606,7139982,-735781,6404201,6404201,15367807,140984,136080,154747,-233270,198541,-33335,-33335,-45656.0000000001,-45655.9999999999,119550,119550,119550,395335,5805900,0.38745,0.03241,0.01763,0.02201,0.00917,1.51986,1.39964,0.3778,0.27778,0.27772,15.75876,12.61794,0.01155,13.6611,20.83166
