"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio"
"1","2010_Q2",12.684126984127,"Down",243686000,-178915000,64771000,-50796000,-18584000,-29738000,13975000,-9009000,-9022000,13000,4966000,4966000,-1653000,3313000,4717000,4717000,4717000,117485000,117485000,96839000,191175000,117759000,405499000,722646000,10274000,677542000,106778000,537234000,1410462000,1815961000,122767000,93954000,28813000,111415000,31083000,265265000,436078000,432791000,134380000,209930000,88481000,868869000,1134134000,428567000,237223000,-683000,681827000,681827000,1815961000,3313000,18584000,6757000,-49809000,-22740000,-17687000,-18058000,-10938000,44572000,36599000,-4199000,-4199000,-5041000,32559000,547493000,-33284000,0.2658,0.05735,0.01936,0.00692,0.0026,-7.05618,1.52866,1.66338,0.30149,0.13205,0.13125,6.82201,18.65387,-0.93179,0.30621,0.00942,-0.02003,2.31885
"2","2010_Q3",12.11265625,"Down",251314000,-193177000,58137000,-53595000,-18655000,-34940000,4542000,-8846000,-9398000,552000,-4304000,-24044000,7769000,-16275000,-16275000,-16275000,-16275000,116609000,116609000,94089000,120234000,87458000,330932000,718689000,9738000,685880000,94306000,563817000,1414307000,1745239000,122908000,94710000,28198000,68321000,26836000,218065000,435898000,434871000,136032000,209321000,89518000,870769000,1088834000,429593000,212036000,-1263000,656405000,656405000,1745239000,-6627000,18645000,19694000,48785000,81660000,-18919000,-20316000,-10874000,-44908000,-52211999.9999999,9132000,9132000,10110000,23187000,504219000,45284000,0.23133,0.0180699999999999,-0.06476,-0.02479,-0.00933,-2.78243,1.51758,1.65878,0.28891,-0.45462,-0.45742,7.02009,17.90276,1.26494,0.30375,-0.00339,0.02838,-0.668140000000001
"3","2010_Q4",13.36421875,"Up",259746000,-193965000,65781000,-53744000,-19175000,-32298000,12037000,-8583000,-9287000,704000,3454000,3454000,607000,4061000,6101000,6101000,6101000,143918000,143918000,88404000,111731000,68755000,344053000,714996000,9825000,691828000,94306000,570078000,1416649000,1760702000,121934000,88543000,33391000,94588000,29652000,246174000,435572000,426184000,117339000,219301000,89544000,861756000,1107930000,430107000,207261000,-620000,652772000,652772000,1760702000,-5440000,19175000,-9652000,-6520000,1955000,-22067000,-23453000,-11012000,25954000,12338000,-9160000,-9160000,-10110000,31212000,530160000,2018000,0.25325,0.04634,0.02349,0.00935,0.00347,0.33077,1.3976,1.69727,0.30111,0.17039,0.17039,7.25417,17.79769,0.05636,0.30754,0.01064,0.00125,1.80495
"4","2011_Q1",14.2893548387097,"Up",-36849000,26486000,-10363000,44409000,-1233000,40897000,34046000,-8651000,-9141000,490000,25395000,45135000,-9954000,35181000,4113000,4113000,4113000,155710261.095345,155710261.095345,82658139.9507582,132472832.51243,90925811.9430842,371428625.102101,724211537.142686,9001643.32862594,702273598.206335,82559298.4825484,531022290.261326,1435486778.67765,1806915403.77975,125821000,102537000,23284000,79714000,79445000,284980000,433676000,404011000,115910000,200381000,87720000,837687000,1122667000,431933000,198443000,1487000,647888000,647888000,1770555000,35034000,1243000,-11458000,24210000,44142000,1236000,-16072000,-10874000,-14005000,-27709000,361000,-2134000,-1886000,35289000,5.96046447753906e-08,70689000,0.28123,-0.92393,-0.11162,0.0113532448285518,0.00410853332880021,17.18673,1.18585210518295,1.79531667928621,0.316536328771283,0.11486,0.11486,-1.02907,17.6121203914854,1.97411,0.30368,0.0112528494578486,-0.0134431888976635,2.64381
"5","2011_Q2",14.1268253968254,"Down",249148000,-201001000,48147000,-32591000,-17106000,-15485000,15556000,-9105000,-9476000,371000,6451000,6451000,-1238000,5213000,5696000,5696000,5696000,152509000,152509000,81141000,137310000,107707000,371146000,731760000,9794000,684281000,69742000,508216000,1425835000,1796981000,137355000,109834000,27521000,117659000,50236000,305250000,436064000,413827000,117497000,207517000,88813000,849891000,1155141000,431519000,193244000,1052000,641840000,641840000,1796981000,5213000,17106000,4046000,-23230000,6961000,-20338000,-23458000,-11041000,38230000,17224000,727000,1872000,1584000,32662000,553723000,-9668000,0.19325,0.06244,0.02286,0.00887000000000001,0.00316999999999999,-1.69733,1.21588,1.79973,0.30814,0.15877,0.15787,6.94453,17.45805,-0.26948,0.30775,0.0104,-0.00601,1.93838
"6","2011_Q3",13.33390625,"Down",283298000,-232902000,50396000,-36983000,-17552000,-19431000,13413000,-8373000,-9138000,765000,5040000,5040000,85000,5125000,18828000,18828000,18828000,148252000,148252000,86235000,110156000,86242000,344643000,726400000,12872000,624232000,69742000,536021000,1363504000,1708147000,158627000,121020000,37607000,33702000,21220000,213549000,433715000,415632000,118657000,207686000,89289000,849347000,1062896000,431836000,200839000,-2924000,645251000,645251000,1708147000,5125000,17552000,1651000,1619000,33776000,-18206000,56711000,-10911000,-83855000,-90890000,-403000,-1548000,-1584000,30965000,467417000,14293000,0.17789,0.0473499999999997,0.06646,0.02918,0.01102,0.759139999999998,1.61388,1.64726,0.27364,0.52408,0.52015,7.88557,17.52905,0.39784,0.30371,0.01946,0.00935,0.57951
"7","2011_Q4",13.4820634920635,"Up",282373000,-225048000,57325000,-39319000,-17604000,-21715000,18006000,-8288000,-8696000,408000,9718000,9718000,-2382000,7336000,6368000,6368000,6368000,152761000,152761000,91114000,121148000,94185000,371627000,729197000,11564000,599596000,69742000,514065000,1340357000,1711984000,147016000,113966000,33050000,42361000,26501000,215878000,433454000,421207000,119903000,211881000,89423000,854661000,1070539000,432529000,196295000,-2879000,641445000,641445000,1711984000,7336000,17604000,4877000,3636000,39635000,-20028000,-31500000,-11059000,5272000,-1531000,6604000,7525000,7525000,35610000,475815000,21600000,0.20301,0.06377,0.02255,0.00993,0.00372,3.39196,1.72147,1.66895,0.27793,0.17722,0.17604,7.85832,17.41978,0.60112,0.30777,0.01133,0.01404,1.73665
"8","2012_Q1",14.6866129032258,"Up",25350000,8970000,34320000,-8928000,-6073000,-2855000,25392000,-7100000,-8319000,1219000,18292000,17822000,-586000,17236000,4018000,4018000,4018000,148776819.916142,148776819.916142,89028261.7904331,124297439.940252,103505719.654557,366787401.999732,736833644.972313,11556869.3945968,593752514.086874,54480477.0865451,518653622.806577,1342143028.45378,1708930430.45352,101859000,80457000,21402000,165000,90332000,192356000,471915000,449303000,155081000,206494000,87728000,921218000,1113574000,433632000,141248000,-3432000,586948000,586948000,1700522000,17236000,6073000,5983000,1851000,24011000,-6865000,-3598000,-10912000,407000.000000015,-13038000,7375000,8469000,8469000,31465000,-5.96046447753906e-08,27037000,1.35385,1.00166,0.1585,0.0174024564778234,0.0059066546476928,6.72897,1.90321884812147,1.76720672752758,0.280643215152762,0.11176,0.11403,0.70509,16.7456690416079,0.75202,0.30351,0.0138712049863203,0.00732918267036052,2.71578
"9","2012_Q2",14.817619047619,"Up",219890000,-169891000,49999000,-31312000,-14793000,-16519000,18687000,-7612000,-8594000,982000,11075000,10643000,-468000,10175000,7243000,7243000,7059000,139350000,139350000,82959000,128294000,115430000,350603000,771771000,11337000,545407000,39406000,490963000,1328515000,1679118000,143639000,121518000,22121000,6311000,36872000,186822000,471878000,436854000,146732000,193909000,96213000,908732000,1095554000,433806000,137566000,-3308000,583564000,583564000,1679118000,10175000,14793000,-15546000,-412000,7851000,-34277000,-12615000,-11037000,3267000,-9215000,-13979000,-15994000,-15994000,33480000,478189000,-741000,0.22738,0.08498,0.0321,0.0121,0.0042,-0.10497,1.87667,1.87735,0.28479,0.19611,0.19538,6.10887,15.78167,-0.02059,0.30662,0.01208,-0.000490000000000001,1.56354
"10","2012_Q3",16.1004761904762,"Up",211401000,-165616000,45785000,-30539000,-14890000,-15649000,15246000,-7828000,-8472000,644000,7418000,7418000,-972000,6446000,-17356000,-17356000,-17356000,134235000,134235000,77368000,132602000,119761000,344205000,832738000,9056000,448401000,39119000,394489000,1290195000,1634400000,142984000,118954000,24030000,61444000,29007000,233435000,421829000,423678000,147976000,184943000,90759000,845507000,1078942000,433935000,109267000,-3244000,555458000,555458000,1634400000,6901000,14890000,12228000,2548000,37666000,-28489000,-32544000,-10943000,7830000,-5122000,-1.86264514923096e-09,0,3.72529029846191e-09,30136000,483273000,5167000,0.21658,0.07212,-0.0821,-0.03125,-0.01062,-0.297709999999999,1.47452,1.94244,0.29569,-0.48169,-0.47838,5.86712,14.98574,0.1434,0.30371,-0.00439,0.00353,-0.630499999999999
