"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",12.6659677419355,"Up",102807000,94906000,2595000,5306000,-29000,5335000,-69199000,-37251000,-3643000,-4005000,-4005000,1150000,-2855000,-2855000,-2855000,-2855000,602982000,105817000,42720000,17179000,42779000,221767000,1033244000,458161000,122538000,21681000,675285000,205730000,182809000,-5018000,357959000,357959000,1033244000,-2855000,2901000,51560000,-68246000,-16640000,18000,-70187000,-70169000,-5e+06,69616000,-17193000,-17193000,-17193000,-742000,72905000,-70120000,-0.03544,-0.02777,-0.00798,-0.00276,24.56042,1.88649,0.07056,-0.09746,-0.09784,3.5095,12.21957,-2.39367,-0.0014,-0.077,44.3558,9.03431
"12","2017_Q2",11.0777777777778,"Down",99293000,92176000,2502000,4615000,771000,3844000,-46647000,-40756000,11890000,9709000,9709000,-3726000,5983000,5983000,5983000,5983000,605838000,104735000,34580000,16944000,41215000,152092000,955404000,437222000,70291000,14020000,594573000,206934000,187009000,-3044000,360831000,360831000,955404000,5983000,2841000,55619000,-60457000,3986000,-148000,-1101000,-1249000.00000001,-4506000,-6289000.00000003,-3552000,-3552000,-3552000,14731000,73040000,-42148000,0.11975,0.06026,0.01658,0.00626,-7.04463,1.64779,0.07645,0.20769,0.20769,3.44687,12.52594,-1.46313,0.00877,-0.04762,-2.15159,-2.66569
"13","2017_Q3",10.6793650793651,"Down",96938000,90452000,2973000,3513000,-125000,3638000,-46046000,-37830000,13062000,10831000,10831000,-4189000,6642000,6642000,6642000,6642000,601191000,134176000,38960000,16547000,41792000,315969000,1148635000,435337000,260821000,13934000,783368000,208138000,191867000,-569000,365267000,365267000,1148635000,6642000,957000,-164510000,185900000,28989000,-2000,6280000,6278000,-4101000,-5885000,29382000,29382000,29382000,14019000,73276000,204106000,0.13475,0.06852,0.01818,0.00578,30.7296,2.14464,0.06379,0.23484,0.23484,3.42736,12.91445,7.21641,0.00949,0.2299,-4.3441,-4.66238
"14","2017_Q4",14.8392063492063,"Up",101774000,95208000,2735000,3831000,365000,3466000,-64035000,-36326000,1413000,-9221000,-9221000,525000,-8696000,-8696000,-8696000,-8696000,519880000,352321000,35326000,16198000,41888000,633371000,1598984000,803423000,251699000,53547000,1297303000,209340000,179948000,-422000,301681000,301681000,1598984000,-8696000,2106000,500513000,-429252000,64671000,-45000,79586000,79541000,-53017000,75405000,219617000,219617000,219617000,3519000,188634000,-426303000,0.01388,-0.08544,-0.02883,-0.00544,49.02288,4.30025,0.11797,-0.33597,-0.33597,3.93204,11.65545,-16.47022,-0.00406,-0.31642,-46.5152,-115.8436
"15","2018_Q1",15.3416393442623,"Up",108618000,101728000,3122000,3768000,-447000,4215000,-44754000,-40694000,23170000,-17211000,-17211000,12163000,-5048000,-5048000,-5048000,-5048000,567013000,153697000,67757000,18748000,41678000,922317000,1771210000,945417000,92035000,169537000,1391394000,294839000,175226000,-3064000,379816000,379816000,1771210000,-5048000,1838000,-102620000,15673000,-90157000,-190000,49297000,-91812000,418000,-15675000,-197644000,-197644000,-197644000,25008000,184405000,28328000,0.21332,-0.04647,-0.01329,-0.00285,-5.61173,3.66334,0.10411,-0.20842,-0.20842,4.48459,15.68172,1.1696,-0.00214,0.01687,1.22793,1.32533
"16","2018_Q2",14.82859375,"Down",112026000,106108000,3302000,2616000,-227000,2843000,-53091000,-34118000,24817000,19997000,19997000,-5168000,14829000,14829000,14829000,14829000,502913000,193641000,66734000,18417000,53862000,1030844000,1866411000,1000272000,119354000,172754000,1477518000,297115000,188611000,-7649000,388893000,388893000,1866411000,14829000,7041000,148455000,-182457000,-12132000,-83000,127328000,55747000,-1999000,-3668000.00000001,39947000,39947000,39947000,31858000,185138000,-145514000,0.22153,0.13237,0.03813,0.00795,-9.81280000000001,3.79929,0.09919,0.57639,0.55473,4.35432,15.11582,-5.65596,0.0094,-0.08329,-0.266900000000007,-0.34262999999998
"17","2018_Q3",14.2425396825397,"Down",117972000,111204000,2555000,4213000,-85000,4298000,-65989000,-43832000,8151000,3307000,3307000,-898000,2409000,2409000,2409000,2409000,524879000,218343000,68168000,18329000,69648000,1091532000,1990899000,973840000,334432000,119290000,1604819000,294186000,189427000,-8348000,386080000,386080000,1990899000,2409000,7e+06,-191674000,242729000,60464000,-284000,-96023000,-24809000,-1000,-14905000,20750000,20750000,20750000,15151000,177257000,258494000,0.06909,0.02042,0.00624,0.00121,107.30345,4.1567,0.08903,0.09398,0.09154,4.60255,15.0625,10.08487,0.00242,0.15605,-2.71177,-5.04061
"18","2018_Q4",13.4836507936508,"Down",125295000,118238000,3847000,3210000,4999.99999999988,3205000,-58695000,-52384000,14216000,8991000,8991000.00000001,-3002000,5989000,5989000,5989000,5989000,531250000,221524000,68621000,18480000,75702000,909750000,1825327000,905775000,272906000,77760000,1434771000,295503000,193821000,-9583000,390556000,390556000,1825327000,5989000,7367000,-42232999.9999999,40888000,12011000,-1058000,-10746000,-11804000,0,-1660000,-1453000,-1453000,-1453000,21583000,178330000,64414999.9999999,0.11346,0.0478,0.01533,0.00328,10.75555,3.67366,0.0977,0.23365,0.22993,4.88825,15.23712,2.51308,0.00489,0.04149,-2.0013,-3.03841
"19","2019_Q1",13.4462295081967,"Down",124878000,118632000,3576000,2670000,-2170000,4840000,-59650000,-42876000,22352000,6699000,6699000,-2771000,3928000,3928000,3928000,3928000,528593000,250117000,5.7e+07,17998000,73055000,841950000,1768713000,904716000,203906000,85964000,1343380000,325295000,195750000,-6527000,425333000,425333000,1768713000,3928000,5662000,53699000,-27294000,35995000,-856000,-20559000,4321000,0,-11720000,28596000,28596000,28596000,28014000,148794000,2635000,0.17899,0.03145,0.00924,0.00222,0.67082,3.15842,0.08413,0.14671,0.15533,4.6642,15.88621,0.09842,0.00353,0.00168,-3.61687,-4.53306
"20","2019_Q2",13.44,"Down",118261000,109691000,3672000,4898000,1024000,3874000,-62139000,-44624000,11498000,9333000,9333000,-2369000,6964000,6964000,6964000,6964000,567008000,279720000,55096000,21317000,69883000,683969000,1676993000,858709000,155874000,95147000,1241906000,328940000,200907000,-564000,435087000,435087000,1676993000,6964000,2696000,68933000,6729000,85322000,-3994000,23869000,-34171000,-5011000,-21544000,29607000,29607000,29607000,14194000,132176000,19298000,0.09723,0.05889,0.01601,0.00415,2.77111,2.85439,0.07882,0.23574,0.23571,4.00335,14.72848,0.65327,0.00563,0.01269,-10.39481,-12.83214
