"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2017_Q1",30.9491935483871,"Down",-93715000,-22937000,-70749000,-88395000,-57000,-57000,-88452000,-88452000,-88452000,-88452000,-88452000,-88452000,317845000,122420000,5228000,5228000,37590000,37590000,373476000,37801000,8076000,8076000,50628000,424104000,60706000,29690000,31016000,4608000,3303000,1305000,75422000,6042000,5949000,5949000,11991000,87413000,1503131000,336691000,336691000,424104000,-88452000,1664000,7485999.99999999,-1931000,-81233000,-3346000,-198774000,9813999.99999988,9813999.99999988,7286999.99999994,-272720000,-272720000,-272720000,-86731000,16150000,-0.26271,-0.20856,4.95182,0.25962,0.03808,-1.61763,-1.61763,6.15748,-0.24653,3.47851,3.41303
"27","2017_Q2",32.5601587301587,"Up",-55364000,-26216000,-29119000,-39245000,335000,335000,-38910000,86090000,84090000,84090000,84090000,84090000,390313000,274723000,12278000,12278000,24271000,22742000,457307000,38412000,8468000,7684000,54226000,511533000,58603000,27446000,31157000,4680000,3303000,1377000,74629000,2343000,5419000,5419000,7762000,82391000,1511427000,429142000,429142000,511533000,84090000,1637000,-118821000,-24794000,-57888000,119290000,209985000,2749000,2749000,206000,152303000,152303000,152303000,-37608000,13689000,0.19595,0.16439,6.12774,0.19199,0.02676,1.53309,1.50129,7.82392,0.1876,10.01447,9.59674
"28","2017_Q3",39.9665079365079,"Up",-95005000,-36069000,-58908000,-60500000,184000,184000,-60316000,-63155000,-63046000,-63046000,-63046000,-63046000,300946000,168348000,17791000,17791000,30094000,28565000,390585000,39393000,8579000,7795000,59554000,450139000,50100000,10921000,39179000,4643000,3303000,1340000,65960000,-84253375.0081867,6407000,6407000,6407000,72367000,1523086000,377772000,377772000,450139000,-63046000,1772000,10459000,-34332000,-85147000,-3227000,-20054000,1336999.99999997,1336999.99999997,-1173999.99999997,-106375000,-106375000,-106375000,-58728000,11217000,-0.16689,-0.14006,5.92154,0.19156,0.02492,-1.14679,-1.14679,6.87158,-0.15945,4.9334,4.78891
"29","2017_Q4",52.9755555555556,"Up",-63195000,-28176000,-34239000,-20319000,184000,184000,-20135000,-45723000,-47734000,-47734000,-47734000,-47734000,617630000,617630000,24751000,24751000,28534000,27033000,735608000,38872000,14813000,14029000,64673000,800281000,61069000,5317000,55752000,4669000,3303000,1366000,70470000,26550000,6105000,6105000,32655000,103125000,1890178000,697156000,697156000,800281000,-47734000,2559000,7109000,-19837000,-57903000,-7755000,124949000,361652000,361652000,382237000,449283000,449283000,449283000,-17760000,31282000,-0.06847,-0.05965,10.4386,0.14792,0.03909,-0.77581,-0.77923,11.33071,-0.06498,33.01509,28.85713
"30","2018_Q1",66.6808196721312,"Up",-76878000,-32221000,-44441000,-23147000,-2693000,-2693000,-25840000,-25840000,-23998000,-23998000,-23998000,-23998000,1079060000,599691000,29468000,29468000,36511000,36511000,1228644000,43156000,14355000,14355000,79320000,1307964000,77449000,8467000,68982000,4708000,3316000,1392000,88332000,424876000,5539000,5539000,430415000,518747000,2006604000,789217000,789217000,1307964000,-23998000,2124000,9314000,-18498000,-31058000,-4523000,-493695000,3444999.99999994,3444999.99999994,506813000,-17940000.0000001,-17940000.0000001,-17940000.0000001,-21023000,431051000,-0.03041,-0.01835,13.90939,0.65729,0.32956,-0.37545,-0.38076,12.34734,-0.01958,30.82381,27.99538
"31","2018_Q2",94.305,"Up",-89761000,-43341000,-46204000,-30739000,-4485000,-4485000,-35224000,-35224000,-35363000,-35363000,-35363000,-35363000,1048991000,557234000,39848000,39848000,31203000,31203000,1219417000,53927000,14473000,14473000,80866000,1300283000,83027000,17379000,65648000,4723000,3289393.14643625,4723000,91196000,427365000,4962000,4962000,432327000,523523000,2029774000,776760000,776760000,1300283000,-35363000,2252000,14217000,-16774000,-35668000,-12839000,-14260000,12643000,12643000,7471000,-42457000,-42457000,-42457000,-28487000,430811000,-0.04553,-0.0272,13.37139,0.67398,0.33132,-0.54715,-0.54715,12.01838,-0.02916,21.70042,20.11061
"32","2018_Q3",136.701587301587,"Up",-170221000,-47156000,-122848000,-103427000,-5218000,-5218000,-108645000,-108645000,-109267000,-109267000,-109267000,-109267000,949144000,410375000,42985000,42985000,42989000,42989000,1139244000,57624000,14857000,14857000,107916000,1247160000,89859000,17382000,72477000,5314000,3303000,2011000,104687000,429925000,13501000,13501000,443426000,548113000,2061046000,699047000,699047000,1247160000,-109267000,2873000,18755000,-29615000,-117254000,-9580000,-55092000,21743000,21743000,25350999.9999999,-146995000,-146995000,-146995000,-100554000,439439000,-0.15631,-0.08761,10.88238,0.78409,0.35235,-1.66861,-1.66861,10.67508,-0.09485,5.06897,4.92816
"33","2018_Q4",125.064603174603,"Down",-139844000,-53044000,-86584000,-70099000,-6968000,-6968000,-77067000,-77067000,-76393000,-76393000,-76393000,-76393000,792860000,209702000,48601000,48601000,54800000,54800000,1012077000,76841000,15324000,15324000,170829000,1182906000,109095000,20408000,88687000,5298000,3303000,1995000,114393000,415446000,13219000,13219000,428665000,543058000,2077871000,639848000,639848000,1182906000,-76393000,3593000,17197000,-57715000,-113318000,-21168000,-63400000,8645000,8645000,-23955000,-200673000,-200673000,-200673000,-66506000,415446000,-0.11939,-0.06458,8.84737,0.84873,0.35121,-1.15382,-1.15382,9.66406,-0.07149,5.67489,5.38401
"34","2019_Q1",128.561967213115,"Up",-210643000,-64220000,-146207000,-139363000,-2311000,-2311000,-141674000,-141674000,-140895000,-140895000,-140895000,-140895000,1173912000,370829000,49044000,49044000,77782000,77782000,1426183000,97024000,11574000,11574000,215892000,1642075000,167924000,33829000,134095000,5766000,3303000,2463000,173690000,420554000,15555000,15555000,436109000,609799000,2611301000,1032276000,1032276000,1642075000,-140895000,3527000,18736000,-3787999.99999999,-122420000,-17570000,-237736000,520600000,520600000,521283000,161127000,161127000,161127000,-135836000,420554000,-0.13649,-0.0858,8.21108,0.59073,0.25611,-2.05159,-2.05159,15.0311,-0.09595,5.54608,5.40572
"35","2019_Q2",121.533174603175,"Down",-151335000,-60566000,-90553000,-76387000,-172000,-172000,-76559000,-76559000,-76643000,-76643000,-76643000,-76643000,1344208000,732190000,50510000,50510000,136238000,136238000,1671423000,106280000,52879000,11781000,292472000,1963895000,126619000,26499000,100120000,10747000,3985000,6762000,137366000,425752000,52213000,52213000,477965000,615331000,3004114000,1348564000,1348564000,1963895000,-76643000,6370000,17959000,-93919000,-146233000,-17118000,135231000,377563000,377563000,377563000,366561000,366561000,366561000,-70017000,425752000,-0.05683,-0.03903,12.16766,0.45629,0.21679,-1.06848,-1.06848,18.8003,-0.04196,13.11761,12.02372
