"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",79.7207936507937,"Down",2.673e+09,-1.383e+09,-8.7e+07,-6.39e+08,-6.57e+08,1.29e+09,-5.9e+07,-5.9e+07,1.231e+09,-2.4e+07,1.207e+09,-5.02e+08,7.05e+08,7.05e+08,7.05e+08,7.05e+08,2125634000,2125634000,1818139000,1818139000,596733000,224492000,5038255000,23404857000,50569836000,-27164979000,785049000,595797000,24189906000,29228161000,1644898000,536613000,482194000,482194000,2240726000,4950755000,5278144000,3015580000,2262564000,10228899000,12469625000,4923462000,12091022000,-40374000,16758536000,16758536000,29228161000,7.05e+08,6.39e+08,2.25e+08,-4.15e+08,1.154e+09,-1.074e+09,2.6e+07,-1.048e+09,-5e+07,-3e+06,1.3e+07,-2.8e+07,7.8e+07,7.8e+07,7.8e+07,1.929e+09,5064389000,9.42e+08,0.4826,0.26375,0.04207,0.02412,1.33617,2.24849,0.74408,0.17327,2.09199,2.07965,7.93175,49.72859,2.79525,0.14837,0.02786,0.03476,0.07092,1.52346,2.2781
"2","2010_Q3",75.50421875,"Down",2.972e+09,-1.489e+09,-8.4e+07,-7.29e+08,-6.76e+08,1.483e+09,-5.6e+07,-5.6e+07,1.427e+09,-3.3e+07,1.394e+09,-5.34e+08,8.6e+08,8.6e+08,8.6e+08,8.6e+08,1805347000,1805347000,1647952000,1647952000,544939000,205965000,4506940000,25123455000,53017083000,-27893628000,802012000,612760000,25925467000,30432407000,1570834000,485601000,515796000,515796000,2202835000,4896127000,5657685000,3247065000,2410620000,10553812000,12756647000,4964508000,12900582000,22950000,17675760000,17675760000,30432407000,8.6e+08,7.29e+08,2.45e+08,9.7e+07,1.931e+09,-2.121e+09,-3.3e+07,-2.17e+09,-5.1e+07,-5.2e+07,9000000.00000001,-81999999.9999981,-3.21e+08,-3.21e+08,-3.21e+08,2.212e+09,5012332000,7.22e+08,0.49899,0.28937,0.04865,0.02826,0.83953,2.04597,0.7217,0.1647,2.55193,2.53687,8.81899,52.45033,2.14243,0.15134,0.03214,0.02547,0.0593,1.44981,2.1625
"3","2010_Q4",89.34984375,"Up",3.013e+09,-1.584e+09,-8.9e+07,-7.87e+08,-7.08e+08,1.429e+09,-5.9e+07,-5.9e+07,1.37e+09,-3.3e+07,1.337e+09,-5.59e+08,7.78e+08,7.78e+08,7.78e+08,7.65e+08,1211439000,1211439000,1756874000,1756874000,753422000,213195000,4250460000,28346116000,57025011000,-28678895000,4331773000,4142521000,32677889000,36928349000,1853220000,598037000,538141000,538141000,2526730000,6380579000,6075658000,3581675000,2493983000,12456237000,14982967000,7099123000,13610838000,49828000,21945382000,21945382000,36928349000,7.78e+08,7.87e+08,4.19e+08,-2.69e+08,1.715e+09,-3.664e+09,-3e+07,-7.238e+09,-5.1e+07,1.502e+09,-1.6e+07,4.929e+09,-5.94e+08,-5.94e+08,-5.94e+08,2.216e+09,6515948000,-1.158e+09,0.47428,0.2539,0.03486,0.02072,-1.51373,1.6822,0.68274,0.17645,2.13687,2.07317,8.4162,57.87244,-3.23464,0.14246,0.02363,-0.03353,0.06667,2.39373,3.71204
"4","2011_Q1",100.338387096774,"Up",3.434e+09,-1.907e+09,-1.2e+08,-9.28e+08,-8.59e+08,1.527e+09,-5.5e+07,-5.5e+07,1.472e+09,-2.04e+08,1.268e+09,-5.79e+08,6.89e+08,6.89e+08,6.89e+08,6.7e+08,1.34e+08,1.34e+08,2.134e+09,2.134e+09,6.48e+08,2.59e+08,3.48e+09,3.8151e+10,6.7746e+10,-2.9595e+10,1.794e+09,7.62e+08,3.9945e+10,4.3425e+10,2.595e+09,7.79e+08,8.83e+08,8.83e+08,3.524e+09,8.095e+09,7.429e+09,4.249e+09,3.18e+09,1.5524e+10,1.9048e+10,9.104e+09,1.4223e+10,-1.41e+08,2.4377e+10,2.4377e+10,4.3425e+10,6.89e+08,9.28e+08,3.64e+08,-5.5e+07,1.926e+09,-5.51e+09,-8.4e+07,-2.947e+09,-7.4e+07,-3.2e+07,8.3e+07,-5.6e+07,-1.077e+09,-1.077e+09,-1.077e+09,2.455e+09,8.141e+09,-2.531e+09,0.44467,0.19511,0.02748,0.01543,-3.77761,0.98751,0.78139,0.18747,1.78191,1.72237,9.13298,61.56915,-6.73138,0.19681,0.01862,-0.06336,0.11045,3.26151,5.24361
"5","2011_Q2",101.38,"Up",3.925e+09,-1.911e+09,-1.12e+08,-9.36e+08,-8.63e+08,2.014e+09,-4.5e+07,-4.5e+07,1.969e+09,-4.2e+07,1.927e+09,-7.93e+08,1.134e+09,1.134e+09,1.134e+09,1.115e+09,3.56e+08,3.56e+08,2.49e+09,2.49e+09,5.62e+08,2.77e+08,4.001e+09,3.9046e+10,6.9577e+10,-3.0531e+10,1.819e+09,7.87e+08,4.0865e+10,4.4866e+10,2.627e+09,9.06e+08,1.3e+09,1.3e+09,3.957e+09,8.13e+09,7.581e+09,4.265e+09,3.316e+09,1.5711e+10,1.9668e+10,9.168e+09,1.5281e+10,-4.45e+08,2.5198e+10,2.5198e+10,4.4866e+10,1.134e+09,9.36e+08,1.73e+08,-2.64e+08,1.979e+09,-1.696e+09,-5.3e+07,-1.749e+09,-7.6e+07,1.9e+07,2.3e+07,-8e+06,2.22e+08,2.22e+08,2.22e+08,2.95e+09,8.16e+09,1.783e+09,0.51312,0.28408,0.04425,0.02485,1.5991,1.01112,0.78054,0.18187,2.91123,2.80856,10.24804,62.58747,4.65535,0.19843,0.02909,0.04355,0.06816,2.64542,3.87488
"6","2011_Q3",88.0184375,"Down",4.338e+09,-2.122e+09,-1.03e+08,-1.003e+09,-1.016e+09,2.216e+09,-4.1e+07,-4.1e+07,2.175e+09,-4.4e+07,2.131e+09,-8.72e+08,1.259e+09,1.259e+09,1.259e+09,1.24e+09,1.107e+09,1.107e+09,2.495e+09,2.495e+09,6.65e+08,2.5e+08,4.9e+09,3.9838e+10,7.1398e+10,-3.156e+10,1.791e+09,7.59e+08,4.1629e+10,4.6529e+10,2.973e+09,1.029e+09,1.063e+09,1.063e+09,4.484e+09,7.404e+09,7.974e+09,4.698e+09,3.276e+09,1.5378e+10,1.9862e+10,9.21e+09,1.6463e+10,-2e+08,2.6667e+10,2.6667e+10,4.6529e+10,1.259e+09,1.029e+09,3.51e+08,1.06e+08,2.745e+09,-1.551e+09,1000000.00000001,-1.628e+09,-7.7e+07,-3.08e+08,3e+06,-3.66e+08,7.51e+08,7.51e+08,7.51e+08,3.245e+09,7.852e+09,2.672e+09,0.51083,0.28585,0.0465,0.02665,2.15484,1.09277,0.74482,0.16875,3.2376,3.12343,11.32637,66.42298,6.9765,0.20104,0.03099,0.06288,0.0621,2.07858,3.04377
"7","2011_Q4",77.3815873015873,"Down",4.328e+09,-2.154e+09,-1.12e+08,-1.045e+09,-9.97e+08,2.174e+09,-3.7e+07,-3.7e+07,2.137e+09,-4.3e+07,2.094e+09,-1.092e+09,1.002e+09,1.002e+09,1.002e+09,9.83e+08,5.86e+08,5.86e+08,2.56e+09,2.56e+09,8.64e+08,2.77e+08,4.576e+09,4.1136e+10,7.376e+10,-3.2624e+10,1.77e+09,7.38e+08,4.2906e+10,4.7482e+10,2.749e+09,8.52e+08,8.58e+08,8.58e+08,4.024e+09,6.785e+09,8.77e+09,5.535e+09,3.235e+09,1.5555e+10,1.9579e+10,9.258e+09,1.7388e+10,6.2e+07,2.7903e+10,2.7903e+10,4.7482e+10,1.002e+09,1.065e+09,6.21e+08,-2.41e+08,2.447e+09,-1.781e+09,-3.7e+07,-2.249e+09,-7.7e+07,-6.51e+08,5.1e+07,-7.19e+08,-5.21e+08,-5.21e+08,-5.21e+08,3.239e+09,7.202e+09,2.309e+09,0.50231,0.22713,0.03523,0.0207,2.34893,1.13718,0.70168,0.15168,2.54663,2.42118,11.21244,69.10881,5.98187,0.19948,0.02416,0.05263,0.07833,2.04261,3.04324
"8","2012_Q1",85.2148387096774,"Up",4.297e+09,-2.276e+09,-1.32e+08,-8.3e+08,-1.314e+09,2.021e+09,-3.5e+07,-3.5e+07,1.986e+09,-4.5e+07,1.941e+09,-7.52e+08,1.189e+09,1.189e+09,1.189e+09,1.17e+09,2.95e+08,2.95e+08,3.079e+09,3.079e+09,7.74e+08,2.29e+08,4.803e+09,4.5448e+10,7.9219e+10,-3.3771e+10,1.8e+09,6.86e+08,4.7248e+10,5.2051e+10,1.048e+09,1.048e+09,3.484e+09,3.484e+09,4.963e+09,6.785e+09,1.131e+10,7.197e+09,4.113e+09,1.8095e+10,2.3058e+10,9.307e+09,1.85e+10,-9e+06,2.8993e+10,2.8993e+10,5.2051e+10,1.189e+09,1.174e+09,3.01e+08,1.18e+08,2.782e+09,-1.628e+09,-8.7e+07,-3.019e+09,-7.6e+07,1.5e+07,7e+06,-54000000.0000001,-2.91e+08,-2.91e+08,-2.91e+08,3.195e+09,7.216e+09,2.437e+09,0.47033,0.27228,0.04035,0.02248,2.08291,0.96776,0.7953,0.13863,3.04688,2.925,11.1901,72.30729,6.34635,0.19792,0.02622,0.05128,0.06496,2.1662,3.42454
"9","2012_Q2",72.7587301587302,"Down",4.536e+09,-2.875e+09,-1.28e+08,-1.135e+09,-1.612e+09,1.661e+09,-4e+07,-4e+07,1.621e+09,-6.1e+07,1.56e+09,-7.63e+08,7.97e+08,7.97e+08,7.97e+08,7.78e+08,2.45e+08,2.45e+08,3.163e+09,3.163e+09,9.39e+08,3.68e+08,4.954e+09,4.5829e+10,8.134e+10,-3.5511e+10,2.454e+09,1.34e+09,4.8283e+10,5.3237e+10,1.059e+09,1.059e+09,3.21e+09,3.21e+09,4.698e+09,7.444e+09,1.138e+10,7.217e+09,4.163e+09,1.8824e+10,2.3522e+10,9.348e+09,1.9213e+10,-4.2e+07,2.9715e+10,2.9715e+10,5.3237e+10,7.97e+08,1.74e+09,1.11e+08,-6.41e+08,2.007e+09,-1.967e+09,-3.6e+07,-2.642e+09,-7.7e+07,6.57e+08,5e+06,5.85e+08,-5e+07,-5e+07,-5e+07,3.401e+09,7.873e+09,1.556e+09,0.36618,0.17152,0.02618,0.01461,2,1.05449,0.79159,0.14789,2.02078,1.94987,11.78182,73.99481,4.04156,0.2,0.01746,0.03178,0.09897,2.24287,4.59241
"10","2012_Q3",72.3598412698413,"Down",3.972e+09,-3.043e+09,-1.32e+08,-1.194e+09,-1.717e+09,9.29e+08,-4.5e+07,-4.5e+07,8.84e+08,-7.3e+07,8.11e+08,-4.55e+08,3.56e+08,3.56e+08,3.56e+08,3.37e+08,3.61e+08,3.61e+08,2.625e+09,2.625e+09,9.08e+08,3.56e+08,4.639e+09,5.0135e+10,8.7577e+10,-3.7442e+10,2.443e+09,1.329e+09,5.2578e+10,5.7217e+10,1.061e+09,1.061e+09,3.492e+09,3.492e+09,5.121e+09,9.67e+09,1.1753e+10,7.383e+09,4.37e+09,2.1423e+10,2.6544e+10,9.981e+09,1.9484e+10,1.1e+07,3.0673e+10,3.0673e+10,5.7217e+10,3.56e+08,1.932e+09,9e+07,4.14e+08,2.792e+09,-2.231e+09,-2.41e+08,-4.944e+09,-8.4e+07,2.365e+09,-1.5e+07,2.268e+09,1.16e+08,1.16e+08,1.16e+08,2.861e+09,1.0238e+10,1.499e+09,0.23389,0.08484,0.01099,0.00589,4.44807,0.90588,0.86539,0.17893,0.86632,0.82801,10.2108,75.69666,3.85347,0.21594,0.00799,0.02846,0.24926,3.45229,10.63186
"11","2012_Q4",67.073064516129,"Down",4.179e+09,-3.207e+09,-1.24e+08,-1.206e+09,-1.877e+09,9.72e+08,-4e+07,-4e+07,9.32e+08,-6.7e+07,8.65e+08,-6.85e+08,1.8e+08,1.8e+08,1.8e+08,1.61e+08,3.18e+08,3.18e+08,2.976e+09,2.976e+09,9.76e+08,5.73e+08,5.044e+09,5.1164e+10,9.0627e+10,-3.9463e+10,2.602e+09,1.488e+09,5.3766e+10,5.881e+10,1.137e+09,1.137e+09,3.289e+09,3.289e+09,5.39e+09,1.067e+10,1.2036e+10,7.602e+09,4.434e+09,2.2706e+10,2.8096e+10,1.0028e+10,1.9578e+10,-8.9e+07,3.0714e+10,3.0714e+10,5.881e+10,1.8e+08,2.029e+09,2.07e+08,-7.93e+08,1.623e+09,-2.749e+09,-1.09e+08,-2.974e+09,-8.5e+07,1.396e+09,-3e+06,1.308e+09,-4.3e+07,-4.3e+07,-4.3e+07,3.001e+09,1.1634e+10,1.44e+08,0.23259,0.03853,0.00524,0.00274,0.89441,0.93581,0.91476,0.19782,0.41282,0.44231,10.71538,75.60769,0.36923,0.21795,0.00452,0.00265,0.52795,3.77074,11.64198
"12","2013_Q1",65.8761666666667,"Down",3.877e+09,-2.168e+09,-1.31e+08,-3.346e+09,1.309e+09,1.709e+09,-4.7e+07,-4.7e+07,1.662e+09,-5.8e+07,1.604e+09,-9.5e+08,6.54e+08,6.68e+08,6.68e+08,6.49e+08,1.6e+08,1.6e+08,3.086e+09,3.086e+09,8.08e+08,5.84e+08,4.962e+09,5.328e+10,9.4147e+10,-4.0867e+10,2.495e+09,1.206e+09,5.5775e+10,6.0737e+10,1.092e+09,1.092e+09,3.454e+09,3.454e+09,5.536e+09,1.1355e+10,1.2515e+10,8.024e+09,4.491e+09,2.387e+10,2.9406e+10,1.0104e+10,2.0161e+10,-1.31e+08,3.1331e+10,3.1331e+10,6.0737e+10,6.54e+08,1.18e+09,6.97e+08,-6.72e+08,2.082e+09,-2.49e+09,-1.69e+08,-2.864e+09,-8.6e+07,6.71e+08,3e+06,6.24e+08,-1.58e+08,-1.58e+08,-1.58e+08,2.889e+09,1.2345e+10,6.77e+08,0.4408,0.1674,0.02071,0.01069,1.04314,0.89632,0.93856,0.20325,1.65561,1.64721,9.89031,76.79592,1.72704,0.21939,0.01308,0.01205,0.13251,4.21772,7.1299
