"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q4",6.91796875,"Up",664900000,-534800000,130100000,-1.05e+08,-1.05e+08,25100000,4700000,-7e+06,11300000,4e+05,29800000,19400000,-6100000,13300000,13300000,13500000,13500000,26700252.162084,26700252.162084,1273432840.48345,1273432840.48345,1243952386.40491,-1523913535.21729,67216907.1479128,1020171943.83315,491341496.279527,-85742314.9772588,247057259.105819,405599181.295524,1425771125.12867,1487347684.63722,1321909231.95929,165443968.126565,359979234.900523,-904115279.145073,251553932.163104,943211640.392673,220415655.854731,-20953225.5778776,105152037.138503,221670064.186252,199462430.276853,1142674070.66953,34843088.8053614,357138022.28393,-109655851.203757,282325259.885534,283097054.459146,1425771125.12867,-3.5e+07,8700000,-3e+05,8400000,-4300000,-12100000,-31400000,-5.8e+07,-54100000,-54100000,0,0.19567,0.03775,0.0203,0.11859228128725,0.0276096953703099,0.966964454373036,3.37050342996673,0.363810248724533,1.62026,1.61754,79.80077,34.4067418753572,0.51608,0.0385882658688207,0.31852,-86.0815297132248
"2","2011_Q1",7.41677419354839,"Up",-935700000,823200000,-112500000,1.08e+08,1.08e+08,-4500000,18700000,9900000,12100000,-3300000,14200000,11400000,-5200000,6200000,38600000,38400000,38400000,261900000,261900000,425900000,425900000,447400000,57100000,33400000,1192300000,270400000,195600000,130400000,4.66e+08,1658300000,475500000,414500000,6.1e+07,22500000,165500000,154300000,663500000,355300000,191300000,77800000,113500000,546600000,1210100000,3.1e+07,475400000,-5.9e+07,447400000,448200000,1658300000,58700000,1600000,0,-6900000,-4400000,1.5e+07,20200000,7.2e+07,4.6e+07,4.6e+07,377800000,0.12023,0.00480999999999999,-0.04104,0.08568,0.02316,1.79699,2.69991,0.22782,4.60984,4.5922,-112.32893,53.70948,0.52821,0.04207,0.11458,-25.75556
"3","2011_Q2",6.71920634920635,"Down",745500000,-608900000,136600000,-113400000,-113400000,23200000,6600000,-6200000,12100000,7e+05,29800000,8.7e+07,-24200000,62800000,62800000,62800000,62800000,331216582.612639,331216582.612639,261872386.505516,261872386.505516,308307537.865031,370787845.072431,30077697.6173624,1272184352.05562,228536167.906824,247605771.659086,105097580.29806,476141939.568159,1748326291.62378,264000771.787592,232388589.346902,31610343.9578116,-26326411.6335076,385730093.048358,146340355.945632,623404453.202442,368278114.71509,234709408.525959,68157654.2871656,94318311.9379159,602987523.241049,1226391976.44349,30910637.0648795,529495659.23869,-39231382.9320809,521174913.371489,521934315.180285,1748326291.62378,-8800000,-6200000,4e+05,-5800000,-4400000,-3900000,-1e+06,-15600000,-12100000,-12100000,0,0.18323,0.03112,0.08424,0.0550917395709166,0.01629510154323,1.98292518187565,2.36631469001109,0.197565750425156,7.50927,7.47708,89.14265,62.2420118748809,0.52613,0.0325272447103931,0.07006,-0.28516926225841
"4","2011_Q3",5.52125,"Down",8.11e+08,-673100000,137900000,-116400000,-116400000,21500000,4700000,-6100000,9500000,1300000,26200000,26300000,-7200000,19100000,19100000,19200000,19200000,301500000,301500000,437600000,437600000,491200000,64800000,41100000,1295100000,270900000,188400000,125600000,459300000,1754400000,456100000,4.14e+08,42100000,73800000.0000001,189600000,179100000,719500000,300800000,192900000,67300000,117900000,493700000,1213200000,32500000,548500000,-40500000,540500000,541200000,1754400000,64700000,-9600000,-4e+05,-1e+07,-4500000,-1800000,-3800000,50900000,51700000,51700000,374600000,0.17004,0.02651,0.02367,0.03548,0.01094,1.8,2.24169,0.21352,2.28762,2.28381,96.62814,64.3989,0.53616,0.02138,0.23438,3.4
"5","2011_Q4",5.48396825396825,"Down",-1.04e+09,894800000,-145200000,89400000,89400000,-55800000,13800000,5500000,11100000,-2800000,-4.2e+07,-41900000,9600000,-32300000,25800000,25700000,25700000,217600000,217600000,483100000,483100000,540700000,70100000,38700000,1311500000,2.57e+08,1.89e+08,128200000,4.46e+08,1757500000,523500000,474800000,48700000,124900000,194200000,180500000,842600000,188400000,178700000,56200000,119100000,367100000,1209700000,33200000,569800000,-55900000,547100000,547800000,1757500000,-4600000,1e+06,0,-9500000,-4400000,-56200000,-46800000,-60900000,-83900000,-83900000,313300000,0.13962,0.05365,-0.02471,0.04691,0.01462,1.55649,2.20829,0.17826,3.06135,3.05407,-123.88326,65.16974,0.52412,0.02895,0.17121,-1.71505
"6","2012_Q1",7.12612903225806,"Up",273955000,-193615000,80340000,-51701000,-49636000,28639000,11386000,-1989000,14205000,-830000,40025000,40821000,-10951000,29870000,54371000,54371000,54371000,153700000,153700000,96700000.0000001,96700000.0000001,161300000,939900000,10600000,1351600000,107200000,349900000,73400000,457100000,1808700000,113300000,94200000,19100000,6700000,771200000,109800000,891200000,74500000,2.66e+08,29300000,5.8e+07,340500000,1231700000,31100000,619700000,-74600000,576200000,5.77e+08,1808700000,103879000,-2065000,80000,-7401000,-4495000,-7215000,29154000,125632000,121075000,121071000,81200000,0.29326,0.10454,0.19847,0.09423,0.03006,1.51661,2.13466,0.04489,6.48741,6.46427,32.68763,68.75075,0.53633,0.06369,0.08267,-2.53151
"7","2012_Q2",7.62539682539683,"Up",173679000,-128160000,45519000,-49416000,-49416000,-3897000,10688000,-1707000,12357000,38000,6791000,6750000,-2038000,4712000,25250000,25250000,25250000,314900000,314900000,445400000,445400000,477900000,74400000,64400000,1312600000,253300000,183900000,122900000,437200000,1749800000,4.44e+08,4.12e+08,3.2e+07,229900000,196600000,184900000,870500000,63500000,205100000,75700000,112300000,268600000,1139100000,31600000,640400000,-62100000,609900000,610700000,1749800000,2544000,16675000,-32000,15061000,-4466000,-13852000,-40941000,-23336000,-23755000,-23741000,293400000,0.26209,-0.02244,0.14538,0.04135,0.01443,1.50787,1.86524,0.16768,3.01349,3.0081,20.72789,72.78912,0.533,0.02679,0.17687,5.51706
"8","2012_Q3",7.7147619047619,"Up",171435000,-128138000,43297000,-48589000,-47516000,-5291999.99999999,7808000,-1504000,11011000,-1699000,2516000.00000001,4830000,-1387000,3443000,21712000,21712000,21712000,160098000,160098000,75985999.9999999,75985999.9999999,173913000,846925000,25834000,1256922000,137012000,319774000,50703000,456786000,1713708000,100393000,86859000,13534000,6960000,583023000,99270000,690376000,95251000,311373000,25577000,61891000,406624000,1.097e+09,32753000,657518000,-74490000,615781000,616708000,1713708000,49138000,-27488000,14421000,-17198000,-4592000,-16573000,44995000,76935000,-11807000,-11754000,102211000,0.25256,-0.03087,0.12665,0.03521,0.01267,1.82063,1.7788,0.05964,2.58877,2.58476,20.44056,73.42089,0.54751,0.02553,0.2115,10.93859
"9","2012_Q4",11.4793548387097,"Up",210067000,-157840000,52227000,-51970000,-51203000,257000,10310000,-1509000,11854000,-35000,10567000,13675000,-3299000,10376000,38104000,38104000,38104000,155714000,155714000,104489000,104489000,205355000,19653000,16411000,485211000,193544000,143262000,63922000,336806000,822017000,152403000,134401000,18002000,6957000,84479000,84479000,243839000,158404000,128628000,24491000,80142000,287032000,530871000,33340000,321297000,-63491000,291146000,291146000,822017000,27681000,5764000,-64839000,-63831000,-4593000,818000,42652000,6502000,-2412000,-2440000,165361000,0.24862,0.00122,0.18139,0.13088,0.04635,1.98988,1.82338,0.20116,4.54214,4.53134,25.04077,34.70569,0.5475,0.07297,0.12054,37.53696
"10","2013_Q1",13.7673333333333,"Up",318183000,-233284000,84899000,-60380000,-59418000,24519000,6824000,-1368000,11574000,-3382000,31343000,32773000,-9141000,23632000,23632000,23632000,23632000,139855000,139855000,121147000,121147000,169440000,41064999.9999999,12921000,471507000,182985000,121814000,52062000,304799000,776306000,153845000,127469000,24288000,6961000,66363000.0000001,66363000,227169000,135448000,132358000,15801000,89244000,267806000,494975000,32965000,270227000,-21861000,281331000,281331000,776306000,63651000,-3659000,-4610000,-8269000,-31479000,-32839000,-71226000,-15844000,-15844000,-15859000,142409000,0.26682,0.07706,0.07427,0.084,0.03044,2.07558,1.7594,0.18344,2.81971,2.79569,37.9648,33.56771,3.756,0.0991,1.33205,0.10416
