"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",17.9725396825397,"Up",28545000,-4826000,23719000,-29333000,-23311000,-6022000,-5614000,97000,97000,-5517000,-5517000,-150000,-5667000,-5667000,-5667000,-7650000,164488000,141586000,22902000,24061000,24061000,11874000,5361000,200423000,6539000,5992000,10720000,3035000,2895000,4790000,23251000,223674000,14233000,1950000,12283000,70494000,70494000,84727000,6169000,2664000,6169000,90896000,224560000,-91714000,-68000,132778000,132778000,223674000,-5667000,566000,2322000,7802000,5023000,-508000,-7511000,-11903000,884000,884000,-797000,117185000,110305000,110305000,-25000,110280000,-5048000,0,2396000,0.83093,-0.19667,-0.268,-0.05761,-0.0342,-0.3132,2.36552,0.68457,0,-0.21779,-0.21779,0.81265,3.78005,0.06821,-0.05506,0.01724,32.58479,29.29961
"2","2017_Q3",21.1963492063492,"Up",30319000,-5294000,25025000,-33163000,-26016000,-7147000,-8138000,337000,337000,-7801000,-7801000,807000,-6994000,-6994000,-6994000,-6994000,152703000,98415000,54288000,27187000,27187000,11486000,5129000,191376000,6493000,30013000,22290000,8917000,8724000,4649000,58796000,250172000,19971000,4663000,15308000,73289000,73289000,93260000,6316000,2855000,6316000,99576000,249507000,-98708000,-203000,150596000,150596000,250172000,-6994000,873000,1779000,5011000,669000,-701000,-55565000,-61479000,122000,122000,2.3283064365387e-10,17617000,-43193000,-43193000,22000,-43171000,-7265000,0,-3762000,0.82539,-0.26841,-0.23068,-0.04644,-0.02796,0.53789,2.05207,0.66121,0,-0.11978,-0.11978,0.51927,2.57923,-0.06443,-0.04457,-0.02398,21.019,18.76419
"3","2017_Q4",24.1260317460317,"Up",34155000,-5425000,28730000,-31293000,-23519000,-7774000,-2563000,-711000,-711000,-3274000,-3274000,-25000,-3299000,-3299000,-3299000,-3299000,156588000,95776000,60812000,30820000,30820000,12911000,6211000,200319000,6913000,25989000,21125000,8456000,8741000,3928000,54027000,254346000,18185000,4014000,14171000,78656000,78656000,96841000,6053000,2531000,6053000,102894000,253717000,-102007000,-258000,151452000,151452000,254346000,-3299000,1231000,3257000,-441000,748000,-1094000,-2707000,-3801000,1556000,1556000,-1070000,403000,-2650000,-2650000,11000,-2639000,-1332000,0,-2842000,0.84117,-0.07504,-0.09659,-0.02178,-0.01297,0.86147,2.06854,0.67938,0,-0.05584,-0.05584,0.57813,2.56359,-0.04811,-0.02095,-0.01804,117.55856,61.09559
"4","2018_Q1",31.1467213114754,"Up",38588000,-6258000,32330000,-34214000,-25815000,-8399000,-1884000,71999.9999999998,72000,-1812000,-1812000,273000,-1539000,-1539000,-1539000,-1539000,174102000,119716000,54386000,49797000,49797000,18440000,7227000,242339000,7492000,19964000,21621000,7995000,8750000,4263000,49077000,291416000,20627000,522000,20105000,110213000,110213000,130840000,7072000,3313000,7072000,137912000,257404000,-103546000,-354000,153504000,153504000,291416000,-1539000,1287000,2338000,10417000,12503000,-1366000,12128000,10762000,1780000,1780000,-1041000,658000.000000004,23923000,23923000,17000,23940000,-597000,1.86264514923096e-09,8181000,0.83783,-0.04882,-0.03988,-0.01003,-0.00528,-5.31579,1.85218,0.89843,3.46944695195361e-18,-0.0259,-0.0259,0.64928,2.58285,0.13765,-0.00958,0.05095,291.62814,92.41083
"5","2018_Q2",34.90015625,"Up",42821000,-5004000,37817000,-43665000,-32897000,-10768000,-5848000,768000,768000,-5080000,-5080000,-106000,-5186000,-5186000,-5186000,-5186000,178887000,59077000,119810000,29345000,29345000,21506000,9965000,229738000,8603000,26856000,24092000,10856000,9867000,2757000,59551000,289289000,18225000,1193000,17032000,108235000,108235000,126460000,6701000,3e+06,6701000,133161000,266963000,-110311000,-524000,156128000,156128000,289289000,-5186000,1301000,3974000,12012000,12101000,-1416000,-72591000,-77549000,4973000,4973000,-250000,4640000,-60808000,-60808000,169000,-60639000,-4547000,0,6155000,0.88314,-0.13657,-0.12111,-0.03322,-0.01793,-1.18685,1.81669,0.8529,0,-0.08636,-0.08636,0.71307,2.59988,0.10249,-0.03185,0.0378,39.34176,30.58943
"6","2018_Q3",50.9236507936508,"Up",46796000,-5269000,41527000,-50454000,-40273000,-10181000,-8927000,-2232000,-832000,-11159000,-11159000,5864000,-5295000,-5295000,-5295000,-5295000,330615000,98571000,232044000,44592000,44592000,23594000,10735000,398801000,10482000,74608000,23400000,10267000,9679000,2842000,108490000,507291000,31677000,8392000,23285000,115713000,115713000,147390000,6535000,3290000,174790000,322180000,301335000,-115606000,-618000,185111000,185111000,507291000,-5295000,1227000,-680000,-980000,-5728000,-2089000,-159852000,-161936000,1851000,1851000,-19161000,207383000,39719000,39719000,-225000,39494000,-7700000,168255000,-16633000,0.8874,-0.19076,-0.11315,-0.0286,-0.01044,3.14127,2.70575,1.74047,0.33167,-0.08725,-0.08725,0.77113,3.05036,-0.27409,-0.01471,-0.04622,21.08571,18.18752
"7","2018_Q4",54.3034920634921,"Up",54179000,-5810000,48369000,-48740000,-38210000,-10530000,-371000,-1216000,1754000,-1587000,-1587000,1343000,-244000,-244000,-244000,-244000,328058000,85324000,242734000,51228000,51228000,27969000,13810000,407255000,11731000,86023000,21481000,9610000,9652000,1607000,119235000,526490000,29809000,7337000,22472000,124235000,124235000,154044000,6795000,3358000,177722000,331766000,311288000,-115850000,-714000,194724000,194724000,526490000,-244000,716000,5276000,-456000,5292000,-2424000,-21489000,-23913000,5672000,5672000,-101000,5424000,-13197000,-13197000,-50000,-13247000,345000,170927000,-3878000,0.89276,-0.00685,-0.0045,-0.00125,-0.00046,15.89344,2.64376,1.70378,0.32465,-0.00399,-0.00399,0.88668,3.18682,-0.06347,-0.00066,-0.01041,-455.45217,423.53369
"8","2019_Q1",72.19,"Up",109774000,-6717000,103057000,-58141000,-46171000,-11970000,44916000,-1656000,1352000,43260000,43260000,-4515000,38745000,38745000,38745000,38745000,329692000,89974000,239718000,94922000,94922000,37199000,37199000,461813000,11729000,96551000,48074000,7491000,9494000,31089000,156354000,618167000,40565000,5028000,35537000,84015000,84015000,124580000,18122000,4345000,191769000,316349000,315297000,-12908000,-571000,301818000,301818000,618167000,38745000,1974000,10937000,-37232000,14424000,-799000,-6661000,-7460000.00000001,1658000,1658000,-2908000,-1467000,5497000,5497000,-60000,5437000.00000001,46890000,173647000,13374000,0.93881,0.40917,0.35295,0.12837,0.06268,0.345179999999996,3.70696,1.04814,0.28091,0.63025,0.50229,1.78564,4.90953,0.21755,0.0785,0.0271,-3.3279,-3.4741499999999
"9","2019_Q2",91.0122222222222,"Up",76020000,-8e+06,68020000,-72422000,-58350000,-14072000,-4402000,-157000,2829000,-4559000,-4559000,10473000,5914000,5914000,5914000,5914000,367141000,127041000,240100000,52034000,52034000,39441000,39441000,458616000,12210000,94207000,79159000,6993000,9475000,62691000,185576000,644192000,42642000,6804000,35838000,71120000,71120000,290107000,28247000,24033000,28247000,318354000,333712000,-6994000,-880000,325838000,325838000,644192000,5914000,1648000,-3551000,12027000,16038000,-1528000,3428000,1900000,18425000,18425000,-3744000,19599000,37537000,37537000,-105000,37432000,-2754000,176345000,-2728000,0.89476,-0.05791,0.0778,0.01815,0.00918,-0.46128,1.58085,0.97703,0.27375,0.0955,0.08764,1.22759,5.26173,-0.04405,0.01115,-0.00514,69.27959,43.34303
"10","2019_Q3",124.0759375,"Up",82043000,-9295000,72748000,-81036000,-64655000,-16381000,-8288000,-2251000,847000,-10539000,-10539000,7320000,-3219000,-3219000,-3219000,-3219000,332656000,108004000,224652000,64977000,64977000,43522000,43522000,441155000,13984000,94146000,114217000,16527000,19004000,78686000,222347000,663502000,46648000,10823000,35825000,71767000,71767000,297575000,34499000,32675000,34499000,332074000,341116000,-10213000,525000,331428000,331428000,663502000,-3219000,338000,6432000,-12916000,-9365000,-2022000,16830000,-1796000,-5198000,-5198000,-2822000,-8019999.99999997,-19181000,-19181000,148000,-19033000,-7950000,179160000,-30208000,0.88671,-0.10102,-0.03924,-0.00971,-0.00484999999999999,9.38428,1.4825,1.00195,0.27002,-0.05141,-0.0469899999999999,1.31026,5.29302,-0.48243,-0.00591,-0.05542,19.30767,18.52027
