"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.8695238095238,"Up",74369000,-47143000,27226000,-15399000,-15049000,-350000,11827000,69000,66000,3000,11896000,11896000,-4671000,7225000,7225000,7225000,7225000,61640377.0909273,52350391.4335289,-30335930.4962241,-30335930.4962241,-257143235.545954,32406098.545159,6307614.49980855,-193432690.406092,1418445.1266496,866332.377567449,860000,118702152.182001,-74730538.2240915,-177329609.048951,-70436076.0770596,608442.506731659,-177329609.048951,99665.1781992641,99665.1781992641,-177229943.870752,9000,-77977.8378210709,138764117.042377,102499405.64666,102499405.64666,-74730538.2240915,7225000,350000,906000,17983000,26464000,-130000,-10147000,-2278000,-2573000,13744000,13744000,13744000,12177000,0,34701000,0.36609,0.15903,0.09715,-0.3779665344508,-0.248636089007532,4.80291,123.685440959885,-2.02487116750871,0,0.31797,0.31594,3.273,6.00078913295492,1.5272,0.10026,-0.339450386926415,-1.57884794630051,0.31529,-80.353843112531,-88.4907353559849
"2","2010_Q3",8.9665625,"Down",61245000,-38915000,22330000,-14602000,-14287000,-315000,7728000,131000,101000,30000,7859000,7859000,-2881000,4978000,4978000,4978000,4978000,59953188.5454636,50258695.7167644,-12067965.248112,-12067965.248112,-94782617.7729772,15372549.2725795,2874807.24990428,-31524845.2030461,2796222.5633248,863166.188783724,860000,67183576.0910004,35658730.8879543,-74181304.5244755,-27924038.0385298,1736221.25336583,-74181304.5244755,220832.589099632,220832.589099632,-73960471.9353758,9000,-29488.9189105355,125078558.521189,109619202.82333,109619202.82333,35658730.8879543,4978000,315000,669000,-5748000,214000,-173000,-210000.000000002,-2843000,-6385000,-6381000,-6381000,-6381000,8043000,0,5003000,0.3646,0.12618,0.08128,-0.1491382672254,-0.0926130445037662,1.00502,61.3388104799424,-0.863150583754357,0,0.22011,0.2189,2.70804,5.45091956647746,0.22122,0.12571,-0.119565193463207,-0.797433973150256,0.57111,-40.3235665562655,-44.1927876779924
"3","2010_Q4",9.24875,"Up",45118000,-28193000,16925000,-9898000,-9540000,-358000,7027000,-46000,98000,-144000,6981000,6981000,-2459000,4522000,4522000,4522000,4522000,59607396.1818212,49651898.5722548,-2049988.41603734,-2049988.41603734,-7916872.59099241,6214183.09085984,1316935.74996809,55854718.2656513,3387407.52110827,861055.396261241,860000,34661525.3636668,90516243.6293181,-16081101.5081585,-3934012.67950993,2315407.08445528,-16081101.5081585,287944.196366544,287944.196366544,-15793157.311792,9000,4503.69369648818,110641852.840396,106309400.94111,106309400.94111,90516243.6293181,4522000,358000,263000,-348000,4795000,-198000,-248000,-2812000,-3799000,748000,748000,748000,7385000,0,9298000,0.37513,0.15575,0.10023,-0.0172960890751333,-0.00240434816792208,2.05617,25.7768734933141,-0.199846861251452,0,0.20092,0.1996,2.00471,4.88190985549249,0.41313,0.12494,0.00978160217893089,-0.278074657716752,0.62185,-18.0985321854218,-19.5857058926641
"4","2011_Q1",8.23741935483871,"Down",50910000,-33435000,17475000,-11033000,-10681000,-352000,6442000,99000,116000,-17000,6541000,6541000,-2395000,4146000,4146000,4146000,4146000,59776000,49660000,1985000,1985000,25140000,2703000,1036000,89604000,3433000,860000,860000,16683000,106287000,8961000,6452000,2509000,8961000,321000,321000,9282000,9000,22000,97115000,97005000,97005000,106287000,4146000,352000,729000,-6594000,-1367000,-176000,-218000,-2794000,-10009000,-11594000,-11594000,-11594000,6794000,0,2419000,0.34325,0.12654,0.08144,0.04274,0.03901,0.58345,9.99933,0.09569,0,0.18666,0.18585,2.292,4.36683,0.10891,0.12579,0.07131,0.02485,0.6739,-8.79835,-9.27911
"5","2011_Q2",7.3331746031746,"Down",73578000,-49468000,24110000,-16545000,-16204000,-341000,7565000,85000,86000,-1000,7650000,7650000,-2813000,4837000,4837000,4837000,4837000,59632000,49413000,2304000,2304000,26074000,2611000,1434000,90621000,3174000,860000,860000,8795000,99416000,12935000,8152000,2480000,12935000,340000,340000,13275000,9000,21000,86159000,86141000,86141000,99416000,4837000,341000,429000,2937000,8544000,-82000,7537000,-2751000,-16328000,-247000,-247000,-247000,7906000,0,13574000,0.32768,0.10282,0.06574,0.05615,0.04865,2.80628,7.00588,0.15411,0,0.22344,0.22222,3.39884,3.97875,0.62703,0.12708,0.08774,0.15696,0.56874,-7.54263,-7.88262
"6","2011_Q3",5.7434375,"Down",58225000,-38291000,19934000,-13854000,-13508000,-346000,6080000,136000,72000,64000,6216000,6216000,-2286000,3930000,3930000,3930000,3930000,57404000,47138000,1433000,1433000,19114000,3563000,1959000,81514000,2910000,860000,860000,6459000,87973000,8695000,6409000,2286000,8695000,346000,346000,9041000,9000,21000,79825000,78932000,78932000,87973000,3930000,346000,837000,2538000,7651000,-211000,1863000,-2653000,-11789000,-2275000,-2275000,-2275000,6426000,0,11039000,0.34236,0.10442,0.0675,0.04979,0.04467,2.80891,9.37481,0.11454,0,0.19039,0.18976,2.82071,3.82342,0.53478,0.12852,0.08304,0.13924,0.67506,-8.93308,-9.44145
"7","2011_Q4",5.39047619047619,"Down",50523000,-33369000,17154000,-11052000,-10693000,-359000,6102000,69000,70000,-1000,6171000,6171000,-2273000,3898000,3898000,3898000,3898000,52265000,41965000,1639000,1639000,25946000,3331000,2013000,83181000,2882000,860000,860000,5222000,88403000,8231000,6141000,2090000,8231000,359000,359000,8590000,9000,20000,79774000,79813000,79813000,88403000,3898000,359000,285000,-7015000,-2473000,-331000,853000,-2510000,-3553000,-5173000,-5173000,-5173000,6461000,0,1388000,0.33953,0.12078,0.07715,0.04884,0.04409,0.35608,10.10582,0.10763,0,0.1941,0.19316,2.51584,3.97391,0.06912,0.12499,0.07993,0.01731,0.64392,-8.08931,-8.56522
"8","2012_Q1",6.69903225806452,"Up",55924000,-36957000,18967000,-12692000,-12327000,-365000,6275000,59000,60000,-999.999999999993,6334000,6334000,-2340000,3994000,3994000,3994000,3994000,57148000,46801000,1572000,1572000,26217000,2670000,1241000,87607000,2597000,860000,860000,3457000,91064000,9391000,6619000,2772000,9391000,492000,492000,9883000,9000,20000,81108000,81181000,81181000,91064000,3994000,365000,686000,1624000,6669000,-81000,1386000,-3050000,-3219000,4836000,4836000,4836000,6640000,0,10523000,0.33916,0.11221,0.07142,0.0492,0.04386,2.6347,9.32883,0.12174,0,0.1989,0.19797,2.78506,4.04243,0.52405,0.15189,0.08625,0.12884,0.76365,-8.60663,-9.10725
"9","2012_Q2",7.02825396825397,"Up",68955000,-46651000,22304000,-16100000,-15772000,-328000,6204000,59000,59000,8122.29433786945,6263000,6263000,-2311000,3952000,3952000,3952000,3952000,67733000,57351000,2392000,2392000,18314000,2768000,1658000,91207000,2476000,860000,860000,3336000,94543000,11628000,7252000,2162000,11628000,270000,270000,11898000,9000,574000,82009000,82645000,82645000,94543000,3952000,328000,464000,9057000,13801000,-207000,-233000,-3018000,-3018000,10550000,10550000,10550000,6532000,0,17693000,0.32346,0.08997,0.05731,0.04782,0.0418,4.47697,7.84374,0.14397,0,0.19643,0.19521,3.42736,4.10736,0.87942,0.15001,0.08406,0.21339,0.76366,-10.36941,-10.91763
"10","2012_Q3",6.03047619047619,"Down",58145000,-38775000,19370000,-13044000,-12795000,-249000,6326000,64000,64000,2987.67038712332,6390000,6390000,-2356000,4034000,4034000,4034000,4034000,62466000,47041000,1888000,1888000,19590000,2248000,1047000,86192000,2311000,860000,860000,3171000,89363000,9023000,6956000,2067000,9023000,227000,227000,9250000,9000,20000,80015000,80113000,80113000,89363000,4034000,249000,715000,-3065000,1933000,-84000,-5111000,-3099000,-7132000,-10310000,-10310000,-10310000,6575000,0,5782000,0.33313,0.1088,0.06938,0.05035,0.04514,1.43332,9.55248,0.11546,0,0.20208,0.20108,2.91278,4.01282,0.28965,0.15524,0.08879,0.07197,0.76822,-9.50053,-9.87449
