"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.0796825396825,"Up",8.238e+09,-5.894e+09,2.344e+09,-1.603e+09,-9.32e+08,-4.02e+08,-2.69e+08,7.41e+08,-2.72e+08,-3.35e+08,6.3e+07,4.69e+08,4.69e+08,-2.31e+08,-2e+06,2.36e+08,2.36e+08,-3e+06,2.33e+08,2.33e+08,3.538e+09,3.538e+09,6.068e+09,6.068e+09,6.99e+09,9.816e+09,5.4e+08,8.123e+09,2.6412e+10,1.2057e+10,7.22e+08,1.9645e+10,4.88e+08,2.284e+09,2.558e+09,1.4182e+10,3.2424e+10,5.8836e+10,7.795e+09,3.431e+09,4.364e+09,7.79e+09,2.832e+09,1.367e+09,1.465e+09,1.8417e+10,1.6413e+10,1.4532e+10,7.281e+09,7.251e+09,3.0945e+10,4.9362e+10,3.482e+09,-1.0595e+10,1.9941e+10,-3.886e+09,8.942e+09,5.32e+08,9.474e+09,5.8836e+10,2.36e+08,5.54e+08,9.4e+07,9.4e+07,-1.68e+08,-3.73e+08,-6.44e+08,6.98e+08,1.51e+08,7.16e+08,-1.85e+08,3.53e+08,3.53e+08,-5.38e+08,-1e+06,4.5e+07,-4.6e+07,-1.03e+08,-1.03e+08,2.34e+08,-5.5e+07,-2.62e+08,3.31e+08,3.31e+08,2.6e+07,2.6e+07,-2.031e+09,-1.936e+09,-1.275e+09,-1.275e+09,-5.4e+07,-1.329e+09,1.295e+09,2.4203e+10,1.173e+09,0.28454,0.08995,0.02828,0.02459,0.00396,5.03433,1.43411,5.21026,0.41136,0.37197,0.36208,13.15134,14.27522,1.87261,0.41826,40.2087952032842,0.01027,0.02433,1.12446,15.95753,27.88799
"2","2010_Q3",50.26046875,"Up",1.0409e+10,-7.372e+09,3.037e+09,-1.826e+09,-1.059e+09,-4.5e+08,-3.17e+08,1.211e+09,-2.65e+08,-3.15e+08,5e+07,9.46e+08,9.46e+08,-2.09e+08,-4e+06,7.33e+08,7.33e+08,-2.6e+07,7.07e+08,7.07e+08,3.597e+09,3.597e+09,6.348e+09,6.348e+09,7.339e+09,1.0092e+10,9.65e+08,8.086e+09,2.7376e+10,1.1763e+10,1.15e+09,1.8504e+10,4.85e+08,2.292e+09,2.464e+09,1.3109e+10,3.1417e+10,5.8793e+10,8.951e+09,3.975e+09,4.699e+09,8.276e+09,2.557e+09,1.404e+09,1.153e+09,1.9784e+10,1.5398e+10,1.3907e+10,6.977e+09,6.93e+09,2.9305e+10,4.9089e+10,3.636e+09,-1.0539e+10,2.0133e+10,-4.045e+09,9.185e+09,5.19e+08,9.704e+09,5.8793e+10,7.33e+08,5.62e+08,8.2e+07,8.2e+07,-1.82e+08,-7.23e+08,-3.76e+08,6.21e+08,2.96e+08,1.195e+09,-8.4e+07,4.02e+08,4.02e+08,-4.86e+08,1e+07,4.5e+07,-3.5e+07,-66999999.9999998,-66999999.9999998,-7.9e+07,-2.2e+08,-2.65e+08,-4.67e+08,-4.67e+08,5.8e+07,5.8e+07,-1.76e+08,-8.5e+08,1.25e+08,1.25e+08,-6.6e+07,5.9e+07,1.773e+09,2.3674e+10,1.716e+09,0.29177,0.11634,0.06792,0.07286,0.01203,2.42716,1.38374,5.05864,0.40267,1.12258,1.09274,16.52747,14.58399,2.72467,0.42077,23.0446907750849,0.02056,0.03629,0.37482,11.32375,16.57886
"3","2010_Q4",61.646875,"Up",1.1134e+10,-7.752e+09,3.382e+09,-1.968e+09,-1.148e+09,-5.1e+08,-3.1e+08,1.414e+09,-3.11e+08,-3.12e+08,1e+06,1.103e+09,1.103e+09,-2.95e+08,-7e+06,8.01e+08,8.01e+08,-9e+06,7.92e+08,7.92e+08,2.265e+09,2.265e+09,7.395e+09,7.395e+09,9.006e+09,9.911e+09,9.71e+08,7.933e+09,2.8577e+10,1.2065e+10,9.56e+08,2.0044e+10,8.24e+08,2.634e+09,2.909e+09,1.3517e+10,3.3065e+10,6.1642e+10,9.574e+09,4.97e+09,4.604e+09,7.548e+09,3.056e+09,1.47e+09,1.586e+09,2.0178e+10,1.58e+10,1.5332e+10,8.117e+09,7.215e+09,3.1132e+10,5.131e+10,3.757e+09,-1.0463e+10,2.0955e+10,-4.412e+09,9.837e+09,4.95e+08,1.0332e+10,6.1642e+10,8.01e+08,5.65e+08,1.69e+08,1.69e+08,-4.99e+08,-2.41e+08,-1.066e+09,6.47e+08,1.61e+08,1.036e+09,-2.95e+08,3.46e+08,3.46e+08,-6.41e+08,3e+06,5.1e+07,-4.8e+07,-9.41e+08,-9.41e+08,2.91e+08,-9.42e+08,-2.77e+08,-1.94e+08,-1.94e+08,1.09e+08,1.09e+08,-1.124e+09,-1.486e+09,-1.392e+09,-1.392e+09,6e+07,-1.332e+09,1.979e+09,2.3348e+10,1.48e+09,0.30375,0.127,0.07113,0.07666,0.01285,1.86869,1.41625,4.96612,0.37877,1.25198,1.21547,17.60038,15.55011,2.33955,0.43788,12.8917590406568,0.02181,0.0302,0.34975,10.65336,14.91018
"4","2011_Q1",73.5398387096774,"Up",1.2807e+10,-9.349e+09,3.458e+09,-1.947e+09,-1.109e+09,-5.43e+08,-2.95e+08,1.511e+09,-2.79e+08,-2.95e+08,1.6e+07,1.232e+09,1.232e+09,-2.33e+08,-1.1e+07,9.88e+08,9.88e+08,-2e+07,9.68e+08,9.68e+08,3.592e+09,3.592e+09,8.494e+09,8.494e+09,9.587e+09,1.0137e+10,9.08e+08,8.298e+09,3.181e+10,1.2539e+10,7.93e+08,1.8878e+10,8.05e+08,2.614e+09,2.493e+09,1.2802e+10,3.221e+10,6.402e+10,1.1182e+10,5.856e+09,5.045e+09,7.282e+09,3.556e+09,1.831e+09,1.725e+09,2.202e+10,1.5932e+10,1.4743e+10,7.584e+09,7.159e+09,3.0675e+10,5.2695e+10,3.888e+09,-1.0397e+10,2.1384e+10,-4.051e+09,1.0824e+10,5.01e+08,1.1325e+10,6.402e+10,9.88e+08,6.15e+08,1.24e+08,1.24e+08,3.35e+08,-9.83e+08,-5.81e+08,6.04e+08,1.295e+09,2.062e+09,-5.53e+08,3.68e+08,3.68e+08,-9.21e+08,-1e+06,8.7e+07,-8.8e+07,-14999999.9999998,-15000000.0000002,1.91e+08,-3.78e+08,-2.8e+08,6.21e+08,6.21e+08,1.03e+08,1.03e+08,-7.85e+08,-3.41e+08,1.343e+09,1.343e+09,-1.6e+07,1.327e+09,2.126e+09,2.3214e+10,2.141e+09,0.27001,0.11798,0.07558,0.08547,0.01512,2.21178,1.4446,4.65298,0.36261,1.51915,1.46778,20.09887,16.98682,3.36001,0.43942,8,0.02532,0.04344,0.28926,9.22954,12.9861
"5","2011_Q2",77.5090476190476,"Up",1.2949e+10,-9.057e+09,3.892e+09,-1.856e+09,-1.099e+09,-5.25e+08,-2.32e+08,2.036e+09,-2.73e+08,-2.9e+08,1.7e+07,1.763e+09,1.763e+09,-5.12e+08,-8e+06,1.243e+09,1.243e+09,-1.8e+07,1.225e+09,1.225e+09,4.869e+09,4.869e+09,8.83e+09,8.83e+09,1.0676e+10,1.0233e+10,8.8e+08,8.458e+09,3.4608e+10,1.2219e+10,4.86e+08,1.9074e+10,7.94e+08,2.608e+09,2.412e+09,1.312e+10,3.1779e+10,6.6387e+10,1.0523e+10,5.99e+09,4.533e+09,9.152e+09,3.472e+09,1.728e+09,1.744e+09,2.3147e+10,1.5428e+10,1.4681e+10,7.514e+09,7.167e+09,3.0109e+10,5.3256e+10,4.044e+09,-1.0331e+10,2.264e+10,-3.724e+09,1.2629e+10,5.02e+08,1.3131e+10,6.6387e+10,1.243e+09,5.75e+08,9.5e+07,9.5e+07,-1.148e+09,-1.7e+07,-1.185e+09,3.64e+08,-3.1e+08,7.65e+08,-4.58e+08,3.02e+08,3.02e+08,-7.6e+08,-6e+06,6.6e+07,-7.2e+07,1.3e+07,-8e+06,1.7e+07,-4.34e+08,-2.81e+08,1.46e+09,1.46e+09,5.8e+07,5.8e+07,-3.47e+08,8.9e+08,1.221e+09,1.221e+09,5.6e+07,1.277e+09,2.611e+09,2.458e+10,1.517e+09,0.30056,0.15723,0.0946,0.09329,0.01845,1.23837,1.49514,4.05575,0.37025,1.90988,1.84238,20.18865,19.68974,2.36514,0.4381,6.61941365311439,0.02874,0.02895,0.22939,7.54921,9.68124
"6","2011_Q3",67.93078125,"Down",1.423e+10,-1.0303e+10,3.927e+09,-2.117e+09,-1.257e+09,-5.84e+08,-2.76e+08,1.81e+09,-4.6e+08,-2.99e+08,-1.61e+08,1.35e+09,1.35e+09,-3.18e+08,-1e+07,1.022e+09,1.022e+09,-7e+06,1.015e+09,1.015e+09,1.0715e+10,1.0715e+10,8.916e+09,8.916e+09,1.1359e+10,9.765e+09,6.69e+08,8.117e+09,4.0755e+10,1.243e+10,1.023e+09,1.9403e+10,7.75e+08,2.61e+09,2.387e+09,1.3508e+10,3.2856e+10,7.3611e+10,1.1799e+10,6.858e+09,4.644e+09,7.949e+09,3.762e+09,1.823e+09,1.939e+09,2.351e+10,1.7013e+10,1.9192e+10,7.438e+09,1.1754e+10,3.6205e+10,5.9715e+10,4.165e+09,-1.0311e+10,2.3081e+10,-3.544e+09,1.3391e+10,5.05e+08,1.3896e+10,7.3611e+10,1.022e+09,5.99e+08,2.42e+08,2.42e+08,6.66e+08,62000000.0000001,-6.65e+08,6.92e+08,5.77e+08,2.529e+09,-4.25e+08,3.19e+08,3.19e+08,-7.44e+08,-3e+06,5.6e+07,-5.9e+07,-60000000.0000002,-60000000.0000002,-2.64e+08,-7.52e+08,-2.84e+08,-1.424e+09,-1.424e+09,3.8e+07,3.8e+07,5.708e+09,4.038e+09,5.815e+09,5.815e+09,3.1e+07,5.846e+09,2.409e+09,2.4962e+10,2.968e+09,0.27597,0.1272,0.07133,0.07304,0.01379,2.92414,1.73352,4.29728,0.33911,1.57242,1.52128,22.04493,20.74516,4.59799,0.43997,7,0.02238,0.05113,0.2798,5.91407,7.87127
"7","2011_Q4",66.5971428571429,"Down",1.5716e+10,-1.1455e+10,4.261e+09,-2.291e+09,-1.36e+09,-5.84e+08,-3.47e+08,1.97e+09,-3.36e+08,-3.23e+08,-1.3e+07,1.634e+09,1.634e+09,-4.74e+08,-6e+06,1.154e+09,1.154e+09,-1.3e+07,1.141e+09,1.141e+09,3.229e+09,3.229e+09,9.386e+09,9.386e+09,1.4412e+10,9.837e+09,7.95e+08,7.92e+09,3.6864e+10,1.3397e+10,1.283e+09,2.6223e+10,4.529e+09,7.778e+09,8.06e+08,1.2989e+10,4.0903e+10,7.7767e+10,1.2844e+10,7.524e+09,5.32e+09,7.07e+09,5.304e+09,2.745e+09,2.559e+09,2.5218e+10,1.7878e+10,1.9967e+10,7.494e+09,1.2473e+10,3.7845e+10,6.3063e+10,4.229e+09,-1.0299e+10,2.4251e+10,-4.019e+09,1.4162e+10,5.42e+08,1.4704e+10,7.7767e+10,1.154e+09,6.58e+08,2.21e+08,2.21e+08,1.88e+08,-2.99e+08,-8.66e+08,2.52e+08,1.101e+09,2.221e+09,-6.94e+08,3.01e+08,3.01e+08,-9.95e+08,-2.7e+07,5.8e+07,-8.5e+07,-7.345e+09,-7.345e+09,-1.98e+08,-8.264e+09,-2.97e+08,-8.02e+08,-8.02e+08,1.4e+07,1.4e+07,-2.31e+08,-1.316e+09,-7.359e+09,-7.359e+09,-1.27e+08,-7.486e+09,2.628e+09,2.4948e+10,2.596e+09,0.27112,0.12535,0.0726,0.0776,0.01467,2.2752,1.46181,4.28883,0.3208,1.76461,1.71321,24.3056,21.90226,4.01485,0.45933,7,0.02412,0.04354,0.2603,8.26446,11.02487
"8","2012_Q1",81.2653225806452,"Up",1.7243e+10,-1.2763e+10,4.48e+09,-2.317e+09,-1.487e+09,-6.04e+08,-2.26e+08,2.163e+09,-1.85e+08,-3.1e+08,1.25e+08,1.978e+09,1.978e+09,-4.16e+08,0,1.562e+09,1.562e+09,-1.5e+07,1.547e+09,1.547e+09,3.057e+09,3.057e+09,1.0057e+10,1.0057e+10,1.4544e+10,1.0242e+10,9.94e+08,7.668e+09,3.79e+10,1.4395e+10,1.13e+09,2.7793e+10,4.368e+09,7.08e+09,2.157e+09,1.4055e+10,4.3318e+10,8.1218e+10,1.4813e+10,8.161e+09,6.354e+09,8.997e+09,4.547e+09,2.487e+09,2.06e+09,2.8357e+10,1.6529e+10,2.293e+10,1.0956e+10,1.1974e+10,3.9459e+10,6.7816e+10,4.273e+09,-1.0281e+10,2.5219e+10,-6.328e+09,1.2883e+10,5.19e+08,1.3402e+10,8.1218e+10,1.562e+09,6.95e+08,-1.01e+08,-1.01e+08,-7.14e+08,-1.155e+09,-2.11e+08,2.47e+08,4.05e+08,1.442e+09,-9.93e+08,4.32e+08,4.32e+08,-1.425e+09,-5.3e+07,6.7e+07,-1.2e+08,-415999999.999999,-7.71e+08,-5.15e+08,-1.977e+09,-2.97e+08,7.29e+08,7.29e+08,1.3e+07,1.3e+07,-38000000.000001,406999999.999998,-127999999.999998,-127999999.999998,-4.4e+07,-1.72e+08,2.858e+09,2.5526e+10,1.567e+09,0.25982,0.12544,0.08972,0.11543,0.01905,1.01293,1.33653,5.06014,0.31429,2.39288,2.32178,26.67131,19.9273,2.42382,0.4594,5,0.02981,0.02533,0.19198,7.86179,10.38789
"9","2012_Q2",70.9866666666667,"Down",1.5981e+10,-1.1237e+10,4.744e+09,-2.217e+09,-1.34e+09,-5.87e+08,-2.9e+08,2.527e+09,-2.29e+08,-3.17e+08,8.8e+07,2.298e+09,2.298e+09,-6.89e+08,2e+06,1.611e+09,1.611e+09,-2.5e+07,1.586e+09,1.586e+09,2.864e+09,2.864e+09,1.037e+10,1.037e+10,1.6511e+10,1.0464e+10,1.032e+09,7.931e+09,4.0209e+10,1.4571e+10,9.02e+08,2.8226e+10,4.287e+09,7.081e+09,2.082e+09,1.4637e+10,4.3699e+10,8.3908e+10,1.3715e+10,8.36e+09,5.355e+09,9.511e+09,5.623e+09,2.921e+09,2.702e+09,2.8849e+10,1.678e+10,2.2808e+10,1.0815e+10,1.1993e+10,3.9588e+10,6.8437e+10,4.351e+09,-1.0164e+10,2.6815e+10,-6.033e+09,1.4969e+10,5.02e+08,1.5471e+10,8.3908e+10,1.611e+09,6.61e+08,-1.8e+07,-1.8e+07,-1.939e+09,1.5e+08,-2.038e+09,5.17e+08,-5.68e+08,3.15e+08,-8.84e+08,2.45e+08,2.45e+08,-1.129e+09,-1.1e+07,1.12e+08,-1.23e+08,-6.3e+07,-6.3e+07,-5.78e+08,-1.536e+09,-2.98e+08,8.56e+08,8.56e+08,7e+06,7e+06,4.26e+08,9.91e+08,-2.3e+08,-2.3e+08,3.7e+07,-1.93e+08,3.188e+09,2.6291e+10,1.054e+09,0.29685,0.15813,0.09924,0.10251,0.0189,0.66456,1.39377,4.42357,0.31333,2.44,2.36646,24.58615,23.02923,1.62154,0.45846,5,0.02918,0.01632,0.18789,7.34849,9.27068
"10","2012_Q3",64.9742857142857,"Down",1.7374e+10,-1.228e+10,5.094e+09,-2.28e+09,-1.517e+09,-6.32e+08,-1.31e+08,2.814e+09,-2.38e+08,-3.08e+08,7e+07,2.576e+09,2.576e+09,-8.72e+08,5e+06,1.709e+09,1.709e+09,-1e+07,1.699e+09,1.699e+09,5.103e+09,5.103e+09,1.0443e+10,1.0443e+10,1.7344e+10,1.1404e+10,1.336e+09,8.383e+09,4.4294e+10,1.4928e+10,8.03e+08,2.8813e+10,4.236e+09,7.32e+09,2.032e+09,1.5101e+10,4.4544e+10,8.8838e+10,1.5238e+10,8.47e+09,6.429e+09,1.0194e+10,5.841e+09,3.132e+09,2.709e+09,3.1273e+10,1.8092e+10,2.3492e+10,1.0626e+10,1.2866e+10,4.1584e+10,7.2857e+10,4.373e+09,-1.0139e+10,2.7842e+10,-6.15e+09,1.5926e+10,55000000.0000001,1.5981e+10,8.8838e+10,1.709e+09,6.89e+08,-4.1e+07,-4.1e+07,-6.94e+08,-1.13e+08,-9.01e+08,-2.18e+08,5.38e+08,1.663e+09,-8.68e+08,2.98e+08,2.98e+08,-1.166e+09,-1.1e+07,6.5e+07,-7.6e+07,-1.46e+08,-4.54e+08,-9.43e+08,-1.968e+09,-3e+08,-3.03e+08,-3.03e+08,1.8e+07,1.8e+07,3.295e+09,2.71e+09,2.405e+09,2.405e+09,-1.66e+08,2.239e+09,3.503e+09,2.8286e+10,2.813e+09,0.2932,0.16197,0.09779,0.10631,0.01912,1.65568,1.41637,4.55898,0.3184,2.60224,2.53734,26.61051,24.39271,4.30847,0.45949,5,0.0295,0.04151,0.17657,6.61804,8.23845
