"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",97.4698412698413,"Down",13016000,-6376000,6640000,-1734000,-1287000,-447000,4906000,-810000,-12000,-576000,83361.8114813448,4096000,4096000,3820000,3820000,3820000,3820000,100546776.125541,94755031.1995654,-39821298.2848012,-39821298.2848012,67248184.1093334,-5894593.62146388,-5894593.62146388,122079068.32861,116336713.11173,56385760.7184396,4517198.98899828,44768950.9495406,3945652.83535278,172722473.83017,294801542.158779,-90082476.6909255,-15270695.8791373,-74811780.8117882,2828136.47957325,-87203341.149641,17718260.325964,468726.702203045,0.0199591854340849,18186987.028167,-69016354.121474,173326312.9746,39081644.7270923,149366193.144436,361774150.846128,363817896.280253,294801542.158779,3820000,1384000,469000,-4104000,1569000,-8273000,-8258000,2389000,2436000,-4253000,-4253000,604000,-3649000,6290000,0,0.51014,0.37692,0.29348,-0.504851040536296,-0.479882535387353,67.265652305976,-0.684223678334928,0.0943805001725936,5.12408,4.78217,17.45942,117.672644514941,-0.479883643901966,-84.6037488325179,-63.4947604022578
"2","2011_Q3",49.47328125,"Down",9957000,-7628000,2329000,-2936000,-2198000,-738000,-607000.000000001,-780000,14000,-163000,44000,-1387000,-1387000,-1168000,-1168000,-1168000,-1168000,98975388.0627707,96079515.5997827,-13452649.1424006,-13452649.1424006,36799592.0546667,-1726296.81073194,-1726296.81073194,120596034.164305,78805356.555865,36263380.3592198,3100599.49449914,28838975.4747703,2302826.41767639,115068736.915085,235664771.07939,-30277738.3454628,-3127347.93956864,-27150390.4058941,1804068.23978663,-28422670.5748205,11458130.162982,462363.351101522,0.00997959271704247,11920493.5140835,-16502177.060737,167666656.4873,12418322.3635461,70164096.572218,250249075.423064,252166948.140127,235664771.07939,-1168000,1654000,1342000,-118000,1710000,-3433000,-3855000,1752000,94463000,92318000,92318000,448000,92766000,1047000,-4.65661287307739e-10,0.23391,-0.06096,-0.1173,-0.310030520268148,-0.288021267693677,33.186051152988,-0.214096839167464,0.0639152500862968,-0.46281,-0.472800000000002,3.9454,84.3859622574703,-0.294921821950983,-39.5836394162589,-27.7387452011289
"3","2011_Q4",34.3174603174603,"Down",5600000,-5124000,476000,-4370000,-3329000,-1041000,-3894000,-1239000,8000,-181000,39000,-5133000,-5133000,-5123000,-5123000,-5123000,-5123000,92646129.3542569,91680838.5332609,439116.952533137,439116.952533137,21329197.3515556,585901.063089353,585901.063089353,115000344.721435,59034785.5186217,24937793.4530733,2263533.16483305,19855325.1582568,1436275.4725588,83972578.971695,198972923.69313,1270087.21817908,2783884.02014379,-1513796.80196471,1228356.07992887,2549443.1417265,7822043.38766066,452787.783700507,0.00332653090568082,8274831.17136117,10824274.3130877,164962218.8291,-4434892.54548462,25867032.1907393,186394358.474355,188148649.380042,198972923.69313,-5123000,1721000,3144000,-3046000,-3304000,-4415000,-5099000,-8000,-2000,-8405000,-8405000,160000,-8245000,-2173000,0,0.085,-0.69536,-0.91482,-0.171376840089383,-0.155310422564559,14.8607403843293,0.0352410536108454,0.0468550833620989,-1.87959,-1.87959,2.05459,65.4828740858234,-0.163243940650328,-9.82505313875297,-5.45659506704296
"4","2012_Q1",37.3306451612903,"Up",5329000,-10306000,-4977000,-7158000,-4828000,-2330000,-12135000,-854000,18000,205000,47000,-12989000,-12989000,-13667000,-13667000,-13633000,-13633000,83619000,83619000,5480000,5480000,16217000,1542000,1542000,106858000,51804000,19664000,1853000,15579000,1126000,71468000,178326000,12797000,4464000,8333000,981000,13829000,6105000,441000,0,6546000,20375000,164370000,-14974000,6982000,156378000,157951000,178326000,-13667000,1904000,6928000,2810000,-2025000,-5071000,-6428000,-2296000,-2276000.00000001,-10729000,-10729000,-44000,-10773000,-10231000,7086000,-0.93395,-2.27716,-2.55827,-0.08631,-0.07645,7.7271,0.129,0.03974,-4.93949,-4.93949,1.9308,56.6587,-0.08239,7.4805,6.3068
"5","2012_Q2",33.2842857142857,"Down",6747000,-7569000,-822000,-5594000,-3905000,-1689000,-6416000,-1415000,4000,59000,48000,-7831000,-7831000,-7831000,-7831000,-7721000,-7721000,73954000,73954000,5296000,5296000,16843000,1642000,1642000,97735000,51892000,17697000,1716000,13771000,1152000,69589000,167324000,12539000,3914000,8625000,942000,13532000,5602000,428000,0,6030000,19562000,165047000,-22695000,4016000,146368000,147762000,167324000,-7831000,1964000,3158000,-747000,-3456000,-5911000,-5913000,-234000,-208000,-9577000,-9577000,-88000,-9665000,-4452000,6544000,-0.12183,-0.95094,-1.14436,-0.05225,-0.04614,7.22251,0.13239,0.03911,-2.82789,-2.82789,2.47116,53.60876,-0.0499,15.14151,10.50655
"6","2012_Q3",22.1314285714286,"Down",7905000,-8627000,-722000,-5068000,-3045000,-2023000,-5790000,-1524000,12000,-407000,47000,-7314000,-7314000,-7314000,-7314000,-7114000,-7114000,66376000,66376000,4059000,4059000,17931000,1483000,1483000,89849000,54474000,16898000,1684000,12849000,1273000,71372000,161221000,10066000,3435000,6631000,977000,11094000,5539000,415000,0,5954000,17048000,166060000,-29809000,6686000,142937000,144173000,161221000,-7314000,2094000,2739000,-2066000,-4547000,-3377000,-3377000,-43000,-8999.99999999953,-7933000,-7933000,355000,-7578000,-3696000,6516000,-0.0913299999999999,-0.73245,-0.89994,-0.04934,-0.04413,8.09888,0.11825,0.04042,-2.59796,-2.59796,2.88683,52.19917,-0.04708,16.19589,10.33851
"7","2012_Q4",12.4238709677419,"Down",9178000,-10232000,-1054000,-5428000,-3205000,-2223000,-6482000,-2120000,-6000,10000,49000,-8602000,-10102000,-10102000,-10102000,-10003000,-10003000,62945000,62945000,5395000,5395000,14861000,1565000,1565000,84766000,54329000,14522000,1604000,10574000,1269000,68851000,153617000,13614000,5028000,8586000,966000,14631000,5211000,403000,8.67361737988404e-19,5614000,20245000,166566000,-39812000,5499000,132253000,133372000,153617000,-10102000,2262000,3262000,2044000,-2534000,-1151000,-1132000,261000,269000,-3397000,-3397000,-34000,-3431000,-4220000,6177000,-0.11484,-0.70625,-1.08989,-0.075,-0.06512,5.79359,0.15179,0.04021,-3.63997,-3.63997,3.33976,48.12525,-0.07147,13.45213,8.75779
"8","2013_Q1",8.386,"Down",5469000,-8473000,-3004000,-5653000,-4145000,-1508000,-8657000,-8538000,27000,130000,49000,-17195000,-24702000,-24702000,-24702000,-24619000,-24619000,56059000,47228000,4916000,4916000,13016000,1130000,1130000,75121000,46642000,5771000,1552000,1821000,1326000,52413000,127534000,12322000,5768000,6554000,967000,13340000,4953000,390000,0,5343000,18683000,167070000,-64431000,5179000,107818000,108851000,127534000,-24702000,2357000,18960000,-1849000,-5234000,-1280000,-10111000,-238000,-233000,-15578000,-15578000,-139000,-15717000,-6300000,5920000,-0.54928,-1.58292,-4.50155,-0.22617,-0.19304,5.63126,0.17164,0.04642,-8.95595,-8.95595,1.98952,39.22223,-0.21378,7.95857,5.79173
"9","2013_Q2",15.24015625,"Up",6227000,-9515000,-3288000,-4886000,-3663000,-1223000,-8174000,-944000,5000,-926000,52000,-9118000,-9118000,-9118000,-9118000,-8923000,-8923000,47663000,39320000,4104000,4104000,11711000,1056000,1056000,64534000,46212000,8631000,1520000,4435000,1572000,54843000,119377000,10311000,4630000,5681000,1001000,11363000,4852000,377000,1.38777878078145e-17,5229000,16592000,167407000,-73354000,7865000,101918000,102785000,119377000,-9118000,2097000,1796000,1975000,-3250000,-1788000,-3924000,-1867000,-1866000,-9040000,-9040000,1132000,-7908000,-6077000,5853000,-0.52802,-1.31267,-1.43295,-0.08681,-0.07475,5.67931,0.16142,0.04903,-3.24532,-3.24532,2.26478,37.06783,-0.08185,6.88004,5.115
"10","2013_Q3",10.8775,"Down",4830000,-8183000,-3353000,-3654000,-2620000,-1034000,-7007000,826000.000000001,29000,766000,54000,-6181000,-6181000,-6184000,-6184000,-5991000,-5991000,43886000,43886000,3432000,3432000,10175000,1490000,1490000,58983000,43382000,8409000,1420000,4331000,1576000,51791000,110774000,7501000,3357000,4144000,1572000,9124000,5716000,365000,0,6081000,15205000,168050000,-79345000,6205000,94910000,95569000,110774000,-6184000,2086000,1266000,-1404000,-4236000,-521000,7828000,1574000,1577000,5169000,5169000,-603000,4566000,-4921000,7288000,-0.6942,-1.45072,-1.24037,-0.06269,-0.05408,6.4646,0.1591,0.06579,-2.17609,-2.17609,1.75439,34.47387,-0.05804,7.43711,5.22306
