"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",4.91714285714286,"Down",38061373,-33403219,4658154,-3053186,-3053186,1604968,-243298,-247450,4152,1361670,1361670,-503681,857989,857989,857989,857989,7708771.64314165,7708771.64314165,60151191.2118261,60151191.2118261,-155026154.002771,-15968588.5117155,-15367243.753536,-6914506.75123315,-103134779.659519,13219043.5261241,-3376658.28126681,-708977.373454127,-1998303.46893191,9842385.24485724,-93292394.4146618,-145648613.843502,-168871532.114779,23222918.2712768,-1035901.18145378,-237301924.931603,91268974.3755834,4683673.23903139,679253.831272704,95952647.6146148,-141349277.316988,18945681.9431581,29111200.9591683,48056882.9023264,48056882.9023264,-93292394.4146618,857989,1126979,52997,-5431319,-3393354,-2272144,-2272144,-286043,6210469,5924426,258928,258928,258928,2731947,0,-4467835,0.12239,0.04217,0.02254,0.00350598151997398,0.00615481042145957,-5.20733,41.9502906796035,-2.78597033971499,1.4260270207724,0.22444,0.2213,9.95641,14.0333855049664,-1.16873,0.00292590604278814,2.99139899346462,42.2592251145321,-39.0995328841681
"2","2011_Q3",4.32453125,"Down",38195193,-33969173,4226020,-2989832,-2989832,1236188,-305667,-311637,5970,930521,930521,-344471,586050,586050,586050,586050,6687080.32157082,6687080.32157082,37836235.1059131,37836235.1059131,-43640623.5013856,-4704059.75585776,-5962758.37676798,-2801889.87561658,-3821367.82975951,20385999.263062,-1076910.1406334,-245333.686727063,-496887.734465955,19309089.1224286,15487721.2926691,-47190768.4217511,-60285803.0573895,13095034.6356384,372405.909273109,-87403930.9658015,49927858.1877917,4101028.6195157,699117.415636352,54028886.8073074,-33375044.1584941,19439734.971579,29423030.4795842,48862765.4511632,48862765.4511632,15487721.2926691,586050,1346045,-124172,-7871009,-6063086,-911654,-911654,-247660,5924236,5676576,-1298164,-1298164,-1298164,2582233,0,-5855959,0.11064,0.03237,0.01534,0.00602299075998699,0.00489740521072978,-9.99225,19.5092303398017,-0.643175169857493,0.732333510386201,0.15329,0.15098,9.99075,13.4078027524832,-1.53175,0.00420795302139407,1.42305449673231,21.6419275572661,-19.6256614420841
"3","2011_Q4",3.58380952380952,"Down",36934982,-33519936,3415046,-2691460,-2691460,723586,-318983,-318983,0,404603,404603,-149785,254818,254818,254818,254818,5384322.77385694,5384322.77385694,26709009.0353044,26709009.0353044,18782627.4995381,1134871.74804741,-957102.792255992,-583445.291872192,52010831.0567468,24461797.4210207,271381.953122198,60097.7710909789,322847.088511348,24733179.3741429,76744010.4308897,4561015.52608297,-2591160.01912983,7152175.5452128,1006995.63642437,-6734063.98860049,30343148.7292639,3738003.20650523,713552.138545451,34081151.9357691,27347087.9471686,19695767.657193,29701154.8265281,49396922.4837211,49396922.4837211,76744010.4308897,254818,984751,47066,2412463,3699098,-497750,-497750,-400841,-2769405,-3170246,31102,31102,31102,1708337,0,3772835,0.09246,0.01959,0.0069,0.00636766358666233,0.00366913507024326,14.806,7.57368011326724,0.559924943380836,0.3769978367954,0.06665,0.06555,9.66111,13.0670675841611,0.98686,0.00416265100713136,0.495264832244103,13.3137291857554,6.28773618597197
"4","2012_Q1",3.84354838709677,"Up",38536536,-35048550,3487986,-2726430,-2726430,761556,-276802,-276282,-520,484754,484754,-205577,279177,279177,279177,279177,4138102,4138102,23549065,23549065,45021840,3160033,922345,273943,75869040,26189150,845539,199675,645864,27034689,102903729,23162598,18830629,4331969,1093252,24255850,25346022,3558280,722559,28904302,53160152,19787921,29955656,49743577,49743577,102903729,279177,982651,746533,3563914,5572275,-1238533,-1238533,657852,-3897930,-3240078,1093664,1093664,1093664,1744207,26439274,4275165,0.09051,0.01976,0.00724,0.00561,0.00271,15.31346,3.12787,1.06868,0.25693,0.0726,0.07126,10.02084,12.93506,1.11169,0.0035,0.05361,12.78585,29.28369
"5","2012_Q2",3.81444444444444,"Down",38892011,-35349503,3542508,-2909136,-2909136,633372,-250885,-269316,18431,382487,382487,-141526,240961,240961,240961,240961,3286021,3286021,25135955,25135955,47855255,2983251,948207,303391,79260482,26310769,822882,165756,657126,27133651,106394133,22169839,18597796,3572043,856559,25113985,27767654,3525542,726139,31293196,56407181,19790336,30196616,49986952,49986952,106394133,240961,994052,36138,-5279340,-4008189,-1116418,-1116418,-342253,4614779,4272526,-852081,-852081,-852081,1627424,28624213,-4626808,0.09109,0.01629,0.0062,0.00482,0.00226,-19.20148,3.15603,1.12844,0.26904,0.06236,0.06193,10.06451,12.93566,-1.19733,0.00293,-0.05633,15.56951,40.00523
"6","2012_Q3",3.79698412698413,"Down",39902653,-36331246,3571407,-3032310,-3032310,539097,-287969,-296118,8149,251128,251128,-92861,158267,158267,158267,158267,3457928,3457928,27696829,27696829,40643178,2423742,598351,115038,74221677,25633307,700719,139479,561240,26334026,100555703,16432256,12621413,3810843,545032,17142565,29729487,3529122,729719,33258609,50401174,19799646,30354883,50154529,50154529,100555703,158267,1013121,58173,-458904.999999999,770655.999999998,-336055,-336055,-399811,137117,-262693.999999999,171907,171907,171907,1552218,30274519,850119,0.0895,0.01351,0.00397,0.00316,0.00157,5.37142,4.32967,1.00492,0.30107,0.04096,0.04075,10.32567,12.97857,0.21999,0.00189,0.01013,17.2763,49.74354
"7","2012_Q4",4.45758064516129,"Up",38099493,-34577913,3521580,-3125677,-3125677,395903,-259861,-262463,2602,136042,136042,-50386,85656,85656,85656,85656,4991426,4991426,28011239,28011239,36163850,3093333,1145399,242000,72259848,24899476,656371,113202,543169,25555847,97815695,19505709,15519712,3985997,384055,19889764,24062697,3532703,733300,27595400,47485164,19889992,30440539,50330531,50330531,97815695,85656,1054100,77842,6590432,7808030,-371834,-371834,-150802,-5751896,-5902698,1533498,1533498,1533498,1450003,24446752,7718987,0.09243,0.01039,0.00225,0.0017,0.00088,90.11613,3.63302,0.94347,0.24993,0.0221,0.02198,9.83148,12.98767,1.99187,0.00109,0.09857,13.41744,49.14165
"8","2013_Q1",5.10816666666667,"Up",39741827,-35122781,4619046,-3544550,-3544550,1074496,-187658,-197428,9770,886838,886838,-237398,649440,649440,649440,649440,4668931,4668931,27916288,27916288,37838378,3715533,1170537,238592,74139130,24373494,634259,86925,547334,25007753,99146883,24220677,20233521,3987156,346285,24566962,18981895,4576955,1099136,23558850,48125812,19931092,31089979,51021071,51021071,99146883,649440,1008671,383901,3195801,5237813,-482836,-482836,-118572,-4958900,-5077472,-322495,-322495,-322495,2083167,19328180,5033530,0.11623,0.02704,0.01634,0.01273,0.00655,7.75057000000001,3.01784,0.94325,0.19494,0.16614,0.16428,10.16704,13.05258,1.28771,0.00867,0.06718,7.037,13.64291
"9","2013_Q2",4.0946875,"Down",47629229,-42923331,4705898,-4665405,-4665405,40493,-188337,-188337,4081.83393592089,-147844,-147844,54700,-93144,-93144,-93144,-93144,5453236,5453236,19781045,19781045,46900820,4672324,1682338,578868,76807425,25355966,10537927,6168548,767151,35893893,112701318,30288170,24700378,5587792,653390,30941560,24160567,6370530,2884377,30531097,61472657,20231825,30996836,51228661,51228661,112701318,-93144,1189205,200434,-6037708,-4741213,-771427,371170,-105763,5260111,5154348,784305,784305,784305,1229698,24813957,-5634137,0.0988,0.00085,-0.00196,-0.00182,-0.000829999999999998,60.48846,2.48234,1.19997,0.22017,-0.02375,-0.02375,12.14264,13.06028,-1.43637,-0.00113,-0.06836,15.74429,478.12513
"10","2013_Q3",4.59390625,"Up",52729395,-47326225,5403170,-4679755,-4679755,723415,-216870,-208615,-8255,506545,506545,-23711,482834,482834,482834,482834,7591585,7591585,18739228,18739228,48541540,3921406,1077419,376222,78793759,25595807,10590296,6095510,882826,36186103,114979862,32391343,27061589,5329754,655926,33047269,22818371,7359705,3873552,30178076,63225345,20274847,31479670,51754517,51754517,114979862,482834,1032787,104450,3130566,4750637,-1272628,-1272628,-79548.9999999999,-1260111,-1339660,2138349,2138349,2138349,1756202,23474297,3637851,0.10247,0.01372,0.00916,0.00933,0.0042,7.53436999999999,2.38427,1.22164,0.20416,0.12285,0.11905,13.41578,13.16774,0.925569999999999,0.00585,0.04405,9.04378,21.95519
