"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",29.5209523809524,"Up",507318000,-376403000,130915000,-68150000,-68150000,62765000,-4420000,-4420000,-5061000,641000,58345000,58345000,-18477000,39868000,39868000,-2106000,37762000,37762000,437865000,290812000,258142000,258142000,274110000,52452000,52452000,1022569000,343456000,816352000,111916000,667725000,11867000,1159808000,2182377000,322107000,185260000,5997000,130850000,45906000,368013000,425975000,157841000,39523000,71507000,46811000,583816000,951829000,515907000,735530000,-35241000,1216196000,14352000,1230548000,2182377000,39868000,17025000,687000,-13215000,44365000,-11241000,-533801627.420906,-40305000,-5981000,-4570000,1223000,670000,-8658000,-4598000,-4598000,318000,-4280000,79790000,471881000,73811000,0.25805,0.12372,0.07443,0.03069,0.0173,1.95464,2.77862,0.7735,0.21622,1.00844,0.97772,13.54799,32.47866,1.97113,0.15972,8,0.02351,0.03968,0.15839,0.42632,0.54196
"2","2010_Q3",29.99890625,"Up",584181000,-440677000,143504000,-76705000,-76705000,66799000,-3966000,-3966000,-4480000,514000,62833000,62833000,-20058000,42775000,42775000,-1055000,41720000,41720000,511661000,337084000,152502000,152502000,308324000,56161000,56161000,1028648000,352981000,844759000,116224000,686348000,6423000,1197740000,2226388000,380760000,223242000,6556000,150962000,1515000,382275000,426578000,164882000,39848000,67645000,57389000,591460000,973735000,531080000,770694000,-66350000,1235424000,17229000,1252653000,2226388000,42775000,18874000,2335000,-8622000,55362000,-6924000,-75863000,-110071000,-5997000,-45857000,1766000,741000,-49347000,-104056000,-104056000,-1584000,-105640000,85673000,428093000,90185000,0.24565,0.11435,0.07142,0.03331,0.01874,2.16167,2.69086,0.77734,0.19228,1.11414,1.0802,15.60062,32.99214,2.4084,0.16015,7,0.02585,0.04886,0.14374,-0.97543,-1.25104
"3","2010_Q4",34.68546875,"Up",590801000,-446137000,144664000,-74781000,-74781000,69883000,-4172000,-4172000,-4817000,645000,65711000,65711000,-19831000,45880000,45880000,-1226000,44654000,44654000,547317000,353212000,134080000,134080000,340609000,72667000,72667000,1094673000,361014000,891914000,138992000,711243000,14864000,1252928000,2347601000,389120000,230447000,6562000,152111000,7029000,396149000,425898000,177301000,38257000,73602000,65442000,603199000,999348000,534168000,808786000,-16799000,1326155000,22098000,1348253000,2347601000,45880000,18390000,4816000,-20226000,48860000,-11716000,-31395000,-63180000,-6556000,-911000,556000,170000,-6741000,-21061000,-21061000,2639000,-18422000,88273000,432927000,76162000,0.24486,0.11829,0.07558,0.03312,0.01902,1.7056,2.76329,0.74122,0.18441,1.17164,1.14863,15.5015,34.79579,1.99835,0.17202,8,0.02615,0.03889,0.14682,-1.29587,-1.63688
"4","2011_Q1",35.5232258064516,"Up",555700000,-425383000,130317000,-91964000,-91964000,38353000,-4542000,-4542000,-5242000,7e+05,33811000,33811000,-7634000,26177000,26177000,-913000,25264000,25264000,387344000,331017000,174531000,174531000,390587000,110665000,110665000,1063127000,396376000,989633000,175490000,775371000,13848000,1386009000,2449136000,390406000,231705000,6562000,152139000,8637000,399342000,428256000,224376000,51127000,92858000,80391000,652632000,1051974000,536193000,827467000,-1700000,1361960000,35202000,1397162000,2449136000,26177000,18611000,2562000,-20537000,26813000,-13619000,-104642000,18856000,-6566000,637999.999999996,255000,119000,-5554000,40115000,40115000,327000,40442000,56964000,436893000,30442000,0.23451,0.06902,0.04546,0.01808,0.01032,1.20496,2.6622,0.75294,0.17839,0.65439,0.64682,14.39372,35.27742,0.78851,0.17007,5,0.01546,0.01479,0.2599,0.86983,1.29192
"5","2011_Q2",36.4584126984127,"Up",662700000,-497900000,164800000,-100700000,-100700000,64100000,-4800000,-4800000,-5100000,3e+05,59300000,59300000,-18500000,40800000,40800000,-2e+06,38800000,38800000,393374000,393374000,259457000,259457000,401234000,86144000,86144000,1140209000,413545000,990383000,171139000,776710000,15346000,1403928000,2544137000,434219000,262340000,6568000,165311000,19190000,453409000,430780000,215550000,51324000,94649000,69577000,646330000,1099739000,538748000,859737000,9303000,1407788000,36610000,1444398000,2544137000,40800000,21600000,1600000,-7800000,56200000,-27700000,-8600000,19700000,-6500000,12700000,6e+05,4e+05,7200000,83100000,83100000,1800000,84900000,85700000,449970000,68700000,0.24868,0.09673,0.05855,0.02686,0.01525,1.77062,2.51475,0.76138,0.17687,1.00449,0.99152,17.15652,36.44597,1.77856,0.16828,5,0.02147,0.03256,0.16753,0.6604,0.88293
"6","2011_Q3",34.13640625,"Down",681700000,-5.31e+08,150700000,-95900000,-95900000,54800000,-4400000,-4400000,-4800000,4e+05,50400000,50400000,-14400000,3.6e+07,3.6e+07,-1600000,34400000,34400000,410565000,410565000,275348000,275348000,436375000,87818000,87818000,1210106000,412136000,1024301000,185833000,793716000,15144000,1436437000,2646543000,476195000,279311000,6962000,189922000,14282000,490477000,428044000,247457000,55427000,98704000,93326000,675501000,1165978000,543593000,887104000,11340000,1442037000,38528000,1480565000,2646543000,3.6e+07,2.2e+07,4100000,-8700000,53400000,-10600000,-13500000,-24100000,-6600000,-7700000.00000003,1200000,-1300000,-14400000,14900000,14900000,1e+06,15900000,76800000,442326000,71900000,0.22106,0.08039,0.05046,0.02323,0.013,2.09012,2.4672,0.78752,0.16713,0.89181,0.87603,17.67285,37.38434,1.86398,0.1711,5,0.01889,0.03313,0.19186,0.41355,0.57958
"7","2011_Q4",38.6769841269841,"Up",736900000,-557300000,179600000,-101400000,-101400000,78200000,-1e+07,-1e+07,-10500000,5e+05,68200000,68200000,-20700000,47500000,47500000,-1900000,45600000,45600000,498745000,498745000,124414000,124414000,626857000,77176000,77176000,1327192000,543721000,1501752000,295196000,1135702000,11442000,2045473000,3372665000,582635000,308855000,7474000,266306000,13278000,595913000,955147000,264092000,54264000,104002000,105826000,1219239000,1815152000,688453000,925301000,-96321000,1517433000,40080000,1557513000,3372665000,47500000,26100000,-2200000,-4800000,66600000,9100000,-742800000,-733700000,-7e+06,527100000,1e+05,-9e+05,519300000,-147800000,-147800000,-3100000,-150900000,104300000,968425000,129300000,0.24372,0.10612,0.06188,0.02928,0.01352,2.83553,2.22716,1.16542,0.28714,1.13716,1.12871,18.37656,37.84122,3.22444,0.17456,3,0.01885,0.04634,0.15351,4.50316,6.00614
"8","2012_Q1",43.9477419354839,"Up",7.27e+08,-556100000,170900000,-112300000,-112300000,58600000,-10200000,-10200000,-10700000,5e+05,48400000,48400000,-14700000,33700000,33700000,-2e+05,33500000,33500000,424200000,424200000,142600000,142600000,575800000,148500000,99900000,1291100000,5.34e+08,1441400000,316300000,1117600000,7500000,1975400000,3266500000,488400000,249400000,7500000,231500000,1e+07,524500000,909200000,256400000,60600000,100100000,95700000,1165600000,1690100000,689800000,951300000,-105200000,1535900000,40500000,1576400000,3266500000,33700000,28500000,5800000,21100000,89100000,-1.3e+07,-1e+06,-13999999.9999999,-7500000,-49300000,0,4e+05,-56400000.0000001,18700000,18700000,-5e+05,18200000,87100000,919200000,109900000,0.23508,0.08061,0.04608,0.02125,0.01026,3.2806,2.46158,1.07213,0.2814,0.80723,0.80529,17.51807,37.00964,2.64819,0.18072,5,0.0149,0.03993,0.22388,5.68312,8.4471
"9","2012_Q2",44.0063492063492,"Up",807900000,-610300000,197600000,-118500000,-118500000,79100000,-11400000,-11400000,-11800000,4e+05,67700000,67700000,-17800000,49900000,49900000,-1200000,48700000,48700000,508700000,508700000,164200000,164200000,590600000,145800000,115200000,1409300000,572100000,1486100000,323300000,1147200000,15600000,2058200000,3467500000,522700000,308400000,7500000,206800000,15200000,552300000,9.71e+08,258600000,61800000,115500000,81300000,1229600000,1781900000,693300000,992500000,-42400000,1643400000,42200000,1685600000,3467500000,49900000,30900000,2e+05,-12500000,68500000,-17500000,-93000000.0000001,-110500000,-7500000,6.7e+07,1700000,6e+05,61800000,19800000,19800000,1800000,21600000,1.1e+08,986200000,97800000,0.24458,0.09791,0.06028,0.02889,0.01404,2.00821,2.55169,1.05713,0.28441,1.17067,1.15952,19.42067,39.50481,2.35096,0.18029,4,0.01918,0.03337,0.154,4.34091,6.03666
"10","2012_Q3",45.6265079365079,"Up",863900000,-643800000,220100000,-116800000,-116800000,103300000,-10800000,-10800000,-11200000,4e+05,92500000,92500000,-28200000,64300000,64300000,-1600000,62700000,62700000,5.25e+08,5.25e+08,190900000,190900000,583900000,137500000,86500000,1437300000,565100000,1461100000,312300000,1.139e+09,9800000,2026200000,3463500000,592200000,341700000,7900000,242600000,11100000,616800000,899800000,256100000,61100000,111200000,83800000,1155900000,1772700000,695500000,1047200000,-94800000,1647900000,42900000,1690800000,3463500000,64300000,32200000,2e+06,37400000,135900000,-24600000,-2300000,-24500000,-7500000,-75300000,399999.999999998,3e+05,-82100000,29300000,29300000,-2600000,26700000,135500000,910900000,176500000,0.25477,0.11957,0.07258,0.03708,0.0181,2.81499,2.33025,1.04844,0.263,1.50721,1.49286,20.76683,39.61298,4.24279,0.18029,6,0.02456,0.06176,0.11962,2.84797,3.73572
