"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.1275,"Up",-43746889,-5014987,-38731902,-21251087,-399268,122474,-21650355,-21650355,-20950034,-20950034,-20950034,-20950034,33341540.9138668,43460943.8339593,6595089.55146245,3503529.18344881,39936630.4653293,4434891.95081787,37610562.3926841,37610562.3926841,42917628.6914282,82854259.1567574,42940203.8489169,-1797098.07531391,44737301.9242308,46807408.1167835,-19785511.5434308,-66902678.5102411,-14661293.541814,32146114.5749695,278633492.474124,-227895759.306238,50708144.5817879,50708144.5817879,82854259.1567574,-20950034,556235,2925412,8395685,-9072702,3297452,2713094,102721,102721,101090,-6258518,-6258518,-6258518,-20694852,0,-0.130259062563399,-0.161723733005241,-1.72269400611351,-1.25499047172858,0.0446613489671537,-0.79593,-0.79593,1.9289894364795,-0.266290579883538,-0.0330248191966067,0.323059875632747
"2","2011_Q1",5.68032258064516,"Down",-28201056,-6089726,-22111330,-14360325,322576,844593,-14037749,-14037749,-14038070,-14038070,-14038070,-14038070,100221918,20416997,2907057,2907057,103128975,5147545,15552663,15552663,21436947,124565922,22970187,2606303,20363884,27750605,47331802,970057,47331802,75082407,278439099,-229009563,49483515,49483515,124565922,-14038070,549762,3112872,1908106,-8467330,11078435,10641835,64268,64268,62420,2236925,2236925,2236925,-13810563,0,-0.28369,-0.1127,3.71628,1.51732,0,-0.53333,-0.53333,1.87997,-0.145,7.2569,6.97908
"3","2011_Q2",6.54492063492063,"Up",-29154000,-4876000,-24278000,-1967000,-339000,94000,-2306000,-2306000,-2306000,-2306000,-2306000,-2306000,104772117.862044,14066128.4720136,2284613.06617918,2904071.35551706,107056730.928224,5067602.59972738,11069903.785772,11069903.785772,16817741.8528573,123874472.781081,15761528.800361,3354145.27510464,12407383.5252564,20645739.0444055,59773108.3478103,14365609.4200804,58065035.6806047,78710774.7250102,279448829.591959,-234351635.647921,45163698.0560707,45163698.0560707,123874472.781081,-2306000,578000,2117000,-9528000,-9139000,10765000,10434000,9000,9000,8000,1303000,1303000,1303000,-1389000,0,-0.268854479145534,-0.10279125566492,4.96954300203784,1.66073515724286,-0.0148871163223846,-0.08761,-0.08761,1.71003518784017,-0.118318973372154,8.89450660639887,8.43271920812242
"4","2011_Q3",7.8428125,"Up",-31322000,-6329000,-24993000,-11366000,-365000,68000,-11731000,-11731000,-11731000,-11731000,-11731000,-11731000,81638218,17461674,3247561,3178380,84885779,4621887,14626114,14626114,19918911,104804690,16583683,2520382,14063301,21153042,45271606,1017211,45271606,66424648,281383237,-243046099,38380042,38380042,104804690,-11731000,584000,2095000,559999.999999998,-8492000,4406000,4101000,135000,135000,133000,-4258000,-4258000,-4258000,-10782000,-1.16415321826935e-10,-0.30565,-0.11193,4.01293,1.73071,0,-0.44181,-0.44181,1.44546,-0.14024,7.57171,7.18267
"5","2011_Q4",8.13888888888889,"Up",-34888000,-5470000,-29418000,-11583000,-361000,72000,-11944000,-11944000,-11944000,-11944000,-11944000,-11944000,74607135,23091338,3826012,3110374,78433147,4327811,14269088,14269088,19270991,97704138,21220887,2759522,18461365,25435590,44197255,996535,44197255,69632845,283045889,-254990818,28071293,28071293,97704138,-11944000,471000,2009000,2540000,-6924000,12430000,12244000,311000,311000,309000,5629000,5629000,5629000,-11112000,0,-0.42549,-0.12225,3.0836,2.48057,0,-0.44788,-0.44788,1.05264,-0.16527,6.71411,6.44109
"6","2012_Q1",8.51645161290323,"Up",-35937000,-6044000,-29893000,-13612000,-449000,93000,-14061000,-14061000,-14061000,-14061000,-14061000,-14061000,115278000,24197000,2703000,2485000,117981000,4582000,1268000,1268000,6509000,124490000,24771000,5952000,18819000,28986000,80071000,37924000,80071000,109057000,284463000,-269052000,15433000,15433000,124490000,-14061000,466000,1897000,3144000,-8554000,-39747000,-40467000,127000,127000,50127000,1106000,1106000,1106000,-13146000,0,-0.9111,-0.11295,4.07028,7.06648,-1.38777878078145e-17,-0.52645,-0.52645,0.57781,-0.14723,8.76906,8.46885
"7","2012_Q2",12.852380952381,"Up",-35363000,-6812000,-28551000,-10161000,-561000,120000,-10722000,-10722000,-10722000,-10722000,-10722000,-10722000,104294000,23462000,4360000,4123000,108654000,4372000,1250000,1250000,6270000,114924000,20650000,6329000,14321000,28235000,41492000,399000,79726000,107961000,286661000,-279774000,6963000,6963000,114924000,-10722000,446000,2493000,-3432000,-11215000,10022000,9786000,694000,694000,694000,-735000,-735000,-735000,-9715000,38234000,-1.53985,-0.0933,3.8482,15.50495,0.33269,-0.40042,-0.40042,0.26004,-0.12368,6.79979,6.50133
"8","2012_Q3",17.8830158730159,"Up",-36197000,-7665000,-28532000,-14286000,-374000,320000,-14660000,-14660000,-14660000,-14660000,-14660000,-14660000,103912000,19651000,3368000,3368000,107280000,3939000,1183000,1183000,5769000,113049000,23097000,7609000,15488000,37087000,79354000,39314000,79354000,116441000,290976000,-294434000,-3392000,-3392000,113049000,-14660000,407000,2175000,9647000,-2431000,-3789000,-3884000,2504000,2504000,2504000,-3811000,-3811000,-3811000,-13879000,0,4.32193,-0.12968,2.89266,-34.32812,0,-0.54173,-0.54173,-0.12534,-0.19299,7.48699,7.27369
"9","2012_Q4",25.3879032258065,"Up",-27789000,-6294000,-21495000,-27788000,-364000,169000,-28152000,18403000,18403000,18403000,18403000,18403000,188770000,52917000,3673000,3673000,192443000,3871000,1241000,1241000,5748000,198191000,17858000,4892000,12966000,17858000,606000,606000,606000,18464000,455649000,-276031000,179727000,179727000,198191000,18403000,404000,3553000,-52762000,-30402000,-51967000,-52303000,115971000,115971000,115971000,33266000,33266000,33266000,-27384000,0,0.10239,0.09285,10.77629,0.10273,0,0.57438,0.52321,5.60948,0.10205,6.89344,6.79322
"10","2013_Q1",39.5815,"Up",-47128000,-7111000,-40017000,-47128000,143000,143000,-46985000,-46985000,-46985000,-46985000,-46985000,-46985000,326018000,175742000,3731000,3731000,329749000,4079000,1215000,1215000,5911000,335660000,12207000,2148000,10059000,18663000,540000,540000.000000004,6792000,25455000,633087000,-323016000,310205000,310205000,335660000,-46985000,386000,3358000,7154000.00000001,-36087000,-14963000,-15597000,174509000,174509000,174509000,122825000,122825000,122825000,-46742000,6252000,-0.151459999999999,-0.13998,17.6686,0.0820600000000045,0.01863,-1.1469,-1.24189,7.57209,-0.14822,6.84109,6.78505
