"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",22.24359375,"Up",242751000,-219983000,22768000,-15506000,-15506000,7262000,-73000,-73000,7189000,7189000,-2097000,5092000,5092000,5092000,5092000,-92411636.5039733,-92411636.5039733,258966554.725992,258966554.725992,122841750.052525,28114907.244806,22621951.677131,317511575.519349,136035182.775908,-69308.6819954199,-69308.6819954199,135965874.093912,453477449.613262,33834035.984015,-8295884.14995511,37876795.6947035,33882045.6640527,15126427.4257825,15126427.4257825,15126427.4257825,49008473.0898352,48231041.7564998,-20135404.9837277,376373339.750654,404468976.523426,404468976.523426,453477449.613262,5092000,3424000,-3166000,-1172000,4178000,-4059000,-4059000,-464000,220000,245000,-213000,-94000,-94000,-94000,10686000,0,7552000,0.09379,0.02992,0.02098,0.0172242315354657,0.0162469325582058,1.48311,9.71778404119637,0.126496850701554,0,0.21956,0.21818,10.46701,17.5701180767362,0.32563,0.02001,0.0176615172659312,-0.348514323685822,0.09112,-9.22436634094841,-19.110757100903
"2","2011_Q1",22.7485483870968,"Up",256148000,-234023000,22125000,-15515000,-15515000,6610000,2542000,2542000,9152000,6563000,-2034000,4529000,4529000,4529000,4529000,103252000,103252000,190364000,190364000,42104000,6377000,1892000,342097000,134985000,194000,194000,135179000,477276000,58153000,32897000,23191000,58153000,11746000,11746000,11746000,69899000,45304000,-21294000,383367000,407377000,407377000,477276000,4529000,3431000,-1883000,13554000,19631000,-6405000,-6405000,-464000,82000,82000,-383000,12843000,12843000,12843000,10041000,0,19224000,0.08638,0.02581,0.01768,0.01112,0.00949,4.24465,5.88271,0.17158,0,0.1951,0.19242,11.0342,17.54876,0.82812,0.01999,0.01191,0.04587,0.10245,-10.28304,-15.62057
"3","2011_Q2",23.9407936507937,"Up",303351000,-269596000,33755000,-18149000,-18149000,15606000,6000,6000,15612000,15612000,-4958000,10654000,10654000,10654000,10654000,116900045.501324,116900045.501324,202239648.424669,202239648.424669,30777499.9824918,2845864.25173134,-2118567.22571032,352763058.160217,134203689.074697,260602.893998473,260602.893998473,134464291.968696,487227350.128913,60958071.3386617,40823711.3833184,19608484.7684322,60912734.7786491,11008774.1914058,11008774.1914058,11008774.1914058,71921508.970055,45010152.7478334,-21764365.0054241,392060053.416449,415305841.158858,415305841.158858,487227350.128913,10654000,3425000,-2301000,-37143000,-25365000,-2247000,-2247000,-464000,57000,57000,-407000,-28019000,-28019000,-28019000,19031000,0,-15401000,0.11127,0.05145,0.03512,0.0144219228215114,0.0121176891472647,-1.44556,5.42657031960121,0.172436883099482,0,0.45889,0.45573,13.0659,17.8502956410879,-0.66335,0.01999,0.0151536609113563,0.0807256078952741,0.04355,-7.04425788635053,-9.35187763303234
"4","2011_Q3",21.97359375,"Down",309469000,-278836000,30633000,-16083000,-16083000,14550000,-1000.00000000023,-1000,14549000,14549000,-5088000,9461000,9461000,9461000,9461000,46802000,46802000,246750000,246750000,55155000,8349000,2621000,357056000,134194000,222000,222000,134416000,491472000,52039000,30070000,21969000,52039000,12018000,12018000,12018000,64057000,46157000,-21294000,402552000,427415000,427415000,491472000,9461000,3442000,2e+06,-40157000,-25254000,-3268000,-3268000,-465000,556000,556000,91000,-28431000,-28431000,-28431000,17992000,0,-20345000,0.09899,0.04702,0.03057,0.02214,0.01925,-2.15041,6.86132,0.14987,0,0.40666,0.40421,13.30191,18.37159,-0.87449,0.01999,0.02259,-0.0463,0.04915,-2.60127,-3.21663
"5","2011_Q4",24.5495238095238,"Up",319356000,-281517000,37839000,-16423000,-16423000,21416000,-88000,-88000,21328000,21328000,-7607000,13721000,13721000,13721000,13721000,15172000,15172000,259951000,259951000,76766000,10763000,6426000,362652000,135583000,194000,194000,135777000,498429000,42301000,16651000,25650000,42785000,13931000,13931000,13931000,56716000,47404000,-21496000,415805000,441713000,441713000,498429000,13721000,3366000,6638000,-51128000,-27403000,-4703000,-4703000,-465000,848000,1050000,476000,-31630000,-31630000,-31630000,24782000,0,-23442000,0.11849,0.06706,0.04296,0.03106,0.02753,-1.70848,8.47615,0.1284,0,0.58909,0.58642,13.71097,18.96415,-1.00644,0.01996,0.03113,-0.05145,0.03389,-0.61222,-0.70844
"6","2012_Q1",27.7762903225806,"Up",248298000,-209670000,38628000,-13922000,-13922000,24706000,0,2.91038304567337e-11,24706000,24706000,-8411000,16295000,16295000,16295000,16295000,112298000,112298000,199366000,199366000,63491000,1899000,1899000,377054000,138832000,260000,260000,139092000,516146000,41162000,14676000,25312000,42570000,15833000,15833000,15833000,58403000,47608000,-21496000,431631000,457743000,457743000,516146000,16295000,3495000,3363000,81038000,104191000,-6728000,-6728000,-469000,125000,125000,-336999.999999999,97126000,97126000,97126000,28201000,0,110922000,0.15557,0.0995,0.06563,0.0356,0.03157,6.80712,8.85727,0.12759,0,0.69559,0.69465,10.59925,19.53996,4.735,0.02002,0.0354,0.23422,0.02878,-3.98206,-4.54537
"7","2012_Q2",25.3233333333333,"Down",280466000,-256005000,24461000,-15077000,-15077000,9384000,20000,20000,9404000,9404000,-2710000,6694000,6694000,6694000,6694000,83923000,83923000,227818000,227818000,57381000,8797000,3579000,377919000,144387000,267000,267000,144654000,522573000,41890000,17691000,15616000,41890000,16360000,16360000,16360000,58250000,47963000,-21496000,437856000,464323000,464323000,522573000,6694000,3609000,-5844000,-23305000,-18846000,-9108000,-9108000,-469000,43000,43000,-421000,-28375000,-28375000,-28375000,12993000,0,-16710000,0.08722,0.03346,0.02387,0.01442,0.01281,-2.49627,9.0217,0.12545,0,0.28574,0.28513,11.97191,19.81999,-0.71328,0.02002,0.0149,-0.03476,0.07006,-6.45909,-8.9432
"8","2012_Q3",28.0992063492063,"Up",264730000,-245339000,19391000,-15327000,-15327000,4064000,8000,8000,4072000,4072000,-1703000,2369000,2369000,2369000,2369000,47727000,47727000,205535000,205535000,52505000,4783000,1135000,310550000,155723000,626000,626000,156349000,466899000,50130000,31571000,18559000,50130000,16964000,16964000,16964000,67094000,48127000,-88134000,439812000,399805000,399805000,466899000,2369000,3627000,3306000,36517000,45819000,-14923000,-14923000,-468000,-66625000,13000,-67092000,-36196000,-36196000,-36196000,7691000,0,30988000,0.07325,0.01535,0.00895,0.00593,0.00507,13.08062,6.19489,0.16782,0,0.1077,0.1075,12.03482,18.17543,1.40874,0.02128,0.00681,0.07435,0.19755,-6.20556,-11.74385
"9","2012_Q4",30.2122580645161,"Up",269152000,-245016000,24136000,-15726000,-15726000,8410000,4000,4000,8414000,8414000,-2887000,5527000,5527000,5527000,5527000,17988000,17988000,207544000,207544000,67049000,21390000,15422000,313971000,161103000,798000,798000,161901000,475872000,51764000,28165000,21297000,51764000,18961000,18961000,18961000,70725000,48355000,-88134000,444926000,405147000,405147000,475872000,5527000,3598000,-1184000,-28375000,-20434000,-8971000,-8971000,-413000,76000,76000,-334000,-29739000,-29739000,-29739000,12008000,0,-22451000,0.08967,0.03125,0.02053,0.01364,0.01161,-4.06206,6.06543,0.17457,0,0.26776,0.26706,13.03905,19.62731,-1.08764,0.02001,0.01401,-0.05294,0.07472,-1.498,-2.13888
"10","2013_Q1",32.5698333333333,"Up",2.58e+08,-235661000,22339000,-14851000,-14851000,7488000,-2000,-2000,7486000,7486000,-2265000,5221000,5221000,5221000,5221000,33883000,33883000,197980000,197980000,63656000,11331000,5541000,306850000,164924000,693000,693000,165617000,472467000,45357000,20112000,23438000,45357000,16946000,16946000,16946000,62303000,48564000,-88134000,449734000,410164000,410164000,472467000,5221000,3446000,-1720000,16574000,23521000,-7282000,-7282000,-413000,66000.0000000075,66000,-343999.999999993,15895000,15895000,15895000,10934000,0,22491000,0.08659,0.02902,0.02024,0.01273,0.01105,4.3078,6.76522,0.1519,0,0.25278,0.252,12.49153,19.85882,1.08894,0.02,0.01319,0.05266,0.0791,-3.09887,-4.52497
