"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2018_Q2",100.4365625,"Up",463657000,-350113000,113544000,-58260000,-50212000,-8048000,55284000,-11503000,-11503000,43781000,43781000,-6483000,37298000,37298000,37298000,37298000,20324000,20324000,107272000,107272000,68750000,68750000,196346000,584935000,1733199000,1335297000,342525000,55377000,2318134000,2514480000,153370000,153370000,10750000,347603000,166189000,511723000,1043788000,221792000,76177000,139864000,1265580000,1777303000,672536000,72441000,-7800000,737177000,737177000,2514480000,37298000,24683000,3117000,40750000,105848000,-12767000,-16716000,-29483000,4069000,-77879000,7846000,-85725000,-5791000,-79601000,-3236000,-3236000,431000,-2805000,79967000,1054538000,114433000,0.24489,0.11923,0.08044,0.0506,0.01483,3.06807,0.3837,2.41096,0.41939,0.64096,0.62741,7.96787,12.66827,1.96651,0.01852,0.05683,12.93301,18.70729
"22","2018_Q3",112.957142857143,"Up",489699000,-363662000,126037000,-61413000,-53137000,-8276000,64624000,-12161000,-12161000,52463000,52463000,-12037000,40426000,40426000,40426000,40426000,22912000,22912000,90975000,90975000,46370000,46370000,160257000,583249000,1738248000,1342158000,337993000,58097000,2321497000,2481754000,146176000,146176000,10750000,312298000,312298000,469224000,1041280000,222228000,75588000,146640000,1263508000,1732732000,676151000,112867000,-39996000,749022000,749022000,2481754000,40426000,25250000,2653000,14520000,82849000,-26388000,-33908000,-60296000,-19787000,3815000,3815000,0,-4190000,-20162000,2391000,2391000,99000,2490000,89874000,1052030000,90043000,0.25738,0.13197,0.08255,0.05397,0.01629,2.22735,0.34154,2.31333,0.42391,0.70167,0.68797,8.49971,13.00079,1.56288,0.01998,0.0445,11.45068,15.9247
"23","2018_Q4",115.002698412698,"Up",471585000,-358545000,113040000,-57580000,-49427000,-8153000,55460000,-11795000,-11795000,43665000,43665000,-10065000,33600000,33600000,33600000,33600000,21304000,21304000,104965000,104965000,48189000,48189000,174458000,586411000,1736545000,1339450000,329319000,67776000,2322956000,2497414000,160030000,160030000,10750000,281737000,281737000,452517000,1039074000,225610000,74422000,151188000,1264684000,1717201000,682721000,146467000,-48975000,780213000,780213000,2497414000,33600000,25213000,3046000,-10860000,50999000,-23394000,-1120000,-24514000,-20988000,3232000,3232000,-7.45058059692383e-09,-728000,-18484000,8001000,8001000,-801000,7200000,80673000,1049824000,56484000,0.2397,0.1176,0.07125,0.04307,0.01345,1.68107,0.38553,2.20094,0.42036,0.58212,0.57022,8.17026,13.51727,0.97859,0.01635,0.02748,12.74925,18.54526
"24","2019_Q1",119.195901639344,"Up",478241000,-357607000,120634000,-56907000,-48815000,-8092000,63727000,-12049000,-12049000,51678000,51678000,-5021000,46657000,46657000,46657000,46657000,15450000,15450000,131178000,131178000,47263000,47263000,193891000,597141000,1733274000,1347611000,323035000,62628000,2330415000,2524306000,154195000,154195000,10750000,318840000,318840000,483785000,1036870000,224174000,71306000,152868000,1261044000,1744829000,648708000,193124000,-62355000,779477000,779477000,2524306000,46657000,25797000,3348000,-20751000,55051000,-28116000,-15367000,-44250000,17056000,-32914000,8040000,-40954000,-88000,-15946000,-5145000,-5145000,168000,-4977000,89524000,1047620000,45678000,0.25225,0.13325,0.09756,0.05986,0.01848,0.97902,0.40078,2.23846,0.41501,0.80825,0.79256,8.28463,13.50299,0.79129,0.02275,0.02227,11.52953,16.19675
"25","2019_Q2",134.110952380952,"Up",501758000,-374811000,126947000,-64037000,-55875000,-8162000,62910000,-11948000,-11948000,50962000,50962000,-8920000,42042000,42042000,42042000,42042000,20129000,20129000,130298000,130298000,37208000,37208000,187635000,603117000,2405784000,1381044000,322388000,702352000,3008901000,3196536000,153328000,153328000,10750000,350178000,350178000,514256000,1034664000,810604000,75486000,735118000,1845268000,2359524000,660090000,235166000,-58244000,837012000,837012000,3196536000,42042000,26462000,7435000,31074000,107013000,-21061000,-19490000,-60562000,-67233000,7749000,7809000,-60000,-2779000,-62263000,-15812000,-15812000,548000,-15264000,89372000,1045414000,108305000,0.253,0.12538,0.08379,0.05023,0.01315,2.57611,0.36487,2.81898,0.32705,0.24297,0.71558,2.89971,4.83718,0.62591,0.01561,0.04022,11.47211,16.29765
"26","2019_Q3",156.39921875,"Up",528060000,-388439000,139621000,-64788000,-56491000,-8297000,74833000,-11723000,-11723000,63110000,63110000,-13783000,49327000,49327000,49327000,49327000,22656000,22656000,111529000,111529000,52955000,52955000,187140000,601271000,2405068000,1380211000,314351000,710506000,3006339000,3193479000,155036000,155036000,10750000,287539000,102984000,453325000,1032459000,829333000,73818000,749979000,1861792000,2315117000,667212000,284493000,-73343000,878362000,878362000,3193479000,49327000,26885000,3530000,3856000,83598000,-23954000,-6370000,-30337000,-52395000,5041000.00000001,5671000,-630000,-2761000,-50115000,3146000,3146000,-134000,3012000,101718000,1043209000,95403000,0.2644,0.14171,0.09341,0.05616,0.01545,1.93409,0.41282,2.63572,0.32667,0.83691,0.83691,8.95932,14.90271,1.61865,0.01793,0.03468,10.03316,13.63774
"27","2019_Q4",150.04859375,"Down",511584000,-386364000,125220000,-62591000,-53964000,-8627000,62629000,-10955000,-10955000,51674000,51674000,-10420000,41254000,41254000,41254000,41254000,48529000,48529000,117573000,117573000,62027000,62027000,228129000,601168000,2381929000,1371905000,305918000,704106000,2983097000,3211226000,180577000,180577000,10750000,278664000,103501000,469991000,1030254000,816486000,73831000,737397000,1846740000,2316731000,663285000,325747000,-94537000,894495000,894495000,3211226000,41254000,27080000,5525000,7960000,81819000,-25146000,-4981000,-35965000,-6293000,-3307000,8026000,-11333000,-5191000,-14791000,31063000,31063000,-380000,30683000,89709000,1041004000,82943000,0.24477,0.12242,0.08064,0.04612,0.01285,2.01054,0.48539,2.58999,0.32418,0.69765,0.69765,8.65146,15.12691,1.40266,0.01499,0.03014,11.06327,15.84689
"28","2020_Q1",147.044677419355,"Down",520615000,-389467000,131148000,-63701000,-55166000,-8535000,67447000,-10528000,-10528000,56919000,56919000,-9156000,47763000,47763000,47763000,47763000,27872000,27872000,148855000,148855000,52161000,52161000,228888000,636153000,2465379000,1412873000,304673000,747833000,3101532000,3330420000,167059000,167059000,10750000,305481000,114364000,483290000,1028049000,847813000,58940000,778775000,1875862000,2359152000,648089000,373510000,-50331000,971268000,971268000,3330420000,47763000,27842000,-10549000,-7133000,57923000,-34604000,-22584000,-62206000,-2687000,-14477000,5053000,-19530000,-4795000,-21959000,-26242000,-26242000,525000,-25717000,95289000,1038799000,62708000,0.25191,0.12955,0.09174,0.04918,0.01434,1.3129,0.4736,2.42894,0.31191,0.81003,0.81003,8.82935,16.47219,1.06349,0.01671,0.02194,10.60906,14.98847
"29","2020_Q2",114.15380952381,"Down",506323000,-397464000,108859000,-65578000,-57369000,-8209000,43281000,-10206000,-10206000,33075000,33075000,-2343000,30732000,30732000,30732000,30732000,49230000,49230000,171566000,171566000,63369000,63369000,284165000,609459000,2457370000,1389649000,295337000,772384000,3066829000,3350994000,188423000,188423000,10750000,298008000,113608000,497181000,1025844000,890441000,56003000,823954000,1916285000,2413466000,627395000,404242000,-94109000,937528000,937528000,3350994000,30732000,28221000,3514000,1616000,64083000,-12640000,-3529000,-12964000,-2688000,-16696000,15962000,-32658000,-6319000,-25703000,25416000,25416000,-1203000,24213000,71502000,1036594000,62821000,0.215,0.08548,0.0607,0.03278,0.00917,2.04416,0.57155,2.57429,0.30934,0.52195,0.52195,8.59941,15.92302,1.06695,0.01073,0.02193,13.8089,22.81287
"30","2020_Q3",125.76875,"Up",293772000,-228536000,65236000,-57122000,-49247000,-7875000,8114000,-9129000,-9129000,-1015000,-1015000,1374000,359000,359000,359000,359000,270442000,270442000,221532000,221532000,84947000,84947000,576921000,596947000,2437728000,1391650000,287489000,758589000,3034675000,3611596000,144316000,144316000,10750000,336481000,143656000,491547000,1024801000,896973000,54856000,831352000,1921774000,2413321000,885433000,404601000,-91759000,1198275000,1198275000,3611596000,359000,27659000,20939000,-61780000,-12823000,-12382000,-865000,-15311000,-2687000,255162000,255162000,0,-5302000,247173000,219039000,219039000,295000,219334000,35773000,1035551000,-39763000,0.22206,0.02762,0.00122000000000001,0.000300000000000002,9.99999999999977e-05,-110.76045,1.17368,2.014,0.28673,0.00621000000000005,0.00609999999999999,5.0792,20.71769,-0.68749,0.000110000000000001,-0.0127,21.38789,94.29492
"31","2020_Q4",163.68546875,"Up",337920000,-282749000,55171000,-61098000,-53301000,-7797000,-5927000,-9186000,-9186000,-15113000,-15113000,8459000,-6654000,-6654000,-6654000,-6654000,365300000,365300000,150099000,150099000,100098000,85983000,615497000,606831000,2451193000,1409040000,281226000,760927000,3058024000,3673521000,178516000,178516000,10750000,315561000,138259000,504827000,1022489000,919092000,66247000,842494000,1941581000,2446408000,896026000,397947000,-66860000,1227113000,1227113000,3673521000,-6654000,27293000,19624000,78330000,118593000,-19475000,-3707000,-20182000,-2688000,5771000,5771000,-3.72529029846191e-09,-1181000,1902000,100313000,100313000,1194000,101507000,21366000,1033239000,71762000,0.16327,-0.01754,-0.01969,-0.00542,-0.00181,-10.78479,1.21922,1.99363,0.28127,-0.11177,-0.11033,5.67617,20.61228,1.20541,-0.00209,0.02257,31.26177,-112.69428
"32","2021_Q1",164.774590163934,"Up",377078000,-301795000,75283000,-67417000,-59646000,-7771000,7866000,-9161000,-9161000,-1295000,-1295000,3850000,2555000,2555000,2555000,2555000,384344000,384344000,176617000,176617000,63224000,63224000,624185000,628757000,2473706000,1431967000,274620000,767119000,3102463000,3726648000,194551000,194551000,10750000,325513000,127574000,530814000,1020137000,891960000,45951000,835794000,1912097000,2442911000,910304000,400502000,-27069000,1283737000,1283737000,3726648000,2555000,28489000,-4993000,13668000,39719000,-28337000,-153000,-35368000,-2687000,11738000,11738000,0,-3427000,5623999.99999997,9975000,9975000,2244000,12219000,36355000,1030887000,17836000,0.19965,0.02086,0.00678,0.00199,0.00069,6.98082,1.1759,1.90297,0.27663,0.04292,0.04236,6.33392,21.56341,0.2996,8e-04,0.00556,17.78416,82.1946400000001
"33","2021_Q2",149.586507936508,"Down",390840000,-309482000,81358000,-67650000,-60110000,-7540000,13708000,-9016000,-9016000,4692000,4692000,2440000,7132000,7132000,7132000,7132000,442124000,442124000,166642000,166642000,77388000,72608000,686154000,622716000,2480795000,1448923000,268939000,762933000,3103511000,3789665000,188028000,188028000,10750000,364001000,128665000,562779000,1017784000,898477000,47550000,840686000,1916261000,2479040000,928822000,407634000,-25831000,1310625000,1310625000,3789665000,7132000,27282000,5358000,28523000,68295000,-14054000,-8961000,-22284000,-2688000,22432000,22432000,-50301351.3914058,-5845000,13899000,59910000,59910000,-539000,59371000,40990000,1028534000,53019000,0.20816,0.03507,0.01825,0.00544,0.00188,7.43396,1.21922,1.89149,0.2714,0.1198,0.11826,6.56509,22.01506,0.89058,0.0022,0.01638,14.30617,42.77867
"34","2021_Q3",146.80359375,"Down",441478000,-335496000,105982000,-71970000,-64458000,-7512000,34012000,-9580000,-9580000,24432000,24432000,-5617000,18815000,18815000,18815000,18815000,418638000,418638000,141253000,141253000,94573000,74743000,654464000,617248000,2469171000,1451041000,261013000,757117000,3086419000,3740883000,190554000,190554000,10750000,363216000,137533000,564520000,1015433000,889786000,49144000,830221000,1905219000,2469739000,868349000,426449000,-23654000,1271144000,1271144000,3740883000,18815000,28110000,8528000,11977000,67430000,-14409000,-121000,-15372000,-2687000,-64598000,5748000,-70346000,-3354000,-70639000,-18581000,-18581000,-136000,-18717000,62122000,1026183000,65307000,0.24006,0.07704,0.04262,0.0148,0.00503,3.47101,1.15933,1.94293,0.27432,0.31604,0.31197,7.41567,21.35189,1.09699,0.0059,0.02049,9.77987,17.86267
"35","2021_Q4",138.9153125,"Down",460333000,-340068000,120265000,-74275000,-67135000,-7140000,45990000,-9153000,-9153000,36837000,36837000,-10018000,26819000,26819000,26819000,26819000,412402000,412402000,160316000,160316000,75909000,63273000,648627000,609491000,2453748000,1446321000,253529000,753898000,3063239000,3711866000,199649000,199649000,10750000,352939000,140480000,563338000,1013080000,876219000,48786000,817326000,1889299000,2452637000,843325000,453268000,-37364000,1259229000,1259229000,3711866000,26819000,27466000,7791000,-12554000,49522000,-13047000,-9832000,-25070000,-2688000,-28198000,3640000,-31838000,-483000,-31369000,-6917000,-6917000,-1445000,-8362000,73456000,1023830000,57873000,0.26126,0.09991,0.05826,0.0213,0.00723,2.15791,1.1514,1.94773,0.27583,0.44536,0.44151,7.64443,20.91114,0.96106,0.00849,0.01832,8.32373,13.2948
"36","2022_Q1",129.889838709677,"Down",462656000,-355250000,107406000,-72098000,-65118000,-6980000,35308000,-8350000,-8350000,26958000,24387000,-6694000,17693000,17693000,17693000,17693000,260980000,260980000,210971000,210971000,68320000,68320000,540271000,598134000,2501642000,1481725000,251032000,768885000,3099776000,3640047000,197366000,197366000,1.6e+07,408809000,150371000,622175000,976396000,862259000,48509000,804061000,1838655000,2460830000,745615000,470961000,-37359000,1179217000,1179217000,3640047000,17693000,25972000,19241000,-20900000,42006000,-16152000,-34981000,-54663000,-34327000,-105963000,5683000,-111646000,-1631000,-141921000,-154578000,-154578000,-898000,-155476000,61280000,992396000,30922000,0.23215,0.07632,0.03824,0.015,0.00486,1.7477,0.86836,2.08683,0.27263,0.29382,0.29127,7.68301,19.58244,0.5135,0.00583,0.01019,11.93564,20.71531
"37","2022_Q2",99.3922580645161,"Down",460409000,-350350000,110059000,-78895000,-71746000,-7149000,31164000,-7046000,-7046000,24118000,24118000,-4712000,19406000,19406000,19406000,19406000,257227000,257227000,187705000,187705000,76141000,76141000,521073000,583174000,2489876000,1470154000,243423000,776299000,3073050000,3594123000,205404000,205404000,1.6e+07,377205000,144306000,598609000,972692000,850375000,54932000,786015000,1823067000,2421676000,717745000,490367000,-35665000,1172447000,1172447000,3594123000,19406000,25576000,6631000,6945000,58558000,-11595000,-147000,-9353000,-4e+06,-31090000,8823000,-39913000,-17039000,-52129000,-2924000,-2924000,-605000,-3529000,56740000,988692000,56802000,0.23905,0.06769,0.04215,0.01655,0.0054,2.92703,0.87047,2.06549,0.27509,0.32405,0.32178,7.68807,19.57792,0.9485,0.00644,0.01886,12.89152,23.47147
"38","2022_Q3",83.28025,"Down",490341000,-361816000,128525000,-80703000,-73673000,-7030000,47822000,-7942000,-7942000,39880000,33963000,-9018000,24945000,24945000,24945000,24945000,270425000,270425000,171114000,171114000,75370000,75370000,516909000,558143000,2450341000,1441185000,235769000,773387000,3008484000,3525393000,208458000,208458000,1.6e+07,374900000,161945000,599358000,968989000,838119000,51817000,776982000,1807108000,2406466000,680618000,515312000,-77003000,1118927000,1118927000,3525393000,24945000,25085000,8334000,8848000,67212000,-7651000,-3135000,-13787000,-4e+06,-30910000,1731000,-32641000,-1980000,-36890000,16535000,16535000,-1610000,14925000,72907000,984989000,83122000,0.26211,0.09753,0.05087,0.02229,0.00708,3.33221,0.86244,2.15069,0.2794,0.42199,0.42099,8.29497,18.9286,1.40615,0.00848,0.02825,9.80103,14.94216
