"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q4",64.65375,"Up",365944000,-280560000,85384000,-43643000,-36419000,-7224000,41741000,-10330000,-10330000,31411000,31411000,-10853000,20558000,20558000,20558000,20558000,21393000,21393000,73331000,73331000,72417000,59370000,167141000,430380000,1556420000,1141285000,394545000,20590000,1986800000,2153941000,139456000,139456000,9550000,166606000,45495000,315612000,907137000,216369000,131563000,79897000,1123506000,1439118000,986345000,-240498000,-31024000,714823000,714823000,2153941000,20558000,19873000,4574000,-17761000,27244000,-19615000,-44226000,-63841000,24112000,-43641000,1253000,-44894000,1434000,-18095000,-54692000,-54692000,-835000,-55527000,61614000,916687000,35091000,0.23333,0.11406,0.05618,0.02876,0.00954,1.70693,0.52958,2.01325,0.42559,0.34098,0.3324,6.06964,11.85625,0.58203,0.01113,0.01899,14.53069,21.44879
"12","2016_Q1",64.2913114754098,"Down",371596000,-281693000,89903000,-45021000,-38010000,-7011000,44882000,-10732000,-10732000,34150000,34150000,-10232000,23918000,23918000,23918000,23918000,11539000,11539000,97295000,97295000,43879000,43879000,152713000,429736000,1568092000,1147809000,389331000,30952000,1997828000,2150541000,114776000,114776000,9550000,181017000,43734000,305343000,905661000,211929000,113100000,94221000,1117590000,1422933000,983458000,-216580000,-39270000,727608000,727608000,2150541000,23918000,20127000,93000,-16345000,27793000,-16320000,-10983000,-27303000,-4887000,-8206000,2359000,-10565000,3018000,-10075000,-9585000,-9585000,-269000,-9854000,65009000,915211000,42576000,0.24194,0.12078,0.06437,0.03287,0.01112,1.78008,0.50014,1.95563,0.42557,0.3986,0.3886,6.1927,12.12569,0.70953,0.0129,0.02296,13.90072,20.1344
"13","2016_Q2",65.079375,"Up",385322000,-289546000,95776000,-47179000,-40031000,-7148000,48597000,-10684000,-10684000,37913000,37913000,-13186000,24727000,24727000,24727000,24727000,40152000,40152000,84312000,84312000,35195000,35195000,159659000,424986000,1559346000,1147236000,382111000,29999000,1984332000,2143991000,118677000,118677000,9550000,173454000,26715000,301681000,903215000,211027000,111286000,94400000,1114242000,1415923000,964131000,-191853000,-44210000,728068000,728068000,2143991000,24727000,20525000,1457000,39088000,85797000,-10637000,-2933000,-13570000,-23037000,-21703000,1682000,-23385000,918000,-43822000,28405000,28405000,208000,28613000,69122000,912765000,110759000,0.24856,0.12612,0.06417,0.03396,0.01153,4.47927,0.52923,1.94477,0.42573,0.41327,0.40337,6.44005,12.1685,1.85116,0.01335,0.05981,12.62424,17.95611
"14","2016_Q3",67.3546875,"Up",402053000,-297670000,104383000,-47805000,-40756000,-7049000,56578000,-10304000,-10304000,46274000,46274000,-15871000,30403000,30403000,30403000,30403000,45026000,45026000,71898000,71898000,33639000,33639000,150563000,420441000,1536831000,1135748000,373376000,27707000,1957272000,2107835000,117912000,117912000,9550000,192872000,55727000,320334000,901787000,207729000,109751000,92668000,1109516000,1429850000,903545000,-161450000,-64110000,677985000,677985000,2107835000,30403000,20566000,2720000,7396000,61085000,-16656000,573999.999999998,-16082000,27544000,-68715000,2796000,-71511000,2433000,-38738000,6265000,6265000,-1391000,4874000,77144000,911337000,83755000,0.25962,0.14072,0.07562,0.04484,0.01442,2.75483,0.47002,2.10897,0.43236,0.5134,0.50141,6.78924,11.44875,1.41432,0.01692,0.04661,11.22979,15.3118
"15","2016_Q4",68.0857142857143,"Up",383929000,-292457000,91472000,-46757000,-39616000,-7141000,44715000,-10502000,-10502000,34213000,34213000,-11703000,22510000,22510000,22510000,22510000,19484000,19484000,83175000,83175000,43487000,43487000,146146000,430260000,1552291000,1150717000,372095000,29479000,1982551000,2128697000,113136000,113136000,9550000,186439000,54202000,309125000,900358000,221253000,111063000,104641000,1121611000,1430736000,908065000,-138940000,-71164000,697961000,697961000,2128697000,22510000,20999000,2267000,-27705000,18071000,-23173000,-19948000,-43121000,-1988000,3889000,4670000,-781000,-2366000,-465000,-25515000,-25515000,-27000,-25542000,65714000,909908000,26539000,0.23825,0.11647,0.05863,0.03225,0.01057,1.17899,0.47277,2.04988,0.42745,0.38199,0.37345,6.51519,11.84425,0.45036,0.01231,0.01451,13.54999,19.91332
"16","2017_Q1",70.0338709677419,"Up",398537000,-299321000,99216000,-51868000,-43564000,-8304000,47348000,-11434000,-11434000,35914000,24797000,-7677000,17120000,17120000,17120000,17120000,14633000,14633000,97212000,97212000,42554000,42554000,154399000,529432000,1675186000,1267705000,374566000,32915000,2204618000,2359017000,125400000,125400000,10750000,251430000,104738000,387580000,1054009000,229561000,111711000,111566000,1283570000,1671150000,899135000,-121820000,-89448000,687867000,687867000,2359017000,17120000,23194000,10134000,-2184000,48264000,-23634000,-206430000,-230064000,189122000,-14584000,2531000,-17115000,2242000,176780000,-5020000,-5020000,89000,-4931000,70542000,1064759000,52401000,0.24895,0.1188,0.04296,0.02489,0.00726,3.06081,0.39837,2.42947,0.45136,0.29048,0.28454,6.76212,11.67128,0.88911,0.00864,0.02644,14.88654,22.17889
"17","2017_Q2",75.9531746031746,"Up",422164000,-317230000,104934000,-53530000,-46146000,-7384000,51404000,-10774000,-10774000,40630000,40630000,744000,41374000,41374000,41374000,41374000,21494000,21494000,98104000,98104000,46867000,46867000,166465000,537076000,1672917000,1273674000,367743000,31500000,2209993000,2376458000,135312000,135312000,10750000,210050000,40697000,356112000,1051761000,242534000,114777000,120408000,1294295000,1650407000,888604000,-80446000,-82107000,726051000,726051000,2376458000,41374000,23414000,6251000,35634000,106673000,-19894000,-2979000,-22873000,-59483000,5701000,12171000,-6470000,-23272000,-77054000,6746000,6746000,115000,6861000,74818000,1062511000,89814000,0.24856,0.12176,0.098,0.05698,0.01741,2.17078,0.46745,2.27313,0.4471,0.69824,0.67934,7.12452,12.25297,1.51572,0.02037,0.04422,13.91399,20.25167
"18","2017_Q3",79.7069841269841,"Up",445546000,-331205000,114341000,-57535000,-48869000,-8666000,56806000,-10654000,-10654000,46152000,46152000,-13112000,33040000,33040000,33040000,33040000,34337000,34337000,81805000,81805000,51764000,51764000,167906000,556409000,1694057000,1298676000,363523000,31858000,2250466000,2418372000,123275000,123275000,10750000,263101000,95204000,397126000,1050889000,248320000,117439000,122900000,1299209000,1696335000,828845000,-47406000,-59402000,722037000,722037000,2418372000,33040000,23190000,5012000,-317999.999999993,60924000,-22301000,-14047000,-36348000,52100000,-63573000,3180000,-66753000,-1351000,-12824000,11752000,11752000,1091000,12843000,79996000,1061639000,70489000,0.25663,0.1275,0.07416,0.04576,0.01366,2.13344,0.4228,2.34937,0.43899,0.5595,0.5472,7.54482,12.22689,1.19365,0.01626,0.03469,12.84192,18.08439
"19","2017_Q4",88.627619047619,"Up",433316000,-330122000,103194000,-54560000,-46369000,-8191000,48634000,-10824000,-10824000,37810000,34139000,-3034000,31105000,31105000,31105000,31105000,42265000,42265000,96105000,96105000,57416000,57416000,195786000,567747000,1699617000,1302549000,356469000,40599000,2267364000,2463150000,143779000,143779000,10750000,243912000,92629000,398441000,1048643000,241553000,111088000,122422000,1290196000,1688637000,831233000,-16301000,-40419000,774513000,774513000,2463150000,31105000,23685000,3765000,-13121000,45434000,-20875000,-5e+05,-21375000,-4129000,1646000,3358000,-1711999.99999999,-2706000,-5189000,18870000,18870000,878000,19748000,72319000,1059393000,41357000,0.23815,0.11224,0.07178,0.04016,0.01263,1.32959,0.49138,2.18026,0.4301,0.52889,0.51766,7.36788,13.16942,0.70321,0.01499,0.01993,14.06446,20.91393
"20","2018_Q1",97.1577049180328,"Up",439879000,-331738000,108141000,-55875000,-47555000,-8320000,52266000,-11787000,-11787000,40479000,40479000,10965000,51444000,51444000,51444000,51444000,23227000,23227000,117138000,117138000,52096000,52096000,192461000,575185000,1700998000,1306792000,348540000,45666000,2276183000,2468644000,132897000,132897000,10750000,317008000,317008000,460655000,1046011000,212918000,74069000,138849000,1258929000,1719584000,747213000,35143000,-33296000,749060000,749060000,2468644000,51444000,24487000,-29856000,-10913000,35162000,-20767000,-3958000,-24725000,58912000,-83344000,3916000,-87260000,-4365000,-28797000,-18360000,-18360000,-577000,-18937000,76753000,1056761000,34108000,0.24584,0.11882,0.11695,0.06868,0.02084,0.66301,0.4178,2.29566,0.42807,0.8813,0.86252,7.53566,12.8323,0.58431,0.02548,0.0169,13.46571,19.7745
