"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",32.4028571428571,"Up",847853000,-666166000,181687000,-139664000,-139664000,42023000,-32622000,-26892000,-5730000,9401000,-1202000,8199000,-2252000,6428000,6428000,6428000,-4034000,185505000,185505000,439096000,439096000,365744000,28448000,28448000,1018793000,705357000,953700000,116195000,492788000,288117000,56600000,1659057000,2677850000,503849000,212560000,291289000,15317000,519166000,1230458000,213482000,126544000,11014000,75924000,1443940000,1963106000,666381000,223702000,-175339000,714744000,714744000,2677850000,6428000,27062000,7040000,-49775000,-9245000,-9802000,-9802000,-9236000,-566000,360000,1706000,-7736000,-382109000,480902000,480902000,-486000,98307000,81326000,81326000,1710000,83036000,69085000,1245775000,11760000,0.21429,0.04956,-0.00476,-0.00564,-0.00151,-2.91522,1.96236,2.74659,0.46521,-0.0543,-0.0543,11.41194,9.62032,0.15829,-0.00186,0.00541,15.34733,25.23071
"2","2017_Q3",31.6560317460317,"Down",948788000,-717493000,231295000,-143918000,-143918000,87377000,-23415000,-17547000,-5868000,63962000,-554000,63408000,-17703000,46778000,46778000,46778000,46778000,227663000,227663000,491367000,491367000,375537000,28673000,28673000,1123240000,708576000,992552000,129460000,518912000,286311000,57869000,1701128000,2824368000,547512000,231805000,315707000,14595000,562107000,1231237000,227828000,127097000,18504000,82227000,1459065000,2021172000,668133000,270480000,-135417000,803196000,803196000,2824368000,46778000,25990000,16236000,-13376000,75628000,-10027000,-10027000,-8974000,-1053000,-21108000,114000,-31021000,-3235000,5.96046447753906e-08,0,-4463000,-7697999.99999999,36909000,36909000,5252000,42161000,113367000,1245832000,107667000,0.24378,0.09209,0.0493,0.05824,0.01656,2.30166,1.99827,2.51641,0.4411,0.44638,0.41334,9.05379,7.66449,1.02741,0.02054,0.04729,8.98118,11.6526
"3","2017_Q4",37.1333333333333,"Up",991325000,-763431000,227894000,-139186000,-139186000,88708000,-23204000,-17200000,-6004000,65504000,-2262000,63242000,-13042000,51275000,51275000,51275000,51275000,219457000,219457000,529397000,529397000,398541000,32696000,32696000,1180091000,725584000,1059602000,159456000,566126000,274615000,59405000,1785186000,2965277000,593736000,264085000,329651000,16837000,610573000,1234358000,235649000,127290000,20525000,87834000,1470007000,2080580000,668721000,321755000,-105779000,884697000,884697000,2965277000,51275000,27551000,9628000,19511000,107965000,-12560000,-12560000,-11600000,-960000,-102297000,147000,-114710000,-883000,430000,430000,-4356000,-4809000,-11554000,-11554000,3357000,-8197000,116259000,1251195000,136252000,0.22989,0.08948,0.05172,0.05796,0.01729,2.65728,1.93276,2.35174,0.42195,0.48803,0.47061,9.43541,8.42053,1.29684,0.02162,0.05745,8.87448,11.63072
"4","2018_Q1",36.2468852459016,"Down",975783000,-769142000,206641000,-150236000,-150236000,56405000,-39915000,-17395000,-22520000,16490000,-9038000,7452000,-104821000,-96359000,-96359000,-96359000,-96359000,220175000,220175000,453251000,453251000,405353000,66462000,66462000,1145241000,756711000,960988000,166313000,549063000,183726000,61886000,1717699000,2862940000,568751000,259934000,308817000,8770000,577521000,1264933000,228449000,116586000,9249000,102614000,1493382000,2070903000,653726000,233658000,-95347000,792037000,792037000,2862940000,-96359000,30670000,109642000,47492000,91445000,-30660000,-30660000,-29789000,-871000,-5690000.00000001,24000,-36326000,-3616999.99999999,3000,3000,-18096000,-21710000,33409000,33409000,2373000,35782000,87075000,1273703000,208728000,0.21177,0.0578,-0.09875,-0.12166,-0.03366,-2.16615,1.98303,2.61465,0.44489,-0.91173,-0.88058,9.23262,7.49406,1.97493,-0.042,0.09098,12.09909,18.67792
"5","2018_Q2",28.9815625,"Down",946179000,-740326000,205853000,-164714000,-164714000,41139000,-23424000,-15661000,-7763000,17715000,17793000,35508000,4025000,40271000,40271000,40265000,40265000,102972000,102972000,578183000,578183000,545575000,55033000,55033000,1281763000,812955000,1076985000,232037000,617504000,193650000,33794000,1889940000,3171703000,628756000,303493000,325263000,25298000,654054000,1445810000,219791000,116416000,16359000,87016000,1665601000,2319655000,651613000,273923000,-73310000,852226000,852048000,3171703000,40271000,28459000,-5408000,-128634000,-65312000,-27436000,-27436000,-26565000,-871000,-164557000,163000,-191830000,111710000,192000,192000,-4488000,107414000,-149728000,-149728000,-3206000,-152934000,69598000,1471108000,-90497000,0.21756,0.04348,0.04256,0.04726,0.0127,-2.24754,1.95972,2.72245,0.46382,0.37933,0.36985,8.91388,8.02876,-0.85257,0.01583,-0.03559,19.65769,33.25642
"6","2018_Q3",26.6196825396825,"Down",1172451000,-925616000,246835000,-175493000,-175493000,71342000,9364000,-17830000,27194000,80706000,-23280000,57426000,-22570000,34856000,34856000,34915000,34915000,137619000,137619000,598167000,598167000,532731000,54113000,54113000,1322630000,803563000,1040650000,225574000,598901000,182208000,33967000,1844213000,3166843000,620272000,296739000,323533000,30351000,650623000,1511734000,213639000,115222000,14038000,84379000,1725373000,2375996000,655204000,262459000,-126595000,791068000,790847000,3166843000,34856000,30572000,-253000.000000015,-8174000.00000003,57001000,-29533000,-29533000,-25024000,-4509000,-2268000.00000003,129000,-31672000,58150000,-46988000,3000,-2339000,8823000,34152000,34152000,606000,34758000,101914000,1542085000,86777000.0000001,0.21053,0.06085,0.02978,0.04415,0.01103,2.48538,2.03287,3.00437,0.48695,0.33058,0.3243,11.10094,7.48995,0.82162,0.01371,0.03408,13.78089,19.68638
"7","2018_Q4",17.7144444444444,"Down",1136478000,-895003000,241475000,-230291000,-230291000,11184000,-10289000,-18341000,8052000,895000,-3891000,-2996000,31686000,28690000,28690000,28637000,28637000,151436000,151436000,598398000,598398000,519582000,51811000,51811000,1321227000,806327000,1075182000,226537000,595323000,219669000,33653000,1881509000,3202736000,691436000,277756000,413680000,64525000,755961000,1467841000,201191000,113190000,13969000,74032000,1669032000,2424993000,657985000,254752000,-134777000,777960000,777743000,3202736000,28690000,31248000,-34830000,71172000,96280000,-23151000,-23151000,-17112000,-6039000,1269000,33000,-21849000,-18719000,-35850000,2000,-5007000,-59576000,14855000,14855000,-1037000,13818000,42432000,1532366000,58767000,0.21248,0.00984,0.0252,0.03682,0.00894,2.05214,1.74774,3.11799,0.47846,0.27492,0.27041,10.91051,7.46863,0.56418,0.0114,0.0234,32.54454,123.47371
"8","2019_Q1",17.9929508196721,"Up",1091739000,-867366000,224373000,-163668000,-163668000,60705000,-11582000,-18986000,7404000,49123000,-7950000,41173000,-3083000.00000001,38090000,38090000,38090000,38090000,116991000,116991000,471843000,471843000,508499000,49306000,49306000,1146639000,843403000,1057483000,225553000,585942000,209062000,36926000,1900886000,3047525000,617306000,249978000,367328000,54930000,672236000,1422962000,190693000,107522000,10478000,72693000,1613655000,2285891000,659606000,246833000,-144805000,761634000,761634000,3047525000,38090000,34821000,9868000,48905000,131684000,-38580000,-38580000,-28698000,-9882000,-159000.000000007,-51000,-38790000,-80634000,-42183000,4000,-1319000,-124136000,-31242000,-31242000,-3011000,-34253000,95526000,1477892000,108934000,0.20552,0.0556,0.03489,0.05001,0.0125,2.85991,1.70571,3.0013,0.48495,0.37272,0.36976,10.68293,7.45277,1.06595,0.01567,0.04482,14.24639,22.41827
"9","2019_Q2",20.1626984126984,"Up",1010260000,-802131000,208129000,-164100000,-164100000,44029000,-14184000,-17656000,3472000,29845000,-3719000,26126000,-10349000,15777000,15777000,15777000,15777000,94003000,94003000,571632000,571632000,547975000,54265000,54265000,1267875000,826613000,1297052000,249309000,608448000,207847000,231448000,2123665000,3391540000,718611000,285871000,432740000,55603000,774214000,1517128000,336340000,106245000,10029000,220066000,1853468000,2627682000,663190000,255381000,-154681000,763890000,763858000,3391540000,15777000,30898000,-4405000,-70228000,-27958000,-31859000,-31859000,-19836000,-12023000,-57104000,27000,-88936000,107321000,-13709000,1290000,-141000,93471000,-23423000,-23423000,63000,-23360000,74927000,1572731000,-16811000,0.20602,0.04358,0.01562,0.02065,0.00465,-1.06554,1.63763,3.44001,0.46372,0.15676,0.1555,10.038,7.59006,-0.16704,0.0059,-0.00629,19.73558,33.58532
"10","2019_Q3",19.3328125,"Down",1118987000,-878768000,240219000,-176585000,-176585000,63634000,-23363000,-18492000,-4871000,40271000,-5734000,34537000,-12181000,22356000,22356000,22356000,22356000,119562000,119562000,578486000,578486000,541095000,49619000,49619000,1288762000,833337000,1292375000,258392000,601827000,206097000,226059000,2125712000,3414474000,721039000,291618000,429421000,57287000,778326000,1513344000,333360000,105372000,10317000,217671000,1846704000,2625030000,666504000,265745000,-142777000,789472000,789444000,3414474000,22356000,33930000,16070000,-1792999.99999999,70563000,-31367000,-31367000,-21272000,-10095000,6329000.00000001,217000,-24821000,-11921000,-4803000,192000,-478000,-17202000,28540000,28540000,670000,29210000,97564000,1570631000,76585000,0.21468,0.05687,0.01998,0.02832,0.00655,3.4257,1.65581,3.32516,0.45999,0.22216,0.22032,11.11982,7.8453,0.76106,0.0083,0.02843,14.873,22.80336
