"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.66190476190476,"Down",41597000,-13972000,27625000,-16107000,-7780000,-8327000,11518000,-223000,87000,11295000,11229000,-4648000,6581000,6754000,6754000,6754000,18198000,18198000,16734000,16734000,15235000,3209000,55062000,203448000,8683000,7944000,2310000,5634000,220075000,275137000,9967000,5213000,4754000,5588000,7432000,7432000,22987000,42691000,29095000,13596000,68939000,91926000,18651000,166984000,183211000,183211000,275137000,6754000,6754000,8327000,113000,795000,15989000,-9330000,-9570000,-9570000,-9339000,70000,-506000,6144000,6144000,6144000,19845000,31836000,15958000,0.66411,0.27689,0.16237,0.03686,0.02455,2.36275,2.39535,0.50175,0.11571,0.14286,0.14248,0.87984,3.87519,0.33754,5,0.0262,0.06192,0.68723,1.18406
"2","2010_Q3",4.6853125,"Up",42362000,-15364000,26998000,-19207000,-10810000,-8397000,7791000,-83999.9999999995,182000,7707000,7631000,-3118000,4513000,4573000,4573000,4573000,26504000,26504000,17183000,17183000,13558000,2947000,62636000,204721000,8657000,7916000,2202000,5714000,221294000,283930000,10919000,4759000,5206000,6616000,8218000,7544000,25753000,43742000,30101000,13641000,67827000,93580000,18793000,171557000,190350000,190350000,283930000,4573000,4573000,8397000,4917000,1244000,19131000,-9685000,-9694000,-9694000,-9696000,0,-1129000,8306000,8306000,8306000,16188000,30701000.0000001,10865000,0.63732,0.18391,0.10795,0.02402,0.01611,2.3759,2.43218,0.49162,0.10813,0.09638,0.09608,0.89281,4.01176,0.22899,5,0.01727,0.04103,0.259270000000001,0.538699999999996
"3","2010_Q4",5.00296875,"Up",53233000,-21265000,31968000,-26383000,-14180000,-12203000,5585000,-2142000,274000,3443000,7432000,-3228000,4204000,4033000,4033000,4033000,43144000,43144000,22149000,22149000,14338000,3488000,84986000,265229000,9021000,107837000,91868000,15969000,382087000,467073000,18147000,7821000,9814000,12508000,11507000,10833000,42162000,44635000,30048000,14587000,230264000,272426000,19056000,175591000,194647000,194647000,467073000,4033000,4033000,12203000,-2724000,5065000,18577000,-21306000,-21560000,-14676000,-164959000,-3445000,163022000,16640000,16640000,16640000,17788000,198137000,4775000,0.60053,0.10492,0.07576,0.02072,0.00863,1.18398,2.0157,1.39959,0.42421,0.085,0.08473,1.12192,4.10232,0.10064,4,0.00922,0.01092,8.71335,27.75166
"4","2011_Q1",4.61516129032258,"Down",58014000,-24072000,33942000,-26505000,-12802000,-13703000,7437000,-1550000,174000,5887000,5875000,-2399000,3476000,2715000,2715000,2715000,27453000,27453000,20634000,20634000,16353000,3770000,70800000,280051000,9090000,106496000,90389000,16107000,395637000,466437000,21098000,12237000,8861000,14823000,8977000,8977000,44898000,50945000,35902000,15043000,231234000,276132000,19833000,170472000,190305000,190305000,466437000,2715000,2715000,13704000,6988000,-1900000,21507000,-11357000,-15112000,-21996000,-26747000,-117000,-10451000,-15691000,-15691000,-15691000,21141000,195112000,10283000,0.58507,0.12819,0.0468,0.01427,0.00582,3.78748,1.57691,1.451,0.4183,0.05716,0.05681,1.22145,4.00676,0.2165,4,0.02298,0.02357,7.93051,22.5439
"5","2011_Q2",4.6484126984127,"Up",60428000,-26061000,34367000,-27276000,-13338000,-13938000,7091000,-1601000,218000,5490000,5365000,-2305000,3060000,3027000,3027000,3027000,26558000,26558000,19498000,19498000,14097000,4669000,65063000,285931000,8740000,103431000,87355000,16076000,398102000,463165000,17582000,8613000,8430000,17180000,9843000,9843000,44605000,50013000,34561000,15452000,224914000,269519000,20147000,173499000,193646000,193646000,463165000,3027000,3027000,13938000,446000,540000,17951000,-16051000,-16121000,-16121000,-15818000,2716342.76014552,-3028000,-895000,-895000,-895000,21029000,192081000,7823000,0.56873,0.11735,0.05009,0.01563,0.00654,2.58441,1.45865,1.39181,0.41471,0.06368,0.06346,1.27126,4.07384,0.16458,4,0.00695,0.01795,7.87118,23.34269
"6","2011_Q3",3.77515625,"Down",61555000,-25216000,36339000,-28345000,-13901000,-14444000,7994000,-2556000,290000,5438000,5314000,-2276000,3038000,2992000,2992000,2992000,25431000,25431000,20614000,20614000,15719000,3718000,68340000,289337000,8691000,100931000,85543000,15388000,398959000,467299000,19203000,10953000,8250000,19559000,9788000,9788000,48550000,52107000,36494000,15613000,221607000,270157000,20651000,176491000,197142000,197142000,467299000,2992000,2992000,14444000,3284000,-4330000,16390000,-14476000,-15510000,-15510000,-14407000,3164521.34057735,-3110000.00000001,-1127000,-1127000,-1127000,22438000,189059000,5908000,0.59035,0.12987,0.04861,0.01518,0.0064,1.9746,1.40762,1.37037,0.40458,0.06293,0.06287,1.29475,4.14669,0.12427,5,0.00683,0.01348,7.29245,20.46885
"7","2011_Q4",3.08634920634921,"Down",62657000,-25515000,37142000,-27972000,-14199000,-13773000,9170000,-1808000,195000,7362000,7112000,-3489000,3623000,3002000,3002000,3002000,21862000,21862000,20915000,20915000,17989000,3932000,66076000,300110000,8453000,98502000,83201000,15301000,407065000,473141000,18007000,7790000,10217000,21911000,11039000,11039000,50957000,57518000,41901000,15617000,221605000,272562000,21086000,179493000,200579000,200579000,473141000,3002000,3002000,13773000,6182000,-2777000,20180000,-20748000,-20874000,-20874000,-20690000,2002439.2507205,-3059000,-3569000,-3569000,-3569000,22943000,185998000,2907000,0.59278,0.14635,0.04791,0.01497,0.00634,0.96835,1.2967,1.35888,0.39311,0.06312,0.06301,1.31738,4.21721,0.06112,4,0.00676,0.00655,7.15408,17.89924
"8","2012_Q1",2.86629032258065,"Down",66505000,-29848000,36657000,-28622000,-15007000,-13615000,8035000,-1424000,197000,6611000,6414000,-2597000,3817000,3972000,3972000,3972000,15874000,15874000,21483000,21483000,19638000,3844000,64464000,310754000,8305000,96456000,81346000,15110000,415515000,479979000,22752000,11708000,11044000,21913000,10914000,10914000,55579000,68079000,51675000,16404000,226741000,282320000,22043000,175616000,197659000,197659000,479979000,3972000,3972000,13615000,10951000,-2132000,26406000,-19727000,-22158000,-22158000,-19696000,5000.00000000373,-12698000,-5988000,-5988000,-5988000,21650000,180575000,2388000,0.55119,0.12082,0.05972,0.0201,0.00828,0.60121,1.15986,1.42832,0.37621,0.08343,0.08332,1.39687,4.15163,0.05016,6,0.0253,0.00535,7.60744,20.49795
"9","2012_Q2",3.04269841269841,"Up",68823000,-29029000,39794000,-30977000,-15170000,-15807000,8817000,-1607000,188000,7210000,7681000,-3273000,4408000,4466000,4466000,4466000,19643000,19643000,22242000,22242000,7829000,5433000,56972000,311531000,8446000,94656000,79474000,15182000,414633000,471605000,19999000,9569000,10430000,21916000,11150000,11150000,53065000,62868000,46034000,16834000,216092000,269157000,22366000,180082000,202448000,202448000,471605000,4466000,4466000,15807000,-4545000,6722000,22450000,-13614000,-14831000,-14831000,-13202000,-2018136.39760011,-5479000,3769000,3769000,3769000,24624000,175140000,21005000,0.57821,0.12811,0.06489,0.02206,0.00947,4.70331,1.07363,1.32951,0.37137,0.09365,0.09356,1.44325,4.24544,0.44049,6,0.01014,0.04769,6.31486,17.63604
"10","2012_Q3",4.38365079365079,"Up",71378000,-29969000,41409000,-30271000,-15012000,-15259000,11138000,-1263000,259000,9875000,10006000,-4285000,5721000,5560000,5560000,5560000,21312000,21312000,22794000,22794000,5161000,4576000,56787000,313710000,8215000,93277000,77638000,15639000,415202000,471989000,22188000,10314000,9545000,21920000,10475000,10475000,54583000,61158000,45289000,15869000,208931000,263514000,22833000,185642000,208475000,208475000,471989000,5560000,5560000,15259000,585999.999999996,620999.999999998,22026000,-15264000,-17468000,-17468000,-14815000,-3118283.90985979,-5542000,1669000,1669000,1669000,26397000,169693000,16039000,0.58014,0.15604,0.0779,0.02667,0.01178,2.88471,1.04038,1.26401,0.35953,0.11654,0.11636,1.49608,4.36963,0.33618,5,0.01266,0.03651,5.62113,13.32205
