"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"24","2020_Q1",20.4835483870968,"Down",72042000,-59777000,-8720000,-29773000,-21284000,12265000,-18928000,-17698000,-1230000,-6663000,23201000,16538000,157000,16695000,16695000,5287000,21982000,21982000,15845000,15845000,130788000,3295907000,882419000,305097000,577322000,4178326000,4309114000,314754000,314754000,314754000,1708196000,99199000,99199000,1807395000,2122149000,1706444000,-164136000,1542308000,644657000,2186965000,4309114000,16695000,29773000,-12064000,1791000,36195000,-66157000,-74775000,-74775000,54274000,-50914000,-24261000,61889000,-64016000,-16640000,-31359000,-31359000,-31359000,42038000,1708196000,-22485000,0.17025,0.30513,0.01005,0.0051,-1.02288,0.41552,0.97036,0.39641,0.25241,0.25241,0.82724,17.71002,-0.25819,0.27858,0.01158,-0.00563,1.10368,40.25765,137.98214
"25","2020_Q2",11.5501587301587,"Down",71420000,-66214000,-9070000,-33377000,-23767000,5206000,-14118000,-15373000,1255000,-8912000,-52079000,-60991000,952000,-60039000,-60039000,51625000,-8414000,-8414000,23404000,23404000,196563000,3331043000,777532000,294195000,483337000,4108575000,4305138000,425330000,425330000,425330000,1825980000,42268000,42268000,1868248000,2293578000,1686880000,-252416000,1434464000,577096000,2011560000,4305138000,-60039000,33377000,60398000,-5758000,27978000,-32664000,-32664000,-32664000,-56539000,-90728000,-25245000,115821000,2132000,70356000,7606000,7606000,7606000,38583000,1825980000,-791000,0.07289,-0.11781,-0.00418,-0.00195,0.09401,0.46214,1.1402,0.42414,-0.09674,-0.09674,0.82119,16.49349,-0.00909,0.29027,0.00434,-2e-04,-3.00036,46.71944,346.24971
"26","2020_Q3",11.09109375,"Down",63773000,-70016000,-8720000,-33793000,-27503000,-6243000,-17010000,-16224000,-786000,-23253000,88296000,65043000,-137000,64906000,64906000,-45496000,19410000,19410000,34273000,34273000,168965000,3368557000,791226000,250825000,540401000,4159783000,4328748000,408266000,408266000,408266000,1811484000,15667000,15667000,1827151000,2235417000,1693092000,-237500000,1455592000,637739000,2093331000,4328748000,64906000,33793000,-51603000,-16014000,31082000,4288000,-9637000,-9637000,942000,3485000,-24937000,-15904000,17039000,-23836000,10731000,10731000,10731000,27550000,1811484000,15961000,-0.09789,0.30436,0.00927,0.00448,0.82231,0.41386,1.06788,0.41848,0.22523,0.22523,0.74,16.89015,0.18521,0.28936,0.01131,0.00407,1.28475,64.50857,-284.67259
"27","2020_Q4",11.66,"Up",51281000,-65330000,-8625000,-34457000,-22248000,-14049000,-16244000,-15620000,-624000,-30293000,-7922000,-38215000,-74000,-38289000,-38289000,29259000,-9030000,-9030000,16108000,16108000,150906000,3347431000,753071000,240414000,512657000,4100502000,4251408000,394111000,394111000,394111000,1789588000,15609000,15609000,1805197000,2199308000,1695424000,-242194000,1453230000,598870000,2052100000,4251408000,-38289000,34457000,36108000,-8830000,23446000,-8024000,-8281000,-8281000,1366000,-7050000,0,-22474000,-12488000,-34962000,-18566000,-18566000,-18566000,20408000,1789588000,3628000,-0.27396,-0.17609,-0.0044,-0.00212,-0.40177,0.3829,1.07174,0.42094,-0.10463,-0.10463,0.59417,16.838,0.04204,0,-0.00234,0.000939999999999999,0,86.90122,-126.23532
"28","2021_Q1",16.1839344262295,"Up",64434000,-79495000,-9383000,-45602000,-24510000,-15061000,-16377000,-13475000,-2902000,-31438000,152000,-31286000,-1010000,-32296000,-32296000,21354000,-10942000,-10942000,18699000,18699000,119581000,3437962000,573526000,272829000,300697000,4011488000,4131069000,268589000,268442000,268589000,1707844000,104432000,104432000,1812276000,2080865000,1683251000,-242212000,1441039000,609165000,2050204000,4131069000,-32296000,45602000,8382999.99999999,-248000,21441000,-457000,-7205000,-7205000,-9836000,-6631000,0,-24630000,11815000,-12815000,1995000,1995000,1995000,30541000,1707844000,30846000,-0.23374,-0.16982,-0.00534,-0.00265,-2.81905,0.44522,1.01496,0.41341,-0.12678,-0.12678,0.74654,16.69615,0.35739,-2.77555756156289e-17,-0.00283,0.00799,0,55.30746,-112.15358
"29","2021_Q2",19.838253968254,"Up",68187000,-64047000,-8992000,-30640000,-24415000,4140000,-13032000,-16614000,1882000,-8892000,9737000,845000,-148000,697000,697000,4120000,4817000,4817000,15424000,15424000,116834000,3238031000,798817000,256332000,542485000,4036848000,4153682000,237058000,237058000,237058000,1715055000,117200000,117200000,1832255000,2069313000,1683638000,-216791000,1466847000,617522000,2084369000,4153682000,697000,30640000,-3616000,3253000,30974000,10324000,-5379000,-5379000,4349000,12612000,-8034925.09787531,-52301000,5108000,-47193000,-3607000,-3607000,-3607000,34780000,1715055000,48505000,0.06072,0.07064,0.00231,0.00116,10.06955,0.49285,0.99278,0.4129,0.05579,0.05579,0.78969,16.98794,0.56175,0.0913287210263524,0.00123,0.01238,2.6740594790482,48.86806,410.53889
"30","2021_Q3",19.84671875,"Up",73057000,-66043000,-10653000,-30540000,-24850000,7014000,-14121000,-17074000,899000,-7107000,7751000,644000.000000004,-192000,451999.999999996,452000.000000004,3259000,3711000,3711000,34645000,34645000,151925000,3418792000,518895000,258063000,260832000,3937687000,4089612000,253395000,239056000,253395000,1664110000,55757000,55757000,1719867000,1973262000,1730774000,-232083000,1498691000,617659000,2116350000,4089612000,452000.000000004,30540000,-11644000,239000,19587000,37837000,-11587294.5076713,-11587294.5076713,-15347000,19928000,-12945000,-47784000,-5908000,-20962000,18553000,18553000,18553000,37554000,1664110000,75822000,0.09601,0.0508,0.00175,0.00091,20.43169,0.59956,0.93239,0.40691,0.04194,0.04298,0.82568,16.938,0.85693,0.1463,0.00434,0.01976,3.48828,43.38992,232.31608
"31","2021_Q4",20.69140625,"Up",71896000,-63445000,-9910000,-30064000,-23471000,8451000,-13888000,-16614000,372000,-5437000,36568000,31131000,-59000,31072000,31072000,-19065000,12007000,12007000,17359000,17359000,175827000,3487610000,581208000,305668000,275540000,4068818000,4244645000,260036000,245697000,260036000,1787899000,55199000,55199000,1843098000,2103134000,1733536000,-228542000,1504994000,636517000,2141511000,4244645000,31072000,30064000,-34840000,-5471000,20825000,-137521000,-34783392.6768951,-34783392.6768951,25822000,-114108000,-13263000,91450000,-2313000,76064000,-17219000,-17219000,-17219000,38515000,1787899000,-104418000,0.11754,0.16701,0.00561,0.00283,-8.69643,0.67616,0.98208,0.42121,0.1357,0.1357,0.81256,17.00923,-1.18012,0.1499,0.00634,-0.02621,1.10461,45.97014,209.50657
"32","2022_Q1",20.1772580645161,"Down",79357000,-68902000,-10570000,-32195000,-26137000,10455000,-12612000,-8681000,2177000,-2157000,-4340000,-6496999.99999999,306000,-6190999.99999999,-6191000.00000001,9204000,3013000,3013000,17746000,17746000,375405000,3219373000,666968000,322326000,344642000,3886341000,4261746000,250875000,236415000,250875000,1812238000,48698000,48698000,1860936000,2111811000,1754472000,-232859000,1521613000,628322000,2149935000,4261746000,-6191000.00000001,32195000,865000,6728000,33597000,-49256000,-83815044.5076713,-83815044.5076713,-74746000,-116970000,-13268000,83236000,-4569000,83410000,36999.9999999925,36999.9999999925,36999.9999999925,42650000,1812238000,-184000,0.13175,0.03797,0.0014,0.00071,-0.0610700000000008,1.49638,0.98227,0.42523,0.03405,0.03405,0.89688,17.19706,-0.0020800000000003,0.14995,0.00406,-5e-05,4.40358,42.07484,171.6396
"33","2022_Q2",18.5683870967742,"Down",81507000,-70280000,-11937000,-33713000,-24630000,11227000,-11860000,-17925000,3130000,-633000,44545000,43912000,185000,44097000,44097000,-27259000,16838000,16838000,36151000,36151000,189312000,3598692000,708177000,413141000,295036000,4306869000,4496181000,220846000,202526000,220846000,1819646000,47483000,47483000,1867129000,2087975000,1864155000,-202542000,1661613000,746593000,2408206000,4496181000,44097000,33713000,-45454000,-5813000,26543000,-50911000,-167530000,-167530000,1280000,-150056000,-13396000,-29437000,75297000,143980000,20467000,20467000,20467000,44940000,1819646000,-11969000,0.13774,0.20658,0.00699,0.00374,-0.71083,0.85721,0.86703,0.40471,0.1893,0.1893,0.91633,18.68051,-0.13456,0.1506,0.00707,-0.0028,0.79558,39.68614,158.85766
"34","2022_Q3",15.6078125,"Down",84259000,-70827000,-10661000,-34971000,-25195000,13432000,-14981000,-19222000,1280000,-1549000,-14067000,-15616000,-209000,-15825000,-15825000,15451000,-374000,-374000,23921000,23921000,161227000,3644212000,633445000,333529000,299916000,4277657000,4438884000,215492000,197094000,215492000,1814226000,45948000,45948000,1860174000,2075666000,1895651000,-203039000,1692612000,670606000,2363218000,4438884000,-15825000,34971000,17439000,1631000,38216000,-60220000,-294776009.153881,-294776009.153881,72436000,8168000,-17011000,-21976000,-28448000,-59466000,-13082000,-13082000,-13082000,48403000,1814226000,-9977000,0.15941,-0.00444,-0.00016,-8e-05,26.67647,0.74818,0.87832,0.40871,-0.00400999999999999,-0.00400999999999999,0.90324,18.14441,-0.10695,0.18235,0.00394,-0.00236,-45.48396,36.98748,133.28655
