"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2013_Q2",16.3303125,"Down",144108800,-108670900,35437900,-28474100,-28474100,6963800,-54600,-54600,6909200,6909200,-2617000,4292200,4292200,4292200,4292200,377700,377700,80843600,80843600,66462300,9499500,3292700,157183100,22903800,13816900,2132200,36720700,193903800,68060900,59368500,8692400,77455700,8146500,4194700,10542300,87998000,52240200,-49816400,103482000,105905800,105905800,193903800,4292200,1212900,425000,-16348900,-10418800,-902500,-902500,9082600,-1378100,-1378100,7231000,-4090300,-4090300,-4090300,8176700,2645600,-6457700,0.24591,0.04832,0.02978,0.04053,0.02214,-1.50452,2.02933,0.83091,0.01364,0.53194,0.51608,17.85956,13.12502,-0.80031,0.04945,-0.05534,0.27736,0.32567
"14","2013_Q3",23.42171875,"Up",146526000,-110033200,36492800,-28903400,-28903400,7589400,-67000,-67000,7522400,7522400,-2941300,4581100,4581100,4581100,4581100,3230500,3230500,75059700,75059700,66221700,8833200,2613000,153345100,22788400,13816900,2132200,36605300,189950400,69651600,58815400,10836200,69901500,8063900,4112100,10395200,80296700,52937400,-49866700,106583000,109653700,109653700,189950400,4581100,1261300,678400,8461900.00000001,14982700,-1403300,-1403300,-9209400,62100,-50300,-10726600,2852800,2852800,2852800,8850700,2581200,18850600,0.24905,0.0518,0.03126,0.04178,0.02412,4.11486,2.19373,0.73228,0.01359,0.56217,0.55207,17.98086,13.45609,2.31324,0.05038,0.1567,-0.07336,-0.08555
"15","2013_Q4",28.0703125,"Up",144915200,-108772800,36142400,-28974800,-28974800,7167600,-37800,-37800,7129800,7129800,-2709300,4420500,4420500,4420500,4420500,8281400,8281400,63605900,63605900,62372100,8595000,2420000,142854400,22030500,13816900,2132200,35847400,178701800,55209700,44074800,11134900,55459700,7814300,3862500,10085100,65544800,53501700,-49866700,109522000,113157000,113157000,178701800,4420500,1241200,297300,1120700,7079700,-486900,-486900,-60400,0,0,-1541900,5050900,5050900,5050900,8408800,2520800,11751900,0.2494,0.04946,0.0305,0.03907,0.02474,2.6585,2.57582,0.57924,0.01411,0.54186,0.53725,17.76357,13.87068,1.44054,0.04779,0.09516,-0.68507,-0.8037
"16","2014_Q1",27.8806557377049,"Down",124536600,-106251800,18284800,-13515700,-13515700,4769100,-18300,-18300,4750800,4750800,-1795500,2955300,2955300,2955300,2955300,11467900,11467900,67495700,67495700,61955700,9249600,2336600,150168900,22765400,14026000,2341300,36791400,186960300,61828300,50756900,11071400,62078500,7845500,3584800,10053700,72132200,54081900,-50084600,110830800,114828100,114828100,186960300,2955300,1149600,-385500,3302400,7021800,-1922800,-1922800,-62400,-117000,-217900,-1912500,3186500,3186500,3186500,5918700,2458400,9093800,0.14682,0.03829,0.02373,0.02574,0.01581,3.07712,2.41902,0.62818,0.01315,0.36217,0.34928,15.26184,14.07207,1.11444,0.03678,0.07267,-1.52221,-1.88914
"17","2014_Q2",24.4834920634921,"Down",152946300,-117697500,35248800,-29176400,-29176400,6072400,-28400,-28400,6044000,6044000,-2372600,3671400,3671400,3671400,3671400,6236200,6236200,80678500,80678500,73015800,11658700,4736100,171589200,22087200,14026000,2341300,36113200,207702400,80432800,71855400,8577400,80683000,7750900,3490200,9896600,90579600,55775500,-51488800,112836100,117122800,117122800,207702400,3671400,1167800,346700,-7966800,-2780900,-490900,-490900,-62500,-1404200,-1404200,-1959900,-5231700,-5231700,-5231700,7240200,2395900,1155100,0.23047,0.0397,0.024,0.03135,0.01768,0.31462,2.12671,0.77337,0.01154,0.44561,0.43791,18.5637,14.21566,0.1402,0.04194,0.00908,-0.53041,-0.63242
"18","2014_Q3",23.64890625,"Down",148521800,-113085800,35436000,-29569400,-29569400,5866600,-49400,-49400,5817200,5817200,-2303600,3513600,3513600,3513600,3513600,2656900,2656900,80665500,80665500,81838400,10410400,3478300,175571200,21750100,14026000,2341300,35776100,211347300,82185400,73526800,8658600,82435800,7647000,3386300,9729900,92165700,56225400,-51727400,114683600,119181600,119181600,211347300,3513600,1185100,111600,-5686900,-876600,-845000,-845000,-62600,-129400,-238600,-1857700,-3579300,-3579300,-3579300,7051700,2333300,2823400,0.23859,0.0395,0.02366,0.02948,0.01662,0.80356,2.12979,0.77332,0.01104,0.42512,0.4217,17.96997,14.42004,0.34161,0.0401,0.02186,-0.04589,-0.05516
"19","2014_Q4",22.81296875,"Down",135188700,-112546800,22641900,-19957800,-19957800,2684100,-61300,-61300,2622800,2622800,-941600,1681200,1681200,1681200,1681200,9536100,9536100,63877000,63877000,65114800,17242800,10352800,155770700,21202900,14026000,2341300,35228900,190999600,66174300,51081400,15092900,66424700,7384600,3123900,9404900,75829600,56571500,-56106800,114705300,115170000,115170000,190999600,1681200,1140300,49100,10703100,13573700,-593100,-593100,-62600,-4378600,-4379400,-6101400,6879200,6879200,6879200,3824400,2270700,14876000,0.16748,0.01985,0.01244,0.0146,0.0088,8.84844,2.34507,0.65841,0.01189,0.20477,0.20253,16.46635,14.02801,1.81194,0.02676,0.11917,-1.89975,-2.70683
"20","2015_Q1",18.8826229508197,"Down",112962200,-88650400,24311800,-24556500,-24556500,-244700,-28200,-28200,-272900,-272900,41000,-231900,-231900,-231900,-231900,7524000,7524000,59572100,59572100,72363600,10868900,10868900,150328600,21111800,14800200,2619600,35912000,186240600,67857000,51804200,16052800,68107700,3033300,3033300,4990800,73098500,56613700,-56307900,112836300,113142100,113142100,186240600,-231900,1090400,1998100,-1693000,1163600,-1018600,-1018600,-62500,-115200,-201100.000000001,-2157100,-2012100,-2012100,-2012100,845700,2208200,-1906900,0.21522,-0.00217,-0.00205,-0.00205,-0.00125,8.22294,2.20722,0.64608,0.01186,-0.0291,-0.02872,14.17343,14.196,-0.23926,0.01187,-0.01611,-6.28568,21.72374
"21","2015_Q2",17.3184126984127,"Down",134664000,-105682100,28981900,-26122400,-26122400,2859500,-46300,-46300,2813200,2813200,-1117900,1695300,1695300,1695300,1695300,6377300,6377300,63476200,63476200,78019600,12244400,8378900,160117500,20886900,14304300,2619600,35191200,195308700,73821600,60051200,13770400,74072400,6266500,2906400,8161200,82233600,57331700,-57134800,112878200,113075100,113075100,195308700,1695300,1131300,-4700,-1029600,1792300,-906400,-906400,-62700,-826900,-826900,-2032600,-1146700,-1146700,-1146700,3990800,2145500,3172700,0.21522,0.02123,0.01259,0.01499,0.00868,1.87147,2.16164,0.72725,0.01099,0.20674,0.20502,16.42244,13.78965,0.38691,0.02756,0.02612,-1.06039,-1.47991
"22","2015_Q3",17.72953125,"Up",142353300,-111841600,30511700,-25865400,-25865400,4646300,-47100,-47100,4599200,4599200,-1850900,2748300,2748300,2748300,2748300,5966700,5966700,66164700,66164700,75099700,10743500,6868500,157974600,20527100,14304300,2619600,34831400,192806000,69982100,56449000,13533100,70233000,6124900,2764800,7956800,78189800,57777200,-57134800,113973800,114616200,114616200,192806000,2748300,1207200,116900,-2001400,2071000,-847400,-847400,-62700,81200.0000000002,0,-1634200,-410600,-410600,-410600,5853500,2082800,4855600,0.21434,0.03264,0.01931,0.02398,0.01425,1.76676,2.24929,0.68219,0.0108,0.33361,0.33309,17.28008,13.91311,0.58941,0.03583,0.03953,-0.66352,-0.83591
