"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2014_Q4",4.16828125,"Down",2.212e+09,-1.099e+09,1.113e+09,-1.082e+09,-5.61e+08,-1.66e+08,-3.55e+08,3.1e+07,-8.02e+08,-7.08e+08,-7.71e+08,-1.102e+09,1.71e+08,-9.31e+08,-9.8e+08,-9.08e+08,-9.08e+08,3182400000,3182400000,622600000,622600000,44700000,312100000,307500000,4161800000,13484800000,13484800000,6844900000,2772700000,656200000,20329700000,24491500000,2343800000,431100000,1318400000,140600000,2798500000,22888900000,2518500000,2077400000,441100000,25407400000,28205900000,-4012200000,297800000,-3714400000,24491500000,-35200000,-281400000,1570800000,-1540600000,-190100000,-1729600000,-1.94e+08,-247400000,-247400000,23029500000,0.50316,0.01401,-0.41049,0.24445,-0.03707,1.48715,-7.59366,0.94031,-6.30556,-6.30556,15.36111,-27.8625,-0.04159,640.22903
"2","2015_Q1",4.4755737704918,"Up",1.582e+09,-1.091e+09,4.91e+08,-5.51e+08,-3.65e+08,-1.87e+08,1e+06,-6e+07,-715999999.999998,-7.15e+08,-7.76e+08,-1.221e+09,1.16e+08,-1.105e+09,-1.07e+09,-1.022e+09,-1.022e+09,2.806e+09,2.806e+09,5.18e+08,5.18e+08,4.3e+07,3.01e+08,3.01e+08,3.668e+09,1.3456e+10,1.3456e+10,6.204e+09,2.366e+09,6.72e+08,1.966e+10,2.3328e+10,2.284e+09,3.49e+08,1.199e+09,1.5779e+10,1.8063e+10,7.23e+09,2.777e+09,2.293e+09,4.84e+08,1.0007e+10,2.807e+10,-4.997e+09,2.55e+08,-4.742e+09,2.3328e+10,-3.99e+08,-1.74e+08,-4.27e+08,1.17e+08,3.9e+07,1.54e+08,-6.72e+08,-6.68e+08,-6.68e+08,2.3009e+10,0.31037,-0.03793,-0.646020000000001,0.21552,-0.0438099999999999,0.203070000000001,-5.91944,0.98633,-7.14685000000001,-7.14685,11.06294,-34.94406,-0.0485599999999997,-336.71667
"3","2015_Q2",7.41206349206349,"Up",1.253e+09,-5.14e+08,7.39e+08,-5.95e+08,-3.49e+08,-1.02e+08,-1.44e+08,1.44e+08,6.852e+09,-2.38e+08,6.996e+09,6.996e+09,-1.92e+08,6.804e+09,6.797e+09,6.772e+09,6.772e+09,1.555e+09,1.555e+09,1.86e+08,1.86e+08,1.2e+07,2.7e+08,2.65e+08,2.023e+09,7.638e+09,7.638e+09,2.876e+09,1.693e+09,5.61e+08,1.0514e+10,1.2537e+10,1.001e+09,2.42e+08,5.56e+08,7.1e+07,1.135e+09,6.991e+09,1.48e+09,1.286e+09,1.94e+08,8.471e+09,9.606e+09,1.791e+09,1.14e+09,2.931e+09,1.2537e+10,-1.02e+08,-1e+08,-1.024e+09,-5.9e+07,-3.2e+07,-1.18e+08,-1.244e+09,-1.251e+09,-1.251e+09,7.062e+09,0.58978,0.11492,5.40463,2.31047,0.54016,1.78238,3.27738,0.56329,46.70345,46.06803,8.64138,12.35172,0.59026,38.24306
"4","2015_Q3",9.00265625,"Up",1.142e+09,-4.35e+08,7.07e+08,-5.21e+08,-3.06e+08,-9.6e+07,-1.19e+08,1.86e+08,-1.4e+08,-1.46e+08,45999999.9999981,46000000.000001,4e+06,5e+07,49999999.999999,14999999.999999,14999999.999999,1.579e+09,1.579e+09,1.79e+08,1.79e+08,1.4e+07,2.5e+08,2.44e+08,2.022e+09,7.655e+09,7.655e+09,2.826e+09,1.693e+09,5.24e+08,1.0481e+10,1.2503e+10,9.6e+08,1.82e+08,6.44e+08,2.22e+08,1.25e+09,6.802e+09,1.443e+09,1.268e+09,1.75e+08,8.245e+09,9.495e+09,1.832e+09,1.176e+09,3.008e+09,1.2503e+10,2.03e+08,-1.27e+08,-1.5e+08,-9e+06,-9e+06,-2.9e+07,2.4e+07,2.4e+07,2.4e+07,7.024e+09,0.61909,0.16287,0.0131300000000012,0.00498999999999894,0.00119999999999998,1.6176,3.15658,0.56179,0.103450000000002,0.102039999999995,7.87586,12.63448,0.00131000000000003,29.27419
"5","2015_Q4",9.66203125,"Up",6.13e+08,-4.38e+08,1.75e+08,-2e+08,-1.5e+08,-7.6e+07,2.6e+07,-2.5e+07,-1.08e+09,-1.46e+08,-1.105e+09,-1.105e+09,2.37e+08,-8.68e+08,-7.55e+08,-7.89e+08,-7.89e+08,1.609e+09,1.609e+09,2.08e+08,2.08e+08,1.4e+07,3.88e+08,2.39e+08,2.219e+09,7.63e+09,7.63e+09,2.803e+09,1.696e+09,5.2e+08,1.0433e+10,1.2652e+10,1.004e+09,1.92e+08,6.12e+08,1.89e+08,2.218e+09,6.788e+09,1.387e+09,1.208e+09,1.79e+08,8.175e+09,1.0393e+10,1.052e+09,1.207e+09,2.259e+09,1.2652e+10,6.2e+07,-5.3e+07,2.1e+07,-5.2e+07,3.2e+07,-3.6e+07,4.7e+07,4.8e+07,4.8e+07,6.977e+09,0.28548,-0.04078,-1.28711,-0.34927,-0.06236,1.00045,4.60071,0.55145,-5.44138,-5.44138,4.22759,7.25517,-0.07427,-214.72
"6","2016_Q1",10.3950819672131,"Up",9.21e+08,-4.33e+08,4.88e+08,-4.78e+08,-2.48e+08,-1e+08,-1.3e+08,1e+07,-6.308e+09,-1.53e+08,-6.298e+09,-1.9e+08,5.7e+07,-1.33e+08,-8.4e+07,1.1e+07,1.1e+07,1.227e+09,1.227e+09,1.34e+08,1.34e+08,2.1e+07,5.77e+08,2.13e+08,1.959e+09,7.584e+09,7.584e+09,2.663e+09,1.608e+09,5.57e+08,1.0247e+10,1.2206e+10,8.42e+08,1.61e+08,5.5e+08,1.87e+08,2.016e+09,6.777e+09,1.18e+09,1e+09,1.8e+08,7.957e+09,9.973e+09,9.87e+08,1.246e+09,2.233e+09,1.2206e+10,-2.45e+08,-6.1e+07,-4.7e+07,-2e+07,3.3e+07,1999999.99999999,-2.9e+08,-3.03e+08,-3.03e+08,6.964e+09,0.52986,0.01086,0.0119399999999998,0.00492999999999982,0.000899999999999998,0.97173,4.46619,0.57054,0.0758599999999987,0.0738299999999992,6.35172,6.8069,0.00106000000000001,573.7
"7","2016_Q2",13.67265625,"Up",9.5e+08,-4.37e+08,5.13e+08,-4.25e+08,-2.5e+08,-1.12e+08,-6.3e+07,8.8e+07,-3.88e+08,-1.51e+08,-3e+08,-3e+08,-7e+06,-3.07e+08,-2.74e+08,-3.08e+08,-3.08e+08,1.444e+09,1.444e+09,2.01e+08,2.01e+08,1.8e+07,2.31e+08,2.31e+08,1.894e+09,7.56e+09,7.56e+09,2.686e+09,1.696e+09,4.5e+08,1.0246e+10,1.214e+10,9.08e+08,1.66e+08,5.47e+08,1.5e+08,2.216e+09,6.77e+09,1.208e+09,9.97e+08,2.11e+08,7.978e+09,1.0194e+10,6.73e+08,1.273e+09,1.946e+09,1.214e+10,6.4e+07,-4.4e+07,4e+07,-4.9e+07,-3e+06,-8e+07,2.4e+07,2.1e+07,2.1e+07,6.92e+09,0.54,0.09263,-0.32421,-0.15827,-0.02537,0.85469,5.23844,0.57002,-2.12414,-2.12414,6.55172,4.64138,-0.03057,62.22727
"8","2016_Q3",14.37171875,"Up",9.92e+08,-4.42e+08,5.5e+08,-4.39e+08,-2.76e+08,-1.03e+08,-6e+07,1.11e+08,-2.176e+09,-1.5e+08,-2.065e+09,-2.065e+09,-3e+06,-2.068e+09,-2.043e+09,-2.077e+09,-2.077e+09,1.525e+09,1.525e+09,2e+08,2e+08,1.6e+07,2.07e+08,2.07e+08,1.948e+09,7.511e+09,7.511e+09,2.658e+09,1.696e+09,4.42e+08,1.0169e+10,1.2117e+10,9.23e+08,1.65e+08,6.31e+08,7.1e+07,4.181e+09,6.763e+09,1.269e+09,1.004e+09,2.65e+08,8.032e+09,1.2213e+10,-1.394e+09,1.298e+09,-9.6e+07,1.2117e+10,1.67e+08,-5.4e+07,-7999999.99999999,-9.2e+07,-7999999.99999997,-1.15e+08,4.4e+07,5e+07,49999999.9999998,6.834e+09,0.55444,0.1119,-2.09375,21.63542,-0.17141,0.46592,-127.21875,0.564,-14.22603,-14.22603,6.79452,-9.54795,-0.2594,47.82883
"9","2016_Q4",14.0142857142857,"Down",9.86e+08,-4.42e+08,5.44e+08,-5.88e+08,-4.02e+08,-1.12e+08,-7.4e+07,-4.4e+07,-3.217e+09,-1.47e+08,-3.261e+09,-3.261e+09,-2.7e+07,-3.288e+09,5e+06,-6.43e+08,-6.43e+08,1.669e+09,1.669e+09,1.4e+08,1.4e+08,1.6e+07,3.574e+09,3.574e+09,5.399e+09,7.456e+09,7.456e+09,2.496e+09,1.608e+09,4.39e+08,9.952e+09,1.5351e+10,1.164e+09,1.58e+08,8.11e+08,5.1e+07,7.733e+09,6.755e+09,1.834e+09,1.749e+09,8.5e+07,8.589e+09,1.6322e+10,-2.639e+09,1.668e+09,-9.71e+08,1.5351e+10,2.23e+08,-4.9e+07,-1.71e+08,-3.4e+07,-4.9e+08,-1.09e+09,-1.038e+09,3.623e+09,3.623e+09,6.806e+09,0.55172,-0.04462,-0.65213,0.6622,-0.04189,0.69818,-16.80947,0.44336,-4.37415,-4.37415,6.70748,-17.95238,-0.08384,-116.75
"10","2017_Q1",16.8561290322581,"Up",9.49e+08,-4.59e+08,4.9e+08,-4.19e+08,-2.19e+08,-1.12e+08,-8.8e+07,7.1e+07,5.153e+09,-1.51e+08,5.224e+09,-5.05e+08,-2.9e+08,-7.95e+08,-7.66e+08,-2.1e+07,-2.1e+07,1.54e+09,1.54e+09,1.6e+08,1.6e+08,2e+07,3.297e+09,3.297e+09,5.017e+09,7.446e+09,7.446e+09,2.46e+09,1.608e+09,4.19e+08,9.906e+09,1.4923e+10,9.75e+08,2.15e+08,6.93e+08,8.9e+07,7.731e+09,6.749e+09,2.052e+09,1.865e+09,1.87e+08,8.801e+09,1.6532e+10,-1.662e+09,5.3e+07,-1.609e+09,1.4923e+10,-4.12e+08,-7.3e+07,1.8e+07,2.7e+07,5.09e+08,2.5e+07,-3.69e+08,-4.5e+08,-4.5e+08,6.838e+09,0.51633,0.07482,-0.0221299999999999,0.0130500000000012,-0.00140999999999999,0.64895,-10.2747,0.45822,-0.14384,-0.14384,6.5,-11.38356,-0.00287999999999999,74.61972
