"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q4",0.954032258064516,"Down",-628305,-386653,-241652,-628305,-8453,-8453,-636758,-636758,-636758,-639758,-639758,-639758,1516829,1516829,101762,15500,86262,1618591,21502,21502,21502,1640093,156914,148476,156929,156929,13798764,-12315600,1483164,1483164,1640093,-639758,1535,-107822,287794,-458251,0,0,0,0,541749,541749,541749,-626770,15,-0.43135,-0.39007,10.31416,0.10581,1e-05,-0.031,-0.031,0.07186,-0.43134,2.42005,2.41414
"2","2013_Q1",1.36566666666667,"Up",-447474,-332431,-115043,-447474,-18283,-18293,-465757,-465757,-465757,-465757,-465757,-465757,1046918,1046918,60828,28233,32595,1107746,19966,19966,19966,1127712,89634,63403,90149,90149,13818920,-12781357,1037563,1037563,1127712,-465757,1536,20656,-26346,-469911,0,0,0,0,-469911,-469911,-469911,-445938,515,-0.4489,-0.41301,12.28795,0.08689,0.000459999999999999,-0.02257,-0.02257,0.05027,-0.44867,2.34652,2.33847
"3","2013_Q2",1.93921875,"Up",-373756,-301531,-72225,-373756,-33706,-33706,-407462,-407462,-407462,-407462,-407462,-407462,727153,727153,27086,24096,2990,754239,18430,18430,18430,772669,103117,58976,119428,119428,13842060,-13188819,653241,653241,772669,-407462,1536,38936,47225,-319765,0,0,0,0,-319765,-319765,-319765,-372220,16311,-0.62375,-0.52734,6.31543,0.18282,0.02111,-0.01974,-0.01974,0.03165,-0.60856,1.90974,1.90189
"4","2013_Q3",1.971875,"Up",-1778517,-1742065,-36452,-1778517,-996104,-996104,-2774621,-2774621,-2774621,-2774621,-2774621,-2774621,1301118,1301118,185673,35673,150000,1486791,16895,16895,16895,1503686,109046,109046,109046,109046,17358080,-15963440,1394640,1394640,1503686,-2774621,1535,2243153,-96102,-626035,-1.77635683940025e-15,-1.77635683940025e-15,-1.77635683940025e-15,1.77635683940025e-15,573965,573965,573965,-1776982,0,-1.98949,-1.84521,13.63453,0.07819,0,-0.12797,-0.12797,0.06432,-1.98949,0.73221,0.73157
"5","2013_Q4",2.35714285714286,"Up",-583980,-468167,-115813,-583980,0,0,-583980,-583980,-583980,-583980,-583980,-583980,715835,715835,172757,22757,150000,888592,15359,15359,15359,903951,35643,35643,35643,35643,17415728,-16547420,868308,868308,903951,-583980,1536,51165,-60487,-591766,0,0,0,0,-585283,-585283,-585283,-582444,0,-0.67255,-0.64603,24.93034,0.04105,0,-0.02413,-0.02413,0.03588,-0.67255,1.22902,1.22579
"6","2014_Q1",2.56098360655738,"Up",-506469,-374082,-132387,-506469,0,0,-506469,-506469,-506469,-506469,-506469,-506469,347493,347493,172379,22379,150000,519872,13823,13823,13823,533695,122356,122356,122356,122356,17465228,-17053889,411339,411339,533695,-506469,1536,49499,87091,-368343,2.8421709430404e-14,-2.8421709430404e-14,-2.8421709430404e-14,0,-368342,-368342,-368342,-504933,0,-1.23127,-0.94899,4.24885,0.29746,0,-0.02091,-0.02091,0.01698,-1.23127,0.6882,0.68611
"7","2014_Q2",2.05269841269841,"Down",-738494,-576011,-162483,-738494,-31076,-31076,-769570,-769570,-769570,-769570,-769570,-769570,2818114,2818114,164250,14250,150000,2982364,12403,12403,12403,2994767,345166,314098,345174,345174,20473052,-17823459,2649593,2649593,2994767,769570,1420,7832,230939,1009761,0,0,0,0,4009761,4009761,4009761,-737074,8,-0.29045,-0.25697,8.64018,0.13027,0,-0.03179,-0.06156,0.10944,-0.29045,3.82337,3.81602
"8","2014_Q3",1.65372881355932,"Down",-646360,-508581,-137779,-646360,-52674,-52674,-699034,-699034,-699034,-699034,-699034,-699034,2024656,2024656,163900,13900,150000,2188556,12872,12872,12872,2201428,248730,165344,249094,249094,20474827,-18522493,1952334,1952334,2201428,-2238174,1473,2132,-96086,-2330655,-1942,-1942,-1942,-1942,-2332597,-2332597,-2332597,-644887,363.999999999993,-0.35805,-0.31754,8.78606,0.12759,0.000170000000000003,-0.02878,-0.02878,0.08037,-0.35798,3.13899,3.13183
"9","2014_Q4",1.44765625,"Down",-862397,-690522,-171875,-862397,-69866,-69866,-932263,-932263,-932263,-932263,-932263,-932263,1364454,1364454,163405,13405,150000,1527859,11290,11290,11290,1539149,265673,127885,281501,281501,20712404,-19454756,1257648,1257648,1539149,-932263,1582,253040,17438,-660203,0,0,0,0,-660203,-660203,-660203,-860815,15828,-0.74127,-0.6057,5.42754,0.22383,0.01028,-0.03835,-0.03835,0.05174,-0.73206,1.56669,1.56381
"10","2015_Q1",1.66606557377049,"Up",-765659,-617162,-148497,-765659,-725855,-725855,-1491514,-1491514,-1491514,-1491514,-1491514,-1491514,785237,785237,164257,14257,150000,949494,24597,24597,24597,974091,337390,144239,1023710,1023710,20896651,-20946270,-49618.9999999998,-49618.9999999998,974091,-1491514,1628,854739,70865,-564282,-14935,-14935,-14935,-14935,-579217,-579217,-579217,-764031,686320,30.05933,-1.53119,0.927499999999999,-20.63141,0.70457,-0.06136,-0.06136,-0.00204,-2.34256999999998,0.12947,0.12919
