"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",61.840625,"Up",121332000,-68239000,-36905000,-8655000,-22679000,53093000,-888000,-888000,52205000,52205000,-19891000,32314000,32314000,32314000,32314000,214898000,153370000,61528000,402362000,402362000,39192000,39192000,656452000,236177000,92128000,31134000,60994000,328305000,984757000,191247000,191247000,72564000,70777000,70777000,334588000,76724000,76190000,53148000,23042000,152914000,487502000,198178000,-1143360000,1444691000,-2254000,497255000,497255000,984757000,32314000,8655000,4955000,-12827000,33097000,-5609000,-369000,-5978000,-3386000,-11404000,-15462000,795000,-35000,-30287000,-3167999.99999999,-3168000,254000,-2913999.99999999,61748000,149288000,63203000,0.43758,0.26633,0.06498,0.03281,1.9559,1.96197,0.98039,0.1516,0.7651,0.76286,2.87278,11.77353,1.49646,0.08017,0.0494,0.08745,0.10478,-1.06254,-1.23576
"27","2016_Q4",69.8555555555556,"Up",122149000,-63688000,-34692000,-9016000,-19980000,58461000,-948000,-948000,57513000,57513000,-21235000,36278000,36278000,36278000,36278000,227484000,170805000,56679000,409047000,409047000,32279000,32279000,668810000,261943000,97005000,31134000,65871000,358948000,1027758000,201872000,201872000,72509000,75968000,75968000,350349000,90817000,79862000,56097000,23765000,170679000,521028000,199411000,-1167391000,1477179000,-2469000,506730000,506730000,1027758000,36278000,9016000,3262000,17606000,66162000,-5047000,-435000,-5482000,-3790000,-14776000,-23491000,540000,-1007000,-43064000,17616000,17616000,-181000,17435000,67477000,163326000,101271000,0.4786,0.297,0.07159,0.0353,2.79153,1.90898,1.02822,0.15891,0.86296,0.86018,2.90561,12.05381,2.40898,0.09015,0.05343,0.13504,0.10447,-0.95081,-1.09745
"28","2017_Q1",76.9029032258065,"Up",133183000,-69418000,-37028000,-9687000,-22703000,63765000,-1069000,-1069000,62696000,62696000,-23122000,39574000,39574000,39574000,39574000,245457000,178897000,66560000,463102000,463102000,28848000,28848000,737407000,272843000,86341000,31134000,55207000,359184000,1096591000,227178000,219409000,81298000,71835000,71835000,380311000,93257000,80466000,53583000,26883000,173723000,554034000,200090000,-1167437000,1512993000,-3089000,542557000,542557000,1096591000,39574000,9687000,-1102000,-29214000,18945000,-3222000,-376000,-3598000,-3760000,-3819000,889000,889000,-285000,-6975000,8372000,8372000,-280000,8092000,73452000,174555000,64138000,0.47878,0.29714,0.07294,0.03609,1.62071,1.93896,1.02115,0.15918,0.94722,0.94401,3.1878,12.98636,1.53517,0.09,0.05433,0.08042,0.09501,-0.96528,-1.11193
"29","2017_Q2",76.311746031746,"Down",122001000,-69667000,-38323000,-9934000,-21410000,52334000,-1083000,-1083000,51251000,51251000,-18868000,32383000,32383000,32383000,32383000,277526000,215468000,62058000,439510000,439510000,31970000,31970000,749006000,263375000,93761000,31134000,62627000,357136000,1106142000,220105000,200675000,72282000,76250000,76250000,368637000,82987000,80775000,52928000,27847000,163762000,532399000,202625000,-1167600000,1541606000,-2888000,573743000,573743000,1106142000,32383000,9934000,1743000,17888000,61948000,-3313000,-523000,-3836000,-3770000,-19286000,1717000,1717000,-339000,-21678000,36434000,36434000,137000,36571000,62268000,155269000,95711000,0.42896,0.26543,0.05644,0.02928,2.95559,2.03183,0.92794,0.14037,0.77325,0.77106,2.91318,13.70002,2.28542,0.09002,0.04465,0.11819,0.11642,-1.9634,-2.33609
"30","2017_Q3",80.0520634920635,"Up",133172000,-72154000,-40861000,-9897000,-21396000,61018000,-819000,-819000,60199000,60199000,-22689000,37510000,37510000,37510000,37510000,273269000,222102000,51167000,480467000,480467000,39809000,39809000,793545000,259346000,106383000,31134000,75249000,365729000,1159274000,224928000,224928000,75501000,86075000,86075000,386504000,77639000,85641000,55239000,30402000,163280000,549784000,204087000,-1167600000,1575342000,-2339000,609490000,609490000,1159274000,37510000,9897000,5287000,-34843000,17851000,-522000,-351000,-873000,-3774000,-7237000,245000,245000,-26000.0000000001,-10792000,6186000,6186000,448000,6634000,70915000,153140000,58239000,0.45819,0.28167,0.06154,0.03236,1.55263,2.05314,0.90204,0.1321,0.89448,0.89288,3.17568,14.53416,1.38879,0.09,0.04867,0.06866,0.10061,-1.69399,-1.96875
"31","2017_Q4",90.6584126984127,"Up",140716000,-80149000,-43995000,-10130000,-26024000,60567000,-657000,-657000,59910000,59910000,-17490000,42420000,42420000,42443000,42443000,295428000,249741000,45687000,546826000,546826000,35629000,35629000,877883000,261465000,123991000,39914000,84077000,385456000,1263339000,269389000,269389000,74463000,103065000,103065000,446917000,76792000,85657000,52853000,32804000,162449000,609366000,206073000,-1167600000,1613590000,-1708000,650355000,653973000,1263339000,42420000,10130000,854000,-939000,52465000,-1371000,-632000,-10202000,-4195000,-11537000,569000,569000,-6000,-15169000,27094000,27094000,545000,27639000,70697000,151255000,85877000,0.43042,0.30162,0.0649,0.0336,2.02335,1.96431,0.93179,0.11973,1.01156,1.0098,3.35373,15.50014,2.04674,0.09998,0.05235,0.0964,0.09884,-2.03931,-2.38039
"32","2018_Q1",100.27,"Up",150454000,-80405000,-47404000,-10599000,-22402000,70049000,-607000,-607000,69442000,69442000,-4759000,64683000,64683000,64752000,64752000,291344000,242416000,48928000,631164000,631164000,38695000,38695000,961203000,276011000,115246000,39065000,76181000,391257000,1352460000,378220000,285132000,84293000,86130000,86130000,548643000,83062000,66878000,36737000,30141000,149940000,698583000,210276000,-1167600000,1611158000,-3162000,650672000,653877000,1352460000,64683000,10599000,-10276000,-58307000,6699000,-6348000,-556000,-7165000,-4199000,-2700000,652000.000000002,652000,-510000,-6757000,-7223000,-7223000.00000001,-102000,-7325000,80648000,167355000,20752000,0.46558,0.43038,0.09903,0.04788,0.32048,1.75196,1.06837,0.12374,1.54245,1.53962,3.58394,15.49957,0.49433,0.10002,0.07764,0.02337,0.06485,-1.53741,-1.77003
"33","2018_Q2",100.8321875,"Up",156365000,-81212000,-45251000,-10997000,-24964000,75153000,-8e+05,-8e+05,74353000,74353000,-16880000,57473000,57473000,57517000,57517000,259619000,220605000,39014000,631828000,631828000,37253000,37253000,928700000,265540000,126033000,39363000,86670000,391573000,1320273000,294939000,282480000,76251000,101753000,101753000,472943000,73350000,67700000,37448000,30252000,141050000,613993000,212611000,-1169458000,1663140000,-3551000,702742000,706280000,1320273000,57473000,10997000,4899000,-1367000,72002000,-1529000,-701000,-2230000,-69293000,-17754000,-529000,979000,-3689000,-91265000,-21493000,-21493000,-318000,-21811000,86150000,149601000,100134000,0.48063,0.36784,0.08144,0.04356,1.74095,1.96366,0.86933,0.11331,1.36821,1.36626,3.71961,16.71683,2.38199,1.64834,0.1373,0.10842,1.20474,-1.27705,-1.46392
"34","2018_Q3",106.328571428571,"Up",172338000,-88912000,-48998000,-10769000,-29145000,83426000,-839000,-839000,82587000,82587000,-20095000,62492000,62492000,62523000,62523000,188964000,148641000,40323000,688961000,688961000,50290000,50290000,928215000,256096000,124584000,38704000,85880000,380680000,1308895000,330809000,311768000,84234000,93831000,93831000,508874000,65093000,73995000,43790000,30205000,139088000,647962000,217006000,-1273489000,1719475000,-5284000,657708000,660933000,1308895000,62492000,10769000,12223000,-44457000,41027000,347000,-553000,-206000,-6188000,-1891000,-103920000,60000,-108000,-112107000,-71286000,-71286000,-678000,-71964000,94195000,149327000,70180000,0.48408,0.36279,0.0946,0.04777,1.12247,1.82406,0.98037,0.11409,1.5084,1.50687,4.15773,15.8675,1.69312,0.14929,0.0777,0.07937,0.09897,-0.4208,-0.47512
"35","2018_Q4",94.9725396825397,"Down",172306000,-85238000,-46699000,-10754000,-27785000,87068000,-816000,-816000,86252000,86252000,-19304000,66948000,66948000,66985000,66985000,254177000,213974000,40203000,702183000,702183000,42777000,42777000,999137000,268011000,123564000,38560000,85004000,391575000,1390712000,337636000,313728000,80719000,96821000,96821000,515176000,72887000,76439000,45664000,30775000,149326000,664502000,222242000,-1273512000,1779680000,-4569000,723841000,726210000,1390712000,66948000,10754000,7865000,5609000,91176000,-2601000,-783000,-3384000,-6780000,-15501000,358000,358000,-1124000,-23047000,64745000,64745000,588000,65333000,97822000,153606000,120134000,0.50531,0.38876,0.09224,0.04817,1.79345,1.93941,0.91503,0.11045,1.62973,1.6283,4.19216,17.61085,2.92283,0.16496,0.07714,0.12563,0.10122,-1.0281,-1.15509
