"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"36","2019_Q1",97.0803278688525,"Up",3739949000,-8223000,-47264000,-11050000,50091000,86088000,-899000,-899000,85189000,85189000,-16889000,68300000,68300000,68256000,68256000,239794000,199736000,40058000,691604000,691604000,40031000,40031000,971429000,284032000,125103000,38232000,86871000,409135000,1380564000,343623000,314134000,98900000,93295000,93295000,535818000,84864000,70749000,40320000,30429000,155613000,691431000,227531000,-1376111000,1841279000,-5875000,686824000,689133000,1380564000,68300000,11050000,2073000,12273000,93696000,-1946000,-428000,-2374000,-6657000,4960000,-102561000,38000,-1999.99999999907,-104260000,-12938000,-12938000,-1300000,-14238000,97138000,183764000,124354000,0.02302,0.0182499999999999,0.09905,0.04944,1.82188,1.81298,1.00333,0.13311,1.68525,1.68483,92.33986,16.95778,3.07032,0.16436,0.07939,0.13178,0.09753,-0.57681,-0.65085
"37","2019_Q2",98.4215873015873,"Up",156712000,-75816000,-41268000,-11316000,-23232000,80896000,-805000,-805000,80091000,80091000,-16791000,63300000,63300000,63317000,63317000,304583000,264625000,39958000,601128000,601128000,38484000,38484000,944195000,276193000,130551000,38343000,92208000,406744000,1350939000,282828000,273181000,82703000,107713000,107713000,473244000,75246000,74189000,44413000,29776000,149435000,622679000,224231000,-1389612000,1897967000,-4326000,728260000,728260000,1350939000,63300000,11316000,5354000,41446000,121416000,-2446000,-968000,-3414000,-6629000,-25815000,-12658000,319000,-8523000,-53625000,64377000,64377000,512000,64889000,92212000,157949000,148003000,0.51621,0.40403,0.08694,0.04687,2.33749,1.99515,0.85502,0.11692,1.57658,1.57638,3.90209,18.13351,3.68524,0.16506,0.07283,0.15411,0.1047,-1.59018,-1.81262
"38","2019_Q3",101.8465625,"Up",159329000,-78478000,-41297000,-11034000,-26147000,80851000,-709000,-709000,80142000,80142000,-19042000,61100000,61100000,61100000,61100000,285350000,250212000,35138000,594122000,594122000,59831000,59831000,939303000,269246000,140144000,38407000,101737000,409390000,1348693000,296941000,285569000,82814000,94495000,94495000,474250000,65573000,80570000,49554000,31016000,146143000,620393000,225231000,-1446425000,1952439000,-2945000,728300000,728300000,1348693000,61100000,11034000,6175000,-15649000,62660000,-3559000,-499000,-4058000,-6628000,-9562000,-56728000,23999.9999999999,-515000,-73433000,-14831000,-14831000,418000,-14413000,91885000,148387000,91719000,0.50745,0.38348,0.08389,0.0453,1.50113,1.98061,0.85184,0.11002,1.5296,1.52979,3.98871000000001,18.23257,2.29613,0.16593,0.07075,0.09581,0.10848,-1.49059,-1.69402
"39","2019_Q4",104.5365625,"Up",153885000,-83247000,-38152000,-10695000,-34400000,70638000,-764000,-764000,69874000,69874000,-16619000,53255000,53255000,53255000,53255000,316030000,284434000,31596000,598415000,598415000,56305000,56305000,970750000,270430000,144551000,38232000,106319000,414981000,1385731000,295919000,285442000,8.4e+07,103837000,103837000,483756000,61390000,84610000,51586000,33024000,1.46e+08,629756000,226618000,-1465284000,1998362000,-3721000,755975000,755975000,1385731000,53255000,10695000,6036000,6652000,76638000,-5573000,-895000,-6468000,-7332000,-9478000,-18563000,286000,-11000,-35384000,34786000,34786000,-564000,34222000,81333000,145390000,99031000,0.45903,0.34607,0.07045,0.03843,1.85956,2.00669,0.83304,0.10492,1.34594,1.34594,3.88923,19.1062,2.50287,0.18531,0.06145,0.10044,0.13768,-2.09804,-2.4157
"40","2020_Q1",100.303225806452,"Down",3277466000,-83473000,-38236000,-11423000,-33814000,66519000,-863000,-863000,65656000,65656000,-15608000,50048000,50048000,50048000,50048000,352416000,319515000,32901000,588549000,588549000,56923000,56923000,997888000,285855000,143968000,38508000,105460000,429823000,1427711000,350943000,271996000,96510000,105451000,105451000,552904000,70212000,83126000,49551000,33575000,153338000,706242000,226804000,-1465284000,1962161000,-2212000,721469000,721469000,1427711000,50048000,11423000,506000,-14851000,47126000,-3847000,-638000,-4616000,-7302000,-1241000,427000,427000,-6999.99999999953,-8122999.99999999,34387000,34387000,694000,35081000,77942000,166722000,74852000,0.0203,0.01527,0.06937,0.03505,1.4956,1.80481,0.97889,0.11678,1.26797,1.26797,83.03479,18.27846,1.89638,0.185,0.05904,0.07706,0.1459,-2.38246,-2.79159
"41","2020_Q2",101.030952380952,"Up",853357000,-90095000,-45327000,-11505000,-33263000,54005000,-952000,-952000,53053000,53053000,-12158000,40895000,40895000,40895000,40895000,210851000,177224000,33627000,562528000,562528000,42777000,42777000,816156000,276663000,143614000,37182000,106432000,420277000,1236433000,272175000,272175000,75946000,116710000,116710000,464831000,61977000,82530000,49074000,33456000,144507000,609338000,225655000,-1581885000,1995018000,-11693000,627095000,627095000,1236433000,40895000,11505000,4755000,42061000,99216000,-3718000,-867000,-4454000,-86283000,-17876000,-115387000,575000,-13917000,-233463000,-138701000,-138701000,-3590000,-142291000,65510000,137923000,116011000,0.06329,0.04792,0.06521,0.03307,2.8368,1.75581,0.97168,0.11155,1.0418,1.0418,21.73936,15.97531,2.95539,2.19807,0.15005,0.13688,2.10987,-1.11323,-1.35039
"42","2020_Q3",119.27515625,"Up",749083000,-79187000,-40601000,-11467000,-27119000,34763000,-976000,-976000,33787000,31205000,-6951000,24254000,24254000,24254000,24254000,281745000,245471000,36274000,489182000,489182000,69425000,69425000,840352000,284794000,146964000,40071000,106893000,431758000,1272110000,273324000,273324000,73753000,126383000,126383000,473460000,60152000,89377000,54615000,34762000,149529000,622989000,226014000,-1581921000,2012173000,-7145000,649121000,649121000,1272110000,24254000,11467000,10098000,53350000,99169000,-9493000,-618000,-12812000,-7099000,-468000.000000004,38999.9999999851,39000,-11321000,-18849000,67508000,67508000,738999.999999999,68247000,46230000,133905000,97038000,0.04641,0.03238,0.03736,0.01907,4.00091,1.77492,0.95974,0.10526,0.63198,0.63198,19.51855,16.91388,2.52848,0.18498,0.03594,0.11123,0.29269,-3.19792,-4.2528
"43","2020_Q4",124.40546875,"Up",1000412000,-79307000,-38851000,-11240000,-29216000,82352000,-1008000,-1008000,81344000,81344000,-19458000,61886000,61886000,61886000,61886000,257622000,218554000,39068000,637908000,637908000,68539000,68539000,964069000,279495000,148641000,40251000,108390000,428136000,1392205000,339798000,339798000,82182000,121570000,121570000,543550000,52570000,90451000,54107000,36344000,143021000,686571000,227560000,-1581961000,2065999000,-5964000,705634000,705634000,1392205000,61886000,11240000,311000,-86274000,-12837000,-5592000,-822000,-6479000,-8060000.00000001,-21111000,62000,62000,20953000,-8156000,-27472000,-27472000,555000,-26917000,93592000,134752000,21184000,0.08232,0.06186,0.0877,0.04445,0.34231,1.77365,0.97298,0.09679,1.61216,1.61216,26.06122,18.38211,0.55185,0.20997,0.07514,0.02276,0.13024,-1.31283,-1.49201
"44","2021_Q1",149.605901639344,"Up",1192748000,-83135000,-42854000,-11643000,-28638000,99906000,-1017000,-1017000,98889000,83395000,-18324000,65071000,65071000,65071000,65071000,290729000,249354000,41375000,764169000,764169000,153277000,153277000,1208175000,296996000,148628000,40949000,107679000,445624000,1653799000,457275000,380505000,110163000,238699000,238699000,806137000,65359000,90468000,51601000,38867000,155827000,961964000,229557000,-1581961000,2046238000,-1999000,691835000,691835000,1653799000,65071000,11643000,360000,-51905000,25169000,-4063000,-611000,-4674000,-8062000,16622000,49000.0000000037,49000,-173000,8435999.99999999,28931000,28931000,1869000,30800000,111549000,175522000,73905000,0.08376,0.05456,0.09406,0.03935,1.13576,1.49872,1.39045,0.10613,1.69504,1.69504,31.07005,18.0217,1.92516,0.21001,0.07635,0.07716,0.1239,-1.03279,-1.15315
"45","2021_Q2",162.039047619048,"Up",1188209000,-86656000,-45408000,-12101000,-29147000,103268000,-1042000,-1042000,102226000,102226000,-24986000,77240000,77240000,77240000,77240000,260796000,219389000,41407000,824872000,824872000,51651000,51651000,1137319000,288041000,149105000,40732000,108373000,437146000,1574465000,414440000,414440000,107554000,140671000,140671000,662665000,58196000,90685000,50835000,39850000,148881000,811546000,233279000,-1582818000,2115411000,-2953000,762919000,762919000,1574465000,77240000,12101000,3554000,-23004000,69891000,-3576000,-759000,-4335000,-84837000,6000,77000,77000,-11019000,-95773000,-30217000,-30217000,252000,-29965000,115369000,165750000,113775000,0.08691,0.06501,0.10124,0.04906,1.47301,1.71628,1.06374,0.10527,2.01125,2.01125,30.93972,19.86561,2.96258,2.20907,0.159,0.11161,1.09836,-0.82384,-0.92038
"46","2021_Q3",154.26671875,"Down",1449773000,-99284000,-54114000,-12143000,-33027000,122248000,-967000,-967000,121281000,121281000,-28987000,92294000,92294000,92294000,92294000,238964000,186404000,52560000,902950000,902950000,91352000,91352000,1233266000,281016000,188931000,40973000,147958000,469947000,1703213000,481711000,481711000,101004000,137500000,137500000,720215000,51181000,101644000,58591000,43053000,152825000,873040000,239104000,-1606716000,2199637000,-1852000,830173000,830173000,1703213000,92294000,12143000,14430000,-51582000,67285000,-3986000,-50365000,-54351000,-8068000,-23343000,-23837000,0,8510000,-46738000,-33804000,-33804000,819000,-32985000,134391000,152185000,107810000,0.08432,0.06366,0.11117,0.05419,1.16811,1.71236,1.05164,0.08935,2.39091,2.40324,37.55694,21.50596,2.79286,0.209,0.09258,0.09946,0.08742,-0.64572,-0.70986
"47","2021_Q4",165.8928125,"Up",1599710000,-111627000,-59198000,-12288000,-40141000,131412000,-965000,-965000,130447000,130447000,-31772000,98675000,98675000,98675000,98675000,267208000,230564000,36644000,1010538000,1010538000,134382000,134382000,1412128000,301373000,200541000,40980000,159561000,501914000,1914042000,548385000,548385000,123575000,175352000,175352000,847312000,62724000,104316000,57402000,46914000,167040000,1014352000,246984000,-1633109000,2288754000,-2939000,899690000,899690000,1914042000,98675000,12288000,8642000,-39791000,79814000,-8952000,-1004000,-9956000,-9558000.00000001,11034000,-26336000,57000,-1000,-24861000,44997000,44997000,-837000,44160000,143700000,186299000,126729000,0.08215,0.06168,0.10968,0.05155,1.28431,1.6666,1.12745,0.09733,2.61781,2.57355,42.43967,23.86842,3.36207,0.25357,0.09093,0.10647,0.0968599999999999,-0.56304,-0.61569
"48","2022_Q1",155.76,"Down",1795524000,-115314000,-62558000,-13077000,-39679000,148740000,-1002000,-1002000,147738000,147738000,-34423000,113315000,113315000,113315000,113315000,251300000,215522000,35778000,1154314000,1154314000,117286000,117286000,1522900000,317386000,205179000,40768000,164411000,522565000,2045465000,679517000,604130000,153039000,177427000,177427000,1009983000,75243000,98229000,48720000,49509000,173472000,1183455000,255830000,-1705601000,2317184000,-5403000,862010000,862010000,2045465000,113315000,13077000,1460000,-68102000,59750000,-3776000,-926000,-4702000,-9498000,16389000,-72466000,26000,0,-65575000,-10527000,-10527000,-466000,-10993000,161817000,228282000,124362000,0.08284,0.06311,0.13145,0.0554,1.09749,1.50785,1.3729,0.1116,3.0062,2.9885,47.63454,22.86878,3.29927,0.25198,0.10333,0.10464,0.08382,-0.14225,-0.15475
"49","2022_Q2",146.237096774194,"Down",1821542000,-108379000,-52713000,-13757000,-41909000,162833000,-1123000,-1123000,161710000,161710000,-36871000,124839000,124839000,124839000,124839000,181704000,146025000,35679000,1223123000,1223123000,133672000,133672000,1538499000,307044000,200270000,40945000,159325000,507314000,2045813000,676617000,626337000,131198000,142437000,142437000,950252000,137289000,102123000,50991000,51132000,239412000,1189664000,248914000,-1816149000,2432699000,-9315000,856149000,856149000,2045813000,124839000,13757000,5892000,-49523000,94965000,-2966000,-1008000,-3974000,-84711000,49737000,-109276000,56000,-19715000,-163965000,-72974000,-72974000,815000,-72159000,176590000,268487000,160972000,0.08939,0.06853,0.14581,0.06102,1.28944,1.61904,1.38955,0.13124,3.31193,3.29243,48.32479,22.71329,4.27052,2.24735,0.17082,0.13122,0.67856,0.49144,0.53296
"50","2022_Q3",146.529375,"Up",1813794000,-117688000,-58967000,-14288000,-44433000,150418000,-1105000,-1105000,149313000,149313000,-36758000,112555000,112555000,112555000,112555000,119769000,78220000,41549000,1216518000,1216518000,168984000,168984000,1505271000,314191000,197605000,40977000,156628000,511796000,2017067000,670534000,670534000,150430000,156927000,156927000,977891000,73999000,108307000,55004000,53303000,182306000,1160197000,252729000,-1919535000,2535997000,-12321000,856870000,856870000,2017067000,112555000,14288000,11287000,-23444000,114686000,-2143000,-5956000,-8099000,-9257000,-71663000,-103300000,0,9446000,-174774000,-68187000,-68187000,-1005000,-69192000,164706000,224429000,175877000,0.08293,0.06206,0.13136,0.0558,1.56259,1.5393,1.35399,0.11127,3.03159,3.00804,48.85333,23.07922,4.73713,0.24933,0.1024,0.14784,0.08224,0.63544,0.69579
