"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",15.0331746031746,"Up",228193000,-26076000,202117000,-127288000,-37121000,-56060000,-32655000,74829000,4e+06,-50190000,56614000,-2424000,78829000,-226000,78603000,-8515000,70088000,95860000,-8860000,8.7e+07,-14573000,72427000,-2889957190.86312,-2889957190.86312,99125494.2799451,-5631308236.53603,-21093017166.8792,1967582400.5462,4255758993.41934,-2288176592.87314,-19229608546.3074,-24860916782.8434,-18860036432.4377,111690162.816376,-21738343052.9755,-18860016004.0036,-3699176142.8363,-3699176142.8363,-3699176142.8363,-22559192146.8399,53520.6818862908,4874877608.44586,-5201219155.4089,-326288026.281145,-1975436609.7224,-2301724636.00355,-24860916782.8434,95860000,61666000,-54663000,78650000,181513000,-45975000,-1092000,53660000,-12419000,-5826000,-106762000,53759000,3303000,3303000,-5844000,-55544000,120143000,120143000,120143000,136495000,0,177685000,0.88573,0.32792,0.31739,-1.6999277494868,-0.758709191517376,2.4533,-0.663279620854954,-2.71058428594897,-1.8317859069622e-14,0.17736,0.17689,0.55879,-1.46745499522893,0.43511,0.26144,-1.48212893329858,4.17977689361544,1.47406,16.8427972916674,34.3683260486963
"2","2014_Q3",15.32234375,"Up",245958000,-28981000,216977000,-126849000,-28772000,-62117000,-34219000,90128000,-590999.999999996,-52142000,52039000,-488000,89537000,4285000,93822000,-926000,92896000,91950000,-2438000,89512000,-14574000,74938000,-1149119095.43156,-1149119095.43156,134934247.139973,-2293641118.26801,-5766597583.43961,1826090700.2731,2536449496.70967,-710358796.43657,-3790025273.15369,-6083666391.42171,-6186113216.21883,111352581.408188,-7680774026.48775,-6186103002.00178,-1494305571.41815,-1494305571.41815,-1494305571.41815,-7680408573.41993,77760.3409431454,5326570304.22293,-2949901077.70445,2376746986.85943,-780004804.861202,1596742181.99823,-6083666391.42171,91950000,67630000,-43071000,28075000,144584000,-207323000,9662000,60097000,-28589000,-166153000,-106937000,49871000,9033000,9033000,-7126000,-55159000,-76728000,-76728000,-76728000,157758000,0,-20564000,0.88217,0.36644,0.30468,-0.7627838747434,-0.340209595758688,-0.27441,-0.245354810427477,-0.697977142974486,-9.158929534811e-15,0.18327,0.18217,0.6015,5.53377750238553,-0.0502900000000001,0.26152,-0.653814466649288,1.92692844680772,1.42701,6.61328864583372,13.5103980243482
"3","2014_Q4",16.53671875,"Up",255233000,-30561000,224672000,-131693000,-28632000,-67130000,-35030000,92979000,5468000,-50961000,57824000,-1395000,98447000,-21416000,77031000,-5252000,71779000,197309000,-2601000,194708000,-14573000,180135000,-196368031.810519,-196368031.810519,158631415.713324,-429531039.422671,3398432138.85346,1843794900.09103,1525430498.90322,318364401.18781,5402524908.94877,4972993869.5261,1271577261.26039,111155860.469396,612979324.504085,1271580665.99941,-192455857.139383,-192455857.139383,-192455857.139383,1079124808.86002,93920.1136477151,5600665768.07431,-1614219359.23482,3986540328.95314,-92671268.2870672,3893869060.66608,4972993869.5261,197309000,70618000,-161069000,77050000,183908000,80541000,3635000,30602000,-14892000,99886000,-107050000,-218488000,3751000,3751000,0,-321787000,-37993000,-37993000,-37993000,163597000,0,326440000,0.88026,0.36429,0.70577,-0.229404624914467,-0.102076531919563,1.8122,-0.0169516034758256,0.487387619008505,-3.05297651160367e-15,0.44007,0.43803,0.62354,9.66656250079518,0.79749,0.26152,-0.182551488883096,0.641376148935907,0.59428,1.05708954861124,2.29120934144939
"4","2015_Q1",18.3047540983607,"Up",264513000,-34079000,230434000,-138247000,-27676000,-72767000,-37016000,92187000,-22612000,-49500000,31125000,-4237000,69575000,-88402000,-18827000,-7745000,-26572000,50761000,2020000,52781000,-14574000,38207000,187322000,187322000,172386000,359708000,7930489000,1880968000,1037218000,843750000,9901692000,10261400000,4836622000,111143000,4595970000,4836622000,431533000,431533000,431533000,5268155000,102000,5736139000,-961456000,4774785000,218460000,4993245000,10261400000,50761000,73179000,942000,-5544000,119338000,208524000,-3557999.99999999,78231000,-84399000,198798000,-107124000,-185442000,7787000,7787000,-225000.000000004,-285004000,33132000,33132000,33132000,165366000,-2.11758236813575e-22,376091000,0.87116,0.34852,0.14444,0.00765,0.00372,9.84351,0.07437,1.05506,0,0.09325,0.0927100000000001,0.64555,11.65273,0.91786,0.26144,0.02679,0.06933,2.80378,-1.13277,-2.03198
"5","2015_Q2",16.8031746031746,"Down",283456000,-33902000,249554000,-149197000,-32705000,-74569000,-39626000,100357000,58573000,-52578000,111919000,-768000,158930000,166541000,325471000,-12717000,312754000,312739000,-2397000,310342000,-14573000,295769000,220977000,220977000,178367000,472762000,9357990000,1797883000,886328000,911555000,11261126000,11733888000,5832608000,111357000,5721251000,5832608000,602821000,602821000,602821000,6435429000,102000,5771965000,-758893000,5013174000,285285000,5298459000,11733888000,312739000,74569000,-268908000,44690000,163090000,-486074000,-171632000,7599000,42651000,-607456000,-113400000,483559000,10258000,10258000,97604000,478021000,33655000,33655000,33655000,174926000,0,-253741000,0.8804,0.35405,1.04344,0.05582,0.02521,-0.8579,0.08105,1.21459,0,0.72063,0.71202,0.69063,12.21411,-0.61823,0.27629,0.06934,-0.043,0.38341,-1.26326,-2.20191
"6","2015_Q3",16.69625,"Down",294061000,-36109000,257952000,-150281000,-29307000,-80155000,-39712000,107671000,4354000,-23811000,27912000,253000,112025000,11955999.9999999,123981000,3628000,127609000,127609000,-609000.000000001,1.27e+08,-14573000,112427000,145832000,145832000,177768000,346590000,9290447000,1806016000,880300000,925716000,11120714000,11467304000,5649227000,111455000,5537772000,5649227000,591097000,591097000,591097000,6240324000,102000,5771961000,-798477000,4973586000,253394000,5226980000,11467304000,127609000,80155000,-67805000,-17054000,122905000,10442999.9999999,63302000,33781000,20449000,127975000,-113623000,-181915000,3214000,3214000,-33701000,-326025000,-75145000,-75145000,-75145000,187826000,-6.7762635780344e-21,177587000,0.87721,0.36615,0.38233,0.02151,0.0098,1.57958,0.06135,1.19387,0,0.27309,0.27361,0.71429,12.08092,0.43137,0.276,0.03885,0.03052,1.01064,-0.77642,-1.35442
"7","2015_Q4",18.2896875,"Up",288382000,-34915000,253467000,-172422000,-27310000,-103708000,-39484000,81045000,-25511000,-48339000,22213000,615000,55534000,28394000,83928000,-2844000,81084000,81084000,-3512000,77572000,-14573000,62999000,180913000,180913000,172758000,379878000,9256277000,1765640000,833650000,931990000,11034106000,11413984000,5610066000,111480000,5498586000,5610066000,621521000,621521000,621521000,6231587000,102000,5775102000,-847490000,4927714000,254683000,5182397000,11413984000,81084000,103708000,-50442000,42297000,176647000,-20361000,3799000,57361000,-26801000,13998000,-113722000,-43246000,2095000,2095000,-691000,-155564000,35081000,35081000,35081000,184753000,0,209533000,0.87893,0.28103,0.21846,0.01216,0.00552,3.32597,0.06771,1.20245,0,0.1531,0.15236,0.70082,11.97499,0.5092,0.27637,0.03045,0.0361,1.80514,-0.97922,-2.23225
"8","2016_Q1",19.1372131147541,"Up",300870000,-40054000,260816000,-160934000,-33413000,-86095000,-40675000,99882000,304413000,-55102000,354441000,5074000,404295000,-103100000,301195000,-48297000,252898000,378711000,490000,379201000,-19181000,360020000,189534000,189534000,175252000,364786000,9274299000,1697521000,742559000,954962000,10979385000,11344171000,5641551000,115182000,5376310000,5641551000,433960000,433960000,433960000,6075511000,32000,5613015000,-566747000,5046300000,222360000,5268660000,11344171000,378711000,86095000,-382896000,-50851000,31059000,88574000,30722000,-4688000,372240000,486848000,-115088000,-192627000,3141000,3141000,-204712000,-509286000,8621000.00000001,8621000.00000001,8621000.00000001,185977000,5.42101086242752e-20,271997000,0.86687,0.33198,1.1966,0.06833,0.03174,0.75551,0.06466,1.15314,0,0.87454,0.87465,0.73085,12.25804,0.66072,0.27956,0.08331,0.0477,0.31967,-1.01913,-1.89758
"9","2016_Q2",20.59171875,"Up",297202000,-34553000,262649000,-157550000,-31929000,-84856000,-37290000,105099000,28111000,-52451000,80732000,-170000,133210000,21056000,154266000,-12112000,142154000,142154000,-1441000,140713000,-11555000,129158000,2.22e+08,2.22e+08,174005000,396005000,9172827150.47907,10847640000,702586000,10145054000,10853356000,11249361000,5279093000,116631000,5162462000,5279093000,566206000,566206000,566206000,5845299000,32000,5725194000,-542607000,5182619000,221443000,5404062000,11249361000,142154000,84856000,-97898000,7844000,136956000,26599000,4771000,28327000,68105000,127802000,-117030000,-227176000,111411000,111411000,503000,-232292000,32466000,32466000,32466000,189955000,0,236510000,0.88374,0.35363,0.43458,0.0239,0.01148,1.83117,0.07501,1.08165,1.26217744835362e-29,0.31301,0.31187,0.72026,12.55989,0.57318,0.28362,0.04124,0.03961,0.9061,-1.1687,-2.11229
"10","2016_Q3",21.9603125,"Up",291488000,-33223000,258265000,-152385000,-29928000,-82753000,-38519000,105880000,65153000.0000001,-50479000,116644000,-1012000,171033000,33567000,204600000,246000,204846000,204846000,-1437000,203409000,-11555000,191854000,337815000,337815000,172702000,534332000,9171988000,1679106000,519268000,1159838000,10858100000,11392432000,5305674000,116857000,5188817000,5305674000,555299000,555299000,555299000,5860973000,32000,5772293000,-458198000,5314127000,217332000,5531459000,11392432000,204846000,82753000,-148486000,-60222000,78891000,-24102000,6729000,28104000,172816000,183547000,-118428000,-66488000,45102000,45102000,-6809000,-146623000,115815000,115815000,115815000,188633000,8.67361737988404e-19,104063000,0.88602,0.36324,0.65819,0.03468,0.01684,0.54241,0.10071,1.05957,0,0.45926,0.45754,0.69776,12.72081,0.2491,0.28349,0.05098,0.0171,0.61728,-1.79086,-3.19055
