"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.4150793650794,"Up",310200000,-232853000,77347000,-12399000,-16967000,4568000,64948000,-12753000,-12486000,188000,52195000,64562000,-7609000,56953000,56953000,56953000,56953000,12147159.2437425,12147159.2437425,-80121188.9703597,-80121188.9703597,197982503.025855,130306032.892787,58957150.1672757,260314506.192025,406751545.57823,1502579648.57408,-1095828102.99585,1222138511.84584,299323668.699124,231510211.710635,1928213726.12319,2188528232.31522,171620857.262172,105121004.326113,66499852.936059,-79201319.6333755,-2227474197.88477,-81014681.5073946,390667641.536513,553030470.673426,121234776.262295,-32619216.4804845,153853992.74278,674265246.935721,1064932888.47223,558698438.42315,642228226.728138,-77331579.067411,1123595086.08388,1123595343.84298,2188528232.31522,56953000,43329000,7712000,-16583000,91411000,-36165000,-1450000,-37615000,-39910000,60350000,1214000,7211000,2756000,24410000,78206000,78206000,-2e+05,78006000,108277000,0,63138000,0.24935,0.20937,0.1836,-0.0380959955720542,-0.0189167712073104,1.1086,-1.74756102638532,0.953744351943026,0.384405340180894,0.4803,0.47449,2.61598,8.86352596922194,0.53246,0.33657,0.00219355632834603,-0.017341847588899,0.70075,20.2117635664469,33.8541732337494
"2","2010_Q3",15.1359375,"Up",312210000,-242941000,69269000,-13912000,-15172000,1260000,55357000,-10854000,-12250000,410000,44503000,44503000,-5945000,38558000,38558000,38558000,38558000,344184000,344184000,95710000,95710000,92293000,62502000,62381000,594689000,371441000,1469242000,-1097801000,1146216000,240243000,176459000,1757900000,2352589000,79994000,64261000,15733000,97010000,-1308539798.58985,97010000,177004000,764057000,229665000,111795000,117870000,993722000,1170726000,580108000,679093000,-77338000,1181863000,1181863000,2352589000,38558000,33193000,-5624000,198262000,264389000,-35183000,-3718000,-38901000,-40080000,-7.45058059692383e-09,5021000,5021000,660000,-34399000,191089000,191089000,125000,191214000,88550000,764057000,257574000,0.22187,0.17731,0.1235,0.03262,0.01639,6.68017,3.35975,0.99058,0.32477,0.3209,0.3209,2.59837,9.83607,2.14366,0.33357,0.03615,0.11839,1.03947,4.74165,7.58482
"3","2010_Q4",16.4309375,"Up",377515000,-269202000,108313000,-16333000,-17125000,792000,91980000,-12496000,-12944000,345000,79484000,79484000,-16580000,62904000,62904000,62904000,62904000,405665000,405665000,114545000,114545000,86215000,55272000,53690000,661697000,371290000,1481034000,-1109744000,1130661000,228487000,163175000,1730438000,2392135000,76073000,50689000,25384000,98981000,-676493279.153907,98981000,175054000,766102000,228340000,111957000,116383000,994442000,1169496000,594147000,701527000,-73035000,1222639000,1222639000,2392135000,62904000,39165000,24982000,-9644000,117407000,-24266000,-1830000,-26096000,-40166000,0,9269000,9300000,1118000,-29779000,61532000,61532000,-51000,61481000,131145000,766102000,113815000,0.28691,0.24365,0.16663,0.05145,0.0263,1.80934,3.77996,0.95653,0.32026,0.52248,0.51299,3.13566,10.1553,0.94535,0.33362,0.04649,0.05134,0.63853,2.74839,3.91865
"4","2011_Q1",19.1616129032258,"Up",315308000,-245103000,70205000,-13939000,-17838000,3899000,56266000,-12012000,-12783000,372000,44254000,44254000,14917000,59171000,59171000,59171000,59171000,349463000,349463000,82640000,82640000,110035000,67048000,45314000,609186000,385304000,1506664000,-1121360000,1137931000,231232000,162749000,1754467000,2363653000,99416000,57985000,41431000,52475000,-279330639.576954,52475000,244948000,675103000,192020000,66335000,125685000,867123000,1112071000,602882000,717058000,-68358000,1251582000,1251582000,2363653000,59171000,27719000,17017000,-81724000,22183000,-42835000,2791000,-40044000,-43517000,-3.72529029846191e-09,4782000,4782000,316000,-38419000,-56280000,-56280000,78000,-56202000,83985000,768160000,-55491000,0.22266,0.17845,0.18766,0.04728,0.02503,-0.93781,2.487,0.88853,0.32499,0.48445,0.48445,2.58149,10.24697,-0.45432,0.35628,0.04643,-0.02509,0.73544,4.98538,7.44139
"5","2011_Q2",20.8095238095238,"Up",357731000,-257511000,100220000,-14315000,-16433000,2118000,85905000,-11351000,-13317000,293000,74554000,74554000,-16142000,58412000,58412000,58412000,58412000,317112000,317112000,97284000,97284000,101493000,61580000,50202000,577469000,394512000,1518406000,-1123894000,1133746000,219172000,149011000,1747430000,2324899000,95596000,76587000,19009000,71658000,-65047879.8589845,71658000,260311000,602255000,188785000,65649000,123136000,791040000,1051351000,608700000,731392000,-66544000,1273548000,1273548000,2324899000,58412000,31870000,11874000,13549000,115705000,-34761000,3940000,-30821000,-43894000,-7.5e+07,-2427000,5399000,3970000,-117351000,-32467000,-32467000,116000,-32351000,117775000,695312000,112705000,0.28015,0.24014,0.16328,0.04587,0.02512,1.92948,2.21838,0.82553,0.29907,0.48107,0.46994,2.94623,10.48878,0.92822,0.36151,0.04742,0.05224,0.75146,3.21121,4.40254
"6","2011_Q3",20.07671875,"Down",357396000,-262772000,94624000,-16701000,-15992000,-709000,77923000,-11166000,-12628000,312000,66757000,66757000,-10304000,56453000,56453000,56453000,56453000,314180000,314180000,108302000,108302000,109029000,73775000,72020000,605286000,408369000,1540136000,-1131767000,1129306000,218826000,141357000,1756501000,2361787000,104199000,67143000,37056000,82464000,18359000,64105000,302830000,581297000,174681000,65137000,109544000,755978000,1058808000,615869000,743419000,-56309000,1302979000,1302979000,2361787000,56453000,30993000,4696000,-12980000,79162000,-30450000,-9543000,-39993000,-43977000,1.49011611938477e-08,2493000,2495000,-733000,-42217000,-3048000,-3048000,116000,-2932000,108916000,697464000,75790000,0.26476,0.21803,0.15796,0.04333,0.0239,1.34253,1.99876,0.81261,0.29531,0.4639,0.44736,2.93687,10.70713,0.6228,0.36138,0.04617,0.03484,0.779,3.51908,4.91875
"7","2011_Q4",20.1766666666667,"Up",385091000,-266184000,118907000,-11591000,-15762000,4171000,107316000,-11031000,-12355000,330000,96285000,96285000,8624000,104909000,104909000,104909000,104909000,362285000,362285000,106937000,106937000,114114000,65082000,63458000,648418000,420608000,1565087000,-1144479000,1192356000,233339000,153058000,1846303000,2494721000,114421000,68495000,45926000,69621000,22894000,46727000,300209000,658464000,168017000,65512000,102505000,826481000,1126690000,619965000,799159000,-51093000,1368031000,1368031000,2494721000,104909000,38895000,-13022000,621000,131403000,-21945000,-87782000,-109727000,-48692000,7.5e+07,273000,354000,-313000,26268000,47944000,47944000,161000,48105000,146211000,774631000,116263000,0.30878,0.27868,0.27243,0.07669,0.04205,1.10823,2.15989,0.82359,0.31051,0.86073,0.83193,3.15948,11.22402,0.95388,0.39949,0.06647,0.05032,0.46414,2.82021,3.84235
"8","2012_Q1",22.5456451612903,"Up",320742000,-219830000,100912000,-18850000,-17064000,-1786000,82062000,-12296000,-12475000,-92000,69766000,69766000,-12866000,56900000,56231000,56231000,56231000,78603000,78603000,95008000,95008000,121998000,48893000,48893000,344502000,461552000,1619180000,-1157628000,1503711000,259583000,190364000,2224846000,2569348000,117132000,72873000,44259000,33009000,5223000,27786000,178251000,819229000,248795000,140623000,108172000,1068024000,1246275000,630286000,806235000,-113448000,1323073000,1323073000,2569348000,56231000,30790000,32861000,-13882000,1.06e+08,-100260000,-207813000,-308073000,-48709000,-39057000,5203000,5203000,730000,-81833000,-283906000,-283906000,224000,-283682000,112852000,847339000,11576000,0.31462,0.25585,0.17532,0.0425,0.02189,0.20587,1.93268,0.94195,0.32979,0.46222,0.4499,2.63649,10.87561,0.0951500000000001,0.40039,0.04338,0.00479,0.86623,6.8119,9.36775
"9","2012_Q2",22.0773015873016,"Down",336571000,-235708000,100863000,-18126000,-19265000,1139000,82737000,-11835000,-11825000,-23000,70902000,70902000,-18303000,52599000,53437000,53437000,53437000,236575000,236575000,97198000,97198000,102317000,62010000,62010000,498100000,522010000,1679285000,-1157275000,1504291000,269482000,195094000,2295783000,2793883000,139226000,100681000,38545000,43345000,17350000,25995000,233083000,973717000,244698000,140517000,104181000,1218415000,1451498000,634976000,810687000,-103278000,1342385000,1342385000,2793883000,53437000,30413000,16120000,11384000,111354000,-42079000,-31588000,-73667000,-49249000,1.75e+08,-5722000,2061000,381000,120410000,158097000,158097000,-125000,157972000,113150000,1024229000,100758000,0.29968,0.24582,0.15877,0.03981,0.01913,1.88555,2.13701,1.08128,0.3666,0.43675,0.4177,2.75083,10.97146,0.82351,0.40252,0.03932,0.03859,0.92163,6.96115,9.51997
"10","2012_Q3",24.5233333333333,"Up",348096000,-243571000,104525000,-10598000,-15892000,5294000,93927000,-15801000,-16055000,83000,78126000,78126000,-12035000,66091000,69078000,69078000,69078000,189103000,189103000,109294000,109294000,112851000,89083000,89083000,500331000,562776000,1721704000,-1158928000,1496425000,257045000,192591000,2316246000,2816577000,121762000,72732000,49030000,74991000,40961000,34030000,196753000,1018093000,241621000,140073000,101548000,1259714000,1456467000,640177000,829888000,-109955000,1360110000,1360110000,2816577000,69078000,34179000,-6635000.00000001,899999.999999993,97522000,-34167000,-56228000,-90395000,-48952000,-8110000.00000003,1919000,1919000,2e+05,-54943000,-47816000,-47816000,344000,-47472000,128106000,1018093000,106874000,0.30028,0.26983,0.19845,0.05079,0.02453,1.54715,2.54294,1.07085,0.36146,0.56411,0.54166,2.84263,11.10698,0.87276,0.39975,0.04505,0.04079,0.70865,6.47113,8.8259
"11","2012_Q4",25.3417741935484,"Up",386163000,-259201000,126962000,-15781000,-15476000,-305000,111181000,-7954000,-8253000,234000,103227000,103227000,-23949000,79278000,80561000,80561000,80561000,215475000,215475000,109943000,109943000,121083000,78680000,78680000,525181000,629811000,1803523000,-1173712000,1489889000,268987000,198798000,2388687000,2913868000,143749000,91662000,52087000,102049000,64722000,37327000,287066000,967785000,241051000,140153000,100898000,1208836000,1495902000,662504000,855766000,-100304000,1417966000,1417966000,2913868000,80561000,35538000,7354000,21313000,144766000,-140551000,67669000,-72882000,-54157000,-10543000,16752000,16752000,2778000,-45170000,26714000,26714000,-342000,26372000,146719000,1009053000,51430000,0.32878,0.28791,0.20862,0.05681,0.02765,0.6384,1.82948,1.05496,0.34629,0.65576,0.61989,3.14335,11.54218,0.41864,0.44084,0.05049,0.01928,0.67225,5.40883,7.13771
"12","2013_Q1",28.7551666666667,"Up",-692222000,433001000,-259221000,2884000,-7999000,10883000,-256337000,-6204000,-6693000,188000,-262541000,-262541000,81347000,-181194000,75609000,75609000,75609000,280596000,280596000,100359000,100359000,127966000,57353000,41508000,566274000,707038000,1887299000,-1180261000,1573309000,276330000,203911000,2556677000,3122951000,117254000,70381000,46873000,40569000,13824000,26745000,307823000,1120052000,257072000,159582000,97490000,1377124000,1684947000,670749000,876634000,-109379000,1438004000,1438004000,3122951000,75609000,48588000,17268000,-49193000,92272000,-137064000,-98893000,-235957000,-54225000,260043000,4763000,4763000,-1859000,208722000,65037000,65037000,84000,65121000,-207749000,1270052000,-475353000,0.37448,0.37031,-0.10923,0.05258,0.02421,-6.28699,1.83961,1.17173,0.40668,0.61377,0.58436,-5.61921,11.6732,-3.85875,0.44018,0.04379,-0.16031,0.71718,-4.76275,-3.85998
