"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",23.0560317460317,"Down",60554000,-48037000,12517000,-10739000,-10739000,1778000,-369000,-352000,14000,1409000,1409000,-550000,859000,859000,-1085000,-226000,-226000,46536000,46536000,24841000,24841000,34654000,1471000,1471000,107502000,17116000,20424000,3522000,5063000,2132000,37540000,145042000,15929000,11860000,112000,3957000,145000,16074000,20331000,336000,336000,20667000,36741000,71213000,-226000,-684000,70303000,37998000,108301000,145042000,859000,1038000,652000,15406000,17955000,-2877000,-2877000,-71530000,-2100000,30380000,45458000,45458000,30000,45488000,2816000,20476000,15895000,0.20671,0.02936,-0.00373,-0.00209,-0.00156,-70.33186,6.68794,0.33925,0.14117,-0.01709,-0.01709,4.57959,5.31689,1.20211,-0.00175,0.12311,-9.25426,-14.65692
"2","2018_Q1",23.4011475409836,"Up",51926000,-41400000,10526000,-10484000,-10484000,42000,-13000,-212000,187000,29000,29000,-3420000,-3391000,-3391000,124000,-3267000,-3267000,37896000,37896000,21759000,21759000,44056000,5164000,5164000,108875000,1.5e+07,16970000,3266000,5063999.99999997,2646000,31970000,140845000,18040000,14234000,115000,3691000,151000,18191000,17572000,238000,238000,17810000,36001000,70894000,-3493000,-687000,66714000,38130000,104844000,140845000,-3391000,889000,3570000,-6152000,-5083999.99999999,-573000,-573000,-2966000.00000003,-9.31322574615479e-10,-2966000,-8623000,-8623000,-17000,-8640000,930999.999999999,17723000,-2374000.00000001,0.20271,0.000810000000000009,-0.06292,-0.03116,-0.0232,0.726659999999995,5.9851,0.34338,0.12583,-0.24705,-0.24705,3.92657,5.04482,-0.17952,-0.0266,-0.01933,-21.6681,-480.30952
"3","2018_Q2",21.70328125,"Down",115066000,-99183000,15883000,-18968000,-18968000,-3085000,-1798000,-1765000,45000,-4883000,-5024000,1067000,-3957000,-3957000,1929000,-2028000,-2028000,4714000,4714000,58962000,58962000,79239000,3389000,3389000,146304000,27490000,228608000,92036000,117389000,3092000,256098000,402402000,61172000,55370000,927000,4875000,2132000,63304000,128906000,9878000,9878000,138784000,202088000,137940000,-5696000,-427000,131817000,68497000,200314000,402402000,-3957000,2522000,-529000,-36467000,-38431000,-2167000,-94153000,102503000,-3153000,99350000,-33234000,-33234000,52000,-33182000,-563000,131038000,-40264000,0.13803,-0.02681,-0.01762,-0.01012,-0.00504,19.85404,2.31113,1.00886,0.32564,-0.13914,-0.13914,7.89475,9.04405,-2.76254,-0.00594,-0.118,-224.37655,-40.94781
"4","2018_Q3",33.2749206349206,"Up",171142000,-144824000,26318000,-16943000,-16943000,9375000,-2498000,-2216000,-418000,6877000,6418000,-1020000,5398000,5398000,-2899000,2499000,2499000,11672000,11672000,50910000,50910000,81208000,1967000,1967000,145757000,27525000,226577000,86714000,118335000,2933000,254102000,399859000,71865000,65291000,926000,5648000,2033000,73898000,109050000,7903000,7903000,116953000,190851000,146079000,-3197000,-913000,141969000,67039000,209008000,399859000,5398000,3192000,2112000,18882000,29584000,-2462000,-2559000.00000003,-19950000,-34000.0000000005,-19984000,7040999.99999999,7040999.99999999,-83000,6957999.99999999,12567000,111083000,30007000,0.15378,0.05478,0.0146,0.01196,0.00625,12.0076,1.97241,0.91313,0.27781,0.15638,0.15611,10.70969,8.88411,1.87777,0.00762,0.09149,7.91048000000004,10.60384
"5","2018_Q4",30.851746031746,"Down",131382000,-107200000,24182000,-17621000,-17621000,6561000,-2208000,-2159000,1000,4353000,4703000,-801000,3902000,3902000,-1681000,2221000,2221000,4482000,4482000,53594000,53594000,76576000,1594000,1594000,136246000,25055000,248128000,85431000,118408000,3188000,273183000,409429000,52353000,46306000,1023000,5024000,1973000,54326000,109018000,7567000,7567000,116585000,170911000,189906000,-976000,-1049000,187881000,50637000,238518000,409429000,3902000,3213000,1747000,-13363000,-4501000,-1391000,-1391000,-1773000,-943000,-1287000,-7179000,-7179000,-11000,-7190000,9774000,110991000,-4179000,0.18406,0.04994,0.0169,0.00931,0.00542,-1.88158,2.50793,0.71655,0.27109,0.13087,0.12827,7.74147,11.07058,-0.24624,0.00622,-0.0117,10.89718,16.23365
"6","2019_Q1",28.2208196721311,"Down",111024000,-94119000,16905000,-18728000,-18728000,-1823000,-1818000,-1882000,27000,-3641000,-6671000,1415000,-5256000,-5256000,1782000,-3474000,-3474000,66360000,66360000,45007000,45007000,92142000,4212000,4212000,207721000,27335000,260378000,88546000,125029000,2857000,287713000,495434000,61945000,54768000,728000,6449000,2251000,64196000,109737000,524000.000000002,524000.000000002,110261000,174457000,262248000,-4450000,-1316000,256482000,64496000,320978000,495435000,-5256000,3540000,2511000,139999.999999996,935000,-929000,-1898000,-10918000,-105000,62891000,61928000,61928000,-50000,61878000,1717000,111988000,-487000,0.15226,-0.01642,-0.03129,-0.01082,-0.00701,0.140179999999998,3.23573,0.54352,0.22604,-0.16281,-0.1657,5.20319,12.02014,-0.0228199999999996,-0.00801,-0.00111999999999999,26.57426,-25.02907
"7","2019_Q2",29.4849206349206,"Up",148436000,-123706000,24730000,-20538000,-20538000,4192000,-2046000,-1937000,13000,2146000,2826000,-5e+05,2326000,2326000,-715000,1611000,1611000,54367000,54367000,65466000,65466000,112539000,4313000,4313000,236685000,26811000,271757000,87366000,125279000,12527000,298568000,535253000,76707000,71023000,607000,5077000,5308000,82015000,124388000,268000,268000,124656000,206671000,271944000,-2839000,-941000,268164000,60418000,328582000,535253000,2326000,3091000,1347000,-24963000,-18199000,-850000,-850000,8046000,-1428000,6933000,-12116000,-12116000,123000,-11993000,7283000,129696000,-18030000,0.1666,0.02824,0.01085,0.0049,0.00301,-11.19181,2.88587,0.62898,0.24231,0.0739,0.0733,6.80899,12.3011,-0.82706,0.00351,-0.03932,10.34313,17.9697
"8","2019_Q3",31.64203125,"Up",220634000,-185734000,34900000,-24450000,-24450000,10450000,-2191000,-2242000,2000,8259000,6799000,-881000,5918000,5918000,-2103000,3815000,3815000,36564000,36564000,85129000,85129000,98433000,2874000,2874000,2.23e+08,26303000,274541000,85995000,125040000,14886000,300844000,523844000,69383000,61234000,547000,7602000,5644000,75027000,110386000,254000,254000,110640000,185667000,282372000,976000,-1327000,282021000,56157000,338178000,523845000,5918000,2965000,4211000,-12953000,141000.000000004,-811000,-811000.000000007,-17495000,9.31322574615479e-10,-17012000,-17682000,-17682000,-121000,-17803000,13415000,116030000,532000.000000004,0.15818,0.04736,0.01729,0.01128,0.00728,0.139450000000004,2.97226,0.54902,0.2215,0.17058,0.16883,9.86515,12.60993,0.0237899999999998,0.00839,0.00117,5.92366999999999,7.6044
"9","2019_Q4",24.83625,"Down",186025000,-158734000,27291000,-29345000,-29345000,-2054000,-5736000,-5742000,6000,-7790000,-10100000,1304000,-8796000,-8796000,2906000,-5890000,-5890000,10455000,10455000,98788000,98788000,97967000,6207000,6207000,213417000,45815000,430852000,121721000,231764000,23953000,476667000,690084000,71539000,58743000,124000,12672000,8249000,79788000,274185000,238000,238000,274423000,354211000,292838000,-4914000,-1661000,286263000,49610000,335873000,690084000,-8796000,4949000,2437000,10865000,9455000,-3397000,-188487000,157749000,-5575000,152964000,-26068000,-26068000,-41000,-26109000,2895000,282434000,9059000,0.14671,-0.01104,-0.03166,-0.01754,-0.00854,-1.53803,2.6748,1.0546,0.40927,-0.25613,-0.26078,8.08945,12.44838,0.39394,-0.00952,0.01465,93.94784,-132.41431
"10","2020_Q1",27.7693548387097,"Up",154336000,-133874000,20462000,-28867000,-28867000,-8405000,-4501000,-4574000,151000,-12906000,-17136000,3386000,-13750000,-13750000,2761000,-10989000,-10989000,27272000,27272000,71377000,71377000,79703000,7071000,7071000,185423000,52525000,434780000,119956000,231045000,23999000,487305000,672728000,64574000,51538000,83000,12953000,8440000,73014000,271287000,117000,117000,271404000,344418000,300148000,-15903000,-1131000,283114000,45196000,328310000,672728000,-13750000,5504000,3438000,34244000,29436000,-4878000,-4878000,-7969000,-587000.000000001,-7826000,16732000,16732000,85000,16817000,-2901000,279727000,23079000,0.13258,-0.05446,-0.0712,-0.03347,-0.01633,-2.10019,2.53955,1.04906,0.41581,-0.46867,-0.46867,6.58233,12.07464,0.98431,-0.01807,0.03795,-87.02344,-30.03629
