"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",9.36421875,"Down",31650000,-10826000,20824000,-14161000,-4187000,-9974000,6663000,-4937000,-4824000,-113000,1726000,-1633000,93000,93000,93000,3371000,3464000,3464000,6055000,6055000,7934000,7934000,13989000,920269000,972778000,-52509000,8253000,8253000,928522000,942511000,24130000,14877000,5178000,5178000,29308000,407816000,407816000,437124000,271508000,505387000,942511000,93000,9974000,1440000,-128000,11379000,-41537000,-41537000,-41537000,448000,-41089000,-240595000,-10038000,27437000,-2273000,-2273000,-2273000,16637000,407816000,0.65795,0.21052,0.10945,0.00685,0.00368,0.47731,0.86493,0.43269,0.22201,0.06579,2.02846,0.00379,24.14864,60.29731
"2","2015_Q4",11.6084375,"Up",35678000,-1.2e+07,23678000,-14397000,-4056000,-10341000,9281000,-4298000,-4246000,-52000,4983000,-2874000,2109000,2109000,2109000,2263000,4372000,4372000,6786000,6786000,8997000,8997000,15783000,1017920000,1077801000,-59881000,10989000,10989000,1028909000,1044692000,29592000,16617000,5313000,5313000,34905000,495981000,495981000,530886000,278748000,513806000,1044692000,2109000,10341000,767000,3312000,16529000,-85891000,-85891000,-85891000,-3082000,-88973000,85779999.9999999,-9152000,73175000,731000,731000,731000,19622000,495981000,0.66366,0.26013,0.12254,0.00851,0.00418,0.45217,1.03324,0.47476,0.18871,0.06872,1.53997,0.00775,24.93094,52.7093
"3","2016_Q1",13.48,"Up",38300000,-12744000,25556000,-14868000,-4409000,-10459000,10688000,-4563000,-4727000,164000,6125000,-573000,5552000,5365000,5365000,-761000,4604000,4604000,6665000,6665000,4635000,4635000,11300000,1079101000,1147201000,-68100000,8648000,8648000,1087749000,1099049000,9694000,9694000,5513000,5513000,15207000,567795000,567795000,583002000,279414000,516047000,1099049000,5365000,10459000,1622000,-4668000,12778000,-39198000,-39198000,-39198000,2301000,-36897000,51474000,-17908000,24590000,471000,471000,471000,21147000,567795000,0.66726,0.27906,0.12021,0.00892,0.00419,0.74308,1.12975,0.51662,0.19948,0.07044,1.65945,0.01253,26.53473,52.50094
"4","2016_Q2",15.7759375,"Up",39649000,-13277000,26372000,-15227000,-4335000,-10892000,11145000,-4946000,-4941000,-4999.99999999997,6199000,-1288000,4911000,4802000,4802000,-2592000,2210000,2210000,8489000,8489000,4419000,4419000,12908000,1157731000,1234541000,-76810000,9215000,9215000,1166946000,1179854000,14380000,14380000,6058000,6058000,20438000,634312000,634312000,654750000,288937000,525104000,1179854000,4802000,10892000,718000,1280000,17692000,-63478000,-63478000,-63478000,-96999.9999999991,-63575000,60928000,-8439000,47884000,2001000,2001000,2001000,22037000,634312000,0.66514,0.28109,0.05574,0.00421,0.00187,0.63157,1.2469,0.53762,0.09607,0.0325,1.72349,0.00588,28.39874,56.1528
"5","2016_Q3",16.06296875,"Up",47284000,-15457000,31827000,-17925000,-4837000,-13088000,13902000,-5901000,-5844000,-57000,8001000,-1844000,6157000,6045000,6045000,1325000,7370000,7370000,9939000,9939000,7019000,7019000,16958000,1345227000,1432118000,-86891000,14141000,14141000,1359368000,1376326000,24755000,24755000,7390000,7390000,32145000,754661000,754661000,786806000,337329000,589520000,1376326000,6045000,13088000,715000,2839000,22687000,-64404000,-64404000,-64404000,-1836000,-66240000,67986000,-16850000,46030000,2477000,2477000,2477000,26990000,754661000,0.6731,0.29401,0.15587,0.0125,0.00535,0.52755,1.33466,0.54832,0.31937,0.10023,2.04897,0.00928,27.59252,53.56941
"6","2016_Q4",15.7601587301587,"Down",52949000,-17330000,35619000,-19578000,-5259000,-14319000,16041000,-6280000,-6265000,-15000,9761000,-1737000,8024000,7944000,7944000,-7955000,-10999.9999999991,-11000,11474000,11474000,7538000,7538000,19012000,1521021000,1619014000,-97993000,42073000,42073000,1563094000,1582106000,29593000,29593000,7844000,7844000,37437000,722622000,722622000,760059000,378899000,822047000,1582106000,7944000,14319000,608000,5060000,27931000,-204392000,-204392000,-204392000,-3482000,-212747000,-31618000,-12150000,187062000,2246000,2246000,2246000,30360000,722622000,0.6727,0.30295,-0.000210000000000016,-9.99999999999959e-06,-1.00000000000005e-05,0.50784,0.92459,0.45675,-0.000309999999999977,-0.000130000000000019,1.50552,0.0051,23.42385,44.33315
"7","2017_Q1",18.2208064516129,"Up",59164000,-18734000,40430000,-23862000,-7097000,-16765000,16568000,-8613000,-7059000,-70000,7955000,-1813000,6142000,6075000,6075000,2321000,8396000,8396000,12570000,12570000,5836000,5836000,18406000,1733533000,1844336000,-110803000,140153000,58667000,1873686000,1892092000,21616000,21616000,12454000,12454000,34070000,878954000,878954000,913024000,401966000,979068000,1892092000,6075000,16765000,2866000,630000,26336000,-211701000,-211701000,-211701000,5070000,-299818000,156607000,-14356000,272718000,-764000,-764000,-764000,33333000,878954000,0.68335,0.28004,0.14191,0.00858,0.00444,0.54024,0.93254,0.46454,0.21924,0.09486,1.54491,0.00942,25.99178,52.29261
"8","2017_Q2",19.0315873015873,"Up",61563000,-19749000,41814000,-25864000,-7181000,-18683000,15950000,-8308000,-7471000,-52000,7642000,-144000,7498000,7181000,7181000,-6626000,555000.000000002,555000.000000002,14207000,14207000,5879000,5879000,20086000,1762314000,1887255000,-124941000,123331000,43681000,1885645000,1905731000,21355000,21355000,12589000,12589000,33944000,893767000,893767000,927711000,395129000,978020000,1905731000,7181000,18683000,3136000,-794999.999999999,28205000,-29557000,-29557000,-29557000,-138000,-24604000,16243000,-7367000,-1688000,1913000,1913000,1913000,34633000,893767000,0.67921,0.25908,0.00902,0.000569999999999999,0.00029,0.59174,0.94856,0.46899,0.01279,0.01279,1.41847,0.00594,25.39659,55.14483
"9","2017_Q3",18.2247619047619,"Down",64341000,-19803000,44538000,-25205000,-7405000,-17800000,19333000,-8939000,-8160000,-14000,10394000,5470000,15864000,15576000,15576000,-13209000,2367000,2367000,13591000,13591000,16622000,16622000,30213000,1815330000,1954056000,-138726000,131999000,42083000,1947329000,1977542000,21050000,21050000,12685000,12685000,33735000,969140000,969140000,1002875000,399154000,974667000,1977542000,15576000,17800000,-2615000,-3422000,27339000,-64630000,-64630000,-64630000,-177000,-67203000,75495000,-13827000,50159000,10295000,10295000,10295000,37133000,969140000,0.69222,0.30048,0.03679,0.00243,0.0012,0.8956,1.02894,0.49007,0.05352,0.05352,1.45479,0.00714,25.73315,49.4258
"10","2017_Q4",20.8788888888889,"Up",68858000,-21618000,47240000,-25943000,-7480000,-18463000,21297000,-9876000,-9157000,-9000,11421000,-33000,11388000,11226000,11226000,-9955000,1271000,1271000,13673000,13673000,7110000,7110000,20783000,1922062000,2075845000,-153783000,130152000,41928000,2052214000,2072997000,27894000,27894000,12711000,12711000,40605000,1071854000,1071854000,1112459000,394134000,960538000,2072997000,11226000,18463000,3038000,6601000,39328000,-125798000,-125798000,-125798000,-1708000,-125319000,103747000,-15427000,76802000,-9189000,-9189000,-9189000,39760000,1071854000,0.68605,0.30929,0.01846,0.00132,0.00061,0.51183,1.15816,0.51706,0.02871,0.02871,1.5553,0.00629,26.61421,49.68686
