"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",19.5819047619048,"Up",0,-12181000,-2430000,-9751000,-12181000,143000,166000,-12038000,-12038000,-12038000,-12038000,-12038000,-12038000,807009510.05489,813330476.69728,2516229.02850233,2463689.59709163,809736186.092683,54136395.6060901,57701581.9997447,867437768.092428,16553081.2962984,6535740.15244055,10017341.1438578,16618137.9488358,53974102.7012406,53974102.7012406,53974102.7012406,70592240.6500764,968842934.915204,-171998179.565469,796845527.442351,796845527.442351,867437768.092428,-12038000,39000,1016000,2117000,-8866000,-202000,-202000,-2486000,0,-2775000,-11843000,-11843000,-11843000,-12142000,0,0.180540289505129,0.154696165442697,46.9947815040819,0.0185800376575058,0,-1.03541,-1.03541,0,24.9474134500149,0.187113876543978,40.8778022083376,40.7412078900842
"2","2018_Q1",25.3281967213115,"Up",0,-20338000,-4680000,-15658000,-20338000,426000,449000,-19912000,-19912000,-19912000,-19912000,-19912000,-19912000,196754000,196754000,1428000,1428000,198182000,838000,913000,199095000,13815000,4395000,9420000,13815000,1307000,1307000,1307000,15122000,379842000,-195869000,183973000,183973000,199095000,-19912000,49000,2844000,4266000,-12753000,-130000,-130000,127535000,129112000,127488000,114605000,114605000,114605000,-20289000,0,-0.10823,-0.10001,14.34542,0.0822,0,-0.61666,-0.61666,0,5.69755,-0.10747,9.69757,9.67421
"3","2018_Q2",29.43546875,"Up",0,-21951000,-5026000,-16925000,-21951000,521000,543000,-21430000,-21430000,-21430000,-21430000,-21430000,-21430000,179873000,179873000,1241000,1241000,181114000,952000,1027000,182141000,16295000,5556000,10739000,16295000,1256000,1256000,1256000,17551000,381889000,-217299000,164590000,164590000,182141000,-21430000,56000,2037000,2643000,-16694000,-151000,-151000,10000,10000,-36000,-16881000,-16881000,-16881000,-21895000,0,-0.1302,-0.11766,11.1147,0.10663,0,-0.65748,-0.65748,0,5.04969,-0.12922,8.21525,8.1943
"4","2018_Q3",36.9526984126984,"Up",-1.45519152283669e-11,-22429000,-4453000,-17976000,-22429000,739000,760000,-21690000,-21690000,-21690000,-21690000,-21690000,-21690000,346527000,346527000,2221000,2221000,348748000,18264000,19408000,368156000,18915000,6938000,11977000,18915000,18144000,18144000,18144000,37059000,570086000,-238989000,331097000,331097000,368156000,-21690000,74000,2232000,1095000,-18289000,-455000,-1524000,186514000,186639000,186467000,166654000,166654000,166654000,-22355000,0,-0.06551,-0.05892,18.43764,0.11193,0,-0.64606,-0.64606,0,9.86209,-0.06211,15.5011,15.44995
"5","2018_Q4",24.5838095238095,"Down",0,-25889000,-5259000,-20630000,-25889000,1454000,1475000,-24435000,-24435000,-24435000,-24435000,-24435000,-24435000,320875000,320875000,4734000,4734000,325609000,19238000,20307000,345916000,17644000,6051000,11593000,17644000,18904000,18904000,18904000,36548000,572792000,-263424000,309368000,309368000,345916000,-24435000,88000,2614000,-3199000,-24932000,-216000,-216000,-457000,92000,-504000,-25652000,-25652000,-25652000,-25801000,0,-0.07898,-0.07064,18.45438,0.11814,0,-0.64806,-0.64806,0,8.20506,-0.07444,12.43653,12.39426
"6","2019_Q1",26.1722950819672,"Up",2.3283064365387e-10,-33830000,-6474000,-27356000,-33830000,1531000,1551000,-32299000,-32299000,-32299000,-32299000,-32299000,-32299000,293764000,293764000,7273000,7273000,301037000,13453000,14522000,315559000,22204000,8308000,13896000,22743000,12835000,12835000,12835000,35578000,575704000,-295723000,279981000,279981000,315559000,-32299000,99000,2805000,2527000,-26868000,-303000,-303000,-185152000,-185826000,60000,-27111000,-27111000,-27111000,-33731000,0,-0.11536,-0.10235,13.23647,0.12707,0,-0.85695,-0.85695,6.93889390390723e-18,7.4284,-0.1103,8.70902,8.68354
"7","2019_Q2",23.4042857142857,"Down",0,-49025000,-13236000,-35789000,-49025000,1641000,1654000,-47384000,-47384000,-47384000,-47384000,-47384000,-47384000,262342000,82228000,4103000,4103000,266445000,1504000,3243000,269688000,27457000,10937000,16520000,27891000,1801000,1801000,1801000,29692000,583082000,-343107000,239996000,239996000,269688000,-47384000,104000,5738000,8536000,-33006000,-41000,-179648000,1149000,1149000,1118000,-211536000,-211536000,-211536000,-48921000,0,-0.19744,-0.1757,9.55308,0.12372,0,-1.24508,-1.24508,0,6.30622,-0.19597,5.36256,5.35119
"8","2019_Q3",29.6025,"Up",2.5e+07,-47975000,-13164000,-34811000,-22975000,1515000,1540000,-21460000,-21460000,-21460000,-21460000,-21460000,-21460000,225416000,57237000,11010000,6010000,256426000,1595000,3581000,260007000,35022000,13900000,21122000,35335000,1794000,1794000,1794000,37129000,587270000,-364567000,222878000,222878000,260007000,-21460000,112000,3289000,-19207000,-37266000,-203000,12256000,81000,81000,19000,-24991000,-24991000,-24991000,-22863000,0,-0.09629,-0.08254,7.257,0.16659,0,-0.56176,-0.56176,0.65443,5.83434,-0.09552,9.85942,9.81136
"9","2019_Q4",47.5275,"Up",0,-58353000,-17979000,-40374000,-58353000,2157000,2174000,-56196000,-56196000,-56196000,-56196000,-56196000,-56196000,634595000,173712000,7700000,7700000,642295000,5274000,7306000,649601000,41841000,14770000,27071000,42256000,1792000,1792000,1792000,44048000,1026255000,-420763000,605553000,605553000,649601000,-56196000,169000,3755000,29081000,-23191000,-2966000,-294810000,2476000,2476000,434476000,116475000,116475000,116475000,-58184000,0,-0.0928,-0.08651,15.20009,0.07274,0,-1.28109,-1.28109,0,13.80465,-0.09253,10.90669,10.8751
"10","2020_Q1",55.5225806451613,"Up",3.72529029846191e-09,-70373000,-23737000,-46636000,-70373000,3157000,3169000,-67216000,-67216000,-67216000,-67216000,-67216000,-67216000,579576000,120320000,13832000,13832000,593408000,6333000,29001000,622409000,58291000,19575000,38716000,60038000,15904000,15904000,15904000,75942000,1034335000,-487979000,546467000,546467000,622409000,-67216000,445000,4587000,6351000,-55833000,-1725000,1680000,434582000,434582000,760999.99999994,-53392000,-53392000,-53392000,-69928000,0,-0.123,-0.10799,9.88387,0.13897,0,-1.30892,-1.30892,-1.11022302462516e-16,10.64154,-0.11952,8.28818,8.23577
