"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital"
"1","2014_Q1",59.2085245901639,"Up",480014000,-485346000,-384711000,-5238000,-75226000,-20171000,-79954000,-35777000,-35777000,-115731000,-43931000,-159662000,-65515000,-225177000,-223020000,-223020000,-223020000,30610000,30610000,285467000,1.83e+08,102467000,333564000,5559656000,5966875000,-407219000,720361000,677780000,42581000,6280017000,6613581000,447766000,370640000,77126000,174463000,104626000,622229000,2078999000,313693000,278580000,35113000,2392692000,3014921000,3404800000,193860000,3598660000,3598660000,6613581000,-223020000,75494000,324068000,26228000,202770000,-3015000,-805693000,-808708000,-914500000,-52232000,611841000,5903000,5903000,5903000,-4460000,2078999000,84268000,-0.16657,-0.46461,-0.06197,-0.03372,-0.37785,0.53608,0.83779,0.31435,-0.85106,-0.85106,1.83177,13.73274,0.32157,-0.03722
"2","2014_Q2",63.4971428571429,"Up",168207000,-182510000,-62966000.0000001,-6997000,-91206000,-21341000,-102682000,-31342000,-31342000,-134024000,-1397000,-135421000,40662000,-94759000,-94759000,-94759000,-94759000,27250000,27250000,282092000,130679000,151413000,321922000,6266227000,6764652000,-498425000,546308000,500882000,45426000,6812535000,7134457000,554040000,428938000,125102000,206766000,145961000,760806000,2535819000,304794000,263927000,40867000,2840613000,3601419000,3433937000,99101000,3533038000,3533038000,7134457000,-94759000,91508000,240912000,36646000,274307000,-7783000,-727730000,-735513000,4.57e+08,-701000,456299000,-4907000,-4907000,-4907000,-11174000,2535819000,-22973000,-0.61045,-0.56335,-0.02682,-0.01328,0.24244,0.42313,1.01935,0.35543,-0.36161,-0.36161,0.64189,13.48232,-0.08767,-0.01487
"3","2014_Q3",58.09515625,"Down",311338000,-205827000,-72303000,-6703000,-105154000,-21667000,-3347000,-37260000,-37260000,-40607000,-22342000,-62949000,18454000,-44495000,-42285000,-42285000,-42285000,46532000,46532000,321423000,175286000,146137000,387228000,7211793000,7812822000,-601029000,446187000,354254000,91933000,7657980000,8045208000,616811000,500774000,116037000,243903000,160892000,860714000,3370636000,290631000,218905000,41650000,3661267000,4521981000,3466411000,56816000,3523227000,3523227000,8045208000,-42285000,105463000,158868000,1676000,223722000,-3258000,-1015100000,-1018358000,8.35e+08,-33671000,801329000,6693000,6693000,6693000,102116000,3370636000,82080000,-0.01075,-0.13582,-0.012,-0.00526,-1.94111,0.44989,1.28348,0.41896,-0.16136,-0.16136,1.18809,13.44488,0.31322,-0.00589
"4","2014_Q4",47.94296875,"Down",762490000,-239338000,-85192000,-7476000,-124624000,-22046000,385941000,-42455000,-42455000,343486000,-4542000,338944000,-135035000,203909000,203909000,203909000,203909000,66755000,66755000,429640000,280959000,148681000,502703000,8286985000,9009716000,-722731000,526192000,458209000,67983000,8813177000,9315880000,777378000,598538000,178840000,286658000,179937000,1064036000,4137866000,362556000,318323000,44147000,4500422000,5564458000,3490697000,260725000,3751422000,3751422000,9315880000,203909000,124944000,-83757000,55621000,300717000,-1498000,-1069103000,-1070601000,767500000,-10581000,756919000,-12965000,-12965000,-12965000,510885000,4137866000,700043000,0.50616,0.26743,0.05436,0.02189,3.43311,0.47245,1.48329,0.44417,0.77813,0.77798,2.90971,14.31568,2.67141,0.02471
"5","2015_Q1",37.5293442622951,"Down",1478597000,-287271000,-99507000,-6717000,-156912000,-24135000,1035020000,-48994000,-48994000,986026000,-7303000,978723000,-369753000,608970000,608970000,606722000,606722000,116203000,116203000,889978000,692554000,197424000,1252160000,9352452000,10232095000,-879643000,968883000,899997000,68886000,10321335000,11573495000,700178000,531564000,168614000,194554000,194554000,894732000,4362550000,842383000,794796000,47587000,5204933000,6099665000,3516346000,867447000,4383793000,5473830000,11573495000,608970000,157252000,-488499000,-78206000,199517000,-679000,-1264499000,-1265178000,2.25e+08,1080332000,1305332000,239671000,239671000,239671000,1192272000,4362550000,1483140000,0.7,0.41034,0.11084,0.05242,2.44451,1.39948,1.11433,0.37694,2.31514,2.3151,5.64206,16.72777,5.6594,0.05682
"6","2015_Q2",39.6946031746032,"Up",1229687000,-340687000,-132398000,-1371000,-182300000,-24618000,717236000,-53185000,-53185000,664051000,-17542000,646509000,-247338000,399171000,399171000,394431000,394431000,118410000,118410000,884129000,713966000,170163000,1188030000,9750495000,10812438000,-1061943000,1543426000,1453300000,90126000,11293921000,12481951000,587546000,352477000,235069000,466447000,196625000,1053993000,4172295000,821388000,772312000,49076000,4993683000,6047676000,4080836000,1261878000,5342714000,6434275000,12481951000,399171000,182700000,-289414000,58983000,351440000,37897000,-777133000,-739236000,-1.9e+08,-20567000,327308000,-60488000,-60487999.9999999,-60487999.9999999,899936000,4172295000,1244154000,0.58327,0.32076,0.0613,0.0316,3.1543,1.12717,0.93992,0.33427,1.48676,1.48674,4.63517,20.13878,4.6897,0.03451
"7","2015_Q3",26.60953125,"Down",376714000,-338845000,-138244000,-628000,-177046000,-22927000,-135473000,-59823000,-59823000,-195296000,-28276000,-223572000,84089000,-139483000,-139483000,-145373000,-145373000,79190000,79190000,794703000,664417000,130286000,1017179000,10129777000,11368766000,-1238989000,1385525000,1305392000,80133000,11515302000,12532481000,509957000,326638000,183319000,456226000,205129000,966183000,4500038000,756814000,706948000,49215000,5256852000,6223035000,4102488000,1116505000,5218993000,6309446000,12532481000,-139483000,177454000,170336000,35361000,243668000,-691000,-598851000,-599542000,3.28e+08,-14149000,313669000,-42205000,-42205000,-42205000,41981000,4500038000,-7438000,-0.35962,-0.3859,-0.02304,-0.0116,0.05116,1.05278,0.9863,0.35907,-0.52468,-0.52465,1.35965,18.83656,-0.02685,-0.01257
"8","2015_Q4",22.253125,"Down",1443335000,-322378000,-121484000,-1087000,-188667000,-11140000,949869000,-60921000,-60921000,888948000,-8754000,880194000,-335460000,544734000,544734000,533842000,533842000,60904000,60904000,952014000,834482000,117532000,1040328000,10461433000,11889089000,-1427656000,2075313000,2007828000,67485000,12536746000,13577074000,539679000,337493000,202186000,486090000,170724000,1025769000,4406777000,1034104000,978139000,55965000,5440881000,6466650000,4125517000,1650347000,5775864000,7110424000,13577074000,544734000,189086000,-496893000,9119000,246046000,-2431000,-495655000,-498086000,-92999999.9999999,229025000,136164000,-115876000,-115876000,-115876000,1138955000,4406777000,1481103000,0.65811,0.36987,0.07508,0.03932,2.77442,1.01419,0.90946,0.32457,1.92672,1.92668,5.20922,20.846,5.34553,0.04253
"9","2016_Q1",24.0339344262295,"Up",905122000,-324438000,-140633000,-760000,-161750000,-21295000,401506000,-60471000,-60471000,341035000,-88280000,252755000,-77181000,175574000,175574000,158464000,158464000,79404000,79404000,1145359000,1009030000,136329000,1248236000,10732242000,12321614000,-1589372000,2135015000,2108450000,26565000,12867257000,14115493000,558236000,69911000,488325000,149034000,149034000,707270000,4668782000,1452763000,1370686000,82077000,6121545000,6828815000,4125581000,1808811000,5934392000,7286678000,14115493000,175574000,162178000,-99129000,-63965000,174658000,-1370000,-459925000,-461295000,3.02e+08,-19300000,282700000,-3937000,-3937000,-3937000,563684000,4668782000,575530000,0.44359,0.17507,0.02175,0.01123,3.63193,1.76486,0.93716,0.33076,0.57195,0.57185,3.26692,21.41939,2.0773,0.01182
"10","2016_Q2",27.26328125,"Up",721004000,-406698000,-194220000,-1014000,-191582000,-19882000,94274999.9999999,-63284000,-63284000,30991000,-15526000,15465000,-4815000.00000003,10650000.0000001,10649999.9999999,-5055000,-5055000,78753000,78753000,1119717000,975199000,144518000,1238340000,10917802000,12698328000,-1780526000,2132570000,2098233000,34337000,13050372000,14288712000,492473000,250797000,241676000,152611000,152611000,645084000,4702809000,1520475000,1439825000,80275000,6223284000,6868368000,4254526000,1803756000,6058282000,7420344000,14288712000,10650000,192180000,88508000,48830000,340168000,-541000,-518754000,-519295000,32999999.9999999,162524000,195524000,16397000,16397000,16397000,286455000,4702809000,339559000,0.13076,-0.00701000000000013,-0.00068,-0.000350000000000007,-67.1729,1.91966,0.92561,0.32913,-0.0182499999999999,-0.0182500000000001,2.60243,21.86711,1.22562,-0.000369999999999999
