"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",18.58546875,"Up",200058000,-123727000,76331000,-59434000,-37346000,-20146000,-1942000,16897000,1295000,52000,-11000,63000,1243000,18192000,18192000,-3190000,15002000,15002000,15002000,15002000,203990000,93604000,134479000,134479000,166865000,80765000,58999000,586099000,114368000,222896000,46021000,109242000,67633000,337264000,923363000,67873000,39443000,28430000,103540000,103540000,171424000,64663000,64663000,64663000,236087000,149565000,504371000,33340000,687276000,687276000,923363000,15002000,6679000,5403000,-3983000,23101000,-6497000,-18378000,-24875000,-4000,7594000,7594000,0,7590000,5816000,5816000,-208000,5608000,23576000,11000,16286000,0.38154,0.08446,0.07499,0.02183,0.01625,1.08559,3.419,0.34351,1e-05,0.62288,0.61295,8.30633,28.53544,0.67619,0.01995,0.02166,-8.65198,-12.07191
"12","2013_Q4",17.054375,"Down",213725000,-130461000,83264000,-61820000,-38748000,-21782000,-1290000,21444000,-953000,11000,-37000,48000,-964000.000000001,20491000,20491000,-3806000,16685000,16685000,16685000,16685000,201682000,81311000,146184000,146184000,169003000,91219000,68653000,608088000,113952000,222714000,44108000,110465000,68141000,336666000,944754000,59300000,40869000,18431000,103682000,103682000,162988000,62759000,62759000,62759000,225747000,157067000,521056000,40884000,719007000,719007000,944754000,16685000,6599000,10022000,-36971000,-3665000,-4837000,-10172000,-15009000,-5000,3402000,3402000,-117000,3280000,-15394000,-15394000,3101000,-12293000,28043000,6000,-9959000,0.38958,0.10033,0.07807,0.02321,0.01766,-0.59688,3.73088,0.31397,1e-05,0.68634,0.67578,8.79165,29.57659,-0.40967,0.02134,-0.01274,-7.19167,-9.40478
"13","2014_Q1",16.1009836065574,"Down",213141000,-128100000,85041000,-58981000,-36437000,-21556000,-988000,26060000,-308000,-35000,-104000,69000,-273000,25752000,25752000,-5237000,20515000,20515000,20515000,20515000,250110000,110444000,136759000,136759000,168067000,74290000,52577000,629226000,114333000,222919000,42971000,113408000,66540000,337252000,966478000,61260000,36565000,24695000,84566000,84566000,145828000,62132000,62132000,62132000,207960000,162497000,541571000,54450000,758518000,758518000,966478000,20515000,6970000,6057000,15221000,48763000,-5271000,-19216000,-24487000,-4000,833000,833000,-7000,822000,25098000,25098000,4035000,29133000,33030000,2000,48217000,0.39899,0.12227,0.09625,0.02705,0.02123,2.35033,4.31485,0.27417,0,0.84123,0.82612,8.73994,31.10337,1.97716,0.025,0.05875,-7.57215,-9.59739
"14","2014_Q2",14.1857142857143,"Down",193556000,-116010000,77546000,-61762000,-39891000,-20937000,-934000,15784000,-220000,36000,-23000,59000,-256000,15564000,15564000,-3861000,11703000,11703000,11703000,11703000,273677000,138375000,115680000,115680000,170958000,73061000,51529000,633376000,114405000,224239000,40832000,114638000,68769000,338644000,972020000,41053000,30689000,10364000,90248000,90248000,131301000,65211000,65211000,65211000,196512000,166647000,553274000,55587000,775508000,775508000,972020000,11703000,6699000,5660000,4615000,28677000,-6610000,4381000,-2229000,-2000,6810000,6810000,-7658000,-850000,25598000,25598000,2333000,27931000,22483000,0,24349000,0.40064,0.08155,0.06046,0.01509,0.01204,2.08058,4.82385,0.2534,0,0.47686,0.46972,7.88672,31.59922,0.99214,0.01392,0.02896,-12.17262,-17.33889
"15","2014_Q3",13.6134375,"Down",199222000,-118557000,80665000,-60625000,-39296000,-20413000,-916000,20040000,1040000,50000,-8000,58000,990000,21080000,21080000,-5773000,15307000,15307000,15307000,15307000,283468000,140251000,137470000,137470000,176462000,74836000,52556000,672236000,114146000,222332000,38698000,115354000,68280000,336478000,1008714000,45685000,33708000,11977000,99841000,99841000,145526000,64702000,64702000,64702000,210228000,171457000,568581000,58448000,798486000,798486000,1008714000,15307000,6825000,6659000,-13050000,15741000,-6885000,-7935000,-14820000,0,228000,228000,-31000,197000,1118000,1118000,758000,1876000,26865000,0,12703000,0.4049,0.10059,0.07683,0.01917,0.01517,0.82988,4.61935,0.26328,0,0.61767,0.6112,8.03898,32.2204,0.51259,0.01773,0.01472,-10.55157,-14.14511
"16","2014_Q4",13.0021875,"Down",196517000,-122256000,74261000,-57113000,-37226000,-19046000,-841000,17148000,-223000,192000,-9000,201000,-415000,16925000,16925000,-3926000,12999000,12999000,12999000,12999000,303260000,149568000,130833000,130833000,179767000,90977000,67644000,704837000,112530000,219806000,36041000,114779000,68986000,332336000,1037173000,46591000,32691000,13900000,105330000,105330000,152757000,65900000,65900000,65900000,218657000,179420000,581580000,57516000,818516000,818516000,1037173000,12999000,6482000,5678000,-4680000,20479000,-3950000,-10341000,-14291000,836000,3475000,3475000,-104000.000000001,4207000,10395000,10395000,-1078000,9317000,23630000,836000,18926000,0.37789,0.08726,0.06615,0.01588,0.01253,1.45596,4.61411,0.26714,0.00081,0.52337,0.51758,7.91227,32.95551,0.76201,0.01468,0.02138,-12.79831,-17.63611
"17","2015_Q1",16.4704918032787,"Up",205344000,-124426000,80918000,-57024000,-37617000,-18674000,-733000,23894000,1756000,47000,-32000,79000,1709000,25650000,25650000,-6553000,19097000,19097000,19097000,19097000,318275000,91217000,137324000,137324000,170483000,54973000,27839000,681055000,107424000,210896000,31666000,109513000,69717000,318320000,999375000,34813000,32784000,2029000,82506000,82506000,117319000,62407000,62407000,62407000,179726000,184290000,600677000,34682000,819649000,819649000,999375000,19097000,6602000,944000,-161000,26482000,-5360000,-73083000,-78443000,-812000,172000,172000,-18000,-658000,-52619000,-52619000,-5732000,-58351000,30496000,0,31528000,0.39406,0.11636,0.093,0.0233,0.01911,1.65094,5.80516,0.21927,0,0.7676,0.75692,8.25371,32.94542,1.26725,0.02165,0.03574,-10.43661,-13.32029
"18","2015_Q2",18.6307936507936,"Up",200615000,-118296000,82319000,-58010000,-38141000,-19173000,-696000,24309000,-685000,85000,-11000,96000,-770000,23624000,23624000,-6194000,17430000,17430000,17430000,17430000,322951000,129420000,130461000,130461000,161993000,57786000,34021000,673191000,103978000,200838000,28481000,106602000,65755000,304816000,978007000,28302000,27040000,1262000,87856000,87856000,116158000,54223000,54223000,54223000,170381000,169054000,618107000,20465000,807626000,807626000,978007000,17430000,6210000,13918000,-6507000,31051000,-4570000,33590000,29020000,0,-13861000,3437000,-5200000,-19061000,41010000,41010000,-2807000,38203000,30519000,1.16415321826935e-10,25636000,0.41033,0.12117,0.08688,0.02158,0.01782,1.4708,5.79548,0.21097,0,0.69899,0.69175,8.0452,32.38795,1.02807,0.02022,0.02975,-10.58197,-13.28524
"19","2015_Q3",17.238125,"Down",203721000,-120417000,83304000,-61172000,-39482000,-21024000,-666000,22132000,1990000,147000,-14000,161000,1843000,24122000,24122000,-5709000,18413000,18413000,18413000,18413000,344434000,115081000,124227000,124227000,153659000,62370000,38538000,684690000,100903000,189400000,23896000,99388000,66116000,290303000,974993000,32985000,31949000,1036000,99159000,99159000,132144000,52364000,52364000,52364000,184508000,166331000,636520000,-12366000,790485000,790485000,974993000,18413000,6226000,6337000,18387000,49363000,-6666000,-35858000,-42524000,0,-7447000,264000,-35000,-7482000,-643000,-643000,-13696000,-14339000,28358000,0,45788000,0.40891,0.10864,0.09038,0.02329,0.01889,2.48672,5.18139,0.23341,0,0.74519,0.73975,8.24481,31.99178,1.85309,0.02185,0.05433,-12.14592,-15.56271
"20","2015_Q4",18.031875,"Up",188502000,-109720000,78782000,-58071000,-36154000,-21270000,-647000,20711000,-608000,179000,-4000,183000,-787000,20103000,18086000,-4822000,13264000,13264000,13264000,13264000,336766000,103138000,144688000,144688000,157778000,71707000,47316000,710939000,98996000,187157000,22163000,100096000,64898000,286153000,997092000,33119000,32196000,923000,96664000,96664000,129783000,53345000,53345000,53345000,183128000,174302000,649784000,-10122000,813964000,813964000,997092000,13264000,6017000,6995000,-37855000,-11579000,-3103000,-2520000,-5623000,2.3283064365387e-10,3555000,3555000,-60000,3495000,-13707000,-13707000,1764000,-11943000,26728000,0,-9408000.00000001,0.41794,0.10987,0.07037,0.0163,0.0133,-0.70929,5.47791,0.22498,0,0.5362,0.53115,7.62024,32.90472,-0.38032,0.01529,-0.01085,-12.59975,-16.26025
"21","2016_Q1",19.8590163934426,"Up",209622000,-118628000,90994000,-56698000,-36052000,-19988000,-658000,34296000,-1876000,136000,-19000,155000,-2012000,32420000,33736000,-6434000,27302000,27302000,27302000,27302000,325515000,130607000,142260000,142260000,156614000,28294000,28294000,652683000,102445000,213819000,22776000,101817000,89226000,316264000,968947000,37658000,33379000,4279000,84932000,84932000,122590000,49939000,49939000,49939000,172529000,128845000,677086000,-9513000,796418000,796418000,968947000,27302000,6362000,1291000,20668000,55623000,-6661000,38255000,22294000,0,-49966000,52000,-7000,-49973000,27944000,27944000,-475000,27469000,40658000,0,61099000,0.43409,0.16361,0.13024,0.03428,0.02818,2.23789,5.32411,0.21663,0,1.10831,1.09611,8.50946,32.33003,2.48027,0.03226,0.07219,-8.00617,-9.49134
"22","2016_Q2",20.43203125,"Up",190275000,-106377000,83898000,-56615000,-36774000,-19140000,-701000,27283000,-222000,225000,-15000,240000,-447000,27061000,27061000,-6775000,20286000,20286000,20286000,20286000,336174000,142343000,144595000,144595000,158006000,32733000,32733000,671508000,99732000,214116000,20070000,100175000,93871000,313848000,985356000,39415000,28858000,10557000,79219000,79219000,123634000,51483000,51483000,51483000,175117000,130778000,697372000,-17911000,810239000,810239000,985356000,20286000,6385000,2510000,-14919000,14262000,-4715000,1103000,-3612000,5e+06,3521000,3521000,-5317000,3204000.00000001,13854000,13854000,-2118000,11736000,33668000,5e+06,20809000,0.44093,0.14339,0.10661,0.02504,0.02059,1.02578,5.43142,0.21613,0.00507,0.84539,0.83702,7.92945,33.76559,0.86719,0.02341,0.02401,-9.83646,-12.13847
"23","2016_Q3",21.13859375,"Up",199882000,-111283000,88599000,-62595000,-40940000,-20955000,-7e+05,26004000,-1780000,233000,-30000,263000,-2013000,24224000,24224000,-6443000,17781000,17781000,17781000,17781000,361058000,157176000,150409000,150409000,179067000,34602000,34602000,725136000,108575000,214832000,18510000,102876000,93446000,323407000,1048543000,55003000,43458000,11545000,89808000,89808000,149811000,49183000,49183000,49183000,198994000,136412000,715153000,-2016000,849549000,849549000,1048543000,17781000,6498000,5126000,1887000,31292000,-11361000,-6262000,-17623000,0,165000,165000,-2164000,-1999000,11670000,11670000,3163000,14833000,32502000,5e+06,29471000,0.44326,0.1301,0.08896,0.02093,0.01696,1.65744,4.84034,0.23423,0.00477,0.73667,0.72987,8.28115,35.19696,1.22099,0.01968,0.03261,-10.95496,-13.69243
"24","2016_Q4",28.4755555555556,"Up",218767000,-124208000,94559000,-68271000,-46256000,-21441000,-574000,26288000,852000,288000,-63000,351000,563999.999999999,27140000,27140000,-8490000,18650000,18650000,18650000,18650000,373612000,139407000,150184000,150184000,200171000,36349000,36349000,760316000,111738000,210256000,16092000,101308000,92856000,321994000,1082310000,54318000,44182000,10136000,92061000,92061000,166379000,44985000,44985000,44985000,211364000,145592000,733803000,-8449000,870946000,870946000,1082310000,18650000,6527000,10417000,-26527000,9067000,-11812000,-30717000,-42529000,1.5e+07,3563000,3563000,417000,18980000,-14482000,-14482000,-3287000,-17769000,32815000,2e+07,2966000,0.43224,0.12016,0.08525,0.02141,0.01723,0.15903,4.56978,0.24268,0.01848,0.77092,0.76225,9.04295,36.00141,0.1226,0.01993,0.00317,-10.77593,-13.45146
"25","2017_Q1",35.3046774193548,"Up",248461000,-134125000,114336000,-66297000,-45168000,-20265000,-864000,48039000,-3568000,-949000,-1238000,289000,-2619000,44471000,44471000,-13686000,30785000,30785000,30785000,30785000,399953000,354347000,165715000,165715000,212898000,37073000,37073000,815639000,127443000,218066000,13874000,101458000,102734000,345509000,1161148000,65052000,45182000,19870000,116442000,116442000,201494000,48826000,48826000,48826000,250320000,151540000,764588000,-5300000,910828000,910828000,1161148000,30785000,6495000,1747000,11651000,50678000,-20884000,188092000,167208000,0,6e+05,6e+05,-3581000,-2981000,214905000,214905000,35000,214940000,54534000,2e+07,58987000,0.46018,0.19335,0.1239,0.0338,0.02651,1.9161,4.04796,0.27483,0.01722,1.26985,1.25168,10.24877,37.57076,2.43316,0.03142,0.06021,-6.96727,-7.90926
"26","2017_Q2",32.3885714285714,"Down",346073000,-204559000,141514000,-104730000,-73768000,-27084000,-3878000,36784000,5172000,-7821000,-7964000,143000,12993000,41956000,47372000,-16674000,30698000,30408000,30408000,30408000,360342000,360217000,241112000,241112000,386013000,134697000,66981000,1122164000,251090000,716317000,233634000,351311000,131372000,967407000,2089571000,107630000,66439000,41191000,198281000,198281000,313094000,172173000,172173000,849496000,1162590000,145738000,794996000,-13753000,926981000,926981000,2089571000,30408000,8995000,18881000,25640000,82641000,-15267000,25108000,-730793000,718514000,3866000,3866000,-41079000,681301000,33149000.0000001,33149000.0000001,-13504000,19645000,45779000,684506000,72826000,0.40891,0.10629,0.08787,0.0328,0.01455,2.39496,3.58411,1.25417,0.32758,1.24894,1.23389,14.21419,38.07373,2.99117,0.01705,0.04083,7.08106,8.81264
"27","2017_Q3",37.2873015873016,"Up",422833000,-243318000,179515000,-108426000,-72451000,-30536000,-5439000,71089000,-10255000,-8863000,-8998000,135000,-1392000,60834000,60834000,-18646000,42188000,41845000,41845000,41845000,433105000,432980000,252542000,252542000,388242000,141049000,73802000,1214938000,256024000,704378000,206506000,360576000,137296000,960402000,2175340000,134121000,73512000,60609000,231004000,231004000,370286000,168686000,168686000,828791000,1199077000,151600000,836841000,-12178000,976263000,976263000,2175340000,41845000,10963000,17707000,41221000,111718000,-14132000,0,-14295000,-35948000,0,0,-1304000,-37252000,60171000,60171000,11887000,72058000,82052000,665266000,127787000,0.42455,0.16813,0.09896,0.04286,0.01924,3.05382,3.28108,1.22823,0.30582,1.70824,1.69023,17.26131,39.85398,5.21665,0.02312,0.07059,2.82944,3.26578
"28","2017_Q4",44.8957142857143,"Up",464107000,-256921000,207186000,-106609000,-72383000,-30483000,-3743000,100577000,-7942000,-7212000,-7494000,282000,-730000,92635000,92635000,-29764000,62871000,61117000,61117000,61117000,472427000,472307000,277853000,277853000,402849000,108443000,74827000,1261572000,268622000,748235000,202690000,410417000,135128000,1016857000,2278429000,144182000,72755000,71427000,229642000,229642000,379309000,178378000,178378000,831078000,1210387000,162770000,897958000,7314000,1068042000,1068042000,2278429000,61117000,11618000,30907000,-13102000,90923000,-14951000,5000,-15279000,-52345000,4245000,4245000,-490000,-48590000,27054000,27054000,12787000,39841000,112195000,658185000,113906000,0.44642,0.21671,0.13169,0.05722,0.02682,1.86374,3.32597,1.13328,0.28888,2.49081,2.46211,18.91458,43.52782,4.64221,0.03209,0.05981,1.65567,1.84692
"29","2018_Q1",43.3088524590164,"Down",490298000,-268244000,222054000,-107509000,-73482000,-31063000,-2964000,114545000,-10415000,-9376000,-9906000,530000,-1039000,104130000,101214000,-28327000,72887000,73752000,73752000,73752000,475576000,443066000,305668000,305668000,414807000,115613000,70268000,1311664000,278850000,747286000,190027000,417694000,139565000,1026136000,2337800000,179066000,75860000,103206000,235001000,235001000,419145000,166390000,166390000,755391000,1174536000,171648000,971710000,19906000,1163264000,1163264000,2337800000,73752000,12113000,15897000,1045000,98834000,-17471000,-32344000,-49921000,-91072000,0,0,1601000,-89471000,-40558000,-40558000,11754000,-28804000,126658000,594079000,138559000,0.4529,0.23362,0.15042,0.0634,0.03155,1.87872,3.12938,1.00969,0.25412,3.00195,2.96383,19.95677,47.34875,5.63982,0.03834,0.07203,0.93561,1.03455
"30","2018_Q2",44.140625,"Up",477565000,-260542000,217023000,-107435000,-73437000,-31392000,-2606000,109588000,-8500000,-8276000,-8747000,471000,-224000,101088000,100823000,-58920000,41903000,41901000,41901000,41901000,423446000,385735000,309132000,309132000,432809000,86680000,77003000,1252067000,291308000,733284000,174531000,418080000,140673000,1024592000,2276659000,195433000,81397000,114036000,190840000,190840000,393201000,185072000,185072000,688077000,1081278000,148011000,1027232000,20138000,1195381000,1195381000,2276659000,41901000,12555000,39919000,-29397000,64980000,-23657000,-5183000,-3840000,-88631000,4899000,4899000,-35646000,-119378000,-58238000,-58238000,943000,-57295000,122143000,509933000,128009000,0.45444,0.22947,0.08774,0.03505,0.0184,3.05503,3.18429,0.90455,0.22398,1.70087,1.67437,19.38563,48.52369,5.19622,0.02217,0.06772,0.70808,0.7892
"31","2018_Q3",45.4698412698413,"Up",481118000,-265688000,215430000,-114879000,-77146000,-34783000,-2950000,100551000,-9510000,-7285000,-7725000,440000,-2225000,91041000,91151000,-25849000,65302000,65302000,65302000,65302000,346114000,308987000,312938000,312938000,492686000,95669000,85446000,1247407000,307330000,781848000,180642000,460921000,140285000,1089178000,2336585000,198704000,93309000,105395000,195842000,195842000,401968000,195283000,195283000,644936000,1046904000,156010000,1092534000,41137000,1289681000,1289681000,2336585000,65302000,12844000,27827000,-38152000,67819000,-21204000,542000,-65640000,-78565000,0,0,-604000,-79169000,-76990000,-76990000,761000,-76229000,113395000,457075000,79888000,0.44777,0.20899,0.13573,0.05063,0.02795,1.22336,3.10325,0.81175,0.19562,2.63729,2.61104,19.43048,52.08517,3.22636,0.03363,0.04114,0.97854,1.10353
"32","2018_Q4",37.3093650793651,"Down",482342000,-274006000,208336000,-107201000,-70291000,-34303000,-2607000,101135000,-7625000,-4293000,-4737000,444000,-3332000,93510000,92899000,-25929000,66970000,66970000,66970000,66970000,232458000,232458000,337560000,337560000,494967000,89572000,88490000,1154557000,303214000,729797000,157364000,444066000,128367000,1033011000,2187568000,186795000,82602000,104193000,158285000,158285000,352156000,181976000,181976000,604261000,956417000,70293000,1159504000,1354000,1231151000,1231151000,2187568000,66970000,13336000,29750000,-109862000,194000,-18391000,37105000,24964000,-2993000,-94325000,5675000,-42000.0000000037,-97360000,-72202000,-72202000,-5083000,-77285000,114471000,429361000,12147000,0.43193,0.20967,0.13884,0.0544,0.03061,0.18138,3.27854,0.77685,0.19627,2.71595,2.69204,19.56128,49.92907,0.49262,0.03635,0.00659,1.72011,1.94693
