"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1266.05523809524,"Down",262525000,-155078000,107447000,-67738000,-32775000,-34963000,39709000,3605000,-1073000,1610000,2690000,378000,43314000,5558000,48872000,-9041000,39831000,39831000,39831000,39831000,122877000,122877000,312717000,312717000,63054000,63054000,498648000,2365377000,416861000,88107000,2824834000,3323482000,175755000,34389000,141366000,29476000,29476000,205231000,3e+08,344106000,130239000,644106000,849337000,81632000,2409524000,-17011000,2474145000,2474145000,3323482000,39831000,34963000,-16013000,-6027000,52754000,-129219000,-121069000,-1362918012.42942,138000,-31878000,-100193000,-100193000,-100193000,74672000,3e+08,-51533000,0.40928,0.15126,0.15172,0.0161,0.01198,-1.29379,2.42969,0.34329,0.09027,25.03242,24.91885,164.98795,1554.9152,-32.38672,0.01692,-0.01653,2.37201,4.46053
"2","2010_Q3",1134.255625,"Down",267100000,-170095000,97005000,-73751000,-37919000,-35832000,23254000,2692000,-1686000,-436000,2785000,2029000,25946000,3638000,29584000,-10181000,19403000,19403000,19403000,19403000,51652999.9999999,51652999.9999999,301248000,301248000,62470000,62470000,415371000,2562365000,418526000,89772000,3013222000,3428593000,186373000,42195000,144178000,27825000,27825000,214198000,3.9e+08,344570000,128312000,734570000,948768000,84870000,2416078000,-21123000,2479825000,2479825000,3428593000,19403000,35832000,10360000,35010000,100605000,-243876000,-243876000,9e+07,-6127000,72046999.9999999,-71224000.0000001,-71224000.0000001,-71224000.0000001,59086000,3.9e+08,-139599000,0.36318,0.08706,0.07264,0.00782,0.00566,-7.19471,1.93919,0.38259,0.11375,12.27182,12.23492,168.93278,1568.41534,-88.2922,0.01003,-0.04343,5.72635,14.55006
"3","2010_Q4",1344.953125,"Up",271775000,-163302000,108473000,-68296000,-33238000,-35058000,40177000,1692000,-3646000,973000,3291000,1074000,41869000,2425000,44294000,-9931000,34363000,34363000,34363000,34363000,308041000,308041000,282312000,282312000,62677000,62677000,653030000,2636820000,429226000,100472000,3102510000,3755540000,169103000,41938000,127165000,29485000,29485000,198588000,7e+08,350814000,132063000,1050814000,1249402000,88730000,2437585000,-20177000,2506138000,2506138000,3755540000,34363000,35058000,-3726000,-1004000,64691000,-105813000,-105813000,3.1e+08,-1182000,297510000,256388000,256388000,256388000,75235000,7e+08,-21651000,0.39913,0.14783,0.12644,0.01371,0.00915,-0.63007,3.28837,0.49854,0.18639,21.71082,21.5812,171.70964,1583.3982,-13.67928,0.01327,-0.00609,5.2098,9.75581
"4","2011_Q1",1626.19274193548,"Up",253988000,-154775000,99213000,-76245000,-41522000,-34723000,22968000,770000,-4364000,131000,3419000,1584000,23738000,1607000,25345000,-13326000,12019000,12019000,12019000,12019000,245720000,245720000,272467000,272467000,60960000,60960000,579147000,2701780000,428145000,99391000,3168969000,3748116000,169892000,45177000,124715000,13697000,13697000,183589000,7e+08,350583000,133848000,1050583000,1234172000,95392000,2436736000,-18184000,2513944000,2513944000,3748116000,12019000,34723000,5164000,-5922999.99999999,45983000,-99012000,-99012000,0,-1671000,-9292000,-62321000,-62321000,-62321000,57691000,7e+08,-33918000,0.39062,0.09043,0.04732,0.00478,0.00321,-2.82203,3.15458,0.49093,0.18676,7.52851,7.47527,159.094,1574.69409,-21.24569,0.00698,-0.00952,7.87437,19.77882
"5","2011_Q2",1536.7980952381,"Down",254607000,-153533000,101074000,-71330000,-37581000,-33749000,29744000,432000,-4061000,814000,2489000,1190000,30176000,1717000,31893000,-7335000,24558000,24558000,24558000,24558000,196423000,196423000,293657000,293657000,73513000,73513000,563593000,2732899000,439655000,110901000,3213337000,3776930000,173521000,47885000,125636000,19709000,19709000,193230000,7e+08,355557000,136986000,1055557000,1248787000,97907000,2448325000,-18089000,2528143000,2528143000,3776930000,24558000,33749000,-8476000,-22964000,26867000,-63324000,-63324000,26774029.5198626,11000,-12840000,-49297000,-49297000,-49297000,63493000,7e+08,-15460000,0.39698,0.11682,0.09645,0.00971,0.0065,-0.62953,2.9167,0.49395,0.18534,15.44892,15.35444,160.16785,1590.40105,-9.72556,0.01046,-0.00431,7.93122,16.93037
"6","2011_Q3",1468.2634375,"Down",250894000,-163321000,87573000,-71580000,-37773000,-33807000,15993000,1115000,-4766000,1659000,3456000,766000,17108000,-21474000,-4366000,-509999.999999999,-4876000,-4876000,-4876000,-4876000,302186000,302186000,287475000,287475000,68382000,68382000,658043000,2788808000,410941000,113119000,3238164000,3896207000,190151000,55259000,134892000,21711000,21711000,211862000,8.25e+08,346785000,135362000,1171785000,1383647000,101038000,2430474000,-18952000,2512560000,2512560000,3896207000,-4876000,33807000,12863000,19745000,61539000,-68342000,-68342000,1.25e+08,-121000,112566000,105763000,105763000,105763000,49800000,8.25e+08,1713000,0.34904,0.06374,-0.01943,-0.00194,-0.00125,-0.35131,3.106,0.55069,0.21174,-3.06627,-3.08524,157.77435,1580.01988,1.07722,0.00219,0.00046,10.49827,32.69018
"7","2011_Q4",1350.33412698413,"Down",272111000,-157776000,114335000,-75640000,-40425000,-35215000,38695000,-3936000,-6027000,-1738000,3482000,347000,34759000,2496000,37255000,-3168000,34087000,34087000,34087000,34087000,188347000,188347000,287081000,287081000,62943000,62943000,538371000,2880693000,415455000,117633000,3339496000,3877867000,184039000,50712000,133327000,22740000,22740000,206779000,8.25e+08,344864000,131344000,1169864000,1376643000,103213000,2416777000,-18766000,2501224000,2501224000,3877867000,34087000,35215000,-6167000,6321000,69456000,-135337000,-135337000,0,-254000,-47958000,-113839000,-113839000,-113839000,73910000,8.25e+08,-51938000,0.42018,0.1422,0.12527,0.01363,0.00879,-1.52369,2.60361,0.55039,0.21275,21.5454,21.21166,171.99348,1580.95121,-32.8285,0.01277,-0.01415,8.6139,16.45311
"8","2012_Q1",1591.95451612903,"Up",289395000,-152655000,136740000,-94343000,-40791000,-35585000,42397000,-129000,-7454000,2574000,3614000,1137000,42268000,3986000,46254000,-12612000,33642000,33642000,33642000,33642000,320710000,320710000,309468000,309468000,63922000,63922000,694100000,2905765000,415676000,117854000,3367518000,4061618000,212704000,74115000,138589000,26225000,26225000,238929000,9.5e+08,346332000,131705000,1296332000,1535261000,107851000,2437836000,-19330000,2526357000,2526357000,4061618000,33642000,35585000,-6223000,734999.999999998,63739000,-47258000,-47258000,1.25e+08,-1121000,115882000,132363000,132363000,132363000,77982000,9.5e+08,44071000,0.4725,0.1465,0.11625,0.01332,0.00828,1.31,2.90505,0.6077,0.2339,21.25766,21.15265,182.86251,1596.35098,27.84752,0.01209,0.01153,8.06968,14.8428
"9","2012_Q2",1400.3453968254,"Down",294448000,-164859000,129589000,-80940000,-40664000,-35784000,48649000,-6256000,-7587000,-1751000,2363000,719000,42393000,838000,43231000,-10375000,32856000,32856000,32856000,32856000,240574000,240574000,322978000,322978000,76011000,76011000,639563000,2938736000,416274000,118452000,3402701000,4042264000,235835000,92675000,143160000,25321000,25321000,321156000,8.9e+08,345031000,130445000,1235031000,1556187000,112736000,2393179000,-19838000,2486077000,2486077000,4042264000,32856000,35784000,-796000,376000,68220000,-71576000,-71576000,44086295.6163515,49000,-76780000,-80136000,-80136000,-80136000,84433000,9.5e+08,23608000,0.44011,0.16522,0.11159,0.01322,0.00813,0.71853,1.99144,0.62596,0.23502,21.11588,21.04265,189.23576,1597.75125,15.17238,0.01201,0.00624,8.40224,14.58254
"10","2012_Q3",1396.8046031746,"Down",311918000,-174237000,137681000,-82317000,-41867000,-36047000,55364000,-2134000,-7148000,528999.999999999,3357000,1128000,53230000,1833000,55063000,-13707000,41356000,41356000,41356000,41356000,136729000,136729000,333284000,333284000,71768000,71768000,541781000,3012023000,418176000,120354000,3480307000,4022088000,237401000,89560000,147841000,26040000,26040000,263441000,8.9e+08,348370000,133855000,1238370000,1501811000,117588000,2421991000,-19302000,2520277000,2520277000,4022088000,41356000,36047000,-53000.0000000009,-649000,76701000,-108273000,-108273000,-59999999.9999999,46000.0000000001,-72273000,-103845000,-103845000,-103845000,91411000,8.9e+08,-3803999.99999999,0.4414,0.1775,0.13259,0.01641,0.01028,-0.0919800000000001,2.05656,0.59589,0.22128,27.01008,26.87194,203.71723,1646.02189,-2.48444,0.01433,-0.00101,8.24049,13.60579
