"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",35.7319047619048,"Up",3.318e+09,-1.893e+09,1.425e+09,-7.88e+08,-7.88e+08,6.37e+08,-6.4e+07,-6.5e+07,162211.918408535,1e+06,5.73e+08,5.73e+08,-1.56e+08,4.17e+08,4.17e+08,1e+06,4.18e+08,4.18e+08,3.87e+08,3.87e+08,1.284e+09,1.284e+09,8.17e+08,2.66e+08,1.39e+08,2.754e+09,2.977e+09,2.977e+09,5.658e+09,3.645e+09,1.458e+09,3.8e+08,8.635e+09,1.1389e+10,1.801e+09,1.028e+09,1.076e+09,3.52e+08,3.52e+08,3.229e+09,3.898e+09,1.821e+09,4.31e+08,4.39e+08,9.51e+08,5.719e+09,8.948e+09,5.85e+08,-1.885e+09,5.75e+09,-2.011e+09,2.439e+09,2e+06,2.441e+09,1.1389e+10,4.17e+08,8.7e+07,1.1e+07,-2.65e+08,2.5e+08,-6e+07,1e+06,-5.9e+07,-1.42e+08,8e+07,-7.4e+07,-1.34e+08,5.7e+07,5.7e+07,-4e+06,5.3e+07,7.24e+08,4.974e+09,5.55e+08,0.42948,0.19198,0.12598,0.17124,0.0367,1.32775,0.8529,3.66571,0.43674,1.1,1.08854,8.73158,6.41842,1.46053,0.37368,8.68920800973777,0.06063,0.06009,0.33971,6.33564,7.20094
"2","2010_Q3",33.95984375,"Down",3.062e+09,-1.757e+09,1.305e+09,-8.22e+08,-8.22e+08,4.83e+08,-5.4e+07,-6.1e+07,90117.7324491862,7e+06,4.29e+08,4.29e+08,-1.28e+08,3.01e+08,3.01e+08,1e+06,3.02e+08,3.02e+08,4.71e+08,4.71e+08,1.144e+09,1.144e+09,8.85e+08,2.92e+08,1.51e+08,2.792e+09,2.916e+09,2.916e+09,5.677e+09,3.639e+09,1.457e+09,3.96e+08,8.593e+09,1.1385e+10,1.682e+09,1.075e+09,1.112e+09,4.7e+08,4.7e+08,3.264e+09,3.915e+09,1.822e+09,4.4e+08,4.28e+08,9.54e+08,5.737e+09,9.001e+09,5.86e+08,-2.01e+09,5.903e+09,-2.096e+09,2.383e+09,1e+06,2.384e+09,1.1385e+10,3.01e+08,9.1e+07,-2.6e+07,-2.3e+07,3.43e+08,-8.7e+07,1e+06,-8.6e+07,-1.44e+08,2.9e+07,-44000000.0000001,-1.55e+08,1.02e+08,1.02e+08,-1.8e+07,8.4e+07,5.74e+08,5.027e+09,5.92e+08,0.42619,0.15774,0.09863,0.12668,0.02653,1.96026,0.85539,3.77559,0.44155,0.79265,0.78646,8.03675,6.25459,1.55381,0.37795,6.10091093852681,0.0483,0.06412,0.47682,7.93728,9.43271
"3","2010_Q4",33.72421875,"Down",3.157e+09,-1.788e+09,1.369e+09,-8.28e+08,-8.28e+08,5.41e+08,-6.1e+07,-6.2e+07,36047.0929796745,1e+06,4.8e+08,4.8e+08,-1.43e+08,3.37e+08,3.37e+08,1e+06,3.38e+08,3.38e+08,5.59e+08,5.59e+08,1.211e+09,1.211e+09,9.52e+08,2.83e+08,1.35e+08,3.005e+09,3.015e+09,3.015e+09,5.704e+09,3.644e+09,1.457e+09,3.95e+08,8.719e+09,1.1724e+10,1.893e+09,1.145e+09,1.542e+09,3.44e+08,3.44e+08,3.779e+09,3.929e+09,1.798e+09,4.41e+08,4.31e+08,9.26e+08,5.727e+09,9.506e+09,5.9e+08,-2.528e+09,6.087e+09,-1.931e+09,2.218e+09,-1782283.64727833,2.218e+09,1.1724e+10,3.37e+08,8.7e+07,3.3e+07,2.9e+07,4.86e+08,-1.05e+08,0,-1.05e+08,-1.49e+08,4.37e+08,-6.11e+08,-3.22e+08,5.9e+07,5.9e+07,2.9e+07,8.8e+07,6.28e+08,5.471e+09,6.95e+08,0.43364,0.17137,0.10706,0.15239,0.02883,2.05621,0.79518,4.28584,0.46665,0.90617,0.89894,8.46381,5.94638,1.86327,0.39946,5.03784160194755,0.05133,0.07326,0.44083,7.82166,9.07948
"4","2011_Q1",35.9016129032258,"Up",2.86e+09,-1.617e+09,1.243e+09,-8.67e+08,-8.67e+08,3.76e+08,-6.8e+07,-6e+07,0,-8e+06,3.08e+08,3.08e+08,-8.3e+07,2.25e+08,2.25e+08,4e+06,2.29e+08,2.29e+08,4.44e+08,4.44e+08,1.19e+09,1.19e+09,1.056e+09,2.25e+08,2.25e+08,2.915e+09,3.128e+09,3.128e+09,5.804e+09,3.628e+09,1.456e+09,7.2e+08,8.932e+09,1.1847e+10,1.149e+09,1.149e+09,9.96e+08,1.039e+09,1.039e+09,3.184e+09,4.908e+09,1.601e+09,2.65e+08,6.97e+08,6.39e+08,6.509e+09,9.693e+09,6e+08,-2.65e+09,6.122e+09,-1.914e+09,2.158e+09,-4e+06,2.154e+09,1.1847e+10,2.25e+08,1.27e+08,-3.25e+08,-9.8e+07,-7.1e+07,-2.22e+08,7e+06,-2.15e+08,-1.49e+08,4.39e+08,-1.19e+08,1.72e+08,-1.14e+08,-1.14e+08,-1e+06,-1.15e+08,5.03e+08,5.904e+09,2.66e+08,0.43462,0.13147,0.08007,0.10631,0.01933,1.16157,0.91552,4.5,0.49835,0.61892,0.62228,7.72973,5.83243,0.71892,0.4027,5,0.03913,0.02754,0.65066,10.85487,14.52128
"5","2011_Q2",38.204126984127,"Up",3.485e+09,-2.064e+09,1.421e+09,-8.49e+08,-8.49e+08,5.72e+08,-6.7e+07,-6.7e+07,-18023.5464898372,0,5.05e+08,5.05e+08,-1.4e+08,3.65e+08,3.65e+08,1e+06,3.66e+08,3.66e+08,4.04e+08,4.04e+08,1.367e+09,1.367e+09,9.75e+08,3.05e+08,1.71e+08,3.051e+09,3.183e+09,3.183e+09,5.954e+09,3.63e+09,1.456e+09,4.05e+08,9.137e+09,1.2188e+10,1.932e+09,1.199e+09,1.078e+09,4.08e+08,4.08e+08,3.418e+09,4.905e+09,1.561e+09,1.76e+08,7.49e+08,6.36e+08,6.466e+09,9.884e+09,6.08e+08,-2.835e+09,6.325e+09,-1.789e+09,2.309e+09,-5e+06,2.304e+09,1.2188e+10,3.65e+08,8.9e+07,-1.66e+08,2.2e+07,3.1e+08,-1.03e+08,4e+06,-9.9e+07,-1.48e+08,8.5e+07,-2.07e+08,-2.66e+08,-5.5e+07,-5.5e+07,1.5e+07,-4e+07,6.61e+08,5.983e+09,7.2e+08,0.40775,0.16413,0.10502,0.15885,0.03003,1.96721,0.89263,4.28993,0.49089,1.00274,0.99457,9.54795,6.32603,1.9726,0.40548,5.48738613268415,0.05219,0.07311,0.40437,8.44024,9.7535
"6","2011_Q3",37.29328125,"Down",3.386e+09,-1.943e+09,1.443e+09,-9e+08,-9e+08,5.43e+08,-5.4e+07,-5.3e+07,-18023.5464898372,-1e+06,4.89e+08,4.89e+08,-1.47e+08,3.42e+08,3.42e+08,1e+06,3.43e+08,3.43e+08,4.57e+08,4.57e+08,1.364e+09,1.364e+09,1.017e+09,2.98e+08,1.37e+08,3.136e+09,3.246e+09,3.246e+09,5.974e+09,3.632e+09,1.455e+09,4.13e+08,9.22e+09,1.2356e+10,1.88e+09,1.208e+09,7.34e+08,4.12e+08,4.12e+08,3.026e+09,5.308e+09,1.554e+09,3.7e+08,7.68e+08,4.16e+08,6.862e+09,9.888e+09,6.18e+08,-2.89e+09,6.511e+09,-1.765e+09,2.474e+09,-6e+06,2.468e+09,1.2356e+10,3.42e+08,8.6e+07,7e+06,-9.9e+07,3.36e+08,-1.4e+08,1e+06,-1.39e+08,-1.48e+08,5.3e+07,-6.2e+07,-1.51e+08,4.6e+07,4.6e+07,7e+06,5.3e+07,6.29e+08,6.042e+09,5.37e+08,0.42617,0.16037,0.1013,0.13898,0.02776,1.5656,1.03635,4.00648,0.48899,0.9449,0.93716,9.32782,6.81543,1.47934,0.40771,6,0.04879,0.05336,0.43149,8.87917,10.28545
"7","2011_Q4",35.6501587301587,"Down",3.312e+09,-1.962e+09,1.35e+09,-8.86e+08,-8.86e+08,4.64e+08,-6.7e+07,-5.8e+07,0,-9e+06,3.97e+08,3.97e+08,-1.07e+08,2.9e+08,2.9e+08,0,2.9e+08,2.9e+08,5.82e+08,5.82e+08,1.302e+09,1.302e+09,1.013e+09,2.81e+08,1.22e+08,3.178e+09,3.193e+09,3.193e+09,5.892e+09,3.622e+09,1.455e+09,3.35e+08,9.085e+09,1.2263e+10,1.903e+09,1.2e+09,7.37e+08,4.61e+08,4.61e+08,3.101e+09,5.3e+09,1.577e+09,3.86e+08,7.9e+08,4.01e+08,6.877e+09,9.978e+09,6.15e+08,-3.05e+09,6.644e+09,-1.926e+09,2.283e+09,2e+06,2.285e+09,1.2263e+10,2.9e+08,9.5e+07,1.03e+08,1.35e+08,6.23e+08,-1.49e+08,6e+06,-1.43e+08,-1.56e+08,2e+06,-1.59e+08,-3.13e+08,1.67e+08,1.67e+08,-4.2e+07,1.25e+08,5.59e+08,6.037e+09,6.52e+08,0.40761,0.1401,0.08756,0.12691,0.02365,2.24828,1.02483,4.36674,0.49229,0.80556,0.7989,9.2,6.34167,1.81111,0.43333,6,0.04506,0.06587,0.53793,9.7585,11.75647
"8","2012_Q1",36.2687096774194,"Up",3.015e+09,-2.077e+09,9.38e+08,-1.09e+09,-1.09e+09,-1.52e+08,-5.5e+07,-5.5e+07,0,0,-2.07e+08,-2.07e+08,7.4e+07,-1.33e+08,-1.33e+08,-1.16415321826935e-10,-1.33e+08,-1.33e+08,4.6e+08,4.6e+08,1.188e+09,1.188e+09,1.174e+09,2.47e+08,2.47e+08,3.069e+09,3.281e+09,3.281e+09,5.593e+09,3.623e+09,1.454e+09,5.16e+08,8.874e+09,1.1943e+10,1.189e+09,1.189e+09,9.95e+08,1.129e+09,1.129e+09,3.313e+09,5.037e+09,1.795e+09,5.6e+08,6.43e+08,5.92e+08,6.832e+09,1.0145e+10,6.27e+08,-3.13e+09,5.305e+09,-1.006e+09,1.796e+09,2e+06,1.798e+09,1.1943e+10,-1.33e+08,9.9e+07,3.4e+08,2e+07,3.26e+08,-2.02e+08,-4e+06,-2.06e+08,-1.52e+08,-1e+06,-7.9e+07,-2.27e+08,-1.07e+08,-1.07e+08,-1.5e+07,-1.22e+08,-5.3e+07,6.032e+09,-3.09e+08,0.31111,-0.05041,-0.04411,-0.07397,-0.01114,2.32331,0.92635,5.64238,0.50507,-0.36944,-0.37047,8.375,4.98889,-0.85833,0.42222,5,0.00197,-0.0321,-1.14286,-105.13208,-36.65789
"9","2012_Q2",35.8019047619048,"Down",3.44e+09,-2.087e+09,1.353e+09,-8.26e+08,-8.26e+08,5.27e+08,-2e+07,-3.3e+07,1.45519152283669e-11,1.3e+07,5.07e+08,5.07e+08,-1.56e+08,3.51e+08,3.51e+08,0,3.51e+08,3.51e+08,4.04e+08,4.04e+08,1.304e+09,1.304e+09,1.144e+09,3.4e+08,1.43e+08,3.192e+09,3.295e+09,3.295e+09,5.647e+09,3.628e+09,1.454e+09,3.75e+08,8.942e+09,1.2134e+10,1.999e+09,1.186e+09,1.584e+09,4.28e+08,4.28e+08,4.011e+09,4.254e+09,1.805e+09,7.38e+08,6.48e+08,4.19e+08,6.059e+09,1.007e+10,6.35e+08,-3.142e+09,6.917e+09,-2.348e+09,2.062e+09,2e+06,2.064e+09,1.2134e+10,3.51e+08,9.5e+07,-8.5e+07,-2.1e+07,3.4e+08,-6.3e+07,6e+06,-5.7e+07,-1.53e+08,-1.78e+08,-2.2e+07,-3.55e+08,-7.2e+07,-7.2e+07,1.6e+07,-5.6e+07,6.22e+08,5.838e+09,6.94e+08,0.39331,0.1532,0.10203,0.17006,0.02893,1.97721,0.79581,4.87888,0.48113,0.98319,0.97772,9.63585,5.77591,1.94398,0.42857,4,0.05192,0.07149,0.4359,8.73633,10.3112
"10","2012_Q3",35.6914285714286,"Down",3.474e+09,-2.035e+09,1.439e+09,-9.2e+08,-9.2e+08,5.19e+08,-8.2e+07,-8.9e+07,0,7e+06,4.37e+08,4.37e+08,-1.13e+08,3.24e+08,3.24e+08,-7.27595761418343e-12,3.24e+08,3.24e+08,2.3e+08,2.3e+08,1.42e+09,1.42e+09,1.235e+09,3.26e+08,1.5e+08,3.211e+09,3.561e+09,3.561e+09,7.868e+09,5.044e+09,2.193e+09,4.36e+08,1.1429e+10,1.464e+10,1.932e+09,1.226e+09,2.257e+09,4.17e+08,4.17e+08,4.606e+09,6.03e+09,1.851e+09,7.76e+08,6.44e+08,4.31e+08,7.881e+09,1.2487e+10,6.46e+08,-3.118e+09,7.061e+09,-2.438e+09,2.151e+09,2e+06,2.153e+09,1.464e+10,3.24e+08,9.9e+07,-9000000.00000006,-7.4e+07,3.4e+08,-9.2e+07,-2.674e+09,-2.766e+09,-1.53e+08,2.405e+09,2.4e+07,2.275e+09,-1.51e+08,-1.51e+08,-2.3e+07,-1.74e+08,6.18e+08,8.287e+09,5.65e+08,0.41422,0.1494,0.09326,0.15049,0.02213,1.74383,0.69713,5.79981,0.56605,0.90756,0.90251,9.73109,6.02521,1.58263,0.42857,5,0.03881,0.04597,0.47222,13.03722,15.52408
