"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",15.97,"Up",6838000,-3471000,3367000,-9129000,-7259000,-3931000,-3328000,-1870000,-5762000,-130000,-28000,-5892000,-5892000,-5892000,-5892000,-5892000,-5892000,71220000,71220000,1143000,1143000,1477000,1477000,76407000,2952000,271000,271000,3223000,79630000,12888000,5294000,7594000,15388000,2900000,2900000,7799000,23187000,142092000,-85649000,56443000,56443000,79630000,-5892000,282000,-267000,2579000,-3298000,-271000,-271000,66382000,66382000,59363000,55794000,55794000,55794000,-5480000,4899000,0.4924,-0.84264,-0.86166,-0.10439,-0.07399,4.96536,0.4108,0.06152,-0.2786,-0.2786,0.32334,2.66891,-0.09172,12.10237,11.51007
"2","2014_Q2",14.3942857142857,"Down",7476000,-3607000,3869000,-10444000,-8318000,-4336000,-3982000,-2126000,-6575000,-99000,12000,-6674000,-6674000,-6674000,-6674000,-6674000,-6674000,64237000,64237000,1191000,1191000,1014000,1014000,69163000,3028000,263000,263000,3291000,72454000,12481000,7214000,5267000,15448000,2249000,2249000,6716000,22164000,142613000,-92323000,50290000,50290000,72454000,-6674000,264000,-79000,-268000,-6757000,-124000,-124000,27000,27000,-102000.000000007,-6983000.00000001,-6983000.00000001,-6983000.00000001,-6311000,4934000,0.51752,-0.87948,-0.89272,-0.13271,-0.09211,4.47715,0.44072,0.0681,-0.31558,-0.31558,0.3535,2.37796,-0.11612,9.39677,9.01947
"3","2014_Q3",13.126875,"Down",8677000,-3966000,4711000,-11272000,-9029000,-5101000,-3928000,-2243000,-6561000,-94000,19000,-6655000,-6655000,-6655000,-6655000,-6655000,-6655000,57998000,57998000,1430000,1430000,1450000,1450000,64178000,3312000,260000,260000,3572000,67750000,13667000,8539000,5128000,17107000,1587000,1587000,5618000,22725000,144003000,-98978000,45025000,45025000,67750000,-6655000,277000,289000,182000,-5907000,-780000,-780000,448000,448000,448000,-6239000,-6239000,-6239000,-6284000,4971000,0.54293,-0.75614,-0.76697,-0.14781,-0.09823,3.75156,0.50472,0.07337,-0.31336,-0.31336,0.40857,2.12005,-0.12902,8.43842,8.08215
"4","2014_Q4",7.8040625,"Down",9838000,-4168000,5670000,-13481000,-11248000,-5533000,-5715000,-2233000,-7811000,-91000,23000,-7902000,-7902000,-7902000,-7902000,-7902000,-7902000,44002000,44002000,1180000,1180000,2136000,1711000,50668000,19792000,1354000,297000,21146000,71814000,14693000,8587000,6106000,18010000,1934000,1609000,5521000,23531000,155163000,-106880000,48283000,48283000,71814000,-7902000,292000,546000,532000,-6532000,-587000,-7573000,109000,109000,109000,-13996000,-13996000,-13996000,-7519000,5007000,0.57634,-0.79396,-0.80321,-0.16366,-0.11003,2.81333,0.48736,0.06972,-0.36493,-0.36493,0.45433,2.22978,-0.14309,5.18619,4.99232
"5","2015_Q1",8.1927868852459,"Up",12199000,-4865000,7334000,-15393000,-12191000,-6962000,-5229000,-3202000,-8059000,-83000,18000,-8142000,-8142000,-8142000,-8142000,-8142000,-8142000,35014000,35014000,3050000,3050000,1588000,1218000,43348000,4161000,17330000,273000,21491000,64839000,15248000,7397000,7851000,17145000,1397000,1097000,6320000,23465000,156396000,-115022000,41374000,41374000,64839000,-8142000,342000,674000,-1310000,-8436000,-533000,-533000,91000,91000,-19000,-8988000,-8988000,-8988000,-7717000,4923000,0.6012,-0.66063,-0.66743,-0.19679,-0.12557,2.52832,0.56714,0.07593,-0.36158,-0.36158,0.54175,1.83739,-0.17071,3.89931,3.73384
"6","2015_Q2",9.84492063492064,"Up",11218000,-4566000,6652000,-14205000,-11418000,-5620000,-5798000,-2787000,-7553000,-57000,32000,-7610000,-7610000,-7610000,-7610000,-7610000,-7610000,25798000,25798000,2564000,2564000,1597000,1179000,33691000,20132000,1237000,180000,21369000,55060000,12250000,6854000,5396000,14147000,885000,585000,5834000,19981000,157711000,-122632000,35079000,35079000,55060000,-7610000,352000,782000,-2391000,-8867000,-511000,-441000.000000001,92000,92000,92000,-9216000,-9216000,-9216000,-7201000,4949000,0.59298,-0.67329,-0.67837,-0.21694,-0.13821,2.38149,0.5696,0.08988,-0.33763,-0.33763,0.4977,1.55632,-0.186,2.89529,2.76036
"7","2015_Q3",9.5225,"Down",11908000,-5139000,6769000,-15843000,-12473000,-6937000,-5536000,-3103000,-9074000,-62000,26000,-9136000,-9136000,-9136000,-9136000,-9136000,-9136000,51045000,51045000,3586000,3586000,2107000,1735000,60714000,4211000,17578000,788000,21789000,82503000,9905000,2688000,7217000,11802000,638000,384000,5613000,17415000,196856000,-131768000,65088000,65088000,82503000,-9136000,644000,1058000,-4032000,-11466000,-341000,-944000,37657000,37657000,37657000,25247000,25247000,25247000,-8430000,4975000,0.56844,-0.76201,-0.76722,-0.14036,-0.11074,5.14438,0.26756,0.0603,-0.35046,-0.35046,0.4568,2.49682,-0.12922,5.46501,5.07714
"8","2015_Q4",6.7340625,"Down",12335000,-5617000,6718000,-15606000,-11777000,-6049000,-5728000,-3563000,-8888000,-57000,35000,-8945000,-8945000,-8945000,-8945000,-8945000,-8945000,46116000,46116000,3520000,3520000,3711000,3371000,57331000,6200000,17322000,798000,23522000,80853000,14009000,6644000,7365000,15432000,2608000,2386000,7610000,23042000,198524000,-140713000,57811000,57811000,80853000,-8945000,646000,1037000,3460000,-3802000,-1123000,-1123000,193000,193000,-4000.00000000745,-4928999.99999999,-4928999.99999999,-4928999.99999999,-8242000,5002000,0.54463,-0.72055,-0.72517,-0.15473,-0.11063,3.71507,0.39857,0.06187,-0.32319,-0.32319,0.44567,2.08874,-0.13673,4.98835,4.62579
"9","2016_Q1",5.91377049180328,"Down",14042000,-6175000,7867000,-15818000,-12208000,-6687000,-5521000,-3343000,-7951000,-62000,47000,-8013000,-8013000,-8013000,-8013000,-8013000,-8013000,39084000,39084000,3503000,3503000,1560000,1442000,47914000,10314000,17019000,762000,27333000,75247000,13774000,5085000,8689000,14722000,4283000,4283000,9273000,23995000,199978000,-148726000,51252000,51252000,75247000,-8013000,612000,979000,3592000,-2830000,-4190000,-4190000,38000,38000,-12000,-7032000,-7032000,-7032000,-7339000,4990000,0.56025,-0.56623,-0.57065,-0.15635,-0.10649,3.25458,0.46818,0.06631,-0.28937,-0.28937,0.50709,1.85084,-0.13239,4.64559,4.28801
"10","2016_Q2",5.361875,"Down",13550000,-6279000,7271000,-17022000,-13294000,-7066000,-6228000,-3461000,-9751000,-324000,43000,-10075000,-10075000,-10075000,-10075000,-10075000,-10075000,47456000,47456000,3230000,3230000,1856000,1618000,56194000,11272000,16801000,811000,28073000,84267000,11361000,4340000,7021000,11879000,4630000,4630000,29082000,40961000,202107000,-158801000,43306000,43306000,84267000,-10075000,762000,1224000,-509000,-8598000,-2855000,-2975000,633000,633000,19945000,8372000,8372000,8372000,-8989000,24452000,0.53661,-0.71963,-0.74354,-0.23265,-0.11956,4.73053,0.94585,0.29017,-0.36218,-0.36218,0.48709,1.55676,-0.13918,2.55913,2.35914
"11","2016_Q3",5.654375,"Up",14675000,-6301000,8374000,-18868000,-14334000,-8263000,-6071000,-4267000,-10494000,-749000,36000,-11243000,-11243000,-11243000,-11243000,-11243000,-11243000,38993000,38993000,3387000,3387000,1515000,1395000,47397000,10937000,16498000,775000,27435000,74832000,11615000,2705000,8910000,11842000,4566000,4566000,29237000,41079000,203797000,-170044000,33753000,33753000,74832000,-11243000,941000,1427000,1161000,-7714000,-732000,-614000,13000,13000,-135000,-8463000,-8463000,-8463000,-9553000,24671000,0.57063,-0.71509,-0.76613,-0.3331,-0.15024,4.00245,1.21705,0.32969,-0.40355,-0.40355,0.52674,1.21153,-0.17849,1.49921,1.36478
"12","2016_Q4",7.47920634920635,"Up",18603000,-6367000,12236000,-17122000,-12850000,-7087000,-5763000,-4006000,-4886000,-751000,48000,-5637000,-5637000,-5637000,-5637000,-5637000,-5637000,31699000,31699000,6312000,6312000,1525000,1405000,42952000,10435000,16263000,806000,26698000,69650000,10270000,3081000,7189000,10270000,4484000,4484000,29375000,39645000,205686000,-175681000,30005000,30005000,69650000,-5637000,899000,1372000,-4072000,-7438000,-173000,-173000,317000,317000,317000,-7294000,-7294000,-7294000,-3987000,24891000,0.65774,-0.26265,-0.30302,-0.18787,-0.08093,4.18228,1.32128,0.35737,-0.20192,-0.20192,0.66636,1.07478,-0.09493,1.70755,1.39337
"13","2017_Q1",8.18225806451613,"Up",18257000,-6515000,11742000,-15414000,-11557000,-5832000,-5725000,-3590000,-3672000,-731000,75000,-4403000,-4403000,-4403000,-4403000,-4403000,-4403000,59219000,59219000,8756000,8756000,2177000,2057000,73627000,11480000,15927000,737000,27407000,101034000,11534000,2424000,9110000,11534000,4402000,4402000,29919000,41453000,239665000,-180084000,59581000,59581000,101034000,-4403000,909000,1660000,-2398000,-4232000,-450000,-448000,32202000,32202000,32202000,27522000,27522000,27522000,-2763000,25517000,0.64315,-0.20113,-0.24117,-0.0739,-0.04358,6.38347,0.69574,0.25256,-0.13878,-0.13878,0.57545,1.87795,-0.0492,12.19761,9.1781
"14","2017_Q2",8.15730158730159,"Down",16432000,-6297000,10135000,-17652000,-13355000,-7336000,-6019000,-4030000,-7517000,-7e+05,1e+05,-8217000,-8217000,-8217000,-8217000,-8217000,-8217000,51506000,51506000,9125000,9125000,2221000,2101000,66295000,10657000,15654000,730000,26311000,92606000,9411000,2611000,6800000,9411000,4373000,4373000,29845000,39256000,241651000,-188301000,53350000,53350000,92606000,-8217000,902000,1598000,-2369000,-8086000,-175000,-175000,614000,614000,547999.999999993,-7712999.99999999,-7712999.99999999,-7713000,-6615000,25472000,0.61678,-0.45746,-0.50006,-0.15402,-0.08873,7.04442,0.73582,0.27506,-0.24293,-0.24293,0.48581,1.57729,-0.09877,3.9356,3.46335
"15","2017_Q3",8.13206349206349,"Down",18406000,-6960000,11446000,-18055000,-14186000,-7994000,-6192000,-3603000,-6609000,-689000,119000,-7298000,-7298000,-7298000,-7298000,-7298000,-7298000,46463000,46463000,11027000,11027000,2053000,1933000,62860000,10093000,15394000,737000,25487000,88347000,10799000,2349000,8450000,10799000,4277000,4277000,29704000,40503000,243443000,-195599000,47844000,47844000,88347000,-7298000,944000,1669000,-225000,-4910000,-113000,-113000,49000,49000,-20000,-5043000,-5043000,-5043000,-5665000,25427000,0.62186,-0.35907,-0.3965,-0.15254,-0.08261,5.82091,0.84656,0.28781,-0.21545,-0.21545,0.54338,1.41244,-0.09411,3.71333,3.18293
"16","2017_Q4",7.43396825396825,"Down",17519000,-7169000,10350000,-16718000,-13405000,-7885000,-5520000,-3046000,-6368000,-681000,134000,-7049000,-7049000,-7049000,-7049000,-7049000,-7049000,41195000,41195000,11635000,11635000,1617000,1617000,58207000,10281000,15171000,781000,25452000,83659000,11219000,3161000,8058000,11219000,4245000,4245000,29624000,40843000,245464000,-202648000,42816000,42816000,83659000,-7049000,993000,1637000,-684000,-5103000,-727000,-727000,511000,511000,442000,-5388000,-5388000,-5388000,-5375000,25379000,0.59079,-0.36349,-0.40236,-0.16463,-0.08426,5.18825,0.95392,0.30336,-0.20764,-0.20764,0.51606,1.26123,-0.09731,2.94251,2.48367
"17","2018_Q1",6.18737704918033,"Down",19596000,-7769000,11827000,-17871000,-14402000,-9045000,-5357000,-3202000,-6044000,-2395000,123000,-8439000,-8439000,-8439000,-8439000,-8439000,-8439000,33891000,33891000,12716000,12716000,7321000,1997000,53928000,9688000,15053000,929000,24741000,78669000,12028000,3853000,8175000,12028000,4170000,4170000,29416000,41444000,248312000,-211087000,37225000,37225000,78669000,-8439000,1002000,2197000,-576000,-5816000,-3e+05,-3e+05,923000,923000,-1188000,-7304000,-7304000,-7304000,-5042000,25246000,0.60354,-0.30843,-0.43065,-0.2267,-0.10727,4.48354,1.11334,0.32091,-0.24779,-0.24779,0.57538,1.09301,-0.12663,1.7146,1.43034
"18","2018_Q2",7.0325,"Up",20041000,-7867000,12174000,-21129000,-17187000,-11543000,-5644000,-3675000,-8955000,-222000,226000,-9177000,-9177000,-9177000,-9177000,-9177000,-9177000,27152000,27152000,13198000,13198000,2142000,2142000,47049000,9215000,14926000,1069000,24141000,71190000,11839000,3356000,8483000,11839000,4094000,4094000,29343000,41182000,250272000,-220264000,30008000,30008000,71190000,-9177000,980000,1090000,-306000,-7413000,-227000,-227000,569000,569000,900999.999999998,-6739000,-6739000,-6739000,-7975000,25249000,0.60745,-0.44683,-0.45791,-0.30582,-0.12891,3.97407,1.37237,0.35467,-0.26778,-0.26778,0.58478,0.8756,-0.15462,0.23862,0.21251
