"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",16.5644262295082,"Up",182421000,-78591000,103830000,-84695000,-84695000,19135000,17000,-47000,64000,19152000,19152000,-1339000,17813000,17813000,-122000,17691000,17691000,37873000,37873000,20000,55303000,5194000,3683000,1511000,98390000,21529000,701000,299000,22230000,120620000,23968000,10611000,13357000,722000,24690000,4301000,1143000,31000,1112000,5444000,30134000,85389000,3443000,88805000,1681000,90486000,120620000,17813000,1550000,699000,8816000,28878000,-2193000,-420000,57071000,-48389000,8682000,37140000,37140000,37140000,20685000,5023000,28647000,0.56918,0.10489,0.09698,0.19551,0.14667,1.6193,3.98501,0.33302,0.04164,0.59858,0.56985,6.17226,3.00474,0.96928,0.18304,0.29639,-1.58811,-1.71675
"2","2016_Q2",23.50375,"Up",68632000,-28941000,39691000,-34350000,-34350000,5341000,32000,-38000,70000,5373000,5373000,-2061000,3312000,3312000,-71000,3241000,3241000,-26053516.295533,-26053516.295533,44225.1656572686,73758062.262996,7739075.04984551,2766291.48308789,4972783.59175593,55487846.1829658,-16850565.6197073,-2513964.71512068,-2915957.07706824,-19278301.3134759,36209544.8694898,16524153.013062,35538393.1076359,-19014240.0945523,724506.397964334,26766414.0611595,69097960.5211534,-2986642.12348589,401160.161769055,-727730.195023623,66111318.3976675,92877732.4588269,-88871272.7791374,31675609.2705392,-57277134.2053151,608946.615977985,-56668187.5893371,36209544.8694898,3312000,869000,256000,-8266000,-3829000,-3476000,-3476000,-73000,-192000,-265000,-7570000,-7570000,-7570000,6210000,0,-3471000.00000001,0.57832,0.07782,0.04722,-0.159407653360613,-0.12492588053842,-1.07097,2.34667696463654,3.58050424675594,0.687572711598748,0.10282,0.10049,2.17741,-1.6940027839569,-0.11012,-0.160754556205788,-1.91680211013503,34.1545448792792,79.29434922197
"3","2016_Q3",27.28265625,"Up",65823000,-26901000,38922000,-32936000,-32936000,5986000,23000,-37000,60000,6009000,6009000,-2325000,3684000,3684000,-65000,3619000,3619000,-28111216.295533,-28111216.295533,54525.1656572686,77207962.262996,8267975.04984551,3079391.48308789,5188583.59175593,57419246.1829658,-9589265.61970733,-1907164.71512068,-2309157.07706824,-11410201.313476,46009044.8694898,19320453.013062,34887693.1076359,-15567240.0945523,733306.397964334,29571514.0611595,68538460.5211534,-2221742.1234859,851080.215692073,-428030.195023623,66316718.3976674,95888232.4588269,-88618972.7791373,37991609.2705392,-50700734.2053151,821546.615977985,-49879187.5893371,46009044.8694898,3684000,1082000,131000,4000,4901000,-11057000,-11831000,-71000,0,-71000,-7001000,-7001000,-7001000,7068000,0,-1660000,0.59131,0.09094,0.05498,-0.157193653360613,-0.12451088053842,-0.45869,2.07070196463654,3.58720024675594,0.681387711598748,0.11482,0.11212,2.08829,-1.5515587839569,-0.05266,-0.158698556205788,-1.75971811013503,34.9215188792792,81.52320122197
"4","2016_Q4",28.9361904761905,"Up",67008000,-28260000,38748000,-37929000,-37929000,818999.999999998,0,-33000,33000,818999.999999998,818999.999999998,-305000,513999.999999998,513999.999999998,-52000,462000.000000001,462000.000000001,208999.999999985,208999.999999985,54000,72993000,7684000,4068000,3616000,80940000,21554000,731000,329000,22285000,103225000,27051000,21456000,5594999.99999999,726000,32392000,34660000,930000,1274960.16176905,930000,35590000,67982000,1301000.00000006,32253000,33520000,1723000,35243000,103225000,513999.999999999,1264000,736000,-30369000,-27855000,-6573000,-7166000,11178000,714000,11892000,-23129000,-23129000,-23129000,2083000,35386000,-34554000,0.57826,0.01222,0.00689,0.0131100000000001,0.00448000000000007,-74.79221,2.49877,1.92895,0.3428,0.01466,0.01429,2.12589,1.06345,-1.09626,0.00645999999999994,-0.482869999999997,16.88766,42.95116
"5","2017_Q1",22.2543548387097,"Down",174653000,-77868000,96785000,-73930000,-73930000,22855000,-2000,-86000,84000,22853000,22853000,-8834000,14019000,14019000,-26000,13993000,13993000,24042000,24042000,45000,70368000,6791000,4860000,1931000,101246000,52432000,2289000,1887000,54721000,155967000,34377000,9330000,25047000,742000,35119000,3384000,3676000,1567000,2109000,7060000,42179000,86446000,24733000,111179000,2609000,113788000,155967000,14019000,1483000,1640000,29894000,47036000,-7800000,-7868000,-15280000,-19000,-15299000,23869000,23869000,23869000,24338000,4126000,55266000,0.55416,0.13086,0.08012,0.12297,0.08972,3.94955,2.88294,0.37068,0.02645,0.43973,0.43295,5.48844,3.49378,1.73672,0.11508,0.45453,-0.81831,-0.87141
"6","2017_Q2",19.8098412698413,"Down",83687000,-35044000,48643000,-47894000,-47894000,749000,-109000,-166000,57000,640000,640000,-225000,415000,415000,-60000,355000,355000,13584000,13584000,31000,75716000,6542000,5060000,1482000,95873000,62480000,1637000,1235000,64117000,159990000,36009000,10662000,25347000,728000,36737000,4806000,3651000,1545000,2106000,8457000,45194000,86770000,25088000,111858000,2938000,114796000,159990000,414999.999999998,1552000,302000,-5813000,-3544000,-8327000,-8354000,-15000,788000,773000,-11125000,-11125000,-11125000,2301000.00000001,5534000,-11614000,0.58125,0.00895,0.00424000000000002,0.00309,0.00222,-32.71549,2.60971,0.39369,0.03459,0.0111599999999999,0.01098,2.62985,3.51512,-0.36497,0.00286,-0.09368,-3.49848,-10.74766
"7","2017_Q3",19.3244444444444,"Down",86226000,-37303000,48923000,-41534000,-41534000,7389000,-327000,-372000,45000,7062000,7062000,-2709000,4353000,4353000,-69000,4284000,4284000,1411000,1411000,34000,84734000,9921000,8034000,1887000,96100000,75746000,9851000,9449000,85597000,181697000,37726000,17836000,19890000,81000,37807000,20179000,3744000,1149000,2595000,23923000,61730000,87063000,29372000,116435000,3532000,119967000,181697000,4353000,1728000,-103000,-14602000,-8624000,-11795000,-18263000,15078000,1337000,16415000,-10472000,-10472000,-10472000,9117000,20260000,-14571000,0.56738,0.08569,0.04968,0.03571,0.02358,-3.40126,2.54186,0.51456,0.1115,0.1346,0.13235,2.70912,3.65826,-0.4578,0.02976,-0.10121,2.06746,2.55095
"8","2017_Q4",18.4928571428571,"Down",83729000,-36302000,47427000,-48039000,-48039000,-612000.000000004,-588000,-661000,73000,-1200000,-1200000,453999.999999999,-746000.000000002,-746000.000000002,-70000,-816000,-816000,958000.000000001,958000.000000001,62000,129475000,14920000,8820000,6100000,145415000,98151000,3058000,2656000,107532000,252947000,58688000,30082000,28606000,83999.9999999999,58772000,70030000,4812000,1507000,3305000,74842000,133614000,87632000,28556000,116131000,3202000,119333000,252947000,-746000,1824000,927000,-24794000,-22789000,-17464000,-17292000,38720000,608000,39328000,-753000,-753000,-753000,1212000,70114000,-41500000,0.56643,-0.00731000000000002,-0.00974999999999999,-0.00684,-0.00322999999999999,50.85784,2.47422,1.11967,0.27719,-0.0256099999999999,-0.02534,2.62795,3.64493,-1.30253,-0.00420000000000002,-0.21363,57.05941,-113
"9","2018_Q1",17.9085245901639,"Down",217805000,-101779000,116026000,-86480000,-86480000,29546000,-543000,-789000,246000,29003000,29003000,-9398000,19605000,19605000,-77000,19528000,19528000,2865000,2865000,52000,89548000,9361000,7642000,1719000,101826000,109705000,5248000,4846000,121276000,223102000,50212000,17320000,32892000,84000,50296000,28002000,5455000,2100000,3355000,33457000,83753000,88043000,48084000,136070000,3279000,139349000,223102000,19605000,2226000,1006000,41988000,64825000,-9113000,-11896000,-53052000,1296000,-51756000,1173000,1173000,1173000,31772000,28086000,74045000,0.53271,0.13565,0.08966,0.14014,0.08753,3.79173,2.02453,0.60103,0.12589,0.60937,0.60937,6.79664,4.24608,2.31058,0.11295,0.42828,0.79381,0.85362
"10","2018_Q2",18.8025,"Up",100207000,-44267000,55940000,-56197000,-56197000,-257000,-658000,-821000,163000,-914999.999999989,-914999.999999989,232000,-683000,-683000,-8000,-691000,-691000,1179000,1179000,30000,97997000,10355000,9707000,648000,109561000,129221000,3904000,3502000,139448000,249009000,48232000,14595000,33637000,85000,69567000,35607000,5443000,1763000,3680000,41050000,110617000,88452000,46745000,135105000,3287000,138392000,249009000,-683000,2309000,449000,-13062000,-10987000,-1.4e+07,-13957000,21708000,255000,21963000,-2981000,-2981000,-2981000,2052000,35692000,-25242000,0.55824,-0.00256000000000001,-0.00690000000000003,-0.00499000000000002,-0.00278,36.52967,1.5749,0.7993,0.14334,-0.0215599999999998,-0.02156,3.12697,4.21597,-0.78768,-0.00385000000000002,-0.1406,16.8192,-134.29183
