"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",32.41421875,"Up",-4468000,-2108000,-2360000,-1573000,545000,545000,-1028000,-1028000,-1028000,-1028000,-1028000,-1028000,72228547.4423446,-53119400.0828307,2328243.16868995,88992365.3234552,450062.204609194,89442430.2436372,5714747.72054406,1853488.72039544,3861259.00014862,16618016.0018103,54909273.6961883,54560635.8157233,54909273.6961883,71527289.6979986,147961198.813418,-129764005.651316,17915140.5456386,17915140.5456386,89442430.2436372,-1028000,58000,3738000,662000,3430000,39519000,39519000,39519000,-1515000,0,-0.640014871122467,-0.208142769258067,4.82205708237569,2.83388804378894,0,-0.1687,-0.1687,3.07605264794889,-0.243315590884009,-50.5310080886062
"2","2011_Q1",38.6596774193548,"Up",-17520000,-9510000,-8010000,-9511000,340000,340000,-9171000,-9171000,-9171000,-9171000,-9171000,-9171000,91226000,4798000,144000,98484000,711000,99195000,3174000,1107000,2067000,14071000,52191000,51760000,52191000,66262000,1.62e+08,-129592000,32933000,32933000,99195000,-9171000,55000,13656000,-7879000,-3339000,-101494000,-101494000,-101494000,-9456000,0,-0.27847,-0.09245,6.99908,2.01202,0,-1.50497,-1.50497,5.40432,-0.10774,9.59163
"3","2011_Q2",47.5480952380952,"Up",-3715000,-1537000,-2178000,-479000,272000,272000,-207000,-207000,-207000,-207000,-207000,-207000,99619067.5192185,41952633.3609436,-383414.389563318,102133294.892182,735562.598463602,102868856.585454,2078334.09315198,735420.426534854,1342913.66661713,12973244.6660632,49469325.4346039,49227371.3947589,49469325.4346039,62442570.1006671,169908767.062194,-130128248.116228,40426286.4847871,40426286.4847871,102868856.585454,-207000,53000,-1035000,4458000,3269000,50096000,50096000,50096000,-426000,0,-0.0939800429591776,-0.0332357435806442,7.89316347254144,1.57251981873702,0,-0.03359,-0.03359,6.50003828401704,-0.0384514697053304,38.1843693628687
"4","2011_Q3",25.3790625,"Down",-4180000,-1787000,-2393000,-1428000,228000,228000,-1200000,-1200000,-1200000,-1200000,-1200000,-1200000,101041000,62830000,15000,101964000,629000,102593000,1921000,604000,1317000,12818000,46744000,46744000,46744000,59562000,173636000,-130999000,43031000,43031000,102593000,-1200000,40000,-1001000,614000,-1547000,7936000,7936000,7936000,-1388000,0,-0.02789,-0.0117,7.95475,1.38416,0,-0.19001,-0.19001,6.81344,-0.01337,70.757
"5","2011_Q4",22.2901587301587,"Down",-3772000,-1754000,-2018000,-1023000,208000,208000,-815000,-815000,-815000,-815000,-815000,-815000,99360000,71709000,493000,100084000,508000,100592000,2188000,556000,1632000,13085000,44021000,44021000,44021000,57106000,175179000,-131814000,43486000,43486000,100592000,-815000,35000,-947000,554000,-1173000,8879000,8879000,8879000,-988000,0,-0.01874,-0.0081,7.64876,1.3132,0,-0.12776,-0.12776,6.81684,-0.00931,97.1261
"6","2012_Q1",21.051935483871,"Down",-3331000,-1620000,-1711000,-584000,193000,193000,-391000,-391000,-391000,-391000,-391000,-391000,98131000,73144000,358000,98489000,474000,98963000,2375000,464000,1911000,13272000,41298000,40863000,41298000,54570000,176470000,-132205000,44393000,44393000,98963000,-391000,35000,-1345000,553000,-1148000,1435000,1435000,1435000,-549000,0,-0.00881,-0.00395,7.42081,1.22925,0,-0.06124,-0.06124,6.95311,-0.00456,168.03253
"7","2012_Q2",21.694126984127,"Up",-3121000,-1512000,-1609000,-148000,178000,178000,30000,30000,30000,30000,30000,30000,95896000,73779000,475000,96371000,439000,96810000,2041000,502000,1539000,12938000,38574000,38139000,38574000,51512000,177377000,-132175000,45298000,45298000,96810000,30000,35000,-1684000,-451000,-2070000,635000,635000,635000,-113000,0,0.00066,0.00031,7.44868,1.13718,0,0.00469,0.00469,7.08645,0.00036,647.94595
"8","2012_Q3",22.682380952381,"Up",-2977000,-1461000,-1516000,-253000,122000,122000,-131000,-131000,-131000,-131000,-131000,-131000,93942000,79020000,95000.0000000001,94037000,403000,94440000,1524000,501000,1023000,12421000,35850000,35415000,35850000,48271000,178432000,-132306000,46169000,46169000,94440000,-131000,35000,-1718000,-136000,-1950000,5241000,5241000,5241000,-218000,0,-0.00284,-0.00139,7.57081,1.04553,0,-0.02047,-0.02048,7.21561,-0.0016,371.31225
"9","2012_Q4",20.75,"Down",-4381000,-2002000,-2379000,-1656000,105000,105000,-1551000,-1551000,-1551000,-1551000,-1551000,-1551000,92529000,88240000,378000,92907000,352000,93259000,2903000,507000,2396000,13800000,33127000,32690000,33127000,46927000,180187000,-133857000,46332000,46332000,93259000,-1551000,52000,-393000,595000,-1297000,9220000,9220000,9220000,-1604000,0,-0.03348,-0.01663,6.73239,1.01284,0,-0.24335,-0.24335,7.26949,-0.01952,55.875
"10","2013_Q1",21.0828333333333,"Up",-4308000,-2207000,-2101000,-1840000,46000,46000,-1794000,-1794000,-1794000,-1794000,-1794000,-1794000,56254000,49355000,253000,56507000,352000,56859000,2143000,361000,1782000,9999000,33724000,33287000,33724000,43723000,148783000,-135651000,13136000,13136000,56859000,-1794000,0,48000,-108000,-1854000,-38885000,-38885000,-38885000,-1840000,0,-0.13657,-0.03155,5.65127,3.32849,0,-0.27959,-0.27959,2.04718,-0.03828,30.57283
