"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",20.84171875,"Up",94223000,-60966000,33257000,-25823000,-19638000,-6185000,7434000,299000,299000,7733000,7733000,-701000,7032000,7032000,7032000,7032000,139315240.748273,133175573.880093,53469436.7680925,53469436.7680925,9942017.97333541,32620494.6579697,19445249.8920057,235347190.147671,24268489.6969962,15141499.5505874,-32042.9719725028,33951783.4570333,39409989.2475836,274757179.395254,80205024.0772243,59359356.3539158,20845667.7233086,8454214.29801778,8454214.29758056,88659238.3752421,27978544.2548803,1838889.12962156,26139655.1252587,27978544.2548803,116637782.630122,131093409.144642,27546600.9401711,-520613.319681197,158119396.765132,158119396.765132,274757179.395254,7032000,1918000,-1823000,2582000,9709000,-1869000,6450000,4581000,370000,370000,133000,503000,14793000,14793000,14793000,9352000,0,10766000,0.35296,0.0789,0.07463,0.155400686951231,0.108494592843092,1.531,1.57921398140328,0.696042650077786,-5.9189379685529e-27,0.27655,0.26556,3.70548,6.61470131914725,0.42339,0.14045639676112,0.398410449136173,-18.9972415646835,-49.3683639687195
"2","2011_Q1",28.1706451612903,"Up",113995000,-68507000,45488000,-37935000,-29501000,-8434000,7553000,136000,136000,7689000,7689000,-689000,7e+06,7e+06,7e+06,7e+06,122311000,108383000,34056000,34056000,27160000,23066000,10149000,206593000,25620000,22118000,8338000,13780000,47738000,254331000,54479000,38689000,15790000,3534000,3534000,58013000,21411000,3584000,17827000,21411000,79424000,156878000,17949000,80000,174907000,174907000,254331000,7e+06,1868000,-1500000,6912000,14280000,-5060000,2500000,-2560000,4293000,4293000,1767000,6060000,17780000,17780000,17780000,9421000,0,11962000,0.39904,0.06626,0.06141,0.04002,0.02752,1.70886,3.56115,0.45409,0,0.27566,0.26447,4.48905,6.88773,0.47106,0.03566,0.06093,-12.9828,-16.1937
"3","2011_Q2",33.0090476190476,"Up",106277000,-62823000,43454000,-32310000,-23581000,-8729000,11144000,238000,238000,11382000,11382000,-3905000,7477000,7477000,7477000,7477000,116494586.417242,101099892.039969,30081521.0773025,30081521.0773025,33962744.0088882,25389668.4473434,12485833.3693314,205928519.950776,26977586.7676679,23620333.4831375,10260930.9906575,9694238.84765555,50597920.2508055,256526440.201582,45203575.3075919,31494297.8820281,13709277.4255638,1860678.56732741,1860678.56747315,47064253.8749193,18026235.2483732,4048953.62345948,13977281.6249138,18026235.2483732,65090489.1232925,169370113.618453,21820549.6866096,245287.773227066,191435951.078289,191435951.078289,256526440.201582,7477000,2183000,2287000,-11850000,97000,-4554000,-2500000,-7054000,4584000,4584000,1989000,6573000,-384000,-384000,-384000,13327000,0,828000,0.40887,0.10486,0.07035,0.0157972710162563,0.0117868023856359,0.11074,4.42103700619891,0.342817449974071,1.97297932285097e-27,0.2866,0.27204,4.07363,7.29299622695092,0.03174,0.0142553677462934,-0.0465934830453911,-9.06529614510549,-2.47971617709351
"4","2011_Q3",29.5690625,"Down",108082000,-65546000,42536000,-31010000,-22864000,-8146000,11526000,112000,112000,11638000,11638000,-3614000,8024000,8024000,8024000,8024000,122541000,108725000,34529000,34529000,34202000,32167000,18944000,223439000,28128000,22296000,8733000,13563000,50424000,273863000,47127000,33273000,13854000,2040000,2040000,49167000,16944000,3850000,13094000,16944000,66111000,174127000,33450000,175000,207752000,207752000,273863000,8024000,2457000,1291000,-17762000,-5990000,-2654000,2500000,-154000.000000001,4013000,4013000,2857000,6870000,726000,726000,725999.999999998,13983000,-9.62964972193618e-35,-2819000,0.39355,0.10664,0.07424,0.03862,0.0293,-0.35132,4.54449,0.31822,0,0.30067,0.28677,4.04999,7.78476,-0.10563,0.03571,-0.01255,-8.76357,-10.6317
"5","2011_Q4",30.5401587301587,"Up",120373000,-70330000,50043000,-34463000,-25515000,-8948000,15580000,-92000,-92000,15488000,15488000,-1436000,14052000,14052000,14052000,14052000,145324000,131662000,41400000,41400000,31989000,34567000,20554000,253280000,28886000,19760000,6307000,13453000,48646000,301926000,55759000,40522000,15237000,2358000,2358000,58117000,18772000,3727000,15045000,18772000,76889000,177457000,47502000,78000,225037000,225037000,301926000,14052000,2597000,3857000,4468000,24974000,-3149000,0,-3149000,801000,801000,311000,1112000,22937000,22937000,22937000,18177000,0,20932000,0.41573,0.12943,0.11674,0.06244,0.04654,1.48961,4.35811,0.34167,0,0.52184,0.5018,4.47018,8.35699,0.77733,0.05764,0.08585,-7.99494,-9.3276
"6","2012_Q1",28.9946774193548,"Down",130768000,-59148000,71620000,-56547000,-22270000,-34277000,15073000,-40000,-40000,15033000,15033000,-4395000,10638000,10638000,10638000,10638000,184119000,166308000,43338000,43338000,31089000,25634000,10290000,284180000,29029000,19004000,6127000,2500000,48033000,332213000,65594000,48406000,17188000,1527000,1527000,67121000,22134000,4255000,17879000,22134000,89255000,184667000,58140000,151000,242958000,242958000,332213000,10638000,3075000,1347000,21594000,36654000,-2654000,-4189000,-6843000,4003000,4003000,832000,4835000,34646000,34646000,34646000,18148000,-1.54074395550979e-33,41483000,0.54769,0.11527,0.08135,0.04379,0.03202,3.89951,4.23385,0.36737,1.43492962746861e-42,0.39191,0.37687,4.81757,8.95071,1.52826,0.04013,0.15649,-10.14542,-12.21515
"7","2012_Q2",22.6031746031746,"Down",97807000,-59255000,38552000,-37875000,-23375000,-14500000,677000,220000,220000,897000,897000,-244000,653000,653000,653000,653000,182075000,166798000,29907000,29907000,31681000,22540000,6318000,266203000,28209000,31424000,12640000,18784000,59633000,325836000,63410000,44302000,19108000,2422000,2422000,65832000,11919000,4189000,7730000,11919000,77751000,188995000,58793000,297000,248085000,248085000,325836000,653000,2602000,-4795000,5372000,3832000,-1643000,2500000,-5143000,1323000,1323000,478000,1801000,490000,490000,490000,3279000,0,7252000,0.39416,0.00692,0.00668,0.00263,0.002,11.10567,4.04367,0.3134,0,0.02387,0.02309,3.57586,9.07009,0.26514,0.00251,0.02789,-55.5276,-268.94387
"8","2012_Q3",23.6374603174603,"Up",111445000,-58629000,52816000,-42180000,-27998000,-14182000,10636000,60000,60000,10696000,10696000,-3321000,7375000,7375000,7375000,7375000,176724000,156543000,39527000,39527000,34597000,25837000,10343000,276685000,26940000,29778000,11086000,18692000,56718000,333403000,59090000,45212000,13878000,1882000,1882000,60972000,13807000,4069000,9738000,13807000,74779000,192250000,66168000,206000,258624000,258624000,333403000,7375000,2711000,5153000,-19576000,-4337000,-1313000,-5086000,-6399000,699000,699000,-218000,481000,-10255000,-10255000,-10255000,13347000,-2.46519032881566e-32,-4221000,0.47392,0.09544,0.06618,0.02852,0.02212,-0.57234,4.5379,0.28914,2.29588740394978e-41,0.26789,0.26169,4.04813,9.39426,-0.15332,0.02707,-0.01549,-13.24073,-16.61564
"9","2012_Q4",19.6164516129032,"Down",126298000,-67822000,58476000,-35742000,-22702000,-13040000,22734000,197000,197000,22931000,22931000,-7724000,15207000,15207000,15207000,15207000,189719000,169658000,53379000,53379000,32592000,21183000,6301000,296873000,24838000,29023000,10424000,18599000,53861000,350734000,57030000,38317000,18713000,2118000,2118000,59148000,12977000,3940000,9037000,12977000,72125000,196979000,81375000,255000,278609000,278609000,350734000,15207000,2868000,4191000,-10464000,11802000,-1111000,0,-1111000,2e+06,2e+06,424000,2424000,13115000,13115000,13115000,25602000,0,21751000,0.463,0.18,0.12041,0.05458,0.04336,1.43033,5.01916,0.25888,0,0.54943,0.53695,4.56312,10.06608,0.78586,0.05215,0.0746,-7.41032,-8.34517
"10","2013_Q1",22.2285,"Up",100694000,-56190000,44504000,-53379000,-38035000,-15344000,-8875000,-42000,-42000,-8917000,-8917000,2979000,-5938000,-5938000,-5938000,-5938000,139200000,126770000,29413000,29413000,36965000,29315000,10049000,234893000,24953000,94467000,8792000,8500000,119420000,354313000,56157000,42515000,13642000,6257000,6257000,62414000,16082000,4218000,11864000,16082000,78496000,200181000,75437000,199000,275817000,275817000,354313000,-5938000,3491000,2645000,26366000,26564000,-2703000,7500000,-69733000,304000,304000,-23000,281000,-42888000,-42888000,-42888000,-5384000,0,15300000,0.44197,-0.08814,-0.05897,-0.02153,-0.01676,-2.57663,3.76347,0.28459,0,-0.214,-0.20895,3.62887,9.94007,0.55139,-0.02034,0.05242,25.85438,15.68451
