"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",127.29746031746,"Down",1.995e+09,-1.341e+09,-1.211e+09,-6.6e+07,6.54e+08,1e+06,-3.6e+07,-4e+07,4e+06,3.7e+07,6.55e+08,6.55e+08,-2.28e+08,4.27e+08,4.27e+08,-5e+06,4.22e+08,4.22e+08,3765427822.91866,3765427822.91866,1759664104.20476,1759664104.20476,98353163619.3011,98353163619.3011,103878255546.425,383888207.987952,32940031427.7542,17644948185.8516,13160145413.8154,2134937828.08727,34751420659.2833,138629676205.708,1921352162.63505,-237591906.043978,2158944068.67903,92473019294.3839,5468863468.63243,87004155825.7514,96096517665.1773,4693857946.05131,4693857946.05131,12421067826.7577,12421067826.7577,17114925772.809,113211443437.986,22028848794.9267,1000595.00198919,22027848199.9247,2987870894.36115,-221531868.065674,25082370699.2375,331457567.307226,25413828266.5448,138625271704.531,4.28e+08,7.8e+07,1.45e+08,1.08e+08,5.5e+07,-1.8e+07,-8.15e+08,-1.57e+08,-6.58e+08,-1.64e+08,-4.4e+07,-4.4e+07,-4.4e+07,1e+06,2.9e+07,-2.8e+07,2.1e+07,-3e+07,-1.96e+08,-1.07e+08,-1.14e+08,5e+07,-1.755e+09,-1.949e+09,-1.949e+09,-5.6e+07,-2.005e+09,7.32e+08,0,1.01e+08,0.32782,0.21153,0.0199943778283001,0.0034532829953902,0.23934,1.0920518340535,4.44162930947241,0.0431409722283491,2.22485,2.19618,10.51793,129.80132864862,0.53249,1.03334,0.014160270193945,0.0297638290863121,0.46445,2.08947938190479,2.34683335455958
"2","2010_Q3",112.32828125,"Down",2.032e+09,-1.335e+09,-1.135e+09,-6.7e+07,6.97e+08,-7.4e+07,-3.3e+07,-3.8e+07,5e+06,-4.1e+07,6.23e+08,6.23e+08,-2.33e+08,3.9e+08,3.9e+08,4.3e+07,4.33e+08,4.33e+08,2.244e+09,2.244e+09,1.989e+09,1.989e+09,1.24029e+11,1.24029e+11,1.28262e+11,4.33e+08,3.2108e+10,1.7586e+10,1.264e+10,1.882e+09,3.4004e+10,1.62266e+11,1.897e+09,1.099e+09,7.98e+08,1.11896e+11,5.601e+09,1.06295e+11,1.14237e+11,4.477e+09,4.477e+09,1.8345e+10,1.8345e+10,2.2822e+10,1.37059e+11,2.2285e+10,1e+06,2.2284e+10,2.991e+09,-3.23e+08,2.4954e+10,2.53e+08,2.5207e+10,1.62266e+11,3.89e+08,7.9e+07,2.16e+08,1.13e+08,3.4e+07,6.9e+07,-2.1e+08,-1.29e+08,-8.1e+07,4.74e+08,-2.2e+07,-2.2e+07,-2.2e+07,-3.52e+08,2.8e+07,-3.8e+08,2e+06,-3.72e+08,-1.93e+08,-2e+06,-3e+06,3.8e+07,-6.17e+08,-5.15e+08,-5.15e+08,-5e+06,-5.2e+08,7.76e+08,4.921e+09,7.77e+08,0.34301,0.21309,0.01718,0.00267,1.79446,1.12277,5.43734,0.03033,2.26731,2.24854,10.64013,130.66097,4.06859,1.0106,0.01291,0.01603,0.44573,3.44974,3.84075
"3","2010_Q4",128.018125,"Up",2.092e+09,-1.385e+09,-1.214e+09,-6.6e+07,7.07e+08,7.8e+07,-2.7e+07,-3.7e+07,1e+07,1.05e+08,7.85e+08,7.85e+08,-2.01e+08,5.84e+08,5.84e+08,-3.3e+07,5.51e+08,5.51e+08,2.727e+09,2.727e+09,2.052e+09,2.052e+09,1.35891e+11,1.35891e+11,1.4067e+11,4.29e+08,3.1893e+10,1.7546e+10,1.2641e+10,1.706e+09,3.3834e+10,1.74504e+11,2.38e+09,1.234e+09,1.146e+09,1.22868e+11,5.548e+09,1.1732e+11,1.25348e+11,4.495e+09,4.495e+09,1.9027e+10,1.9027e+10,2.3522e+10,1.4887e+11,2.2401e+10,1e+06,2.24e+10,3.354e+09,-2.32e+08,2.54e+10,2.34e+08,2.5634e+10,1.74504e+11,5.84e+08,7.4e+07,-8e+06,1.14e+08,-4.7e+07,-7.5e+07,4.55e+08,-4.8e+07,5.03e+08,1.105e+09,-3e+07,-3e+07,-3e+07,-4e+07,7.4e+07,-1.14e+08,0,-7.8e+07,-1.93e+08,-1.44e+08,-1.47e+08,5.3e+07,-6.32e+08,3.95e+08,3.95e+08,5.8e+07,4.53e+08,7.81e+08,4.595e+09,1.407e+09,0.33795,0.26338,0.02149,0.00316,2.55354,1.12224,5.80752,0.02633,2.89247,2.86491,10.98192,133.33165,7.38602,1.01315,0.0151,0.02857,0.35027,2.39181,2.64215
"4","2011_Q1",144.159032258065,"Up",2.493e+09,-1.553e+09,-1.792e+09,-6.3e+07,9.4e+08,1.8e+07,-2.5e+07,-3.5e+07,1e+07,4.3e+07,9.58e+08,9.58e+08,-3.09e+08,6.49e+08,6.49e+08,8e+06,6.57e+08,6.57e+08,3.46e+09,3.46e+09,2.095e+09,2.095e+09,1.38991e+11,1.38991e+11,1.44546e+11,4.28e+08,3.1945e+10,1.7512e+10,1.2805e+10,1.628e+09,3.3913e+10,1.78459e+11,2.588e+09,1.068e+09,1.52e+09,1.27262e+11,5.477e+09,1.21785e+11,1.2995e+11,4.537e+09,4.537e+09,1.7638e+10,1.7638e+10,2.2175e+10,1.52125e+11,2.2503e+10,1e+06,2.2502e+10,3.798e+09,-9.7e+07,2.6093e+10,2.4e+08,2.6333e+10,1.78458e+11,6.49e+08,7.9e+07,6.9e+07,1.1e+08,-3.9e+07,-2000000.00000001,2.76e+08,-3e+07,3.06e+08,1.073e+09,-3.5e+07,-3.5e+07,-3.5e+07,-8.4e+07,5e+07,-1.34e+08,-2.1e+07,-1.47e+08,-1.94e+08,4999999.99999997,0,2.3e+07,-1.66e+08,7.6e+08,7.6e+08,-2.9e+07,7.31e+08,1.019e+09,4.637e+09,1.569e+09,0.37706,0.26354,0.02495,0.00368,2.38813,1.11232,5.77697,0.02598,3.4385,3.3915,13.04744,136.56112,8.21157,1.01532,0.01751,0.03228,0.29528,1.15505,1.25213
"5","2011_Q2",144.171746031746,"Up",2.282e+09,-1.484e+09,-1.422e+09,-6.2e+07,7.98e+08,1.5e+07,-2.9e+07,-3.8e+07,9e+06,4.4e+07,8.13e+08,8.13e+08,-2.49e+08,5.64e+08,5.64e+08,4e+06,5.68e+08,5.68e+08,2.912e+09,2.912e+09,2.223e+09,2.223e+09,1.39335e+11,1.39335e+11,1.4447e+11,4.79e+08,3.1945e+10,1.7472e+10,1.2804e+10,1.669e+09,3.3952e+10,1.78422e+11,1.904e+09,1.366e+09,5.38e+08,1.28014e+11,5.526e+09,1.22488e+11,1.29918e+11,4.552e+09,4.552e+09,1.7236e+10,1.7236e+10,2.1788e+10,1.51706e+11,2.2456e+10,1e+06,2.2455e+10,4.077e+09,-5.3e+07,2.6479e+10,2.37e+08,2.6716e+10,1.78422e+11,5.64e+08,7.3e+07,1.74e+08,1.37e+08,4.8e+07,-1.1e+07,-9.67e+08,-1.3e+08,-8.37e+08,-1.56e+08,-8.3e+07,-8.3e+07,-8.3e+07,5.1e+07,1.04e+08,-5.3e+07,1.7e+07,-1.5e+07,-2.72e+08,-9.6e+07,-1.06e+08,7e+06,-4.65e+08,-6.36e+08,-6.36e+08,4.8e+07,-5.88e+08,8.71e+08,4.552e+09,7e+07,0.34969,0.2489,0.02126,0.00318,0.12324,1.11201,5.67847,0.02551,2.96146,2.92337,11.89797,138.05195,0.36497,1.41816,0.01732,0.00144,0.47887,1.88289,2.05514
"6","2011_Q3",124.5965625,"Down",2.347e+09,-1.481e+09,-1.422e+09,-5.9e+07,8.66e+08,-2.4e+07,-3.7e+07,-4.1e+07,4e+06,1.3e+07,8.42e+08,8.42e+08,-2.2e+08,6.22e+08,6.22e+08,-3e+06,6.19e+08,6.19e+08,2.861e+09,2.861e+09,2.084e+09,2.084e+09,1.45892e+11,1.45892e+11,1.50837e+11,5.21e+08,3.2092e+10,1.7434e+10,1.2802e+10,1.856e+09,3.4211e+10,1.85048e+11,2.002e+09,1.128e+09,8.74e+08,1.33579e+11,5.44e+09,1.28139e+11,1.36181e+11,5.98e+09,5.98e+09,1.8263e+10,1.8263e+10,2.4243e+10,1.60424e+11,2.0024e+10,1e+06,2.0023e+10,4.441e+09,-4.1e+07,2.4424e+10,2e+08,2.4624e+10,1.85048e+11,6.22e+08,7.3e+07,7.1e+07,1.05e+08,-8.6e+07,5.2e+07,1.07e+08,1.44e+08,-36999999.9999999,8.73e+08,-7.6e+07,-7.6e+07,-7.6e+07,-2.6e+07,1.2e+07,-3.8e+07,1.3e+07,-8.9e+07,-2.48e+08,-2.543e+09,-2.548e+09,-1.3e+07,-7.71e+08,13000000.0000002,13000000.0000002,4e+06,17000000.0000002,9.39e+08,6.58e+09,1.19e+09,0.36898,0.26374,0.02514,0.00335,1.92246,1.10762,6.51494,0.03556,3.29483,3.24798,12.49268,130.00479,6.33417,1.32006,0.01753,0.02406,0.40065,3.9606,4.29446
"7","2011_Q4",122.133174603175,"Down",2.225e+09,-1.448e+09,-1.389e+09,-5.9e+07,7.77e+08,-1.12e+08,-3.7e+07,-4.9e+07,1.2e+07,-7.5e+07,6.65e+08,6.65e+08,-9.5e+07,5.7e+08,5.7e+08,2.5e+07,5.95e+08,5.95e+08,3.053e+09,3.053e+09,2.073e+09,2.073e+09,1.34772e+11,1.34772e+11,1.39898e+11,5.45e+08,3.2314e+10,1.7395e+10,1.2797e+10,2.122e+09,3.4384e+10,1.74282e+11,2.276e+09,1.171e+09,1.105e+09,1.21374e+11,5.366e+09,1.16008e+11,1.2375e+11,6.276e+09,6.276e+09,1.9353e+10,1.9353e+10,2.5629e+10,1.49379e+11,2.0151e+10,1e+06,2.015e+10,4.815e+09,-1.11e+08,2.4727e+10,1.76e+08,2.4903e+10,1.74282e+11,5.7e+08,7.6e+07,2.32e+08,1.33e+08,-7e+07,1.69e+08,3.58e+08,-8e+06,3.66e+08,1.236e+09,-5.9e+07,-5.9e+07,-5.9e+07,-2.5e+07,2.6e+07,-5.1e+07,2e+06,-8.2e+07,-2.49e+08,-1.28e+08,-1.29e+08,-6.2e+07,-9.39e+08,2.15e+08,2.15e+08,-2.8e+07,1.87e+08,8.53e+08,6.376e+09,1.247e+09,0.34921,0.26742,0.02389,0.00341,2.0958,1.13049,5.99843,0.03658,3.32338,3.27237,12.42775,138.11279,6.96512,1.39079,0.01667,0.02463,0.41849,3.89566,4.27671
"8","2012_Q1",146.59,"Up",2.227e+09,-1.387e+09,-1.33e+09,-5.7e+07,8.4e+08,7e+06,-3.9e+07,-4.8e+07,9e+06,4.6e+07,8.47e+08,8.15e+08,-2.32e+08,5.83e+08,5.83e+08,-2.8e+07,5.55e+08,5.55e+08,3.56e+09,3.56e+09,1.96e+09,1.96e+09,1.39969e+11,1.39969e+11,1.45489e+11,5.37e+08,3.2239e+10,1.7356e+10,1.2792e+10,2.091e+09,3.4407e+10,1.79896e+11,2.306e+09,9.23e+08,1.383e+09,1.24946e+11,5.323e+09,1.19623e+11,1.27352e+11,6.264e+09,6.264e+09,2.0918e+10,2.0918e+10,2.7182e+10,1.54534e+11,2.0276e+10,1e+06,2.0275e+10,5.118e+09,-1.28e+08,2.5048e+10,3.14e+08,2.5362e+10,1.79896e+11,5.83e+08,7.7e+07,9.4e+07,1.22e+08,-2.9e+07,1e+06,1.19e+08,1.18e+08,1e+06,8.73e+08,-2.9e+07,-2.9e+07,-2.9e+07,9e+06,7.1e+07,-6.2e+07,2000000.00000001,-1.8e+07,-2.45e+08,-9.7e+07,-1.02e+08,3.2e+07,-3.1e+08,5.45e+08,5.45e+08,-2.2e+07,5.23e+08,9.17e+08,6.364e+09,1.239e+09,0.37719,0.24921,0.02188,0.00309,2.23243,1.14242,6.09313,0.03538,3.1117,3.05341,12.48603,140.43565,6.94665,1.37363,0.0152,0.02354,0.44144,3.0578,3.3381
"9","2012_Q2",138.904761904762,"Down",2.249e+09,-1.434e+09,-1.379e+09,-5.5e+07,8.15e+08,2.3e+07,-4e+07,-4.9e+07,9e+06,6.3e+07,8.38e+08,8.38e+08,-2.63e+08,5.75e+08,5.75e+08,-3e+06,5.72e+08,5.72e+08,2.647e+09,2.647e+09,2.312e+09,2.312e+09,1.45682e+11,1.45682e+11,1.50641e+11,5.45e+08,3.2381e+10,1.748e+10,1.2899e+10,2.002e+09,3.4877e+10,1.85518e+11,1.811e+09,1.26e+09,5.51e+08,1.29425e+11,5.429e+09,1.23996e+11,1.31336e+11,6.237e+09,6.237e+09,2.2342e+10,2.2342e+10,2.8579e+10,1.59915e+11,2.0108e+10,1e+06,2.0107e+10,5.39e+09,-9.1e+07,2.5303e+10,3e+08,2.5603e+10,1.85518e+11,5.75e+08,7.3e+07,1.77e+08,1.14e+08,6.5e+07,-2e+06,-9.27e+08,-3.44e+08,-5.83e+08,-1.02e+08,-4.1e+07,-4.1e+07,-4.1e+07,-9.9e+07,7.6e+07,-1.75e+08,-1.37e+08,-4.87e+08,-2.85e+08,-2.21e+08,-2.62e+08,1.13e+08,-3.93e+08,-9.82e+08,-9.82e+08,2.8e+07,-9.54e+08,8.88e+08,6.337e+09,1.83e+08,0.36238,0.25434,0.02234,0.00308,0.31993,1.14699,6.24595,0.03416,3.19512,3.14428,12.56264,141.33951,1.02222,1.59198,0.01579,0.00337,0.49825,4.15541,4.52761
"10","2012_Q3",135.874603174603,"Down",2.229e+09,-1.4e+09,-1.347e+09,-5.3e+07,8.29e+08,-4e+07,-4.4e+07,-5.2e+07,8e+06,4e+06,7.89e+08,7.89e+08,-2.29e+08,5.6e+08,5.6e+08,-6e+06,5.54e+08,5.54e+08,3.639e+09,3.639e+09,2.084e+09,2.084e+09,1.41789e+11,1.41789e+11,1.47512e+11,5.71e+08,3.2518e+10,1.7441e+10,1.2888e+10,2.189e+09,3.4968e+10,1.8248e+11,1.877e+09,1.029e+09,8.48e+08,1.25812e+11,5.385e+09,1.20427e+11,1.27789e+11,7.624e+09,7.624e+09,2.2145e+10,2.2145e+10,2.9769e+10,1.57558e+11,1.9226e+10,2e+06,1.9224e+10,5.697e+09,-1.27e+08,2.4672e+10,2.5e+08,2.4922e+10,1.8248e+11,5.6e+08,7.2e+07,2.13e+08,1.21e+08,-3.2e+07,1.24e+08,1.22e+08,2.22e+08,-1e+08,9.67e+08,-5.7e+07,-5.7e+07,-5.7e+07,3.4e+07,1.33e+08,-9.9e+07,-3.5e+07,-59999999.9999999,-2.6e+08,-1.036e+09,-1.043e+09,-4.1e+07,1.58e+08,1.065e+09,1.065e+09,-2.2e+07,1.043e+09,9.01e+08,7.724e+09,1.195e+09,0.37192,0.24854,0.02223,0.00304,2.15704,1.15434,6.32204,0.04233,3.12976,3.08479,12.59249,139.38177,6.75102,1.46884,0.01486,0.02181,0.46931,4.53385,4.92762
