"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",8.40209677419355,"Up",7064000,-3832000,3232000,-8521000,-3630000,-1230000,-2400000,-4891000,-5289000,-19000,-365000,346000,-5308000,-5308000,-5308000,-5308000,-5308000,-5308000,29727000,29727000,3170000,3170000,5069000,1536000,1050000,39502000,1920000,50000,50000,1970000,41472000,3313000,1502000,1811000,3884000,10383000,4218000,0,0,4218000,14601000,123310000,-96439000,26871000,26871000,41472000,-5308000,228000,612000,-6739000,-11207000,-444000,-444000,3923000,0,0,39379000,27728000,27728000,27728000,-5061000,8102000,0.45753,-0.74873,-0.75142,-0.19754,-0.12799,3.80449,0.54337,0.19536,-0.47457,-0.47457,0.63157,2.40244,-0.15177,4.27287,4.08867
"2","2017_Q2",13.1790476190476,"Up",7880000,-3663000,4217000,-10092000,-3703000,-858000,-2845000,-6389000,-5875000,-211000,-230000,19000.0000000001,-6086000,-6086000,-6086000,-6086000,-6086000,-6086000,24492000,24492000,2657000,2657000,5824000,1362000,839000,34335000,3123000,61000,61000,3184000,37519000,5066000,3140000,1926000,3910000,12522000,3517000,0,0,3517000,16039000,124005000,-102525000,21480000,21480000,37519000,-6086000,232000,745000,1069000,-4040000,-470000,-470000,-727000,9000,9000,-725000,-5235000,-5235000,-5235000,-5643000,7427000,0.53515,-0.74556,-0.77234,-0.28333,-0.16221,2.74197,0.74669,0.19795,-0.4948,-0.4948,0.64065,1.74634,-0.21054,3.0241,2.90468
"3","2017_Q3",18.1487301587302,"Up",8925000,-3133000,5792000,-10581000,-4154000,-1361000,-2793000,-6427000,-4789000,-152000,-176000,24000,-4941000,-5187000,-5187000,-5187000,-5187000,-5187000,21176000,21176000,3630000,3630000,6653000,1552000,1002000,33011000,3675000,61000,61000,3736000,36747000,3763000,1852000,1911000,649000,7394000,11345000,0,0,11345000,18739000,125720000,-107712000,18008000,18008000,36747000,-5187000,278000,1114000,-3455000,-7250000,-1234000,-1234000,4371000,846000,846000,5168000,-3316000,-3316000,-3316000,-4511000,11994000,0.64896,-0.53658,-0.58118,-0.28804,-0.14115,4.46457,1.04059,0.32639,-0.41783,-0.41783,0.71894,1.4506,-0.17289,2.03547,1.91731
"4","2017_Q4",9.4384126984127,"Down",9008000,-3753000,5255000,-10563000,-4143000,-1112000,-3031000,-6420000,-5308000,-138000,-178000,40000,-5446000,-5446000,-5446000,-5446000,-5446000,-5446000,17842000,17842000,3700000,3700000,7697000,1213000,730000,30452000,4017000,61000,61000,4078000,34530000,4183000,2093000,2090000,1649000,10011000,10414000,1.13686837721616e-13,1.13686837721616e-13,10414000,20425000,127263000,-113158000,14105000,14105000,34530000,-5446000,327000,1249000,639000.000000001,-3231000,-466000,-466000,-1.86264514923096e-09,363000,363000,363000,-3334000,-3334000,-3334000,-4981000,12063000,0.58337,-0.58925,-0.60457,-0.3861,-0.15772,3.04185,1.44807,0.34935,-0.43353,-0.43353,0.71708,1.12283,-0.20812,1.16021,1.08873
"5","2018_Q1",8.40918032786885,"Down",10123000,-3902000,6221000,-10457000,-4256000,-1409000,-2847000,-6201000,-4236000,-145000,-180000,35000,-4381000,-4381000,-4381000,-4381000,-4381000,-4381000,12950000,12950000,4041000,4041000,9837000,590000,590000,27418000,3946000,73000,73000,4019000,31437000,6668000,2920000,3748000,3987000,12375000,8178000,0,0,8178000,20553000,128423000,-117539000,10884000,10884000,31437000,-4381000,354000,894000,-1234000,-4367000,-9e+05,-9e+05,0,375000,375000,375000,-4892000,-4892000,-4892000,-3882000,12165000,0.61454,-0.41845,-0.43278,-0.40252,-0.13936,2.2156,1.88837,0.38696,-0.34595,-0.34595,0.79937,0.85946,-0.19007,0.20222,0.18532
"6","2018_Q2",8.085,"Down",14853000,-4898000,9955000,-11065000,-4585000,-1366000,-3219000,-6480000,-1110000,-167000,-211000,44000,-1277000,-1277000,-1277000,-1277000,-1277000,-1277000,33883000,33883000,8904000,8904000,8903000,1589000,1207000,53279000,3775000,93000,93000,3868000,57147000,4464000,2337000,2127000,5490000,13688000,6772000,-1.81898940354586e-12,-1.81898940354586e-12,6772000,20460000,154203000,-117516000,36687000,36687000,57147000,-1277000,373000,962000,-3796000,-3738000,-244000,-244000,-656200.613561927,24918000,24918000,24915000,20933000,20933000,20933000,-737000,12262000,0.67023,-0.07473,-0.08598,-0.03481,-0.02235,3.89239,0.55769,0.21457,-0.08635,-0.08635,1.00433,2.48069,-0.02609,29.3365,19.47838
"7","2018_Q3",8.80365079365079,"Up",10765000,-6229000,4536000,-11815000,-5042000,-1713000,-3329000,-6773000,-7279000,-90000,-222000,132000,-7369000,-7369000,-7369000,-7369000,-7369000,-7369000,32725000,32725000,5097000,5097000,8851000,1225000,1225000,47898000,3457000,209000,209000,3666000,51564000,9222000,2883000,6339000,5993000,15215000,5366000,0,0,5366000,20581000,155868000,-124885000,30983000,30983000,51564000,-7369000,356000,1061000,5177000,-775000,-103000,-103000,-999999.999999999,723000,723000,-280000,-1158000,-1158000,-1158000,-6923000,11359000,0.42137,-0.67617,-0.68453,-0.23784,-0.14291,3.14808,0.66427,0.22029,-0.4427,-0.4427,0.64672,1.86135,-0.17404,3.08623,2.93529
"8","2018_Q4",6.83571428571429,"Down",11518000,-6108000,5410000,-10948000,-4495000,-1582000,-2913000,-6453000,-5538000,-90000,-229000,139000,-5628000,-5628000,-5628000,-5628000,-5628000,-5628000,31438000,31438000,5582000,5582000,9482000,436000,436000,46938000,4438000,72999.9999999999,72999.9999999999,4511000,51449000,11435000,2847000,8588000,4472000,15907000,7928000,0,0,7928000,23835000,158127000,-130513000,27614000,27614000,51449000,-5628000,340000,1055000,1867000,-2366000,-1166000,-1166000,1e+06,1247000,1247000,2245000,-1287000,-1287000,-1287000,-5198000,12400000,0.4697,-0.48081,-0.48863,-0.20381,-0.10939,2.95078,0.86315,0.24102,-0.33188,-0.33188,0.6792,1.62836,-0.14065,3.66256,3.4377
"9","2019_Q1",7.29114754098361,"Up",12281000,-6848000,5433000,-8827000,-4896000,-1806000,-3090000,-3931000,-3394000,-86000,-228000,142000,-3480000,-3480000,-3480000,-3480000,-3480000,-3480000,23379000,23379000,7522000,7522000,9097000,688000,688000,40686000,4286000,73000,73000,4359000,45045000,7638000,2637000,5001000,5977000,13615000,6509000,0,0,6509000,20124000,158914000,-133993000,24921000,24921000,45045000,-3480000,381000,737000,-5432000,-7794000,-401000,-401000,2.3283064365387e-10,139000,139000,136000,-8059000,-8059000,-8059000,-3013000,12486000,0.44239,-0.27636,-0.28336,-0.13964,-0.07726,2.98832,0.80751,0.27719,-0.20353,-0.20353,0.71828,1.45755,-0.09303,3.61533,3.20949
"10","2019_Q2",7.56746031746032,"Up",10026000,-5241000,4785000,-8957000,-4959000,-1364000,-3595000,-3998000,-4172000,-84000,-211000,127000,-4256000,-4256000,-4256000,-4256000,-4256000,-4256000,18515000,18515000,5982000,5982000,9659000,595000,595000,34751000,4108000,3345000,3345000,7453000,42204000,6116000,1692000,4424000,5972000,13630000,5075000,2117000,2117000,7192000,20822000,159631000,-138249000,21382000,21382000,42204000,-4256000,393000,805000,-91000,-3149000,-225000,-225000,-1500000,12999.9999999998,12999.9999999998,-1490000,-4864000,-4864000,-4864000,-3779000,11047000,0.47726,-0.41612,-0.4245,-0.19905,-0.10084,2.5496,0.97381,0.26175,-0.24892,-0.24892,0.58638,1.25056,-0.1232,1.97618,1.79003
