"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",36.3738333333333,"Up",398055000,-252881000,145174000,-233769000,-233769000,-88595000,-1178000,-1178000,-89773000,-89773000,61411000,-28362000,-28362000,-28362000,-28362000,8354000,8354000,17040000,17040000,353329000,114035000,77029000,492758000,111406000,185449000,50123000,122601000,6873000,5852000,296855000,789613000,145353000,145353000,74071000,41643000,32428000,219424000,82501000,36077000,36077000,118578000,338002000,505887000,-55487000,1211000,451611000,451611000,789613000,-28362000,7263000,53861000,-16607000,16155000,-23427000,-23427000,-23427000,-23427000,-106747000,9118000,64000,-7208000,-7208000,-6000,-7214000,-81332000,82501000,-182777000,0.36471,-0.22257,-0.07125,-0.0628,-0.03592,6.44443,2.24569,0.74844,0.10448,-0.74488,-0.74488,10.45422,11.86077,-4.80032,-0.04974,-0.32056,-0.91166,-0.83692
"2","2013_Q2",49.58921875,"Up",301337000,-199460000,101877000,-101366000,-101366000,511000,-840000,-840000,-329000,-329000,168000,-161000,-161000,-161000,-161000,9669000,9669000,17712000,17712000,365716000,158341000,121335000,551438000,123091000,185093000,49544000,122581000,6868000,6100000,308184000,859622000,179420000,179420000,75761000,43095000,32666000,255181000,113994000,35397000,35397000,149391000,404572000,509518000,-55648000,1180000,455050000,455050000,859622000,-161000,6630000,3799000,-29891000,-19623000,-9737000,-9737000,-9737000,-9737000,30653000,2740107.03396613,30653000,1293000,1293000,22000,1315000,7141000.00000001,113994000,-32655000,0.33808,0.00170000000000003,-0.000529999999999989,-0.000350000000000017,-0.000190000000000003,202.82609,2.16097,0.88907,0.13261,-0.00422999999999996,-0.00423000000000018,7.91409,11.95109,-0.85763,-0.000269999999999999,-0.05403,14.6093,204.15851
"3","2013_Q3",69.04015625,"Up",382098000,-242872000,139226000,-167006000,-167006000,-27780000,-1191000,-1191000,-28971000,-28971000,11136000,-17835000,-17835000,-17835000,-17835000,15012000,15012000,22605000,22605000,406676000,133110000,96126000,577403000,154008000,197953000,49192000,122538000,19988000,6235000,351961000,929364000,205551000,205551000,91455000,52764000,38691000,297006000,87575000,45410000,45410000,132985000,429991000,571718000,-73483000,1138000,499373000,499373000,929364000,-17835000,6598000,46678000,15611000,51052000,-20879000,-20879000,-20879000,-20879000,-26339000,854000,-24790000,5383000,5383000,-40000,5343000,-21182000,87575000,-37586000,0.36437,-0.0727,-0.04668,-0.03571,-0.01919,2.10743,1.94408,0.86106,0.09423,-0.46071,-0.46071,9.87027,12.8997,-0.97091,-0.0282,-0.05944,-3.42569,-2.61206
"4","2013_Q4",68.56203125,"Down",395832000,-255032000,140800000,-116940000,-116940000,23860000,-2165000,-2165000,21695000,21695000,-12146000,9549000,9549000,9549000,9549000,8197000,8197000,22041000,22041000,448150000,125174000,88181000,603562000,190069000,198467000,48951000,122529000,19741000,7246000,388536000,992098000,209228000,209228000,101715000,51250000,50465000,310943000,108245000,64001000,64001000,172246000,483189000,574432000,-63934000,935000,508909000,508909000,992098000,9549000,6731000,1955000,-19209000,-974000.000000022,-27006000,-27006000,-27006000,-27006000,20012000,408000,21161000,-6819000,-6819000,4000,-6815000,30591000,108245000,-3478000,0.35571,0.06028,0.02412,0.01876,0.00963,-0.364229999999986,1.94107,0.94946,0.10911,0.24555,0.24555,10.17855,13.08625,-0.08943,0.01402,-0.00511,3.2705,4.19313000000002
"5","2014_Q1",62.3980327868852,"Down",471694000,-296717000,174977000,-116717000,-116717000,58260000,-1537000,-1537000,56723000,56723000,-30081000,26642000,26642000,26642000,26642000,13389000,13389000,22028000,22028000,453845000,124553000,103153000,613815000,214909000,196379000,48708000,122424000,16980000,8267000,411288000,1025103000,206778000,206778000,110670000,53595000,56930000,317448000,118590000,43793000,43793000,162383000,479831000,584645000,-37292000,629000,545272000,545272000,1025103000,26642000,7695000,19163000,3566000,57066000,-36246000,-36246000,-36246000,-36246000,-23957000,2245000,-15519000,5301000,5301000,-109000,5192000,65955000,118590000,63356000,0.37095,0.12351,0.05648,0.04886,0.02599,2.37805,1.93359,0.87998,0.11569,0.68296,0.5793,12.0918,13.97796,1.62412,0.03765,0.08953,1.59504,1.80572
"6","2014_Q2",69.9657142857143,"Up",366254000,-241905000,124349000,-119571000,-119571000,4778000,-2056000,-2056000,2722000,2722000,-927000.000000004,1795000,1795000,1795000,1795000,10942000,10942000,18922000,18922000,483530000,148272000,126872000,661666000,241053000,197237000,48745000,124627000,16985000,6880000,438290000,1099956000,215381000,215381000,87303000,53933000,33227000,302684000,149146000,105899000,105899000,255045000,557729000,595423000,-35497000,693000,542227000,542227000,1099956000,1795000,7640000,-2965000,-63689000,-57219000,-16515000,-16515000,-16515000,-16515000,62736000,5047000,71283000,-2450999.99999999,-2450999.99999999,3999.99999999997,-2447000,12418000,149146000,-66859000,0.33952,0.01305,0.00489999999999999,0.00331,0.00163,-37.24735,2.186,1.02859,0.13559,0.0458499999999999,0.04401,9.35445,13.84895,-1.70764,0.00225,-0.08386,11.12933,28.92507
"7","2014_Q3",83.6253125,"Up",433766000,-265857000,167909000,-118974000,-118974000,48935000,-4346000,-4346000,44589000,44589000,-17336000,27253000,27253000,27253000,27253000,181493000,181493000,24136000,24136000,547103000,149201000,127801000,901933000,261872000,202923000,48733000,124634000,18071000,11485000,464795000,1366728000,248336000,248336000,114350000,71191000,43016000,362686000,277678000,112111000,112111000,389789000,752475000,641078000,-8244000,704000,614253000,614253000,1366728000,27253000,8338000,4110000,-12207000,27494000,-22537000,-22537000,-22285000,-22537000,240751000,-77451000,165606000,170563000,170563000,-12000,170551000,57273000,277678000,39865000,0.3871,0.11281,0.06283,0.04437,0.01994,1.46277,2.48682,1.22502,0.20317,0.69108,0.66239,10.99934,15.57609,1.01089,0.02714,0.0397,1.67941,1.96557
"8","2014_Q4",83.88171875,"Up",484675000,-304302000,180373000,-143685000,-143685000,36688000,-5210000,-5210000,31478000,31478000,-12049000,19429000,19429000,19429000,19429000,157127000,157127000,27646000,27646000,610497000,122992000,101592000,918262000,331988000,202073000,48691000,124592000,17702000,11088000,534061000,1452323000,262381000,262381000,114622000,69927000,44551000,377003000,281014000,155951000,155951000,436965000,813968000,645918000,11185000,537000,638355000,638355000,1452323000,19429000,9017000,8435000,-29914000,6967000,-31061000,-31061000,-30890000,-31061000,-177000,-484000,-246999.99999997,-24341000,-24341000,-25000,-24366000.0000001,45705000,281014000,-3221000.00000001,0.37215,0.0757,0.04009,0.03044,0.01338,-0.165780000000001,2.43569,1.2751,0.19349,0.49573,0.47467,12.36642,16.28755,-0.0821800000000004,0.01807,-0.003,2.71058,3.37677
"9","2015_Q1",90.7768852459016,"Up",582727000,-364584000,218143000,-142818000,-142818000,75325000,-5939000,-5939000,69386000,69386000,-26861000,42525000,42525000,42525000,42525000,211102000,148934000,25965000,25965000,559297000,87976000,87976000,884340000,390844000,232477000,48554000,124424000,36593000,22906000,641659000,1525999000,235159000,235159000,109137000,73550000,35587000,344296000,409158000,69629000,69496000,478787000,823083000,668993000,53710000,-502000,702916000,702916000,1525999000,42525000,9468000,3075000,46933000,102001000,-40699000,-40699000,-40669000,-130435000,-478000,7456000,17158000,-11276000,-11276000,-165000,-11441000,84793000,409158000,117888000,0.37435,0.12926,0.07298,0.0605,0.02787,2.7722,2.56855,1.17095,0.26812,1.06184,0.99707,14.5505,17.55158,2.94362,0.03599,0.09976,2.33576,2.62935
"10","2015_Q2",92.2074603174603,"Up",422445000,-279027000,143418000,-126389000,-126389000,17029000,-5649000,-5649000,11380000,11380000,-4224000,7156000,7156000,7156000,7156000,179274000,103767000,25509000,25509000,601739000,127860000,99925000,934382000,458113000,200530000,48535000,124483000,8654000,18858000,667920000,1602302000,240422000,240422000,112650000,76596000,36054000,353072000,459973000,70748000,70748000,530721000,883793000,677212000,60866000,-284000,718509000,718509000,1602302000,7155999.99999999,9979000,8010000,-39524000,-14379000,-29227000,-29227000,-29227000,-33698000,-83000,699000,2836999.99999997,-45240000,-45240000,73000,-45167000,27008000,459973000,-37519000,0.3395,0.04031,0.01694,0.00996,0.00447,-5.24301,2.64643,1.23004,0.28707,0.17929,0.17054,10.58389,18.00145,-0.94,0.00572999999999999,-0.03003,10.39318,16.48359
