"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",0.0846031746031746,"Up",4994208,-4738456,255752,-491084,-491084,-235332,-182310,-189960,-189960,-417642,-417642,468298.829105948,-417642,-417642,-20592,-438234,-81918,-520152,8198370.15707512,8198370.15707512,-18151513.9603471,1453761.12047859,1453742.91850919,-6225001.41629426,172822991.165474,-2749345.40458528,-8974346.82087953,73401945.6447252,-2207393.00676456,30178277.5440605,103580223.188785,-124486927.707582,-124486927.707582,-20906704.5187968,-39.0748845282526,183641184.108633,-78591925.9196958,105049393.7403,-93117036.0423829,11932357.6979173,-8974346.82087953,-417642,272246,412260,233913,500777,-192724,-192724,-192724,-192724,-110655,-126501,-237156,70897,70897,70897,36914,0,29461429.9855997,0.05121,-0.04712,-0.10415,0.579819180535728,-0.429490855995751,-8.03266809643375,-4.34949884203372,-3.88760275796639,-5.38688898840772,-0.01992,-0.01984,0.19127,4.02319043688063,1.12803227873481,-0.172205973765954,6.43635851185309,59.3367883273988,141.63304980387
"2","2011_Q3",0.08625,"Up",5052873,-4781367,271506,-497697,-497697,-226191,-202502,-202502,-202502,-428693,-428693,234149.414552974,-428693,-428693,-20802,-449495,-81027,-530522,3384418.07853756,3384418.07853756,-7995007.98017355,692716.060239296,692706.959254596,-1186425.70814713,81129056.582737,2867868.29770736,1681442.58956023,33574566.8223626,856749.496617723,14744244.7720303,48318811.5943927,-45736021.3537911,-45736021.3537912,2582790.24060158,-20.1732717484014,105866556.554317,-69634716.4598479,36231897.8701501,-37133245.5211915,-901347.651041348,1681442.58956023,-428693,239306,-330860,562260,42013,-579469,-579469,-579469,-579469,419964,57500.0000000005,477464,-59992,-59992,-59992,13115.0000000001,0,13857704.9927999,0.05373,-0.04476,-0.10499,0.208929590267864,-0.147330427997876,0.608355951783123,-1.65262442101686,-2.7491613789832,-1.35371449420386,-0.02024,-0.02024,0.19278,1.38762021844031,0.530596139367407,-0.011657986882977,2.93907425592655,43.2338091636994,86.2084699019348
"3","2011_Q4",0.0884126984126984,"Up",4206092,-3600831,605261,-452809,-452809,152452,-254011,-248961,-248961,-101559,-101559,78049.8048509914,-101559,-101559,-36994,-138553,-80137,-218690,949937.692845854,949937.692845854,-2145312.32672452,260256.686746432,260253.653084865,1766934.43061762,29692279.8609123,6199084.09923579,7966018.52985341,12247433.2741209,2668821.49887257,6833003.59067675,19080436.8647976,-3583590.11793038,-3583590.11793038,15496846.7468672,-7.56497690565051,64016794.8514389,-64556229.486616,-539418.709949963,-6991409.50706382,-7530828.21701378,7966018.52985341,-101559,290283,233436,-542348,-120188,-401108,-401108,-401108,-401108,-1467815,1965500,497685,-23611,-23611,-23611,442735,0,5041312.99759995,0.1439,0.03625,-0.05199,0.0170731967559546,-0.00310347599929186,3.16631198392771,-0.192508140338953,-2.22409045966107,0.75901183526538,-0.00838,-0.00838,0.16108,-0.0206499271865621,0.193032046455802,0.059574004372341,0.993474751975515,30.8123997212331,50.593873300645
"4","2012_Q1",0.0888709677419355,"Up",6248651,-5237182,1011469,-479059,-479059,532410,-431720,-444277,-444277,100690,100690,0,100690,100690,155497,256187,243082,499269,169420,169420,543557,70990,70990,3205756,7713608,7814301,11020057,4274080,3549000,4072754,8346834,12378214,12378214,20725048,0,48091909,-62297986,-14206077,4501086,-9704991,11020057,100690,213726,-1058394,437705,-306273,1452,1452,1452,1452,1426441,-1103243,323198,18377,18377,18377,746136,16450968,1185293,0.16187,0.0852,0.0799,-0.05144,0.04531,2.37406,0.38407,-2.1355,1.49282,0.01912,0.01912,0.23931,-0.54406,0.04539,0.07401,0.1757,21.82115,30.58085
"5","2012_Q2",0.0868253968253968,"Down",5783624,-4627974,1155650,-411987,-411987,743663,-268303,-265353,-265353,475360,475360,0,475360,475360,4375,479735,0,479735,317356,317356,1217584,39523,39523,3700716,4393988,8283518,11984234,4508042,3817462,4091696,8599738,12557239,12557239,21156977,3.77165896855017,48091909,-61801507,-13709598,4536855,-9172743,11984234,475360,276509,296226,-374098,673997,-183390,-183390,-183390,-183390,-365059,22388,-342671,147936,147936,147936,1020172,16648935,462684,0.19981,0.12858,0.08295,-0.0523,0.04003,0.96446,0.43033,-2.3065,1.38924,0.01837,0.01837,0.2215,-0.52505,0.01772,0.06417,0.06189,16.00865,21.96099
"6","2012_Q3",0.274603174603175,"Up",6213501,-5232927,980574,-487358,-487358,493216,-217435,-213544,-213544,275781,275781,0,275781,275781,-50555,225226,-81027,144199,598898,598898,1281957,95652,95652,4122229,8041636,8138369,12260598,7638966,4209942,3967848,11606814,8655064,8655064,20261878,5,53091904,-62065476,-8973567,972287,-8001280,12260598,275781,304659,-24638,275188,830990,-154341,-154341,-154341,-154341,-356939,-38168,-395107,281542,281542,281542,797875,12622912,918722,0.15781,0.07938,0.02321,-0.01802,0.01176,6.37121,0.35516,-2.53233,1.02955,0.00552,0.00552,0.23796,-0.34367,0.03518,0.0312,0.19879,15.07005,24.3788
"7","2012_Q4",0.300806451612903,"Up",4875856,-3960606,915250,-554801,-554801,360449,-196651,-201583,-201583,163798,163798,-1.45519152283669e-11,163798,163798,-50489,113309,-79247,34062,288537,288537,1882660,153984,153984,5040972,7857499,7948853,12989825,8520387,5046617,1329410,9849797,11079537,11079537,20929334,5,53091904,-62031414,-8939505,999996,-7939509,12989825,163798,285837,-568910,177640,58365,-97480,-97480,-97480,-97480,-213966,-57280,-271246,-310361,-310361,-310361,646286,12408947,726446,0.18771,0.07393,0.00699,-0.00429,0.00262,21.32717,0.51178,-2.6361,0.95528,0.0013,0.0013,0.18673,-0.34236,0.02782,0.00762,0.16254,18.75394,33.62587
"8","2013_Q1",0.477166666666667,"Up",7284609,-5406232,1878377,-538533,-538533,1339844,-348133,-216633,-216633,991711,991711,585000,1576711,1576711,-49521,1527190,-81918,1445272,194400,194400,956638,45090,45090,3912021,7798178,8469632,12381653,6791609,2581787,1286312,8077921,10757561,10757561,18835482,5,53091904,-60586143,-7494234,1040405,-6453829,12381653,1576711,298790,-1078102,-144202,653197,-366749,-366749,-366749,-366749,-365073,-15512,-380585,-94137,-94137,-94137,1638634,12043873,542683,0.25786,0.18393,0.1984,-0.22394,0.11673,0.37549,0.48429,-2.9185,0.97272,0.05535,0.05535,0.27898,-0.28701,0.02078,0.25854,0.09708,7.23131,8.84392
"9","2013_Q2",0.4265625,"Down",7128866,-5604017,1524849,-558639,-558639,966210,-198843,-208843,-208843,767367,767367,199400,966767,966767,-51954,914813,-82808,832005,1020461,1020461,846842,121889,121889,4375974,7829733,8704534,13080508,6936008,2578018,1282700,8218708,10441096,10441096,18659804,5,53105260,-59754138,-6648873,1069577,-5579296,13080508,966767,334385,135857,94588,1531597,-362677,-362677,-362677,-362677,-320077,-22782,-342859,826061,826061,826061,1300595,11723796,833106,0.2139,0.13553,0.11671,-0.14912,0.06361,1.00132,0.53244,-3.34447,0.89628,0.03186,0.03087,0.27302,-0.25464,0.03191,0.13541,0.13559,8.22957,11.07765
"10","2013_Q3",0.388125,"Down",5059118,-4175786,883332,-542444,-542444,340888,-214011,-210511,-210511,126877,126877,9900,136777,136777,-52256,84520.9999999999,-81918,2603.00000000012,313300,313300,1133562,168796,168796,4178782,7425866,8305952,12484734,6615144,2109309,1285911,7901055,10119060,10119060,18020115,5,53118616,-59751535,-6632914,1097533,-5535381,12484734,136777,324628,-171533,-736409,-446537,82500.9999999999,82500.9999999999,82500.9999999999,82500.9999999999,-318825,-24300,-343125,-707161,-707161,-707161,665516,11404971,1708,0.1746,0.06738,0.000509999999999997,-0.00047,0.00021,0.65617,0.52889,-3.25544,0.91351,0.000100000000000003,8.99999999999998e-05,0.19375,-0.25403,7e-05,0.00044,0.00029,16.66627,32.53758
