"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2011_Q2",0.458888888888889,"Up",1177712,-788932,388780,-401010,-303158,-97852,-12230,44,-12186,-12186,-12186,-12186,-12186,-12186,-12186,33087,8227,-228281,-199153,-31578,-31578,-531085.897748491,-531085.897748491,-11040,-241771,-241771,-566,-242337,20857,0,0.33011,-0.01038,-0.01035,-0.00183,-0.00183,0.17681
"2","2011_Q3",0.43390625,"Down",1160842,-860297,300545,-478160,-358040,-120120,-177615,177752,137,137,137,137,137,137,137,35594,26974,214011,276716,-106265,-106265,-193682.965916164,-193682.965916164,-11084,159367,159367,-139,159228,-142021,0,0.2589,-0.15301,0.00012,2.00000000000027e-05,1.99999999999992e-05,0.17428
"3","2011_Q4",0.45,"Up",1345900,-846421,499479,-426464,-329456,-97008,73015,388,73403,73403,73403,73403,73403,73403,73403,40929,-16502,-109505,-11675,-44626,-44626,0,0,-11426,-67727,-67727,-308,-68035,113944,0,0.37111,0.05425,0.05454,0.01086,0.01086,0.19906
"4","2012_Q1",0.666129032258065,"Up",1214921,-878136,336785,-352216,-246625,-105591,-15431,113523,98092,98092,96093,96093,96093,96093,96093,38200,-41188,169810,262915,-83890,-249214,83000,83000,71441,85142,85142,66,85208,22769,0,0.27721,-0.0127,0.07909,0.01427,0.01427,0.18041
"5","2012_Q2",0.725396825396825,"Up",1407665,-891244,516421,-399520,-313584,-85936,116901,891,117792,117792,117792,117792,117792,117792,117792,43048,24527,-77343,108024,-64473,-64473,89473.582065206,89473.582065206,-11726,31825,31825,-440,31385,159949,0,0.36686,0.08305,0.08368,0.01715,0.01706,0.20495
"6","2012_Q3",0.721111111111111,"Down",1616606,-949202,667404,-473318,-387767,-85551,194086,1005.99999999999,195092,195092,195092,195092,195092,195092,195092,43623,21979,-292428,-31734,-9847.99999999999,-9848,58055.4861024666,58055.4861024666,-11922,-53504,-53504,-1183,-54687,237709,0,0.41284,0.12006,0.12068,0.0284,0.02822,0.23537
"7","2012_Q4",0.806290322580645,"Up",1514673,-947830,566843,-432350,-337579,-94771,134493,4420,138913,207019,181445,181445,181445,181445,181445,43127,23248,-220976,26844,-111207,-111207,28500,28500,16758,-67605,-67605,95,-67510,177620,0,0.37423,0.08879,0.11979,0.02638,0.02478,0.22022
"8","2013_Q1",1.0255,"Up",1542187,-995679,546508,-486989,-406119,-80870,59519,102133,161652,93546,54106,54106,54106,54106,54106,50326,-44620,-15534,44278,-29270,72358,19290,19290,62290,178926,178926,-42,178884,109845,0,0.35437,0.03859,0.03508,0.0078,0.00742,0.22231
"9","2013_Q2",0.97,"Down",1701949,-969688,732261,-420110,-332130,-87980,312151,808,312959,312959,291640,291640,291640,291640,291640,54167,27510,-42912,330405,-65186,-65186,-3.63797880709171e-12,-3.63797880709171e-12,-43000,222219,222219,-81,222138,366318,0,0.43025,0.18341,0.17136,0.04195,0.03993,0.2448
"10","2013_Q3",0.92,"Down",1883770,-1114571,769199,-521706,-405964,-115742,247493,1127,248620,248620,236910,236910,236910,236910,236910,56655,-21253,-205719,66593,-177230,-177230,5999,5999,5999,-104638,-104638,-473,-105111,304148,0,0.40833,0.13138,0.12576,0.03401,0.03263,0.27042
