"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",7.25428571428571,"Up",9.202e+09,-5.637e+09,3.565e+09,-1.63e+09,-1.63e+09,1.935e+09,-4.65e+08,-5.24e+08,-1e+07,1.47e+09,1.47e+09,-5.91e+08,8.79e+08,8.79e+08,-1.3e+07,8.66e+08,8.66e+08,3.524e+09,3.483e+09,1.581e+09,1.581e+09,8.63e+08,8.63e+08,5.968e+09,2.3441e+10,6.267e+09,7.9744e+10,5.9452e+10,1.5029e+10,3.976e+09,1.287e+09,1.09452e+11,1.1542e+11,6.278e+09,3.006e+09,3.272e+09,2.337e+09,8.615e+09,2.8582e+10,3.4896e+10,2.7756e+10,7.14e+09,6.3478e+10,7.2093e+10,4.0129e+10,-7.517e+09,1.0517e+10,-4.7e+07,4.3082e+10,2.45e+08,4.3327e+10,1.1542e+11,2.903e+09,-1.042e+09,-2.4e+07,-1.72e+08,-1.8e+07,-1.256e+09,-2.68e+08,1.796e+09,-3e+08,-3e+08,-6.3e+07,1.165e+09,2.812e+09,2.812e+09,2.812e+09,3.0919e+10,0.38742,0.21028,0.09411,0.01999,0.0075,0.69275,1.66393,0.26788,0.15306,0.15263,1.62637,7.61435,0.04737,25.3755264876542,0.01039,0.30947,14.15762
"2","2010_Q3",7.2696875,"Up",9.525e+09,-5.788e+09,3.737e+09,-1.659e+09,-1.659e+09,2.078e+09,-6.04e+08,-5.43e+08,-3.5e+07,1.474e+09,1.474e+09,-5.88e+08,8.86e+08,8.86e+08,-2e+06,8.84e+08,8.84e+08,4.081e+09,4.028e+09,1.845e+09,1.845e+09,6.65e+08,6.65e+08,6.591e+09,2.3217e+10,6.098e+09,7.9721e+10,5.9452e+10,1.5028e+10,3.873e+09,1.368e+09,1.09036e+11,1.15627e+11,6.382e+09,3.126e+09,3.256e+09,2.308e+09,8.69e+09,2.8684e+10,3.4584e+10,2.7575e+10,7.009e+09,6.3268e+10,7.1958e+10,4.0014e+10,-7.517e+09,1.1026e+10,-8.6e+07,4.3437e+10,2.32e+08,4.3669e+10,1.15627e+11,2.429e+09,-1.258e+09,-8e+06,-11000000.0000001,-22000000.0000001,-1.299e+09,-2.67e+08,-1.3e+07,-3e+08,-3e+08,-5e+06,-5.85e+08,5.45e+08,5.45e+08,5.45e+08,3.0992e+10,0.39234,0.21816,0.09281,0.02024,0.00765,0.75846,1.64781,0.26803,0.1569,0.15657,1.69063,7.7098,0.04739,17.0002807934155,0.01054,0.30204,12.95043
"3","2010_Q4",8.13921875,"Up",9.489e+09,-5.911e+09,3.578e+09,-1.624e+09,-1.624e+09,1.954e+09,-5e+08,-5.45e+08,-2.4e+07,1.454e+09,1.454e+09,-5.84e+08,8.7e+08,8.7e+08,-3e+06,8.67e+08,8.67e+08,4.614e+09,4.542e+09,1.868e+09,1.868e+09,6.9e+08,6.9e+08,7.172e+09,2.3328e+10,6.381e+09,7.9644e+10,5.9452e+10,1.5029e+10,3.75e+09,1.413e+09,1.09353e+11,1.16525e+11,6.557e+09,3.297e+09,3.26e+09,2.3e+09,8.857e+09,2.8738e+10,3.4918e+10,2.7347e+10,7.571e+09,6.3656e+10,7.2513e+10,3.9892e+10,-7.517e+09,1.1525e+10,-1.16e+08,4.3784e+10,2.28e+08,4.4012e+10,1.16525e+11,2.4e+09,-1.501e+09,-2.2e+07,0,2.1e+08,-1.313e+09,-2.65e+08,-1.2e+07,-2.92e+08,-2.92e+08,-4e+06,-5.73e+08,5.14e+08,5.14e+08,5.14e+08,3.1038e+10,0.37707,0.20592,0.09137,0.0197,0.00744,0.80975,1.64757,0.26636,0.15471,0.15383,1.69325,7.81299,0.04729,11.3751052975308,0.01029,0.30565,13.52303
"4","2011_Q1",9.6491935483871,"Up",9.721e+09,8.799e+09,1.852e+10,-1.6507e+10,-1.703e+09,2.013e+09,-3.07e+08,-5.44e+08,2.02e+08,1.706e+09,1.706e+09,-6.73e+08,1.033e+09,1.033e+09,-1.5e+07,1.018e+09,1.018e+09,5.984e+09,5.984e+09,1.855e+09,1.855e+09,1.047e+09,1.047e+09,8.886e+09,2.3515e+10,6.67e+09,7.9463e+10,5.9442e+10,1.4958e+10,3.431e+09,1.632e+09,1.09648e+11,1.18534e+11,6.351e+09,3.291e+09,3.06e+09,1.8e+09,8.234e+09,2.9615e+10,3.6108e+10,2.8246e+10,7.862e+09,6.5723e+10,7.3957e+10,3.9812e+10,-7.517e+09,1.2158e+10,-9.9e+07,4.4354e+10,2.23e+08,4.4577e+10,1.18534e+11,3.447e+09,-1.696e+09,-2.06e+08,2.38418579101562e-07,5.9e+07,-1.843e+09,-2.64e+08,4.96e+08,-2.74e+08,-3.08e+08,-1.2e+08,-1.62e+08,1.442e+09,1.442e+09,1.442e+09,3.1415e+10,1.90515,0.20708,0.10472,0.02284,0.00859,1.07918,1.65908,0.26503,0.18283,0.18166,1.74587,7.96588,0.04741,8,0.01144,0.25933,12.63338
"5","2011_Q2",10.0063492063492,"Up",1.2128e+10,-8.062e+09,4.066e+09,-1.842e+09,-1.842e+09,2.224e+09,-5.89e+08,-6.05e+08,-3.6e+07,1.635e+09,1.635e+09,-5.96e+08,1.039e+09,1.039e+09,-9.6e+07,9.43e+08,9.43e+08,1.896e+09,1.822e+09,3.708e+09,3.708e+09,1.943e+09,1.943e+09,7.547e+09,2.4911e+10,1.0711e+10,1.1109e+11,5.9442e+10,2.7001e+10,1.7725e+10,6.922e+09,1.46712e+11,1.54259e+11,1.1451e+10,4.858e+09,6.593e+09,2.296e+09,1.3747e+10,3.813e+10,4.0536e+10,2.8919e+10,1.1617e+10,7.8666e+10,9.2413e+10,4.1438e+10,-7.517e+09,1.2504e+10,-9.7e+07,4.6328e+10,1.5518e+10,6.1846e+10,1.54259e+11,3.468e+09,-1.229e+09,-1.6e+07,-5.658e+09,1.6e+07,-6.887e+09,-2.61e+08,-8.2e+07,-3.96e+08,-5.25e+08,-4e+06,-7.43e+08,-4.162e+09,-4.162e+09,-4.162e+09,4.0426e+10,0.33526,0.18338,0.07775,0.01525,0.00611,0.54899,1.49424,0.26207,0.17009,0.16809,2.18759,8.35642,0.04708,6.37496490082306,0.00843,0.27678,17.32464
"6","2011_Q3",9.10953125,"Down",1.4333e+10,-9.532e+09,4.801e+09,-1.863e+09,-1.863e+09,2.938e+09,-5.57e+08,-6.21e+08,-3.4e+07,2.381e+09,2.381e+09,-1.014e+09,1.367e+09,1.367e+09,-3.45e+08,1.022e+09,1.022e+09,1.997e+09,1.997e+09,4.156e+09,4.156e+09,2.197e+09,2.197e+09,8.35e+09,2.4619e+10,1.0829e+10,1.10984e+11,5.9442e+10,2.6919e+10,1.7391e+10,7.232e+09,1.46432e+11,1.54782e+11,1.1347e+10,4.838e+09,6.509e+09,1.35e+09,1.2697e+10,3.8209e+10,4.1462e+10,2.9477e+10,1.1985e+10,7.9671e+10,9.2368e+10,4.1333e+10,-7.517e+09,1.2932e+10,-1.05e+08,4.6643e+10,1.5771e+10,6.2414e+10,1.54782e+11,3.488e+09,-1.444e+09,-3e+07,-2e+06,7.7e+07,-1.399e+09,-3.11e+08,-9.41e+08,-4.48e+08,-5.25e+08,-2.14e+08,-1.914e+09,175000000.000001,175000000.000001,175000000.000001,3.9559e+10,0.33496,0.20498,0.0713,0.01637,0.0066,0.65764,1.47992,0.25558,0.18528,0.18322,2.59844,8.45595,0.05638,6,0.00929,0.30431,12.78489
"7","2011_Q4",9.33365079365079,"Up",1.4339e+10,-9.765e+09,4.574e+09,-1.933e+09,-1.933e+09,2.641e+09,-8.36e+08,-6.37e+08,-1.2e+07,1.805e+09,1.805e+09,-6.39e+08,1.166e+09,1.166e+09,-2.58e+08,9.08e+08,9.08e+08,1.806e+09,1.806e+09,4.096e+09,4.096e+09,2.68e+09,2.68e+09,8.582e+09,2.7441e+10,9.575e+09,1.11229e+11,5.9442e+10,2.6831e+10,1.7386e+10,7.57e+09,1.48245e+11,1.56827e+11,1.1698e+10,5.455e+09,6.243e+09,2.448e+09,1.4146e+10,3.8522e+10,4.132e+10,2.9663e+10,1.1657e+10,7.9842e+10,9.3988e+10,4.1111e+10,-7.517e+09,1.3236e+10,-1.47e+08,4.6683e+10,1.6156e+10,6.2839e+10,1.56827e+11,3.25e+09,-1.617e+09,-3.9e+07,-7.47e+08,2.8e+07,-2.375e+09,-3.09e+08,-1.48e+08,-5.54e+08,-6e+08,-5.5e+07,-1.066e+09,-1.91e+08,-1.91e+08,-1.91e+08,4.097e+10,0.31899,0.18418,0.06332,0.01445,0.00579,0.60667,1.4957,0.26124,0.16563,0.16443,2.61565,8.51569,0.05637,6,0.00839,0.34031,14.82923
"8","2012_Q1",11.4324193548387,"Up",1.5042e+10,1.0763e+10,2.5805e+10,-2.2887e+10,-1.998e+09,2.918e+09,-5.32e+08,-6.42e+08,-5.1e+07,2.386e+09,2.386e+09,-8.01e+08,1.585e+09,1.585e+09,-2.98e+08,1.287e+09,1.287e+09,1.674e+09,1.62e+09,4.652e+09,4.652e+09,2.247e+09,2.247e+09,8.573e+09,2.7559e+10,9.854e+09,1.11832e+11,5.9376e+10,2.6874e+10,1.8165e+10,7.417e+09,1.49245e+11,1.57818e+11,1.1084e+10,5.705e+09,5.379e+09,1.367e+09,1.3241e+10,3.7942e+10,4.2966e+10,2.9932e+10,1.3034e+10,8.0908e+10,9.4149e+10,4.0972e+10,-7.517e+09,1.3971e+10,-1.52e+08,4.7274e+10,1.6395e+10,6.3669e+10,1.57818e+11,4.139e+09,-1.971e+09,-5e+07,2.38418579101562e-07,1.74e+08,-1.847e+09,-3.06e+08,-1.501e+09,-4.6e+08,-4.91e+08,-2.11e+08,-2.478e+09,-1.86e+08,-1.86e+08,-1.86e+08,3.9309e+10,1.71553,0.19399,0.08556,0.02021,0.00815,0.64746,1.47873,0.24908,0.23719,0.23341,2.77221,8.7125,0.0564,6,0.01092,0.23776,12.89753
"9","2012_Q2",12.258253968254,"Up",1.4878e+10,-4.737e+09,1.0141e+10,-7.383e+09,-1.93e+09,2.758e+09,-5.61e+08,-6.4e+08,-1.6e+07,2.197e+09,2.197e+09,-7.5e+08,1.447e+09,1.447e+09,-2.23e+08,1.224e+09,1.224e+09,2.207e+09,2.207e+09,4.379e+09,4.379e+09,2.769e+09,2.769e+09,9.355e+09,2.6962e+10,1.0149e+10,1.11483e+11,5.9364e+10,2.6803e+10,1.8001e+10,7.315e+09,1.48594e+11,1.57949e+11,1.2927e+10,5.763e+09,7.164e+09,2.705e+09,1.5632e+10,3.508e+10,4.3258e+10,2.9812e+10,1.3446e+10,7.8338e+10,9.397e+10,4.0924e+10,-7.517e+09,1.4217e+10,-1.48e+08,4.7476e+10,1.6503e+10,6.3979e+10,1.57949e+11,4.393e+09,-1.358e+09,-6.2e+07,598051798.961322,7.1e+07,-1.349e+09,-3.04e+08,-1.532e+09,-6e+08,-7.5e+08,-2.1e+07,-2.457e+09,5.87e+08,5.87e+08,5.87e+08,3.7785e+10,0.68161,0.18537,0.08227,0.01913,0.00775,0.59845,1.46876,0.23922,0.226,0.22303,2.74705,8.76588,0.05613,9,0.01054,0.24837,12.89993
"10","2012_Q3",13.9396825396825,"Up",1.5211e+10,-4.55e+09,1.0661e+10,-7.582e+09,-1.925e+09,3.079e+09,-6.35e+08,-6.25e+08,-4.7e+07,2.444e+09,2.444e+09,-8.11e+08,1.633e+09,1.633e+09,-2.85e+08,1.348e+09,1.348e+09,4.332e+09,2.101e+09,4.387e+09,4.387e+09,2.635e+09,2.635e+09,1.1354e+10,2.6891e+10,8.018e+09,1.11425e+11,5.9364e+10,2.701e+10,1.7786e+10,7.265e+09,1.46334e+11,1.57688e+11,1.1761e+10,5.73e+09,6.031e+09,2.954e+09,1.5742e+10,3.4175e+10,4.3313e+10,2.9881e+10,1.3432e+10,7.7488e+10,9.323e+10,4.0792e+10,-7.517e+09,1.4626e+10,-1.7e+08,4.7731e+10,1.6727e+10,6.4458e+10,1.57688e+11,3.422e+09,-1.517e+09,-4.6e+07,280690567.828255,82999999.9999998,-1.48e+09,-4.37e+08,-7.14e+08,-7.16e+08,-7.5e+08,-1.81e+08,-2.048e+09,-1.06e+08,-1.06e+08,-1.06e+08,3.7129e+10,0.70087,0.20242,0.08862,0.02091,0.00855,0.72126,1.44637,0.23546,0.25084,0.24807,2.83048,8.88184,0.08132,8,0.01232,0.32418,10.65184
