"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",16.7854838709677,"Up",131408000,-110003000,21405000,-11756000,-7797000,-2154000,-1805000,9649000,-880000,-1125000,245000,8769000,8769000,-778000,7991000,7913000,7913000,1336000,50854000,50854000,26401000,26401000,70881000,8954000,7061000,157090000,12018000,113383000,32146000,77093000,570000,3574000,125401000,282491000,95085000,88531000,6554000,5985000,5421000,101070000,37944000,1818000,606000,1173000,39762000,140832000,196051000,-54392000,141659000,141659000,282491000,7913000,2448000,2059000,11285000,23705000,-2015000,-2016000,5655000,5655000,27344000,27344000,27344000,12097000,37944000,22145000,0.16289,0.07343,0.01017,0.00943,0.00473,16.5756,1.55427,0.99416,0.13432,0.23211,0.19851,22.83037,24.61135,3.8474,0.00736,0.12206,-1.06721,-1.33796
"2","2017_Q2",21.2350793650794,"Up",148704000,-124689000,24015000,-10397000,-6858000,-1744000,-1795000,13618000,-141000,-690000,549000,13477000,13477000,-525000,12952000,12840000,12840000,12840000,46610000,46610000,49062000,49062000,90944000,10467000,8567000,197083000,13935000,109440000,30351000,77071000,633000,1385000,123375000,320458000,111377000,106899000,4478000,7011000,6631000,118388000,38076000,1874000,511000,1333000,39950000,158338000,203672000,-41552000,162120000,162120000,320458000,12840000,2485000,160000,-27162000,-11677000,-2274000,156000,7277000,7277000,-4244000,-4244000,-4244000,16103000,38076000,-12808000,0.1615,0.09158,0.08635,0.0792,0.04007,-0.997510000000002,1.66472,0.97667,0.11882,0.5208,0.50078,6.03154,6.5757,-0.519499999999999,0.06354,-0.06338,-0.52996,-0.626669999999999
"3","2017_Q3",21.8985714285714,"Up",159733000,-136227000,23506000,-11737000,-7984000,-1950000,-1803000,11769000,-826000,-675000,-151000,10943000,10943000,-473000,10470000,9860000,9860000,9860000,65044000,65044000,39818000,39818000,96995000,6686000,4857000,208543000,14895000,107551000,28548000,77071000,733000,1199000,122446000,330989000,107972000,101493000,6479000,8252000,7476000,116224000,38208000,1819000,462000,1327000,40027000,156251000,206430000,-31692000,174738000,174738000,330989000,9860000,2700000,552000,6073000,19185000,-2940000,-2940000,2189000,2189000,18434000,18434000,18434000,14469000,38208000,18075000,0.14716,0.07368,0.06173,0.05643,0.02979,1.83316,1.79432,0.8942,0.11544,0.39681,0.37783,6.42831,7.03217,0.72741,0.04591,0.08416,-1.85472,-2.28023
"4","2017_Q4",28.3452380952381,"Up",164519000,-140323000,24196000,-15642000,-11430000,-1992000,-2220000,8554000,-812000,-739000,-73000.0000000001,7742000,7742000,6556000,14298000,14290000,14290000,14290000,41987000,41987000,59351000,59351000,110632000,4499000,3617000,216469000,16748000,136561000,38468000,95028000,1388000,1677000,153309000,369778000,98732000,91553000,7179000,6523000,5897000,106435000,66562000,2987000,440000,2516000,69549000,175984000,211196000,-17402000,193794000,193794000,369778000,14290000,3166000,-5212000,-18826000,-6581999.99999999,-1395000,-50937000,33848000,33529000,-23990000,-23990000,-23990000,11720000,67742000,-15057000,0.14707,0.05199,0.08686,0.07374,0.03864,-1.05367,2.03381,0.9081,0.1832,0.56556,0.54359,6.51119,7.66981,-0.59591,0.05402,-0.05692,2.19753,3.01087
"5","2018_Q1",27.2360655737705,"Down",182936000,-153892000,29044000,-16805000,-11530000,-2213000,-3062000,12239000,-1372000,-1173000,-199000,10867000,10867000,8328000,19195000,19464000,19464000,19464000,68794000,68794000,49249000,49249000,154541000,5870000,5357000,278454000,34380000,244850000,73405000,169399000,994000,1052000,279230000,557684000,133616000,121405000,12211000,7115000,6715000,147221000,180247000,13454000,10558000,2896000,193701000,340922000,214700000,2062000,216762000,216762000,557684000,19464000,4158000,-8250000,22505000,37877000,-1617000,-133030000,122810000,121609000,26456000,26456000,26456000,16397000,186737000,28957000,0.15877,0.0669,0.1064,0.08979,0.0349,1.48772,1.8914,1.57279,0.33484,0.75729,0.72495,7.11751,8.43359,1.12663,0.04668,0.06945,7.19296,9.63665
"6","2018_Q2",23.8828125,"Down",258029000,-215430000,42599000,-22042000,-15711000,-2452000,-3879000,20557000,-2745000,-2504000,-241000,17812000,17812000,-1091000,16721000,16721000,16721000,16721000,63796000,63796000,76199000,76199000,164623000,5260000,5260000,309878000,36286000,239714000,69526000,168412000,994000,782000,2.76e+08,585878000,141875000,130383000,11492000,7137000,7137000,155575000,181042000,13578000,10628000,2950000,194620000,350195000,221900000,18783000,235683000,235683000,585878000,16721000,5752000,3997000,-27254000,-783999.999999993,-3668000,-3668000,1036000,-1056000.00000003,-5508000,-5508000,-5508000,26309000,187605000,-3522000,0.16509,0.07967,0.0648,0.07095,0.02854,-0.21063,1.99182,1.48587,0.32021,0.64237,0.62544,9.91264,9.05418,-0.1353,0.03827,-0.00806000000000001,4.70596,6.02272
"7","2018_Q3",21.9201587301587,"Down",248973000,-205098000,43875000,-17996000,-11647000,-2577000,-3772000,25879000,-2086000,-2303000,217000,23793000,23793000,4247000,28040000,28040000,28040000,28040000,63419000,63419000,65672000,65672000,148066000,5514000,5514000,282671000,39605000,240539000,67313000,171344000,994000,888000,280144000,562815000,120257000,107493000,12764000,5290000,5290000,134297000,176825000,9474000,6368000,3106000,186299000,320596000,225366000,46823000,242219000,242219000,562815000,28040000,5815000,-3450000,536000,30941000,-5129000,-6572000,-24719000,-24746000,-377000,-377000,-377000,31694000,185575000,22854000,0.17622,0.10394,0.11262,0.11576,0.04982,0.81505,2.10482,1.32358,0.32973,1.09215,1.07344,9.69741,9.43435,0.89016,0.06413,0.05227,3.85423,4.72028
"8","2018_Q4",17.2830158730159,"Down",175207000,-146993000,28214000,-16666000,-10658000,-2123000,-3885000,11548000,-2469000,-2553000,84000.0000000001,9079000,9079000,558000,9637000,9637000,9637000,9637000,33021000,33021000,65358000,65358000,133663000,4373000,4373000,236415000,40359000,235586000,60728000,173004000,994000,860000,275945000,512360000,86946000,77697000,9249000,4281000,4281000,99977000,182065000,7094000,4032000,3062000,189159000,289136000,227081000,56460000,223224000,223224000,512360000,9637000,5838000,215000,-18477000,-2786999.99999999,-2588000,-2587999.99999999,-24980000,-25023000,-30398000,-30398000,-30398000,17386000,190815000,-4237000,0.16103,0.06591,0.055,0.04317,0.01881,-0.43966,2.36469,1.29527,0.37242,0.39572,0.39071,7.19447,9.16618,-0.17398,0.02288,-0.01006,9.07592,13.66418
"9","2019_Q1",20.362131147541,"Up",141402000,-119953000,21449000,-15468000,-9432000,-2203000,-3833000,5981000,-2446000,-2627000,181000,3535000,3535000,-50000,3485000,3485000,3485000,3485000,43834000,43834000,40287000,40287000,121106000,6348000,6348000,211575000,41740000,232174000,56895000,173010000,1363000,906000,273914000,485489000,73856000,64300000,9556000,5148000,5148000,87754000,192117000,7292000,3966000,3326000,199409000,287163000,228360000,59945000,198326000,198326000,485489000,3485000,5659000,1098000,22863000,33105000,-2535000,-2535000,-19736000,-19757000,10813000,10813000,10813000,11640000,200867000,32018000,0.15169,0.0423,0.02465,0.01757,0.00718,9.18737,2.411,1.44793,0.41374,0.15306,0.15158,6.21037,8.71047,1.40623,0.00857,0.07877,13.49081,26.25531
"10","2019_Q2",23.3595238095238,"Up",137831000,-117608000,20223000,-17286000,-11758000,-2391000,-3137000,2937000,-2792000,-2768000,-24000,145000,145000,1373000,1518000,1518000,1518000,1518000,31611000,31611000,53897000,53897000,114171000,5936000,5936000,205615000,43945000,245829000,53758000,173010000,1363000,17698000,289774000,495389000,72104000,64691000,7413000,9636000,9636000,90490000,184954000,18265000,3969000,14296000,203219000,293709000,231795000,61463000,201680000,201680000,495389000,1518000,5210000,1545000,-8696000.00000001,-423000,-4782000,-4782000,-6907000,-7018000,-12223000,-12223000,-12223000,8147000,193704000,-6704000,0.14672,0.02131,0.01101,0.00753,0.00306,-4.41633999999999,2.27224,1.45631,0.39101,0.06816,0.06736,6.18914,9.0562,-0.30104,0.00367,-0.01621,19.89604,55.18999
