"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",13.2747619047619,"Up",-9471000,-2562000,-6909000,-8453000,-632000,-632000,-9085000,-9085000,-9085000,-9085000,-9085000,-9085000,119487000,20733000,98754000,1488000,1488000,121469000,1408000,27078000,160000,160000,28646000,150115000,5070000,1557000,3513000,9583000,2839000,206000,4152000,13735000,239800000,-103383000,-37000,136380000,136380000,150115000,-9085000,159000,1810000,717000,-6399000,-26000,-70033000,-70059000,57171000,57171000,57036000,-19422000,-19422000,-19422000,-8294000,1313000,-0.06662,-0.06052,12.67547,0.10071,0.00875,-0.27588,-0.27588,4.14139,-0.06465,14.24813,13.98013
"2","2012_Q3",12.7293650793651,"Down",-12167000,-2473000,-9694000,-11039000,146000,146000,-10893000,-10893000,-10893000,-10893000,-10893000,-10893000,131577000,2756000,128821000,1262000,1262000,133216000,1299000,5539000,160000,160000,6998000,140214000,6450000,1692000,4758000,10963000,1665000,161000,2842000,13805000,240731000,-114276000,-46000,126409000,126409000,140214000,-10893000,152000,1403000,542000,-8796000,-43000,-9044000,-9087000,42000,42000,-94000,-17977000,-17977000,-17977000,-10887000,1177000,-0.08617,-0.07769,12.15142,0.10921,0.00839,-0.30059,-0.30059,3.4882,-0.08428,11.97759,11.81266
"3","2012_Q4",11.4022580645161,"Down",-11365000,-2619000,-8746000,-10237000,121000,121000,-10116000,-10116000,-10116000,-10116000,-10116000,-10116000,125472000,13115000,112357000,750000,750000,126513000,1198000,2773000,160000,160000,4131000,130644000,6597000,574000,6023000,11110000,489000,113000,1529000,12639000,242362000,-124392000,35000,118005000,118005000,130644000,-10116000,145000,2162000,-435000,-8244000,-44000,18663000,18619000,121000,121000,-16000,10359000,10359000,10359000,-10092000,1040000,-0.08573,-0.07743,11.38731,0.10711,0.00796,-0.27959,-0.27959,3.26152,-0.08463,12.32977,12.15512
"4","2013_Q1",12.325,"Up",-12046000,-2826000,-9220000,-9901000,104000,104000,-9797000,-9797000,-9797000,-9797000,-9797000,-9797000,102694000,8460000,94234000,630000,630000,104480000,1421000,16262000,160000,160000,17843000,122323000,7017000,750000,6267000,10778000,298000,298000,1199000,11977000,244549000,-134189000,-14000,110346000,110346000,122323000,-9797000,136000,2149000,-1276000,-8788000,-359000,3982000,3623000,649000,649000,510000,-4655000,-4655000,-4655000,-9765000,901000,-0.08878,-0.08009,9.69382,0.10854,0.00737,-0.27006,-0.27006,3.04176,-0.08783,10.42427,10.28108
"5","2013_Q2",12.95984375,"Up",-12219000,-2964000,-9255000,-10292000,99000,99000,-10193000,-10193000,-10193000,-10193000,-10193000,-10193000,75905000,11637000,64268000,942000,942000,77781000,1315000,33803000,287000,287000,35405000,113186000,6221000,781000,5440000,8854000,287000,287000,1047000,9901000,247690000,-144382000,-23000,103285000,103285000,113186000,-10193000,142000,1945000,-2160000,-10266000,-36000,12015000,11979000,1293000,1293000,1464000,3177000,3177000,3177000,-10150000,760000,-0.09869,-0.09006,8.78484,0.09586,0.00671,-0.27841,-0.27841,2.82115,-0.0977,7.40345,7.3013
"6","2013_Q3",10.813125,"Down",-11485000,-2809000,-8676000,-9599000,95000,95000,-9504000,-9504000,-9504000,-9504000,-9504000,-9504000,129771000,50278000,79493000,994000,994000,131667000,1220000,36609000,160000,160000,37989000,169656000,6741000,1198000,5543000,8245000,240000,240000,858000,9103000,314619000,-153886000,-180000,160553000,160553000,169656000,-9504000,141000,1906000,-557000,-8014000,-46000,-18528000,-18574000,65371000,65371000,65229000,38641000,38641000,38641000,-9458000,618000,-0.0592,-0.05602,15.96931,0.0567,0.00364,-0.22992,-0.22992,3.884,-0.05888,13.65542,13.45484
"7","2013_Q4",5.15578125,"Down",-11075000,-2882000,-8193000,-9553000,120000,120000,-9433000,-9433000,-9433000,-9433000,-9433000,-9433000,124539000,22315000,102224000,560000,560000,125622000,1440000,32731000,160000,160000,34331000,159953000,5696000,692000,5004000,6072000,222000,222000,697000,6769000,316510000,-163319000,-7000,153184000,153184000,159953000,-9433000,143000,2091000,-1386000,-8585000,-363000,-19158000,-19521000,286000,286000,143000,-27963000,-27963000,-27963000,-9410000,475000,-0.06158,-0.05897,20.68874,0.04419,0.00297,-0.2202,-0.2202,3.57589,-0.0613,13.18427,12.98692
"8","2014_Q1",6.94852459016393,"Up",-10396000,-2979000,-7417000,-9671000,128000,128000,-9543000,-9543000,-9543000,-9543000,-9543000,-9543000,133313000,10258000,123055000,596000,596000,134302000,1399000,16561000,160000,160000,18120000,152422000,6558000,909000,5649000,6558000,226000,226000,556000,7114000,318146000,-172862000,24000,145308000,145308000,152422000,-9543000,150000,2365000,575000,-6453000,-109000,-5443000,-5552000,93000,93000,-52000.0000000075,-12057000,-12057000,-12057000,-9521000,330000,-0.06567,-0.06261,20.47911,0.04896,0.00217,-0.22256,-0.22256,3.38887,-0.06542,13.96734,13.7507
"9","2014_Q2",5.61253968253968,"Down",-11672000,-3523000,-8149000,-11672000,135000,135000,-11537000,-11537000,-11537000,-11537000,-11537000,-11537000,132573000,11628000,120945000,1110000,1110000,133687000,1278000,9336000,160000,160000,10774000,144461000,6897000,710000,6187000,6897000,195000,195000,379000,7276000,321542000,-184399000,42000,137185000,137185000,144461000,-11537000,153000,2748000,175000,-8461000,-32000,8719000,8687000,1290000,1290000,1144000,1370000,1370000,1370000,-11519000,184000,-0.0841,-0.07986,19.38336,0.05304,0.00127,-0.26764,-0.26764,3.18243,-0.08387,11.4931,11.34244
"10","2014_Q3",5.2859375,"Down",-12384000,-3382000,-9002000,-12384000,123000,123000,-12261000,-12261000,-12261000,-12261000,-12261000,-12261000,99906000,13107000,86799000,893000,893000,100799000,1241000,33324000,182000,182000,34747000,135546000,7820000,690000,7130000,7820000,192000,192000,297000,8117000,324083000,-196660000,6000,127429000,127429000,135546000,-12261000,132000,2983000,1174000,-7972000,-95000,9267000,9172000,358000,358000,279000,1479000,1479000,1479000,-12252000,105000,-0.09622,-0.09046,12.8899,0.0637,0.00077,-0.28333,-0.28333,2.94463,-0.09599,8.14569,8.05887
"11","2014_Q4",5.2878125,"Up",-11053000,-3510000,-7543000,-11053000,112000,112000,-10941000,-10941000,-10941000,-10941000,-10941000,-10941000,85299000,20896000,64403000,767000,767000,86066000,1193000,39364000,2e+05,2e+05,40757000,126823000,8080000,1030000,7050000,8080000,189000,189000,236000,8316000,326138000,-207601000,-30000,118507000,118507000,126823000,-10941000,129000,2473000,392000,-7947000,-81000,15875000,15794000,0,0,-58000,7789000,7789000,7789000,-10924000,47000,-0.09232,-0.08627,10.65173,0.07017,0.00037,-0.25247,-0.25247,2.73467,-0.09214,7.8041,7.71302
"12","2015_Q1",7.81377049180328,"Up",-12290000,-3169000,-9121000,-12290000,1e+05,1e+05,-12190000,-12190000,-12190000,-12190000,-12190000,-12190000,73357000,16075000,57282000,972000,972000,74329000,1208000,41263000,181000,181000,42652000,116981000,8190000,748000,7442000,8190000,185000,185000,185000,8375000,328483000,-219791000,-86000,108606000,108606000,116981000,-12190000,129000,2167000,-41000,-9935000,-144000,4830000,4686000,475000,475000,428000,-4821000,-4821000,-4821000,-12161000,0,-0.11224,-0.1042,9.07558,0.07711,0,-0.28099,-0.28099,2.50342,-0.11205,6.03215,5.96884
"13","2015_Q2",7.94396825396825,"Up",-12109000,-3689000,-8420000,-12109000,103000,103000,-12006000,-12006000,-12006000,-12006000,-12006000,-12006000,74842000,25436000,49406000,1211000,1211000,76053000,1181000,29927000,175000,175000,31283000,107336000,7746000,809000,6937000,7746000,181000,181000,181000,7927000,331214000,-231797000,-8000,99409000,99409000,107336000,-12006000,133000,2871000,-681000,-9683000,-106000,18819000,18713000,331000,331000,331000,9361000,9361000,9361000,-11976000,0,-0.12077,-0.11185,9.81836,0.07974,0,-0.27599,-0.27599,2.28516,-0.12055,6.24933,6.18069
"14","2015_Q3",7.230625,"Down",-12178000,-3576000,-8602000,-12178000,1e+05,1e+05,-12078000,-12078000,-12078000,-12078000,-12078000,-12078000,70447000,11570000,58877000,912000,912000,71359000,1067000,23724000,169000,169000,24960000,96319000,5241000,1028000,4213000,5241000,173000,173000,173000,5414000,334785000,-243875000,-5000,90905000,90905000,96319000,-12078000,126000,2506000,-2208000,-11654000,-12000,-3419000,-3431000,1219000,1219000,1219000,-13866000,-13866000,-13866000,-12052000,0,-0.13286,-0.1254,13.61553,0.05956,6.7762635780344e-21,-0.27549,-0.27549,2.07347,-0.13261,5.84525,5.78478
"15","2015_Q4",7.076875,"Down",-11742000,-3811000,-7931000,-11742000,95000,95000,-11647000,-11647000,-11647000,-11647000,-11647000,-11647000,73388000,14572000,58816000,781000,781000,74169000,1011000,11850000,164000,164000,13025000,87194000,5534000,615000,4919000,5534000,163000,163000,163000,5697000,336991000,-255522000,28000,81497000,81497000,87194000,-11647000,116000,2390000,419000,-8722000,-60000,11691000,11631000,93000,93000,93000,3002000,3002000,3002000,-11626000,0,-0.14291,-0.13358,13.40242,0.0699,0,-0.2643,-0.2643,1.84935,-0.14263,6.3124,6.25004
"16","2016_Q1",3.64196721311475,"Down",-11660000,-3430000,-8230000,-11660000,86000,86000,-11574000,-11574000,-11574000,-11574000,-11574000,-11574000,71278000,12823000,58455000,757000,757000,72035000,949000,5011000,160000,160000,6120000,78155000,5494000,675000,4819000,5494000,154000,154000,154000,5648000,339659000,-267096000,-56000,72507000,72507000,78155000,-11574000,102000,2225000,-20999.9999999991,-9268000,-40000,7011000,6971000,548000,548000,548000,-1749000,-1749000,-1749000,-11558000,0,-0.15963,-0.14809,13.11158,0.0779,0,-0.26216,-0.26216,1.64236,-0.15929,6.16698,6.11304
"17","2016_Q2",3.7525,"Up",-15329000,-4084000,-11245000,-15329000,86000,86000,-15243000,-15243000,-15243000,-15243000,-15243000,-15243000,64189000,13420000,50769000,991000,991000,65180000,925000,1100000,160000,160000,2185000,67365000,7388000,1294000,6094000,7388000,144000,144000,144000,7532000,342172000,-282339000,0,59833000,59833000,67365000,-15243000,86000,2392000,1650000,-11115000,-62000,11564000,11502000,210000,210000,210000,597000,597000,597000,-15243000,0,-0.25476,-0.22627,8.82241,0.12588,0,-0.34426,-0.34426,1.35133,-0.25415,4.21105,4.18742
"18","2016_Q3",4.7253125,"Up",-12939000,-3877000,-9062000,-10144000,161000,161000,-9983000,-9983000,-9983000,-9983000,-9983000,-9983000,125709000,21925000,103784000,1157000,1157000,127041000,858000,14145000,230000,230000,15233000,142274000,7233000,513000,6720000,22953000,59791000,131000,59791000,82744000,351788000,-292322000,64000,59530000,59530000,142274000,-9983000,87000,2125000,74801000,67030000,-20000,-65783000,-65803000,7278000,7278000,7278000,8505000,8505000,8505000,-10057000,0,-0.1677,-0.07017,5.53483,1.38995,-8.470329472543e-22,-0.21804,-0.21804,1.30021,-0.08367,12.49965,12.39245
"19","2016_Q4",7.20031746031746,"Up",-11582000,-3193000,-8389000,-7331000,259000,259000,-7072000,-7072000,-7072000,-7072000,-7072000,-7072000,121595000,13867000,107728000,953000,953000,122668000,778000,10016000,285000,285000,11079000,133747000,8028000,840000,7188000,26194000,53199000,116000,53199000,79393000,353768000,-299394000,-20000,54354000,54354000,133747000,-7072000,87000,2113000,-3147000,-8019000,-7000,-165000,-172000,133000,133000,133000,-8058000,-8058000,-8058000,-7244000,0,-0.13011,-0.05288,4.68306,1.46067,0,-0.14806,-0.14806,1.13797,-0.06575,16.78562,16.58641
"20","2017_Q1",7.20032258064516,"Up",-12805000,-3556000,-9249000,-7916000,251000,251000,-7665000,-7665000,-7665000,-7665000,-7665000,-7665000,117764000,12024000,105740000,722000,722000,148691000,905000,5997000,279000,279000,7181000,155872000,9316000,671000,8645000,38335000,67648000,101000,67648000,105983000,357014000,-307059000,-66000,49889000,49889000,155872000,-7665000,88000,2084000,-3258000,-8750999.99999999,-215000,5924000,5708999.99999999,1199000,1199000,1199000,-1843000,-1843000,-1843000,-7828000,-3.63797880709171e-12,-0.15364,-0.04917,3.87873,2.12438,-1.35525271560688e-20,-0.16001,-0.16001,1.04148,-0.06521,15.04394,14.87671
