"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",23.1332258064516,"Up",1.003e+09,-6.23e+08,3.8e+08,-2.61e+08,-2.34e+08,-2.7e+07,1.19e+08,-1.5e+07,-1.5e+07,0,1.04e+08,-2e+07,8.4e+07,-3.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,3.18e+08,3.18e+08,7.56e+08,7.56e+08,4.33e+08,1.42e+08,9.7e+07,1.649e+09,4.63e+08,2.288e+09,1.61e+09,5.05e+08,1.73e+08,2.751e+09,4.4e+09,8.12e+08,3.22e+08,4.9e+08,5e+06,8.17e+08,1.201e+09,5.51e+08,3.16e+08,1.68e+08,6.7e+07,1.752e+09,2.569e+09,1.665e+09,0,4.4e+07,1.22e+08,1.831e+09,1.831e+09,4.4e+09,5.2e+07,3.3e+07,1e+06,6e+06,-1.3e+07,1.11e+08,-3e+06,2.2e+07,2.2e+07,1.97e+08,-4.5e+07,-4.7e+07,-4.6e+07,-1.9e+07,1e+06,1e+06,0,7e+06,-1e+07,1.41e+08,1.41e+08,-7e+06,1.34e+08,1.52e+08,1.206e+09,2.5e+08,0.37886,0.11864,0.05184,0.0284,0.01182,4.80769,2.01836,1.40306,0.27409,0.27887,0.27721,5.379,9.81948,1.34073,0.1019,0.01979,0.06968,0.36538,5.84211,7.46218
"2","2012_Q2",22.5839682539683,"Down",9.25e+08,-5.62e+08,3.63e+08,-2.59e+08,-2.31e+08,-2.8e+07,1.04e+08,-1.5e+07,-1.4e+07,-1e+06,8.9e+07,-5e+06,8.4e+07,-2.1e+07,6.3e+07,6.3e+07,6.3e+07,6.3e+07,3.47e+08,3.47e+08,7.61e+08,7.61e+08,4.65e+08,1.62e+08,1.17e+08,1.735e+09,4.68e+08,2.31e+09,1.631e+09,5.02e+08,1.77e+08,2.778e+09,4.513e+09,8.15e+08,3.29e+08,4.86e+08,4e+06,8.19e+08,1.202e+09,5.43e+08,3.2e+08,1.55e+08,6.8e+07,1.745e+09,2.564e+09,1.689e+09,-1e+06,8.4e+07,1.77e+08,1.949e+09,1.949e+09,4.513e+09,6.3e+07,3.4e+07,-2.6e+07,5e+06,-3.1e+07,-1e+07,6999999.99999999,-3.1e+07,1.4e+07,6.1e+07,-2.9e+07,-3.1e+07,-2.9e+07,-1.9e+07,1.5e+07,1.6e+07,-1e+06,-6e+06,-1e+07,2.2e+07,2.2e+07,7e+06,2.9e+07,1.38e+08,1.206e+09,1.2e+08,0.39243,0.11243,0.06811,0.03232,0.01396,1.90476,2.11844,1.31555,0.26723,0.33981,0.33897,4.98927,10.51252,0.64726,0.10248,0.02217,0.03245,0.30159,6.22464,8.25962
"3","2012_Q3",21.3526984126984,"Down",9.66e+08,-5.83e+08,3.83e+08,-2.48e+08,-2.2e+08,-2.8e+07,1.35e+08,-1.4e+07,-1.3e+07,-1e+06,1.21e+08,-6e+06,1.15e+08,-2.6e+07,8.9e+07,8.9e+07,8.9e+07,8.9e+07,3.58e+08,3.58e+08,7.7e+08,7.7e+08,4.67e+08,1.54e+08,1.07e+08,1.749e+09,4.59e+08,2.274e+09,1.601e+09,4.85e+08,1.88e+08,2.733e+09,4.482e+09,7.72e+08,3.27e+08,4.45e+08,7e+06,7.79e+08,1.199e+09,5.56e+08,3.13e+08,1.76e+08,6.7e+07,1.755e+09,2.534e+09,1.692e+09,-3e+06,1.53e+08,1.06e+08,1.948e+09,1.948e+09,4.482e+09,8.9e+07,3.3e+07,-2e+07,5e+06,-2.5e+07,-3.8e+07,-2.3e+07,-1.3e+07,-2e+06,6.4e+07,-2.5e+07,-2.6e+07,-2.6e+07,-2e+07,-2e+06,0,-2e+06,1e+06,-2.1e+07,1.7e+07,1.7e+07,-8e+06,9e+06,1.68e+08,1.206e+09,1.31e+08,0.39648,0.13975,0.09213,0.04569,0.01986,1.47191,2.24519,1.30082,0.26908,0.47888,0.47785,5.19777,10.48163,0.70487,0.10761,0.02938,0.03531,0.22472,5.04762,6.28148
"4","2012_Q4",22.2722580645161,"Up",9.31e+08,-5.57e+08,3.74e+08,-2.55e+08,-2.31e+08,-2.4e+07,1.19e+08,-1.1e+07,-1.4e+07,3e+06,1.08e+08,-8e+06,1e+08,-2.8e+07,7.2e+07,7.2e+07,7.2e+07,7.2e+07,4.24e+08,4.24e+08,8.01e+08,8.01e+08,4.67e+08,1.42e+08,1.06e+08,1.834e+09,4.64e+08,2.298e+09,1.621e+09,4.85e+08,1.92e+08,2.762e+09,4.596e+09,7.72e+08,3.16e+08,4.56e+08,1.3e+07,7.85e+08,1.199e+09,5.58e+08,3.19e+08,1.7e+08,6.9e+07,1.757e+09,2.542e+09,1.701e+09,-6e+06,2.06e+08,1.53e+08,2.054e+09,2.054e+09,4.596e+09,7.2e+07,3.6e+07,2.2e+07,6e+06,1.6e+07,-2.5e+07,-1.7e+07,1.1e+07,-1.9e+07,1.05e+08,-2.3e+07,-2.4e+07,-3.4e+07,-1.7e+07,5e+06,6e+06,-1e+06,-4e+06,-1e+07,6.1e+07,6.1e+07,7e+06,6.8e+07,1.55e+08,1.212e+09,1.35e+08,0.40172,0.12782,0.07734,0.03505,0.01567,1.875,2.33631,1.23759,0.26371,0.38724,0.38637,5.00723,11.04711,0.72608,0.09143,0.02327,0.0353,0.23611,5.08387,6.62185
"5","2013_Q1",24.407,"Up",9.69e+08,-5.87e+08,3.82e+08,-2.58e+08,-2.32e+08,-2.6e+07,1.24e+08,-1.5e+07,-1.4e+07,-1e+06,1.09e+08,-2e+07,8.9e+07,-1.6e+07,7.3e+07,7.3e+07,7.3e+07,7.3e+07,5.04e+08,5.04e+08,7.76e+08,7.76e+08,4.43e+08,1.51e+08,1.1e+08,1.874e+09,4.87e+08,2.318e+09,1.647e+09,4.84e+08,1.87e+08,2.805e+09,4.679e+09,7.75e+08,3.32e+08,4.43e+08,6e+06,7.81e+08,1.199e+09,6.25e+08,4e+08,1.73e+08,5.2e+07,1.824e+09,2.605e+09,1.708e+09,-1.3e+07,2.64e+08,1.15e+08,2.074e+09,2.074e+09,4.679e+09,7.3e+07,3.9e+07,1.1e+07,6e+06,4e+06,4.3e+07,3.5e+07,3.8e+07,3e+06,1.66e+08,-3e+07,-3.1e+07,-5.8e+07,-1.9e+07,-7e+06,2e+06,-9e+06,0,-3.3e+07,7.5e+07,7.5e+07,5e+06,8e+07,1.63e+08,1.205e+09,1.92e+08,0.39422,0.12797,0.07534,0.0352,0.0156,2.63014,2.39949,1.25603,0.25753,0.39256,0.3915,5.21085,11.15306,1.03249,0.10217,0.02357,0.04918,0.26027,4.30061,5.65323
"6","2013_Q2",24.30953125,"Down",8.79e+08,-5.45e+08,3.34e+08,-2.63e+08,-2.37e+08,-2.6e+07,7.1e+07,-1.5e+07,-1.3e+07,-2e+06,5.6e+07,-5e+06,5.1e+07,-1e+07,4.1e+07,4.1e+07,4.1e+07,4.1e+07,3.75e+08,3.75e+08,7.67e+08,7.67e+08,4.61e+08,1.54e+08,1.11e+08,1.757e+09,4.74e+08,2.358e+09,1.669e+09,5.04e+08,1.85e+08,2.832e+09,4.589e+09,7.15e+08,3.09e+08,4.06e+08,6e+06,7.21e+08,1.199e+09,6.29e+08,3.97e+08,1.79e+08,5.3e+07,1.828e+09,2.549e+09,1.713e+09,-2.8e+07,2.83e+08,7.2e+07,2.04e+09,2.04e+09,4.589e+09,4.1e+07,3.7e+07,-2.2e+07,6e+06,-2.8e+07,-3.6e+07,1e+06,-2.9e+07,-8e+06,2e+07,-2.7e+07,-3e+07,-1.05e+08,-2.2e+07,-1.5e+07,0,-1.5e+07,1e+06,-3.6e+07,-1.21e+08,-1.21e+08,-8e+06,-1.29e+08,1.08e+08,1.205e+09,5.5e+07,0.37998,0.08077,0.04664,0.0201,0.00893,1.34146,2.43689,1.24951,0.26258,0.22066,0.21992,4.73072,10.97913,0.29601,0.1184,0.01626,0.0142,0.53659,7.68519,11.69014
"7","2013_Q3",23.56125,"Down",9.6e+08,-5.89e+08,3.71e+08,-2.81e+08,-2.53e+08,-2.8e+07,9e+07,-1.3e+07,-1.4e+07,1e+06,7.7e+07,-2e+07,5.7e+07,-1.1e+07,4.6e+07,4.6e+07,4.6e+07,4.6e+07,3.6e+08,3.6e+08,7.92e+08,7.92e+08,4.71e+08,1.56e+08,1.13e+08,1.779e+09,4.7e+08,2.362e+09,1.674e+09,4.98e+08,1.9e+08,2.832e+09,4.611e+09,7.31e+08,3.11e+08,4.2e+08,5e+06,7.36e+08,1.199e+09,6.24e+08,3.93e+08,1.79e+08,5.2e+07,1.823e+09,2.559e+09,1.72e+09,-3.1e+07,3.08e+08,5.5e+07,2.052e+09,2.052e+09,4.611e+09,4.6e+07,3.7e+07,2e+06,6e+06,-4e+06,-4.3e+07,-3.2e+07,-1.5e+07,4e+06,4.2e+07,-3e+07,-3e+07,-3.3e+07,-2.1e+07,-2e+06,1e+06,-3e+06,-1e+06,-2.4e+07,-1.5e+07,-1.5e+07,0,-1.5e+07,1.27e+08,1.204e+09,6.5e+07,0.38646,0.09375,0.04792,0.02242,0.00998,1.41304,2.41712,1.24708,0.26111,0.24811,0.24715,5.17791,11.06778,0.35059,0.11327,0.01727,0.01675,0.45652,6.64567,9.37778
"8","2013_Q4",28.6115625,"Up",9.65e+08,-5.81e+08,3.84e+08,-2.81e+08,-2.57e+08,-2.4e+07,1.03e+08,-1.5e+07,-1.4e+07,-1e+06,8.8e+07,-5e+06,8.3e+07,-1e+07,7.3e+07,7.3e+07,7.3e+07,7.3e+07,3.94e+08,3.94e+08,8.45e+08,8.45e+08,4.96e+08,1.64e+08,1.2e+08,1.899e+09,4.78e+08,2.407e+09,1.704e+09,4.97e+08,2.06e+08,2.885e+09,4.784e+09,7.99e+08,3.24e+08,4.75e+08,3e+06,8.02e+08,1.199e+09,6.25e+08,4e+08,1.73e+08,5.2e+07,1.824e+09,2.626e+09,1.731e+09,-6.1e+07,3.59e+08,1.29e+08,2.158e+09,2.158e+09,4.784e+09,7.3e+07,3.6e+07,3.9e+07,9e+06,3e+07,-4.7e+07,-4e+07,-1.5e+07,8e+06,1.01e+08,-2.7e+07,-3.1e+07,-2.7e+07,-2.2e+07,-2.9e+07,-3e+06,-2.6e+07,2.3283064365387e-10,-4.9e+07,2.5e+07,2.5e+07,9e+06,3.4e+07,1.39e+08,1.202e+09,7.5e+07,0.39793,0.10674,0.07565,0.03383,0.01526,1.0274,2.36783,1.21687,0.25125,0.39424,0.39247,5.21151,11.65434,0.40504,0.11881,0.02384,0.01882,0.30137,5.81295,7.84466
"9","2014_Q1",32.5193442622951,"Up",1.033e+09,-6.23e+08,4.1e+08,-2.69e+08,-2.43e+08,-2.6e+07,1.41e+08,-2.2e+07,-1.4e+07,-8e+06,1.19e+08,-1.2e+07,1.07e+08,-3.9e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,5.33e+08,5.33e+08,8.17e+08,8.17e+08,4.75e+08,1.84e+08,1.43e+08,2.009e+09,4.88e+08,2.399e+09,1.718e+09,4.88e+08,1.93e+08,2.887e+09,4.896e+09,8.11e+08,3.32e+08,4.79e+08,4.2e+07,8.53e+08,1.199e+09,6.03e+08,3.48e+08,1.91e+08,6.4e+07,1.802e+09,2.655e+09,1.755e+09,-8.6e+07,4.05e+08,1.67e+08,2.241e+09,2.241e+09,4.896e+09,6.8e+07,4e+07,-2.7e+07,6e+06,-1.9e+07,8e+07,2.4e+07,2e+07,0,1.61e+08,-3.6e+07,-3.5e+07,-3.4e+07,-2.2e+07,-5e+06,2.4e+07,-2.9e+07,1e+06,9e+06,1.36e+08,1.36e+08,3e+06,1.39e+08,1.81e+08,1.241e+09,2.64e+08,0.3969,0.1365,0.06583,0.03034,0.01389,3.88235,2.35522,1.18474,0.25347,0.36859,0.36639,5.59931,12.1472,1.431,0.11925,0.02203,0.06463,0.32353,3.9116,5.02128
"10","2014_Q2",33.4255555555556,"Up",9.06e+08,-5.64e+08,3.42e+08,-2.51e+08,-2.24e+08,-2.7e+07,9.1e+07,-1.5e+07,-1.4e+07,-1e+06,7.6e+07,-1.5e+07,6.1e+07,-1.2e+07,4.9e+07,4.9e+07,4.9e+07,4.9e+07,4.66e+08,4.66e+08,8.03e+08,8.03e+08,5.16e+08,2.06e+08,1.66e+08,1.991e+09,4.76e+08,2.42e+09,1.719e+09,4.8e+08,2.21e+08,2.896e+09,4.887e+09,8.13e+08,3.25e+08,4.88e+08,4.4e+07,8.57e+08,1.199e+09,6.02e+08,3.48e+08,1.98e+08,5.6e+07,1.801e+09,2.658e+09,1.77e+09,-1.37e+08,4.3e+08,1.66e+08,2.229e+09,2.229e+09,4.887e+09,4.9e+07,3.6e+07,-1.4e+07,4e+06,-1.8e+07,-4.9e+07,-5e+06,-4.2e+07,-2e+06,2.2e+07,-2.4e+07,-2.5e+07,-2.4e+07,-2.4e+07,-4e+07,1.1e+07,-5.1e+07,0,-6.2e+07,-6.4e+07,-6.4e+07,-3e+06,-6.7e+07,1.27e+08,1.243e+09,6.6e+07,0.37748,0.10044,0.05408,0.02198,0.01003,1.34694,2.32322,1.19246,0.25435,0.26552,0.26377,4.90932,12.07822,0.35763,0.13005,0.01792,0.0162,0.4898,6.11811,8.53846
