"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.8773015873016,"Down",82654000,-66960000,15694000,-13489000,-10222000,-3267000,2205000,-9442000,-9517000,434000,-359000,-7237000,-5098000,2557000,-1995000,1785000,53000,1838000,1838000,198467739.366358,228000736.508412,-23914308.2912081,-23914308.2912081,7634121.93632664,-161079486.771015,-2873378.31873237,-158206108.598339,21108066.2404616,1722883971.3812,309024990.264094,42173230.3690718,91437268.6949347,2034789569.79807,2055897636.03853,175930629.444435,109663631.508219,-14361967.6710947,-14362962.4568724,171962124.361025,760781491.489716,285821975.841593,135056991.000631,77165760.5254879,1046603467.33131,1218565591.69233,711199925.512975,120559649.11146,-1573808.09012939,830185766.534306,7146277.81188904,837332044.346195,2055897636.03853,1785000,20449000,-3801000,29807000,48240000,-64700000,-64981000,-5455000,19022000,-22000,13545000,-3196000,-3196000,-3196000,22654000,0,0.18988,0.02668,0.02224,-0.187960595019596,-0.090445716277168,-0.108658646149559,1.4207509352165,0.374749646566982,0.04046,0.04043,1.81933,18.2735471326158,0.12007,-0.0956456405315042,2.9679,72.8161232997632,585.255543432447
"2","2010_Q3",25.8815625,"Down",96266000,-77613000,18653000,-13296000,-9682000,-3614000,5357000,-10285000,-9331000,-1033000,79000,-4928000,-5908000,3365000,-2063999.99999999,-1494000.00000001,57000,-1437000.00000001,-1437000.00000001,54195000,54195000,47057000,47057000,15175000,69301000,12118000,57183000,185728000,1609665000,144070000,40413000,70208000,1755031000,1940759000,90338000,90338000,47622000,47622000,150876000,650789000,232015000,47375000,112447000,882804000,1033680000,712370000,189627000,469000,902466000,4613000,907079000,1940759000,-1493999.99999999,19880000,301999.999999993,-7994000,10694000,-44033000,-44033000,-2269000,46717000,-25000,44423000,11084000,11084000,11084000,25237000,663705000,0.19377,0.05565,-0.0149299999999999,-0.00158,-0.00074,1.231,1.13957,0.34198,-0.03163,-0.0316299999999998,2.11895,19.86454,0.04994,0.00046,-1.57898,24.15144,113.77823
"3","2010_Q4",26.03265625,"Up",101477000,-76294000,25183000,-10365000,-9113000,-1252000,14818000,-9514000,-10821000,1074000,233000,5304000,44415000,-11931000,32401000,32401000,58000,32459000,32459000,49240000,49240000,59223000,59223000,14615000,92283000,16329000,75954000,215361000,1630644000,117415000,40206000,71759000,1749348000,1964709000,86414000,86414000,40272000,40272000,139696000,672328000,213870000,24969000,117228000,886198000,1025894000,714037000,219122000,1101000,934260000,4555000,938815000,1964709000,32401000,24132000,-26698000,-9125000,20710000,21616000,-44006000,-2271000,21058000,-446000,18341000,-4955000,-4955000,-4955000,38950000,685338000,0.24816,0.14602,0.31987,0.03457,0.01652,1.54164,1.09275,0.34882,0.71447,0.71417,2.23365,20.56437,0.04999,0.0189,0.06997,16.33114,42.92739
"4","2011_Q1",25.4351612903226,"Down",92833000,-74736000,18097000,-13859000,-11872000,-1987000,4238000,-9202000,-10461000,1082000,177000,-4964000,-2627000,7107000,4536000,4536000,-78000,4458000,4458000,82815000,82815000,54495000,54495000,12538000,53132000,14929000,38203000,202980000,1696101000,142960000,40274000,79681000,1840348000,2043328000,100569000,85549000,24143000,24143000,137722000,740649000,219730000,30878000,117588000,960379000,1098101000,716777000,221311000,1044000,939132000,6095000,945227000,2043328000,4536000,22300000,-14441000,9364000,21759000,-47899000,-50700000,-2269000,68830000,-4045000,62516000,33575000,33575000,33575000,26538000,753659000,0.19494,0.04565,0.04802,0.00472,0.00218,1.47384,1.16173,0.36884,0.09813,0.0980400000000001,2.04338,20.67161,0.04994,0.00351,0.50897,25.27862,158.29259
"5","2011_Q2",21.5052380952381,"Down",97820000,-82827000,14993000,-11874000,-9667000,-2207000,3119000,-13225000,-12945000,517000,-797000,-10106000,-7967000,-586000,-8965000,-8965000,-10000,-8975000,-8975000,64824000,40675000,70491000,70491000,14554000,79529000,13791000,65738000,229398000,1723415000,141134000,39479000,79154000,1864549000,2093947000,76743000,76743000,51033000,51033000,142551000,775259000,236101000,30608000,135169000,1011360000,1153911000,720847000,210046000,968000,931861000,8175000,940036000,2093947000,-8965000,23370000,782000,-4096000,11091000,-107924000,-107924000,-2290000,34047000,22936000,54693000,-42140000,-42140000,-42140000,26489000,790034000,0.15327,0.03189,-0.09175,-0.00955,-0.00429,1.60923,1.22752,0.37729,-0.19755,-0.19755,2.15316,20.51157,0.05041,-0.0034,-0.25515,27.37778,232.51363
"6","2011_Q3",16.721875,"Down",104614000,-71461000,33153000,-13779000,-11204000,-2575000,19374000,-15215000,-16726000,596000,915000,4159000,7300000,1007000,8238000,8238000,-105000,8133000,8133000,67435000,44338000,72185000,72185000,14408000,60036000,22481000,37555000,214064000,1755900000,140849000,38676000,79657000,1896749000,2110813000,76607000,76607000,53744000,53744000,145126000,788342000,229628000,28997000,130621000,1017970000,1163096000,722568000,216362000,729000,939659000,8058000,947717000,2110813000,8238000,24635000,3618000,-10033000,26458000,-27512000,-27817000,-1817000,12352000,-5513000,5022000,3663000.00000001,3663000.00000001,3663000.00000001,44009000,803117000,0.31691,0.1852,0.07774,0.00858,0.00385,1.47502,1.22726,0.38048,0.17902,0.17897,2.3027,20.68321,0.03999,0.00502,0.22341,16.71663,37.97264
"7","2011_Q4",16.8747619047619,"Up",110841000,-75078000,35763000,-11555000,-9209000,-2346000,24208000,-25783000,-23471000,-2659000,347000,-1575000,769000,305000,1003000,1003000,-137000,866000,866000,80266000,59077000,53084000,53084000,17899000,95841000,22972000,72869000,247090000,1821452000,142179000,37864000,81649000,1963631000,2210721000,99362000,99362000,69771000,69771000,187676000,852205000,222735000,28244000,125008000,1074940000,1262616000,724120000,215411000,565000,940096000,8009000,948105000,2210721000,1003000,23256000,7973000,26776000,59008000,-102445000,-102445000,-1817000,66902000,-6909000,58176000,14739000,14739000,14739000,47464000,870748000,0.32265,0.2184,0.00781,0.000910000000000005,0.000390000000000001,1.31658,1.33173,0.39388,0.01906,0.01906,2.43977,20.69283,0.03999,0.00131,2.09815,16.65435,32.65375
"8","2012_Q1",17.2603225806452,"Up",112181000,-82315000,29866000,-15012000,-13339000,-1673000,14854000,-3014000,-14890000,196000,11680000,11840000,4216000,-48966000,-45157000,-4.3e+07,-80000,-43080000,-43080000,118407000,99886000,51274000,51274000,12541000,108121000,18672000,89449000,290343000,1889083000,135292000,38781000,90912000,2024375000,2314718000,118659000,105112000,54568000,54568000,193770000,969456000,244848000,54665000,121228000,1214304000,1408074000,725792000,172331000,595000,898718000,7926000,906644000,2314718000,-4.3e+07,25137000,30850000,23190000,36177000,236962000,-77938000,-2.3283064365387e-10,109707000,-27137000,82570000,40809000,40809000,40809000,39991000,989999000,0.26623,0.13241,-0.38402,-0.04752,-0.01861,1.49839,1.55306,0.4277,-0.94825,-0.94869,2.46926,19.78204,0,-0.02012,0,21.7947,58.67726
"9","2012_Q2",18.5174603174603,"Up",132352000,-92558000,39794000,-13284000,-12236000,-1048000,26510000,-14637000,-14490000,14000,-161000,11873000,13622000,-5457000,8025000,8025000,-130000,7895000,7895000,100299000,84580000,43545000,43545000,17200000,112114000,19863000,92251000,273158000,1919541000,135070000,37963000,91060000,2054611000,2327769000,112605000,98993000,54402000,54402000,187654000,978174000,245904000,59399000,118184000,1224078000,1411732000,727449000,180226000,518000,908193000,7844000,916037000,2327769000,8025000,24744000,5216000,3889000,41874000,-62218000,-62333000,-341941.275440402,9748000,-4595000,5153000,-15306000,-15306000,-15306000,51254000,998821000,0.30067,0.2003,0.05965,0.00862,0.00339,1.45565,1.54113,0.42909,0.17378,0.17376,2.91325,19.9906,0.0075298555408068,0.00364999999999999,0.469804891843184,17.53077,33.8937
"10","2012_Q3",17.9461904761905,"Down",126708000,-88383000,38325000,-12791000,-11327000,-1464000,25534000,-15397000,-13927000,-1756000,285999.999999998,10137000,8986000.00000001,-1294999.99999999,7534000,8722000,-81000,8641000,8641000,71905000,66684000,42315000,42315000,18119000,140864000,24467000,116397000,273203000,1885333000,135564000,37145000,92376000,2020897000,2294100000,119941000,106264000,57732000,57732000,198320000,930405000,241164000,59755000,113723000,1171569000,1369889000,728919000,187048000,482000,916449000,7762000,924211000,2294100000,8722000.00000001,25013000,3258000,-6788000,30205000,-4487000,-4695000,-1819000,-37415000,-4172000,-43406000,-17896000,-17896000,-17896000,50547000,951052000,0.30247,0.20152,0.0682000000000001,0.00935,0.00377,1.37759,1.48223,0.41456,0.1902,0.19017,2.78902,20.17233,0.04004,0.00494,0.21051,17.39266,34.43045
