"","YQ","p","d","operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","earnings_per_share_basic","earnings_per_share_diluted"
"1","2016_Q2",1.6128125,"Down",-2472000,-2472000,-2472000,-2472000,-2472000,-2472000,-2472000,-2472000,-2472000,111000,347000,-466000,-2480000,0,-2608000,-2608000,-2608000,-2361000,0,-0.17522,-0.17522
"2","2016_Q3",1.07640625,"Down",-2906000,-2922000,-2922000,-2712000,-2712000,-2712000,-2712000,-2712000,-2712000,113000,108000,987000,-1504000,4845000,3252000,3252000,3252000,-2809000,0,-0.17456,-0.17456
"3","2016_Q4",0.891428571428571,"Down",-3162000,-3149000,-3149000,-3053000,-3053000,-3053000,-3053000,-3053000,-3053000,116000,266000,585000,-2086000,0,-2094000,-2094000,-2094000,-3033000,0,-0.17842,-0.17842
"4","2017_Q1",0.54741935483871,"Down",-3552000,-3583000,-3583000,-3342000,-3342000,-3342000,-3342000,-3342000,-3342000,114000,59000.0000000001,181000,-2988000,0,-3065000,-3065000,-3065000,-3469000,-8.67361737988404e-19,-0.19511,-0.19511
"5","2017_Q2",0.318571428571429,"Down",-3048000,-3048000,-3048000,-3841000,-3841000,-3841000,-3841000,-3841000,-3841000,121000,984000,-319000,-3055000,6801000,3641000,3641000,3641000,-2927000,0,-0.14167,-0.14167
"6","2017_Q3",0.401111111111111,"Up",-3727000,-3727000,-3727000,-3603000,-3603000,-3603000,-3603000,-3603000,-3603000,115000,82000,268000,-3138000,1.86264514923096e-09,-3158000,-3158000,-3158000,-3612000,0,-0.09707,-0.09707
"7","2017_Q4",0.166190476190476,"Down",-3252000,-3252000,-3252000,-3243000,-3243000,-3243000,-3243000,-3243000,-3243000,98000,185000,-207000,-3167000,1068000,-2114000,-2114000,-2114000,-3154000,0,-1.66478,-1.66478
"8","2018_Q1",3.15520833333333,"Up",-1441000,-1441000,-1889000,-1229000,-1229000,-1229000,-1229000,-1229000,-1229000,79000,-61000,-443000,-1654000,4378000,2728000,2728000,2728000,-1362000,1.11022302462516e-16,-0.68392,-0.68392
"9","2018_Q2",3.17578125,"Up",-1480000,-1480000,-1480000,-1545000,-1545000,-1545000,-1545000,-1545000,-1545000,63000,199000,-777000,-2060000,795000,-1219000,-1219000,-1219000,-1417000,0,-0.56161,-0.56161
"10","2018_Q3",3.52809523809524,"Up",-2033000,-2033000,-2040000,-2060000,-2060000,-2060000,-2060000,-2060000,-2060000,65000,296000,530000,-1169000,4227000,2987000,2987000,2987000,-1968000,-8.88178419700125e-16,-0.55302,-0.55302
"11","2018_Q4",2.75825396825397,"Down",-2228000,-2228000,-2228000,-2089000,-2089000,-2089000,-2089000,-2089000,-2089000,66000,145000,-347000,-2225000,0,-2263000,-2263000,-2263000,-2162000,0,-0.36869,-0.36869
