"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.56484375,"Up",59214000,-28520000,30694000,-24700000,-23573000,-1127000,5994000,-117000,-8000,-109000,5877000,5877000,-353000,5524000,-365000,-365000,5159000,5159000,5159000,28680000,28680000,12257000,12257000,13653000,4529000,4254000,59119000,6587000,17640000,14153000,608000,24227000,83346000,24304000,17776000,6528000,2396000,2396000,26700000,7733000,4768000,7947000,34647000,6464000,41757000,478000,48699000,48699000,83346000,5159000,818000,654000,-596000,6035000,-762000,-666000,147000,0,147000,5516000,5516000,-43000,5473000,6812000,214000,5807000,0.51836,0.10123,0.08712,0.10594,0.0619,1.12561,2.21419,0.71145,0.00257,0.1667,0.16501,1.9134,1.57363,0.18764,0.09107,0.10251,-4.1788,-4.74908
"12","2013_Q3",7.69546875,"Up",36242000,-18913000,17329000,-19053000,-17750000,-1303000,-1724000,124000,-6000,130000,-1600000,-1600000,34268000,32668000,194999.999999999,194999.999999999,32863000,32863000,32863000,28370000,28370000,8141000,8141000,13348000,7714000,4363000,57573000,7502000,45460000,13641000,434000,52962000,110535000,22263000,16565000,5698000,2134000,2134000,24397000,4685000,4685000,4713000,29110000,6512000,74620000,293000,81425000,81425000,110535000,32863000,826000,-34421000,1522000,790000,-1179000,-1165000,128000,-3.63797880709171e-12,128000,-247000,-247000,-63000,-310000,-898000,28000,-34823000,0.47815,-0.04757,0.90677,0.4036,0.29731,-1.05964,2.35984,0.35751,0.00025,1.05808,1.04473,1.16688,2.62162,-1.12119,0.38152,-0.40427,31.56125,16.43968
"13","2013_Q4",7.55578125,"Down",46256000,-24479000,21777000,-20441000,-19059000,-1382000,1336000,265000,-6000,271000,1601000,1601000,-101000,1500000,-116000,-116000,1384000,1384000,1384000,27694000,27694000,17125000,17125000,17521000,8552000,4759000,70892000,8095000,44340000,13128000,415000,52435000,123327000,33900000,27019000,6881000,1813000,1813000,35713000,4427000,4427000,4455000,40168000,6750000,76004000,405000,83159000,83159000,123327000,1384000,837000,514000,-2614000,121000,-906000,-903000,80000,0,80000,-702000,-702000,26000,-676000,2173000,28000,-1246000,0.47079,0.02888,0.02992,0.01664,0.01122,-0.90029,1.98505,0.48303,0.00023,0.04446,0.04388,1.48595,2.67143,-0.04003,0.0158,-0.01422,-12.73171,-20.70808
"14","2014_Q1",8.54852459016393,"Up",77091000,-40414000,36677000,-26559000,-24809000,-1750000,10118000,43000,-2000,45000,10161000,10161000,-1729000,8432000,116000,116000,8548000,8548000,8548000,40979000,40979000,25336000,25336000,15824000,11448000,6927000,93587000,8499000,41481000,12615000,401000,49980000,143567000,46315000,37192000,9123000,1610000,1610000,47925000,4049000,4049000,4077000,52002000,6769000,84552000,244000,91565000,91565000,143567000,8548000,863000,2185000,2544000,14140000,-738000,-735000,-5e+05,357000,-143000,13262000,13262000,23000,13285000,10981000,28000,14516000,0.47576,0.13125,0.11088,0.09335,0.05954,1.69818,1.95278,0.56792,2e-04,0.27439,0.27075,2.47459,2.9392,0.46596,0.08937,0.15177,-3.72926,-4.04734
"15","2014_Q2",10.1346031746032,"Up",71903000,-33422000,38481000,-29480000,-27577000,-1903000,9001000,-60000,1000,-61000,8941000,8941000,-3193000,5748000,-374000,-374000,5374000,5374000,5374000,54547000,42035000,13394000,13394000,13462000,9657000,4389000,91060000,8670000,37394000,12105000,307000,47070000,138130000,35156000,27320000,7836000,1983000,1983000,37139000,4023000,4023000,4023000,41162000,6975000,89926000,67000,96968000,96968000,138130000,5374000,865000,3308000,5575000,15122000,-521000,-14039000,42000,-102000,-60000,1023000,1023000,33000,1056000,9866000,0,18113000,0.53518,0.12518,0.07474,0.05542,0.03891,3.37049,2.45187,0.42449,0,0.1724,0.17033,2.30665,3.11074,0.58107,0.05321,0.17935,-5.52879,-6.0601
"16","2014_Q3",11.58265625,"Up",48547000,-23767000,24780000,-22400000,-20648000,-1752000,2380000,-45000,11000,-56000,2335000,2335000,-837000,1498000,-941000,-941000,557000,557000,557000,57335000,38285000,8895000,8895000,23229000,11346000,5069000,100805000,8680000,35551000,11595000,311000,44231000,145036000,40119000,31997000,8122000,2075000,2075000,42194000,4765000,4765000,4765000,46959000,7348000,90483000,246000,98077000,98077000,145036000,557000,967000,1132000,-593000.000000001,2063000,-466000,-5998000,192000,-72000,120000,-3815000,-3815000,65000,-3750000,3347000,7.27595761418343e-12,3125000,0.51043,0.04902,0.01147,0.00568,0.00384,5.61041,2.38908,0.4788,2.71050543121376e-20,0.01783,0.01761,1.5543,3.14007,0.10005,0.00542,0.03039,-17.13027,-24.09034
"17","2014_Q4",13.3459375,"Up",59067000,-30272000,28795000,-24514000,-22831000,-1683000,4281000,52000,9000,43000,4333000,4333000,-1669000,2664000,-177000,-177000,2487000,2487000,2487000,41733000,23740000,18265000,18265000,21349000,13631000,6238000,94978000,9755000,32383000,11085000,349000,42138000,137116000,29544000,21161000,8383000,2121000,2121000,31665000,4846000,4846000,4846000,36511000,7638000,92970000,-3000,100605000,100605000,137116000,2487000,1055000,1233000,-18622000,-13847000,-1571000,-514000,36000,-114000,-78000,-14439000,-14439000,-106000,-14545000,5336000,0,-13188000,0.4875,0.07248,0.0421,0.02472,0.01814,-5.30277,2.99946,0.36291,0,0.07949,0.07833,1.88791,3.21555,-0.42152,0.02358,-0.12506,-7.82103,-9.74842
"18","2015_Q1",15.1272131147541,"Up",94930000,-46411000,48519000,-34027000,-32134000,-1893000,14492000,123000,17000,106000,14615000,14615000,-4142000,10473000,-95999.9999999999,-95999.9999999999,10377000,10377000,10377000,72190000,45206000,26260000,26260000,24896000,19405000,6987000,142751000,9634000,23269000,10575000,628000,32903000,175654000,57425000,47574000,9851000,2246000,2246000,59671000,4911000,4911000,4911000,64582000,8033000,103347000,-308000,111072000,111072000,175654000,10377000,1137000,4286000,15234000,31034000,-623000,-9614000,-450000,666000,216000,21636000,21636000,-170000,21466000,15629000,5.82076609134674e-11,34382000,0.5111,0.15266,0.10931,0.09343,0.05908,3.31329,2.3923,0.58144,2.16840434497101e-19,0.33133,0.32602,3.03107,3.54647,1.0978,0.08947,0.29644,-4.61898,-4.98137
"19","2015_Q2",19.8379365079365,"Up",96239000,-42350000,53889000,-36284000,-33977000,-2307000,17605000,-77000,39000,-116000,17528000,17528000,-6669000,10859000,-127000,-127000,10732000,10732000,10732000,82083000,30693000,16816000,16816000,19966000,16394000,5342000,135259000,9665000,17933000,10285000,533000,27598000,162857000,35969000,26829000,9140000,2497000,2497000,38466000,5014000,5014000,5014000,43480000,6091000,114079000,-793000,119377000,119377000,162857000,10732000,910000,6313000,-4471000,13484000,-590000,-24996000,-1589000,-654000,-2243000,-13755000,-13755000,-758000,-14513000,18515000,0,20123000,0.55995,0.18293,0.11151,0.0899,0.0659,1.87505,3.51633,0.36422,0,0.34183,0.33783,3.06533,3.8023,0.64094,0.08628,0.16177,-4.43332,-4.66248
"20","2015_Q3",17.93015625,"Down",59695000,-29039000,30656000,-26724000,-24345000,-2379000,3932000,-228000,53000,-281000,3704000,3704000,-1485000,2219000,205000,205000,2424000,2424000,2424000,87237000,37489000,12635000,12635000,28379000,14150000,4469000,142401000,10544000,18050000,10106000,485000,28594000,170995000,40042000,32702000,7340000,2819000,2819000,42861000,5373000,5373000,5373000,48234000,6905000,116503000,-647000,122761000,122761000,170995000,2424000,808000,1887000,102000,5221000,-662000,979999.999999996,568000,-122000,446000.000000002,6647000,6647000,149000,6796000,4740000,9.31322574615479e-10,5665000,0.51354,0.06587,0.04061,0.01975,0.01418,2.33705,3.32239,0.39291,0,0.07699,0.07614,1.89592,3.89891,0.17992,0.01892,0.04421,-18.40443,-22.18642
"21","2015_Q4",17.56125,"Down",70690000,-34481000,36209000,-29820000,-27247000,-2573000,6389000,40000,55000,-15000,6429000,6429000,-2556000,3873000,-145000,-145000,3728000,3728000,3728000,74668000,29021000,19091000,19091000,35575000,14956000,5973000,144290000,11689000,16663000,10466000,471000,28352000,172642000,47599000,38895000,8704000,2658000,2658000,50257000,5478000,5478000,5478000,55735000,191000,117804000,-1088000,116907000,116907000,172642000,3728000,793000,2684000,-7402000,-197000,-2352000,1749000,-9546000,0,-9546000,-7994000,-7994000,-474000,-8468000,7182000,0,-16000,0.51222,0.09038,0.05274,0.03189,0.02159,-0.00429,2.87104,0.47675,0,0.1192,0.11833,2.2602,3.73791,-0.00051,0.03046,-0.00013,-10.39655,-11.68696
"22","2016_Q1",18.7906557377049,"Up",109140000,-56660000,52480000,-40135000,-37490000,-2645000,12345000,16000,49000,-33000,12361000,12361000,-2509000,9852000,-134000,-134000,9718000,9718000,9718000,60776000,30778000,45155000,45155000,42729000,16231000,6888000,164891000,16764000,134257000,73354000,433000,151021000,315912000,74772000,61745000,13027000,4753000,4753000,95518000,25640000,7260000,93403000,188921000,795999.999999999,127522000,-1327000,126991000,126991000,315912000,9718000,901000,4923000,7070000,22612000,-2130000,-100568000,166000,28999.9999999999,80195000,2239000,2239000,-482000,1757000,13246000,83756000,20695000,0.48085,0.11311,0.08904,0.07653,0.03076,2.12955,1.72628,1.48767,0.26512,0.31354,0.31098,3.52133,4.09728,0.66771,0.04111,0.08755,1.73486,1.86148
"23","2016_Q2",18.9159375,"Up",120928000,-54584000,66344000,-47044000,-43410000,-3634000,19300000,-536000,-412000,-124000,18764000,18764000,-7178000,11586000,-142000,-142000,11444000,11444000,11444000,72815000,44027000,24386000,24386000,36817000,11762000,7917000,145780000,16796000,133202000,72394000,386000,149998000,295778000,49038000,38456000,10582000,4397000,4397000,69428000,21873000,8622000,86162000,155590000,2661000,138966000,-1439000,140188000,140188000,295778000,11444000,1935000,4636000,669000,18684000,-787000,-3045000,35000,1293000,-2672000,12967000,12967000,282000,13249000,21235000,80282000,28295000,0.54862,0.1596,0.09463,0.08163,0.03869,2.47247,2.09973,1.10987,0.27143,0.36897,0.36568,3.89889,4.51986,0.91227,0.04722,0.11676,0.35164,0.38689
"24","2016_Q3",21.31046875,"Up",78529000,-36667000,41862000,-35289000,-31914000,-3375000,6573000,-582000,-446000,-136000,5991000,5991000,-2295000,3696000,-166000,-166000,3530000,3530000,3530000,73478000,40184000,19670000,19670000,42995000,15485000,7006000,151628000,17457000,132483000,71433000,575000,149940000,301568000,53738000,43247000,10491000,3865000,3865000,73596000,23041000,9932000,83280000,156876000,3842000,142496000,-1646000,144692000,144692000,301568000,3530000,2029000,142000,-1371000,4330000,81000,-4425000,396000,215000,-3389000,-3484000,-3484000,-359000,-3843000,8602000,76232000,9607000,0.53308,0.0837,0.04495,0.0244,0.01171,2.72153,2.06028,1.08421,0.25279,0.11361,0.11265,2.52732,4.65667,0.30919,0.01447,0.03938,0.32016,0.41899
"25","2016_Q4",18.6031746031746,"Down",80818000,-41601000,39217000,-31006000,-27571000,-3435000,8211000,-218000,-429000,211000,7993000,7993000,-148000,7845000,-251000,-251000,7594000,7594000,7594000,59250000,31169000,31266000,31266000,49238000,12829000,6993000,152583000,18046000,131690000,70616000,558000,149736000,302319000,54160000,44781000,9379000,3773000,3773000,73926000,18718000,5336000,74742000,148668000,5004000,150090000,-1443000,153651000,153651000,302319000,7594000,1784000,1490000,-18952000,-8084000,-2531000,2682000,1e+05,123000,-3777000,-9179000,-9179000,164000,-9015000,9995000,72017000,-11340000,0.48525,0.1016,0.09396,0.04942,0.02512,-1.49328,2.064,0.96757,0.23822,0.24403,0.24192,2.59706,4.93753,-0.36441,0.03107,-0.0464,1.27734,1.55487
"26","2017_Q1",16.9104838709677,"Down",125764000,-61662000,64102000,-44792000,-41317000,-3475000,19310000,-477000,-407000,-70000,18833000,18833000,-6859000,11974000,-364000,-364000,11610000,11610000,11610000,79617000,47874000,45458000,45458000,47030000,11251000,8020000,183356000,17468000,132242000,69800000,543000,149710000,333066000,78912000,66020000,12892000,3500000,3500000,98405000,21875000,4884000,73804000,172209000,578000,161496000,-1217000,160857000,160857000,333066000,11610000,2126000,4684000,12501000,30921000,-1419000,-5081000,-5184000,-13000,-9197000,16643000,16643000,61999.9999999999,16705000,21436000,67922000,39377000,0.5097,0.15354,0.09232,0.07218,0.03486,3.39165,1.86328,1.07057,0.20393,0.37547,0.37231,4.06727,5.20219,1.27347,0.04632,0.1571,-0.54558,-0.60564
"27","2017_Q2",18.0680952380952,"Up",113252000,-51507000,61745000,-49062000,-45151000,-3911000,12683000,-360000,-313000,-47000,12323000,12323000,-4138000,8185000,-1092000,-1092000,7093000,7093000,7093000,88813000,27760000,24870000,24870000,34295000,8693000,6986000,156671000,16718000,131401000,68983000,513000,148119000,304790000,51570000,39408000,12162000,3040000,3040000,70603000,21552000,4939000,69488000,140091000,506000,165239000,-1046000,164699000,164699000,304790000,7093000,2244000,373000,7310000,17020000,-45000,-29355000,-3307000,-741000,-8048000,-20383000,-20383000,269000,-20114000,14927000,63929000,26330000,0.5452,0.11199,0.06263,0.04307,0.02327,3.71211,2.21904,0.85059,0.20975,0.23094,0.22787,3.68743,5.36252,0.85729,0.02835,0.10524,-1.66705,-1.962
"28","2017_Q3",17.247619047619,"Down",77029000,-38651000,38378000,-34529000,-30943000,-3586000,3849000,-127000,-237000,110000,3722000,3722000,-1156000,2566000,-76999.9999999998,-76999.9999999998,2489000,2489000,2489000,85435000,21811000,24220000,24220000,42344000,10061000,6020000,162060000,16037000,130615000,68166000,492000,146652000,308712000,55682000,46936000,8746000,3266000,3266000,74941000,22032000,4929000,65399000,140340000,1381000,167728000,-737000,168372000,168372000,308712000,2489000,2274000,1238000,-5144000,857000,-1039000,-3567000,370000,1.16415321826935e-10,-3630000,-6340000.00000001,-6340000.00000001,391000,-5948999.99999999,6123000,59360000,1096000,0.49823,0.04997,0.03231,0.01478,0.00806,0.44034,2.1625,0.83351,0.19228,0.08093,0.08005,2.5046,5.47462,0.0356399999999999,0.00997,0.00439,-4.25853,-6.77449
"29","2017_Q4",14.4801587301587,"Down",88132000,-46817000,41315000,-27950000,-24333000,-3617000,13365000,-161000,-207000,46000,13204000,13204000,-4862000,8342000,-101000,-101000,8241000,8241000,8241000,77776000,30481000,38534000,38534000,57646000,6856000,6795000,180812000,16166000,129855000,67354000,456000,146021000,326833000,70202000,62146000,8056000,3253000,3253000,89448000,21879000,5011000,60911000,150359000,826000,175969000,-321000,176474000,176474000,326833000,8241000,1868000,760000,-12026000,-1157000,-1642000,14762000,-1363000,0,-5363000,8242000,8242000,428000,8670000,15233000,55025000,6427000,0.46879,0.15165,0.09351,0.0467,0.02521,0.77988,2.02142,0.85202,0.16836,0.26801,0.26521,2.86617,5.73918,0.20901,0.03252,0.02537,-1.49353,-1.70228
"30","2018_Q1",12.6745901639344,"Down",127771000,-65327000,62444000,-47238000,-42906000,-4332000,15206000,50000,-142000,192000,15256000,6456000,2076000,8532000,-88000,-88000,8444000,8444000,8444000,85196000,27893000,42685000,42685000,53354000,7257000,7240000,188492000,15827000,120457000,57743000,684000,136284000,324776000,77663000,66899000,10764000,3718000,3718000,97374000,13828000,5270000,48213000,145587000,0,179448000,-259000,179189000,179189000,324776000,8444000,2257000,1046000,6549000,18296000,-1066000,-11106000,-5708000,0,-9708000,-2518000,-2518000,-69999.9999999999,-2588000,17463000,50378000,20870000,0.48872,0.11901,0.06609,0.04712,0.026,2.47158,1.93575,0.81248,0.15512,0.27715,0.27464,4.19375,5.88141,0.685,0.03469,0.08575,-1.99382,-2.28975
"31","2018_Q2",15.17421875,"Up",114813000,-55942000,58871000,-48174000,-43673000,-4501000,10697000,-34000,-21000,-13000,10663000,10663000,-2523000,8140000,-81000,-81000,8059000,8059000,8059000,92652000,23747000,29796000,29796000,37699000,7162000,7132000,167309000,16591000,119887000,56933000,704000,136478000,303787000,53850000,41724000,12126000,3900000,3900000,73743000,14998000,5311000,45144000,118887000,230000,184939000,-269000,184900000,184900000,303787000,8059000,2439000,1411000,3687000,15596000,-1262000,-12921000,-2618000,-198000,-6816000,-4141000,-4141000,-5000,-4146000,13136000,46139000,18084000,0.51276,0.09317,0.07019,0.04359,0.02653,2.24395,2.26881,0.64298,0.15188,0.26585,0.26344,3.78746,6.09949,0.59656,0.03276,0.0735,-3.54088,-4.34823
"32","2018_Q3",14.3896825396825,"Down",75498000,-41850000,33648000,-32446000,-28411000,-4035000,1202000,57000,26000,31000,1259000,1259000,-252000.000000001,1007000,-79000,-79000,928000,928000,928000,85916000,25929000,25275000,25275000,42262000,12342000,12342000,165795000,17792000,118769000,56149000,614000,136561000,302356000,55827000,46633000,9194000,3915000,3915000,75735000,15255000,5277000,41031000,116766000,462000,185689000,-561000,185590000,185590000,302356000,927999.999999999,2029000,823000,-2787000,993000,-2966000,5986000,-17000,-198000,-4215000,2764000,2764000,-582000,2182000,3231000,41769000,-2270000,0.44568,0.01592,0.01229,0.00499999999999999,0.00307,-2.44612,2.18915,0.62916,0.13815,0.03074,0.03045,2.5006,6.14699,-0.07519,0.00383,-0.00935999999999999,-13.66357,-36.72795
"33","2018_Q4",12.5044444444444,"Down",91057000,-52551000,38506000,-32346000,-28138000,-4208000,6160000,213000,25000,188000,6373000,6373000,-1870000,4503000,-194000,-194000,4309000,4309000,4309000,71105000,30753000,46130000,46130000,55549000,11174000,11174000,183958000,19580000,117964000,55364000,631000,137544000,321502000,75521000,67675000,7846000,3904000,3904000,95418000,15425000,5284000,37218000,132636000,216000,189107000,-457000,188866000,188866000,321502000,4309000,2178000,921000,-14171000,-6763000,-2325000,17335000,-1784000,0,-5784000,4788000,4788000,36000,4824000,8338000,37786000,-6288000,0.42288,0.06765,0.04732,0.02282,0.0134,-1.45927,1.92792,0.70228,0.11753,0.14276,0.14159,3.01673,6.25716,-0.20832,0.0178,-0.02598,-3.99604,-5.40893
"34","2019_Q1",7.73409836065574,"Down",115385000,-64670000,50715000,-48005000,-43924000,-4081000,2710000,-4000,-37000,33000,2706000,2706000,-1246000,1460000,-98000,-98000,1362000,1362000,1362000,63517000,38125000,45847000,45847000,68465000,13633000,7980000,191462000,22216000,119266000,55240000,574000.000000001,141482000,332944000,95635000,87265000,8370000,3213000,3213000,114841000,17152000,5264000,35507000,150348000,215000,183290000,-909000,182596000,182596000,332944000,1362000,2296000,2805000,4962000,11425000,-3827000,8313000,-7767000,0,-11767000,7971000,7971000,-599000,7372000,5006000,34348000,7387000,0.43953,0.02349,0.0118,0.00746,0.00409,5.42364,1.66719,0.82339,0.10316,0.0458500000000001,0.04552,3.88423,6.14677,0.24867,0.00582000000000001,0.03156,-5.82681,-10.76347
"35","2019_Q2",3.94539682539683,"Down",84400000,-48558000,35842000,-46009000,-41698000,-4311000,-10167000,-433000,-40000,-393000,-10600000,-10600000,2116000,-8484000,-91000,-91000,-8575000,-8575000,-8575000,23643000,11060000,21940000,21940000,60892000,12649000,6888000,119124000,21823000,144323000,54430000,26394000,166146000,285270000,46836000,40658000,6178000,6730000,6730000,53566000,35208000,25570000,58073000,111639000,0,174497000,-866000,173631000,173631000,285270000,-8575000,2485000,-2126000,-16246000,-24462000,-1551000,8989000,39000,-136000,-11528000,-27001000,-27001000,-64000,-27065000,-7682000,22865000,-27595000,0.42467,-0.12046,-0.1016,-0.04939,-0.03006,3.21808,2.22387,0.64297,0.08015,-0.28996,-0.28996,2.85395,5.87127,-0.93311,-0.03701,-0.1191,0.10128,0.07652
"36","2019_Q3",1.5696875,"Down",59004000,-41487000,17517000,-30923000,-27074000,-3849000,-13406000,-55000,-226000,171000,-13461000,-85469000,6725000,-78744000,-124000,-124000,-78868000,-78868000,-78868000,7921000.00000001,7921000,29039000,29039000,51981000,10200000,7158000,99141000,22340000,71786000,44856000,26930000,94126000,193267000,40858000,31540000,9318000,6702000,6702000,47560000,27748000,24640000,50791000,98351000,213000,95629000,-926000,94916000,94916000,193267000,-78868000,2707000,65377000,-1970000,-12754000,-2323000,8908000,204000,29000,526000,-3320000,-3320000,181000,-3139000,-10699000,23043000,-21717000,0.29688,-0.2272,-1.33666,-0.83092,-0.40808,0.27536,2.08455,1.03619,0.11923,-2.65737,-2.65737,1.98807,3.19809,-0.73173,-0.54128,-0.14905,-1.4134,-1.128
