"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.2315873015873,"Up",130313000,-103252000,27061000,-28548000,-26159000,-8829000,-17330000,-2389000,-1487000,1968000,-441000,908000,1501000,481000,481000,638000,1119000,1119000,1119000,1119000,83597000,83597000,109673000,109673000,111064000,17522000,16003000,321856000,21408000,27915000,106428000,96677000,7303000,518000,1930000,155751000,477607000,76970000,35955000,-23746583.3357038,41015000,1227000,81637000,11128000,19322000,3251000,8010000,8061000,30450000,112087000,276148000,-18386000,115114000,-7356000,365520000,365520000,477607000,1119000,2157000,133000,17680000,21089000,-1029000,-1029000,-1029000,-980000,-5705000,-5670000,14439000,14439000,-353000,14086000,670000,12355000,16683000,0.20766,-0.01141,0.00859,0.00306,0.00234,14.90885,3.94253,0.30665,0.02587,0.04889,0.04857,5.69297,15.96842,0.72883,8,0.00282,0.042,-106.33134,47.90989
"2","2010_Q3",6.9875,"Down",129298000,-101827000,27471000,-27295000,-23655000,-7623000,-16032000,-3640000,176000,858000,-479000,840000,497000,1034000,1034000,-389000.000000001,645000,645000,645000,645000,73196000,52947000,113190000,113190000,126345000,15790000,14994000,328521000,20682000,27330000,106157000,96131000,7631000,509000,1886000,154169000,482690000,81556000,37754000,-5965527.77856795,43802000,1263000,86282000,11079000,19143000,3245000,8147000,7751000,30222000,116504000,276600000,-18386000,115760000,-7788000,366186000,366186000,482690000,645000,2049000,266000,-12911000,-9951000,-732000,-732000,-732000,-20680000,-109000,-84000,-30715000,-30715000,65000,-30650000,2225000,12342000,-11029000,0.21246,0.00136,0.00499000000000001,0.00176,0.00134,-17.09922,3.80753,0.31816,0.02557,0.02818,0.028,5.64862,15.99752,-0.48182,4,0.00162,-0.02773,-27.35011,-345.76136
"3","2010_Q4",7.12875,"Up",163167000,-128571000,34596000,-29194000,-26171000,-9499000,-16672000,-3023000,5402000,493000,-472000,6e+05,365000,5895000,5895000,-2035000,3860000,3860000,3860000,3860000,62381000,37823000,139705000,139705000,133351000,13067000,13019000,348504000,20229000,24393000,106890000,95665000,8212000,528000,2485000,151512000,500016000,89346000,38276000,1011000,50059000,2712000,96136000,10792000,19231000,3601000,8243000,7387000,30023000,126159000,277468000,-18386000,119619000,-4844000,373857000,373857000,500016000,3860000,1693000,395000,-22089000,-16141000,-745000,-745000,-745000,-702000,1220000,1659000,-15184000,-15184000,60000,-15124000,7095000,13504000,-13704000,0.21203,0.03311,0.02366,0.01032,0.00772,-3.55026,3.62511,0.33745,0.02701,0.16831,0.16711,7.11467,16.30151,-0.59754,5,0.00949,-0.0337,-6.88894,-9.04795
"4","2011_Q1",7.91870967741936,"Up",138894000,-104085000,34809000,-28676000,-25794000,-8566000,-17228000,-2882000,6133000,160000,-1238000,557000,841000,6293000,5086000,12321000,17407000,17407000,17407000,17407000,98630000,98630000,116430000,116430000,113620000,12150000,9382000,340830000,19563000,26264000,114440000,99189000,7373000,6244000,1634000,160267000,501097000,77432000,27341000,1610000,48481000,4471000,82302000,7425000,18424000,3554000,4919000,9951000,25849000,108151000,278144000,-18376000,137027000,-3849000,392946000,392946000,501097000,17407000,1966000,-10983000,28743000,37133000,-549000,-549000,-549000,23782000,-730000,-287000.000000004,60628000,60628000,179000,60807000,8099000,11896000,23972000,0.25062,0.04416,0.12533,0.0443,0.03474,1.37715,4.14121,0.27523,0.02374,0.75549,0.74785,6.02818,17.05437,1.04042,7,0.04113,0.05664,-10.70922,-14.14218
"5","2011_Q2",7.3847619047619,"Down",165325000,-121637000,43688000,-38368000,-34557000,-11904000,-22653000,-3811000,5320000,127000,-1483000,1129000,481000,5447000,4104000,-1617000,2487000,2487000,2487000,2487000,16237000,16237000,126425000,126425000,138789000,17313000,11479000,298764000,24981000,27147000,248827000,179249000,64856000,12000,4710000,300955000,599719000,106819000,48531000,609000,57679000,4075000,111309000,71180000,20636000,3770000,11014000,5852000,91816000,203125000,278146000,-18376000,139514000,-2690000,396594000,396594000,599719000,2487000,2541000,326000,23394000,28748000,-484000,-484000,-484000,-167675000,59371000,56371000,-82556000,-82556000,163000,-82393000,7861000,75255000,32388000,0.26426,0.03218,0.01504,0.00627,0.00415,13.02292,2.6841,0.51217,0.12548,0.10776,0.10679,7.16332,17.1839,1.40333,6,0.00505,0.06576,7.5077,11.09361
"6","2011_Q3",6.6103125,"Down",158337000,-114475000,43862000,-35971000,-31964000,-11199000,-20765000,-4007000,7891000,-1729000,-1392000,890000,-1227000,6162000,5922000,-2484000,3438000,3438000,3438000,3438000,14339000,14339000,124449000,124449000,151137000,13052000,8722000,302977000,24017000,27025000,269346000,176847000,88373000,12000,4114000,320388000,623365000,118069000,54008000,2435000,61626000,3498000,121984000,60622000,40351000,3250000,30804000,6297000,100973000,222957000,278272000,-18376000,142953000,-2441000,400408000,400408000,623365000,3438000,2515000,1885000,2839000,10677000,-498000,-498000,-498000,-444000,-11754000,-12037000,-1804000,-1804000,-94000,-1898000,10406000,64120000,15231000,0.27702,0.04984,0.02171,0.00859,0.00552,4.43019,2.48374,0.55682,0.10286,0.14903,0.14788,6.86377,17.35733,0.66025,6,0.00681,0.03017,4.78387,6.30858
"7","2011_Q4",6.94666666666667,"Up",206803000,-146960000,59843000,-41382000,-37361000,-12620000,-24741000,-4021000,18461000,-3443000,-1371000,1236000,-3308000,15018000,14994000,-6136000,8858000,8858000,8858000,8858000,18836000,18836000,167698000,167698000,147785000,11305000,8967000,345624000,23199000,27757000,268422000,177327000,87366000,11000,3718000,319378000,665002000,139019000,58799000,4990000,75230000,4293000,143700000,72894000,40402000,3224000,30931000,6247000,113296000,256996000,278625000,-18376000,151810000,-4053000,408006000,408006000,665002000,8858000,2880000,1710000,-21852000,-8404000,-1173000,-1173000,-1173000,-1132000,14134000,14134000,4598000,4598000,-101000,4497000,21341000,77187000,4452000,0.28937,0.08927,0.04283,0.02171,0.01332,0.5026,2.40518,0.62988,0.11607,0.38389,0.38389,8.96259,17.68248,0.19294,5,0.01685,0.00847,2.73422,3.16077
"8","2012_Q1",12.7266129032258,"Up",176597000,-121035000,55562000,-40605000,-36619000,-11559000,-25060000,-3986000,14957000,63000.0000000009,-1384000,780000,667000.000000002,15020000,13872000,-3006000,10866000,10866000,10866000,10866000,13606000,13606000,146596000,146596000,129514000,17396000,13549000,307112000,31779000,27995000,265996000,175349000,86069000,796000,3782000,325770000,632882000,118723000,42026000,5864000,70833000,3592000,122830000,40056000,48199000,3196000,34220000,10783000,88255000,211085000,281463000,-18369000,162676000,-3973000,421797000,421797000,632882000,10866000,2359000,1035000,17586000,31846000,-10209000,-10209000,-10209000,-10159000,-29297000,-27052000,-5365000,-5365000,135000,-5230000,17316000,43648000,27699000,0.31463,0.0847,0.06153,0.02576,0.01717,2.54914,2.5003,0.50044,0.06897,0.47042,0.46336,7.64543,18.26089,1.19918,5,0.02115,0.05393,1.73493,2.00856
"9","2012_Q2",11.402380952381,"Down",194036000,-143540000,50496000,-45841000,-38430000,-13205000,-25225000,-7411000,4655000,-10543000,-2244000,1357000,-9656000,-5888000,-7484000,2784000,-4700000,-4700000,-4700000,-4700000,21277000,21277000,143014000,143014000,152781000,17557000,12524000,334629000,60841000,28864000,363874000,196431000,158230000,756000,8457000,453579000,788208000,146412000,59448000,5139000,81825000,18201000,164914000,151489000,57492000,3593000,39237000,14662000,208981000,373895000,283005000,-18369000,157976000,-8299000,414313000,414313000,788208000,-4700000,2784000,-2571000,24642000,20155000,-8439000,-8439000,-8439000,-116288000,106378000,104472000,8339000,8339000,-668000,7671000,7439000,169690000,20858000,0.26024,0.02399,-0.02422,-0.01134,-0.00596,-4.43787,2.02911,0.90245,0.21529,-0.2017,-0.2017,8.3272,17.78056,0.89514,2,-0.00733,0.03251,19.95067,31.88249
"10","2012_Q3",7.78666666666667,"Down",191715000,-137029000,54686000,-47791000,-41098000,-11507000,-29591000,-6693000,6895000,-843000,-1693000,1193000,-343000,6052000,5997000,-2277000,3720000,3720000,3720000,3720000,17709999.9999998,17710000,138595000,138595000,170562000,16766000,11473000,343633000,62526000,29774000,362900000,194962000,158340000,801000,8797000,455200000,798833000,141033000,67286000,1989000,71758000,25719000,167077000,154371000,57320000,3818000,39120000,14382000,211691000,378768000,285796000,-18369000,161696000,-9058000,420065000,420065000,798833000,3720000,5365000,-150000,-21991000,-13056000,-2072000,-2072000,-2072000,400000.00000003,10607000,10607000,-2049000,-2049000,-1518000,-3567000,12260000,180090000,-9526000,0.28525,0.03596,0.0194,0.00886,0.00466,-2.56075,2.05673,0.90169,0.22544,0.15899,0.15899,8.19373,17.95321,-0.40713,2,0.00566,-0.01449,13.2447,23.5504
