"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.6104761904762,"Down",1.292e+10,-2.842e+09,1.0078e+10,-5.596e+09,-3.531e+09,-2.79e+09,-7.41e+08,-2.065e+09,4.482e+09,2.83e+08,2.83e+08,4.765e+09,4.765e+09,-1.191e+09,3.574e+09,3.574e+09,3.574e+09,3.574e+09,3.6728e+10,8.823e+09,2.7905e+10,8.587e+09,8.587e+09,1.15e+09,5.766e+09,3.325e+09,5.2231e+10,7.512e+09,6.006e+09,1.5863e+10,1.653e+09,1.2582e+10,1.628e+09,2.9381e+10,8.1612e+10,5.511e+09,3.287e+09,2.224e+09,2.25e+09,2.1e+10,1.3567e+10,6.586e+09,2.8761e+10,3.746e+09,7.893e+09,1.201e+09,1.55e+08,6.537e+09,1.1639e+10,4.04e+10,6.2293e+10,6.2293e+10,-2.1081e+10,4.1212e+10,4.1212e+10,8.1612e+10,3.574e+09,6.46e+08,7.001e+09,4.43e+08,-4.6e+07,6.604e+09,-5.114e+09,2.748e+09,-4.19e+08,-3.6e+07,-7.407e+09,6.107e+09,-4.35e+08,-4.35e+08,-4.35e+08,-2.575e+09,7.915e+09,-1.049e+10,-3.9e+07,1.85e+09,-1.199e+09,-1.157e+09,2.5e+08,-1.292e+09,2.48e+08,-1.54e+09,9e+06,-2.19e+09,2.718e+09,2.718e+09,2.9e+07,2.747e+09,5.128e+09,5.996e+09,7.7e+08,0.78003,0.3469,0.27663,0.08672,0.04379,0.21544,1.81604,0.9803,0.07347,0.40094,0.39786,1.44941,4.62329,0.08638,0.1298,5,0.08586,0.01397,0.32373,-5.99298,-6.85676
"2","2010_Q3",19.24609375,"Down",1.9022e+10,-3.628e+09,1.5394e+10,-6.881e+09,-4.802e+09,-3.619e+09,-1.183e+09,-2.079e+09,8.513e+09,3.7e+08,3.7e+08,8.883e+09,8.883e+09,-2.221e+09,6.662e+09,6.662e+09,6.662e+09,6.662e+09,3.6099e+10,9.422e+09,2.6677e+10,1.1196e+10,1.1196e+10,5.89e+08,4.603e+09,2.547e+09,5.2487e+10,7.402e+09,6.976e+09,1.5231e+10,1.346e+09,1.2368e+10,1.517e+09,2.9609e+10,8.2096e+10,5.588e+09,3.171e+09,2.417e+09,2.249e+09,1.7878e+10,1.1361e+10,5.796e+09,2.5715e+10,3.746e+09,8.352e+09,1.167e+09,3.77e+08,6.808e+09,1.2098e+10,3.7813e+10,6.2566e+10,6.2566e+10,-1.8283e+10,4.4283e+10,4.4283e+10,8.2096e+10,6.662e+09,6.15e+08,7.758e+09,4.85e+08,5.5e+08,6.723e+09,-1.0066e+10,-2.789e+09,5.58e+08,3e+06,-7.838e+09,4.969e+09,-3.76e+08,-3.76e+08,-3.76e+08,9.7e+08,5.257e+09,-4.287e+09,-6.3e+07,-6.23e+08,-9.2e+07,-1.152e+09,-2e+06,-3.138e+09,7.29e+08,-3.867e+09,1.5e+07,-4.277e+09,6e+08,6e+08,-1e+06,5.99e+08,9.128e+09,5.995e+09,906999999.999999,0.80927,0.44753,0.35023,0.15044,0.08115,0.13615,2.0411,0.85389,0.07302,0.75226,0.74295,2.14792,5.00034,0.10242,0.13008,6,0.13328,0.01547,0.17292,-3.29798,-3.53624
"3","2010_Q4",20.5603125,"Up",1.4503e+10,-2.755e+09,1.1748e+10,-6.575e+09,-4.355e+09,-3.203e+09,-1.152e+09,-2.22e+09,5.173e+09,1.68e+08,1.68e+08,5.341e+09,5.341e+09,-1.335e+09,4.006e+09,4.006e+09,4.006e+09,4.006e+09,3.9666e+10,8.155e+09,3.1511e+10,9.137e+09,9.137e+09,5.01e+08,5.214e+09,2.992e+09,5.4518e+10,7.372e+09,7.797e+09,1.5223e+10,1.282e+09,1.2463e+10,1.478e+09,3.0392e+10,8.491e+10,6.164e+09,3.279e+09,2.885e+09,2.249e+09,1.8011e+10,1.1171e+10,5.939e+09,2.6424e+10,3.746e+09,9.03e+09,1.089e+09,8.28e+08,7.113e+09,1.2776e+10,3.92e+10,6.2517e+10,6.2517e+10,-1.6807e+10,4.571e+10,4.571e+10,8.491e+10,4.006e+09,6.94e+08,6.245e+09,4.81e+08,-2.41e+08,6.005e+09,-3.552e+09,1.947e+09,7.7e+07,1.22e+08,-5.698e+09,7.393e+09,-4.08e+08,-4.08e+08,-4.08e+08,-5.236e+09,5.981e+09,-1.1217e+10,-1.43e+08,-1.17e+08,-5.904e+09,-1.139e+09,0,-1.601e+09,4.22e+08,-2.023e+09,1.4e+07,-2.726e+09,-1.237e+09,-1.237e+09,-3e+07,-1.267e+09,5.867e+09,5.995e+09,3.242e+09,0.81004,0.35668,0.27622,0.08764,0.04718,0.80929,2.0632,0.85758,0.0706,0.45689,0.44936,1.65408,5.21328,0.36975,0.1299,7,0.08471,0.05338,0.28432,-5.73905,-6.50899
"4","2011_Q1",21.201935483871,"Up",1.6039e+10,-3.17e+09,1.2869e+10,-6.939e+09,-4.589e+09,-3.602e+09,-9.87e+08,-2.35e+09,5.93e+09,9.4e+07,9.4e+07,6.024e+09,6.024e+09,-1.506e+09,4.518e+09,4.518e+09,4.518e+09,4.518e+09,3.6788e+10,5.505e+09,3.1283e+10,1.3014e+10,1.3014e+10,7.4e+08,5.134e+09,2.95e+09,5.5676e+10,7.63e+09,7.754e+09,1.5053e+10,1.158e+09,1.2394e+10,1.501e+09,3.0437e+10,8.6113e+10,7.308e+09,4.025e+09,3.283e+09,1e+09,1.7839e+10,1.3652e+10,3.113e+09,2.6147e+10,4.939e+09,8.852e+09,1.178e+09,2.29e+08,7.445e+09,1.3791e+10,3.9938e+10,6.2856e+10,6.2856e+10,-1.6681e+10,4.6175e+10,4.6175e+10,8.6113e+10,4.518e+09,7.18e+08,9.788e+09,4.82e+08,-4.83e+08,9.789e+09,-9.42e+09,-4.144e+09,-2.6e+08,7.55e+08,-5.771e+09,5.604e+09,-7.58e+08,-7.58e+08,-7.58e+08,-749000000.000001,3.425e+09,-4.174e+09,0,-2.612e+09,-4.119e+09,-1.13e+09,-5.8e+07,-2.927e+09,9.12e+08,-3.839e+09,1.7e+07,-4.098e+09,-2.613e+09,-2.613e+09,-3.7e+07,-2.65e+09,6.648e+09,5.939e+09,-2.024e+09,0.80236,0.36972,0.28169,0.09785,0.05247,-0.44799,2.12935,0.86493,0.06897,0.51848,0.51091,1.8406,5.29894,-0.23227,0.12968,7,0.09264,-0.0332,0.25011,-4.64034,-5.20219
"5","2011_Q2",19.8220634920635,"Down",1.6195e+10,-3.139e+09,1.3056e+10,-5.94e+09,-3.744e+09,-2.806e+09,-9.38e+08,-2.196e+09,7.116e+09,1.14e+08,1.14e+08,7.23e+09,7.23e+09,-1.82e+09,5.41e+09,5.41e+09,5.41e+09,5.41e+09,4.4173e+10,8.161e+09,3.6012e+10,9.646e+09,9.646e+09,1.242e+09,4.52e+09,2.176e+09,5.9581e+10,7.771e+09,9.211e+09,1.4977e+10,1.077e+09,1.2471e+10,1.429e+09,3.1959e+10,9.154e+10,5.906e+09,3.654e+09,2.252e+09,1e+09,1.8951e+10,1.2767e+10,4.048e+09,2.5857e+10,9.665e+09,9.076e+09,1.152e+09,5.4e+08,7.384e+09,1.8741e+10,4.4598e+10,6.1935e+10,6.1935e+10,-1.4993e+10,4.6942e+10,4.6942e+10,9.154e+10,5.41e+09,6.94e+08,6.227e+09,5.28e+08,-1.48e+08,5.847e+09,-4.137e+09,3.674e+09,-4.68e+08,-4e+08,-6.943e+09,8.194e+09,-5.64e+08,-5.64e+08,-5.64e+08,-5.12e+09,2.297e+09,-7.417e+09,0,7.27e+08,-4.957e+09,-1.118e+09,4.721e+09,-4.222e+09,1.77e+08,-4.399e+09,-2e+07,-6.39e+08,2.598e+09,2.598e+09,5.8e+07,2.656e+09,7.81e+09,1.0665e+10,4.929e+09,0.80617,0.43939,0.33405,0.11525,0.0591,0.91109,2.30425,0.95007,0.11651,0.62805,0.6222,1.88008,5.4495,0.57221,0.12979,8,0.0979,0.07392,0.20665,-4.2904,-4.70883
"6","2011_Q3",20.7446875,"Up",1.9953e+10,-4.833e+09,1.512e+10,-6.955e+09,-4.77e+09,-3.825e+09,-9.45e+08,-2.185e+09,8.165e+09,3.32e+08,3.32e+08,8.497e+09,8.497e+09,-1.863e+09,6.634e+09,6.634e+09,6.634e+09,6.634e+09,4.1252e+10,4.023e+09,3.7229e+10,1.2874e+10,1.2874e+10,8.61e+08,4.697e+09,2.149e+09,5.9684e+10,7.799e+09,1.0022e+10,1.4801e+10,9.92e+08,1.2502e+10,1.307e+09,3.2622e+10,9.2306e+10,6.265e+09,3.863e+09,2.402e+09,0,1.8047e+10,1.2063e+10,4.545e+09,2.4312e+10,9.671e+09,9.842e+09,1.354e+09,8.26e+08,7.662e+09,1.9513e+10,4.3825e+10,6.1646e+10,6.1646e+10,-1.3165e+10,4.8481e+10,4.8481e+10,9.2306e+10,6.634e+09,6.63e+08,7.04e+09,5.53e+08,-1.17e+08,6.604e+09,-1.0151e+10,-3.27e+09,3.8e+08,2.16e+08,-7.477e+09,4.186e+09,-4.91e+08,-4.91e+08,-4.91e+08,-1.457e+09,4.439e+09,-5.896e+09,-6.9e+07,4.47e+08,-1.57e+09,-1.363e+09,-1e+09,-4.392e+09,6.6e+08,-5.052e+09,4e+06,-6.751e+09,-4.135e+09,-4.135e+09,-3e+06,-4.138e+09,8.828e+09,9.671e+09,4.9e+07,0.75778,0.40921,0.33248,0.13684,0.07187,0.00739000000000001,2.45492,0.90396,0.10477,0.78084,0.77166,2.34852,5.70633,0.00576999999999994,0.16043,4,0.11761,0.000720000000000012,0.20546,-3.57737,-3.86785
"7","2011_Q4",20.8914285714286,"Up",1.6428e+10,-3.897e+09,1.2531e+10,-6.822e+09,-4.553e+09,-3.393e+09,-1.16e+09,-2.269e+09,5.709e+09,3.16e+08,3.16e+08,6.025e+09,6.025e+09,-7.93e+08,5.232e+09,5.232e+09,5.232e+09,5.232e+09,5.015e+10,7.021e+09,4.3129e+10,1.0033e+10,1.0033e+10,1.056e+09,5.024e+09,2.438e+09,6.6263e+10,7.969e+09,1.0748e+10,1.4747e+10,8.4e+08,1.2554e+10,1.353e+09,3.3464e+10,9.9727e+10,6.746e+09,3.829e+09,2.917e+09,0,1.7296e+10,1.1887e+10,4.57e+09,2.4042e+10,1.1915e+10,1.0318e+10,1.132e+09,1.185e+09,8.001e+09,2.2233e+10,4.6275e+10,6.3234e+10,6.3234e+10,-9.782e+09,5.3452e+10,5.3452e+10,9.9727e+10,5.232e+09,7.2e+08,6.971e+09,5.41e+08,-5.9e+07,6.489e+09,-4.251e+09,3.031e+09,-1.7e+08,-5.1e+07,-7.061e+09,8.672e+09,-6.58e+08,-6.58e+08,-6.58e+08,-6.37e+09,8.024e+09,-1.4394e+10,0,-1.11e+08,-7.139e+09,-1.349e+09,2.239e+09,5.57e+08,1.405e+09,-8.48e+08,-1e+07,1.437e+09,2.97e+09,2.97e+09,2.8e+07,2.998e+09,6.429e+09,1.1915e+10,2.313e+09,0.76278,0.34752,0.31848,0.09788,0.05246,0.44209,2.75614,0.86573,0.11948,0.62116,0.61301,1.95037,6.34596,0.27461,0.16016,6,0.08695,0.03056,0.25784,-5.94727,-6.69732
"8","2012_Q1",24.6656451612903,"Up",1.7367e+10,-3.708e+09,1.3659e+10,-7.488e+09,-5.095e+09,-3.916e+09,-1.179e+09,-2.393e+09,6.171e+09,1.48e+08,1.48e+08,6.319e+09,6.319e+09,-4.45e+08,5.874e+09,5.874e+09,5.874e+09,5.874e+09,5.2772e+10,9.61e+09,4.3162e+10,1.4987e+10,1.4987e+10,1.372e+09,5.787e+09,3.32e+09,7.4918e+10,8.162e+09,1.0865e+10,1.4759e+10,7.44e+08,1.2581e+10,1.434e+09,3.3786e+10,1.08704e+11,7.772e+09,4.197e+09,3.575e+09,0,2.1002e+10,1.5722e+10,4.7e+09,2.8774e+10,1.1921e+10,1.0926e+10,1.398e+09,1.456e+09,8.072e+09,2.2847e+10,5.1621e+10,6.3415e+10,6.3415e+10,-6.332e+09,5.7083e+10,5.7083e+10,1.08704e+11,5.874e+09,6.89e+08,1.2778e+10,5.44e+08,3.26e+08,1.1908e+10,-1.3399e+10,-4.886e+09,-3.03e+08,2.93e+08,-8.503e+09,5.942e+09,-6.42e+08,-6.42e+08,-6.42e+08,-2.69e+08,8.017e+09,-8.286e+09,-1999999.99999994,-3.7e+07,-9.5e+08,-1.35e+09,4.76837158203125e-07,-1.076e+09,1.8e+08,-1.256e+09,3e+06,-2.423e+09,2.569e+09,2.569e+09,2e+07,2.589e+09,6.86e+09,1.1921e+10,-6.736e+09,0.78649,0.35533,0.33823,0.1029,0.05404,-1.14675,2.60367,0.90431,0.10966,0.69705,0.68742,2.06088,6.77382,-0.79934,0.1602,6,0.09038,-0.08427,0.22983,-5.95496,-6.61983
"9","2012_Q2",24.7271428571429,"Up",1.7372e+10,-3.777e+09,1.3595e+10,-6.392e+09,-4.063e+09,-2.9e+09,-1.163e+09,-2.329e+09,7.203e+09,1.03e+08,1.03e+08,7.306e+09,7.306e+09,-1.568e+09,5.738e+09,5.738e+09,5.738e+09,5.738e+09,5.7403e+10,1.2881e+10,4.4522e+10,1.0153e+10,1.0153e+10,2.27e+09,5.445e+09,3.255e+09,7.5271e+10,8.033e+09,8.576e+09,1.5535e+10,1.026e+09,1.2537e+10,1.972e+09,3.2144e+10,1.07415e+11,6.107e+09,3.719e+09,2.388e+09,-65931286.9399243,1.9436e+10,1.4345e+10,4.386e+09,2.5543e+10,1.1927e+10,1.0554e+10,1.313e+09,1.04e+09,8.201e+09,2.2481e+10,4.8024e+10,6.3492e+10,6.3492e+10,-4.101e+09,5.9391e+10,5.9391e+10,1.07415e+11,5.738e+09,7.26e+08,6.999e+09,5.58e+08,4.02e+08,6.039e+09,-4.97e+09,4.733e+09,-9.2e+08,-4.42e+08,-8.341e+09,8.493e+09,-4.36e+08,-4.36e+08,-4.36e+08,-9.38e+08,1.0361e+10,-1.1299e+10,-8.75e+08,-6.6e+07,-2.315e+09,-1.341e+09,-873815802.316715,-1.598e+09,3.36e+08,-1.934e+09,7e+07,-2.869e+09,3.309e+09,3.309e+09,-3.8e+07,3.271e+09,7.929e+09,1.1927e+10,4.091e+09,0.78258,0.41463,0.3303,0.09661,0.05342,0.71297,2.94683,0.80861,0.11104,0.68375,0.67585,2.07007,7.0771,0.48749,0.1598,5,0.08646,0.04997,0.23371,-5.7354,-6.31348
"10","2012_Q3",24.7596825396825,"Up",2.0885e+10,-5.638e+09,1.5247e+10,-7.253e+09,-4.882e+09,-3.762e+09,-1.12e+09,-2.371e+09,7.994e+09,2.45e+08,2.45e+08,8.239e+09,8.239e+09,-1.615e+09,6.624e+09,6.624e+09,6.624e+09,6.624e+09,5.1736e+10,1.061e+10,4.1126e+10,1.3643e+10,1.3643e+10,1.351e+09,5.783e+09,3.614e+09,7.2513e+10,8.01e+09,7.55e+09,2.417e+10,2.581e+09,1.967e+10,1.919e+09,3.973e+10,1.12243e+11,6.561e+09,3.884e+09,2.677e+09,22404115.0018512,1.8812e+10,1.3985e+10,3.906e+09,2.5373e+10,1.1932e+10,1.0817e+10,1.349e+09,1.082e+09,8.386e+09,2.2749e+10,4.8122e+10,6.3902e+10,6.3902e+10,2.19e+08,6.4121e+10,6.4121e+10,1.12243e+11,6.624e+09,6.78e+08,8.017e+09,5.75e+08,1.4e+07,7.428e+09,-9.457e+09,-3.652e+09,8.91e+08,1.76e+08,-6.872e+09,5.862e+09,-4.98e+08,-4.98e+08,-4.98e+08,3.849e+09,1.3896e+10,-1.0047e+10,-8.627e+09,-2.92e+08,-5.568e+09,-1.683e+09,0,-8.34e+08,2.08e+08,-1.042e+09,4e+06,-2.513e+09,-2.219e+09,-2.219e+09,-5.2e+07,-2.271e+09,8.672e+09,1.1932e+10,3.32e+08,0.73005,0.38276,0.31717,0.1033,0.05901,0.0501200000000001,2.85788,0.75049,0.10631,0.78838,0.7804,2.48572,7.63164,0.0395100000000004,0.20031,4,0.09563,0.00381999999999998,0.25408,-4.58994,-4.97923
