"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",27.7355555555556,"Up",99310000,-64640000,-6492000,-29696000,-28452000,34670000,-14376000,-14376000,-14376000,20294000,24341000,44635000,21000,44656000,44656000,-1458000,43198000,43198000,9496000,9496000,4533000,4533000,23748000,23748000,37777000,2697975000,3492647000,-794672000,192074000,192074000,2890049000,2927826000,561583000,82184000,26848000,452551000,10735000,10735000,572318000,915740000,45495000,45495000,961235000,1533553000,1966164000,-617646000,1348518000,45755000,1394273000,2927826000,44656000,23946000,-17167000,2859000,2859000,54294000,-57646000,-527000,-58173000,-26015000,27355000,-89000,1251000,-2628000,-2628000,-2628000,58616000,915740000,3808000,0.34911,0.43498,0.03098,0.01475,0.08815,0.06601,1.09989,0.31277,0.36158,0.35995,0.83125,11.2875,0.03187,0.21775,0.02938,0.00162,0.60223,15.46069,26.13914
"12","2018_Q1",26.11,"Down",102130000,-65562000,-6769000,-29134000,-29659000,36568000,-13539000,-13539000,-13539000,23029000,78229000,101258000,42999.9999999999,101301000,101301000,-3314000,97987000,97987000,21146000,21146000,4873000,4873000,25336000,25336000,51355000,2705826000,3495745000,-789919000,183881000,183881000,2889707000,2941062000,563604000,86532000,27016000,450056000,10355000,10355000,573959000,846941000,44285000,44285000,891226000,1465185000,1968309000,-540509000,1427800000,48077000,1475877000,2941062000,101301000,23381000,-70465000,-9849000,-9849000,44368000,76286000,12353000,88639000,-26016000,-70161000,-4946000,-101123000,31884000,31884000,31884000,59949000,846941000,126343000,0.35805,0.95943,0.06639,0.03332,1.28939,0.08948,0.99276,0.28797,0.82013,0.81593,0.8548,11.95032,1.05746,0.21775,0.05239,0.05337,0.2655,13.77496,22.58245
"13","2018_Q2",28.09171875,"Up",99771000,-65869000,-8143000,-28315000,-29411000,33902000,-12791000,-12791000,-12791000,21111000,16439000,37550000,-86000,37464000,37464000,-1172000,36292000,36292000,19782000,19782000,5770000,5770000,65304000,65304000,90856000,2755571000,3543805000,-788234000,198168000,198168000,2953739000,3044595000,400216000,70997000,27558000,301661000,10734000,10734000,410950000,1100220000,45961000,45961000,1146181000,1557131000,1971923000,-527465000,1444458000,43006000,1487464000,3044595000,37464000,22953000,-9725000,-13668000,-13668000,37024000,-72168000,-3053000,-75221000,-26565000,95337000,-8696000,60076000,21879000,21879000,21879000,56855000,1100220000,-28895000,0.3398,0.36375,0.0244,0.01192,-0.79618,0.22109,1.04684,0.36137,0.30282,0.3019,0.83249,12.05262,-0.2411,0.22166,0.02387,-0.01097,0.73198,19.00339,31.86945
"14","2018_Q3",29.054126984127,"Up",98845000,-63935000,-6746000,-28636000,-28553000,34910000,-12603000,-12603000,-12603000,22307000,24222000,46529000,-123000,46404000,46404000,-1195000,45209000,45209000,61834000,61834000,5714000,5714000,31983000,31983000,99531000,2792668000,3587145000,-794477000,218155000,194556000,3010823000,3110354000,400349000,71600000,28771000,299978000,10330000,10330000,410679000,1000574000,43289000,43289000,1043863000,1454542000,2124720000,-507091000,1617629000,38183000,1655812000,3110354000,46404000,23207000,-17131000,4313000,4313000,56793000,-41131000,2059000,-64262000,-26996000,-101801000,-166000.000000002,16621000,9152000,9152000,9152000,58117000,1000574000,21422000,0.35318,0.45737,0.0273,0.01454,0.47384,0.24236,0.87845,0.32169,0.36566,0.36428,0.79948,13.0838,0.17327,0.21835,0.02675,0.00793999999999998,0.59714,16.15259,26.89029
"15","2018_Q4",27.9496825396825,"Down",100256000,-63692000,-6581000,-28645000,-28466000,36564000,-12424000,-12424000,-12424000,24140000,7285000,31425000,302000,31530000,31530000,-619000,30911000,30911000,52728000,52728000,3428000,3428000,26202000,26202000,82358000,2814725000,3623916000,-809191000,228244000,204841000,3042969000,3125327000,409336000,82399000,28749000,298188000,9944000,9944000,419280000,1000943000,42079000,42079000,1043022000,1462302000,2130814000,-501936000,1628878000,34147000,1663025000,3125327000,31530000,23237000,-108000,2559000,2559000,57218000,-31015000,-2002000,-33017000,-28044000,-1828000,-133000,-30005000,-5804000,-5804000,-5804000,59801000,1000943000,31043000,0.36471,0.30832,0.01859,0.00989,1.00427,0.19643,0.8793,0.32027,0.24569,0.24499,0.79687,12.94692,0.24674,0.2229,0.02179,0.01147,0.90725,15.85617,25.93302
"16","2019_Q1",29.9706557377049,"Up",105082000,-67566000,-6279000,-30863000,-30424000,37516000,-12957000,-12957000,-12957000,24559000,27455000,52014000,-1000.00000000006,51936000,51936000,-1109000,50827000,50827000,43102000,43102000,5185000,5185000,7271000,7271000,55558000,2861860000,3673644000,-811784000,225273000,201947000,3087133000,3142691000,403980000,78665000,28845000,296470000,9560000,9560000,413540000,1001313000,47927000,47927000,1049240000,1462780000,2132819000,-487305000,1645514000,34397000,1679911000,3142691000,51936000,25229000,-21227000,3522000,3522000,59460000,-53156000,2258000,-50898000,-28044000,-1853999.99999999,0,-29898000,-21336000,-21336000,-21336000,62745000,1001313000,13112000,0.35702,0.48369,0.03026,0.01617,0.25797,0.13435,0.87075,0.31862,0.40364,0.40252,0.8345,13.06772,0.10413,0.22271,0.0289,0.0048,0.55175,15.27151,25.5414
"17","2019_Q2",32.5369841269841,"Up",104541000,-67025000,-6802000,-30055000,-30168000,37516000,-12767000,-12767000,-12767000,24749000,-1039000,23710000,-214000,24340000,24340000,-537000,23803000,23803000,20422000,20422000,6335000,6335000,22499000,22499000,49256000,2898937000,3724985000,-826048000,230461000,209042000,3129398000,3178654000,342489000,89576000,30139000,222774000,21554000,21554000,364043000,1103682000,44965000,44965000,1148647000,1512690000,2128972000,-500653000,1628319000,37645000,1665964000,3178654000,24340000,24376000,7785000,-14772000,-14772000,41729000,-52108000,-4873000,-56981000,-28042000,28194000,-4384000,-4232000,-19484000,-19484000,-19484000,61892000,1103682000,-4774000,0.35886,0.22769,0.01429,0.00749,-0.20056,0.1353,0.908,0.34722,0.18862,0.18823,0.82841,12.9033,-0.03783,0.22221,0.01842,-0.0017,1.17809,17.50242,28.87461
"18","2019_Q3",35.36953125,"Up",104095000,-63935000,-6782000,-29774000,-27379000,40160000,-12332000,-12332000,-12332000,27828000,303000,28131000,-2934000,40713000,40713000,-913000,39800000,39800000,33445000,33445000,5032000,5032000,11858000,11858000,50335000,2973831000,3818545000,-844714000,230735000,212603000,3204566000,3254901000,352692000,101054000,30281000,221357000,21751000,21751000,374443000,1160052000,46003000,46003000,1206055000,1580498000,2130972000,-494428000,1636544000,37859000,1674403000,3254901000,40713000,24253000,3682000,9741000,9741000,78389000,-108282000,7700999.99999999,-100581000,-29722000,54470000,9.31322574615479e-10,24748000,2556000,2556000,2556000,64413000,1160052000,-31194000,0.3858,0.38234,0.02377,0.01223,-0.78377,0.13443,0.94392,0.3564,0.31536,0.31465,0.8248,12.96724,-0.24717,0.2355,0.02414,-0.01083,0.74678,17.49037,28.05296
"19","2019_Q4",38.23015625,"Up",106590000,-65490000,-6945000,-30149000,-28396000,41100000,-12466000,-12466000,-12466000,28634000,51684000,80318000,-244000,80002000,80002000,-1691000,78311000,78311000,27957000,27957000,4781000,4781000,42468000,42468000,75206000,3013435000,3854732000,-841297000,288084000,270024000,3301519000,3376725000,336688000,125989000,30386000,180313000,31617000,31617000,368305000,1229487000,53613000,53613000,1283100000,1651405000,2139328000,-446781000,1692547000,32773000,1725320000,3376725000,80002000,24425000,-44614000,10248000,10248000,70061000,-56744000,-629000,-57373000,-29726000,28818000,-953000,-1861000,10827000,10827000,10827000,65525000,1229487000,19273000,0.38559,0.73469,0.04539,0.02319,0.24611,0.20419,0.95716,0.36411,0.61913,0.61764,0.84271,13.3814,0.15237,0.23502,0.03591,0.00641,0.37959,18.33697,29.23431
"20","2020_Q1",37.0114516129032,"Down",110758000,-69933000,-8040000,-31251000,-30642000,40825000,-12708000,-12708000,-12708000,28117000,70776000,98893000,-13999.9999999998,98826000,98826000,-1965000,96861000,96861000,21120000,21120000,8529000,8529000,156475000,156475000,186124000,3025429000,3830209000,-804780000,307275000,289067000,3332704000,3518828000,318889000,114637000,30567000,173685000,34262000,34262000,353151000,1309880000,57534000,57534000,1367414000,1720565000,2142117000,-377718000,1764399000,33864000,1798263000,3518828000,98826000,25279000,-63222000,-5529000,-5529000,55354000,-230243000,239792000,9549000.00000001,-29724000,73268000,-999.999999999534,43543000,108446000,108446000,108446000,66104000,1309880000,-169654000,0.3686,0.87453,0.05386,0.02753,-1.75152,0.52704,0.95679,0.37225,0.76459,0.7625,0.87429,13.92767,-1.3392,0.23463,0.03999,-0.05359,0.30687,19.49595,31.56791
"21","2020_Q2",34.3861904761905,"Down",110343000,-69263000,-9251000,-30931000,-29081000,41080000,-12804000,-12804000,-12804000,28276000,13205000,41481000,77000,41529000,41529000,-895000,40634000,40634000,129117000,129117000,7876000,7876000,36598000,36598000,173591000,3186100000,3999445000,-813345000,303083000,284574000,3489183000,3662774000,308579000,103212000,32857000,172510000,35458000,35458000,344037000,1472273000,55483000,55483000,1527756000,1871793000,2139570000,-386104000,1753466000,37515000,1790981000,3662774000,41529000,24906000,-5256000,-20910000,-20910000,40269000,-172163000,-10550000,-183052000,-29730000,160743000,-5944000,125069000,-17714000,-17714000,-17714000,65986000,1472273000,-127164000,0.37229,0.36825,0.02269,0.01109,-3.1295,0.50457,1.04512,0.40196,0.32012,0.31967,0.86929,13.814,-1.00181,0.23422,0.0212,-0.03832,0.73165,20.35517,32.69611
"22","2020_Q3",39.04828125,"Up",109202000,-68517000,-8234000,-32232000,-28051000,40685000,-12285000,-12285000,-12285000,28400000,8292000,36692000,-221000,36426000,36426000,-757000,35669000,35669000,94955000,94955000,5478000,5478000,31498000,31498000,131931000,3222698000,4055488000,-832790000,297255000,275379000,3519953000,3651884000,291890000,102511000,33036000,156343000,35417000,35417000,327307000,1472667000,55237000,55237000,1527904000,1855211000,2142527000,-383618000,1758909000,37764000,1796673000,3651884000,36426000,25789000,165000,14808000,14808000,77188000,-61250000,2080000,-62720000,-32380000,-16249000,-1.86264514923096e-09,-48629000,-34161000,-34161000,-34161000,66474000,1472667000,20253000,0.37257,0.32663,0.01985,0.00977,0.5678,0.40308,1.03258,0.40326,0.28069,0.28027,0.85936,13.84161,0.15938,0.25481,0.02047,0.00609,0.90779,20.72558,33.8629
