"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_receivables","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",23.098253968254,"Up",240888000,-78879000,162009000,-62997000,-10683000,-52314000,2174883.05093558,99012000,-43984000,-44090000,-3940293.43170626,55028000,-2319000,52709000,-286000,52423000,53168000,-549000,52619000,52619000,132729000,132729000,41023000,41023000,173752000,5071384000,6297636000,-1226252000,147725000,147725000,240964000,57519212.0270854,240964000,5460073000,5633825000,219347000,183574000,35773000,219347000,2698171000,252687000,252687000,2950858000,3170205000,2617918000,39341000,2578577000,-196972000,25154000,2445633000,17987000,2463620000,5633825000,53168000,52537000,1343000,3032000,-1689000,8513000,8513000,115561000,-15401000,754000,754000,-11860000,-11860000,-4295000,-14604000,-30005000,-83881000,21478000,-13910028322.536,-13910028322.536,1332000,-61071000,24485000,24485000,25332000,151549000,2698171000,144947000,0.67255,0.41103,0.21844,0.02136,0.00934,2.75465,0.79213,1.28681,0.47892,0.33632,0.33522,1.53968,15.63174,0.92646,0.53614,45.8675011427104,0.02521,0.02677,1.59412,16.92814,25.91041
"2","2010_Q3",25.03171875,"Up",243320000,-75183000,168137000,-59898000,-9858000,-50040000,-2735705.64968814,108239000,-43961000,-43840000,-15000,64278000,-10756000,53522000,-409000,53113000,58965000,-898000,58067000,58067000,27794000,27794000,43484000,43484000,71278000,5018590000,6292678000,-1274088000,140870000,140870000,231379000,30001070.6756951,231379000,5390839000,5462117000,198025000,181343000,16682000,198025000,2580849000,251829000,251829000,2832678000,3030703000,2622755000,39343000,2583412000,-222853000,16506000,2416408000,15006000,2431414000,5462117000,58965000,50185000,2976000,3057000,-81000,-19970000,-19970000,92156000,8437000,22275000,22275000,-11055000,-11055000,-2783000,130999.999999993,8568000,-83948000,-118673000,-6205199161.26802,-6205199161.26802,-2143000,-204764000,-104040000,-104040000,-104935000,158424000,2580849000,147300000,0.69101,0.44484,0.23864,0.02388,0.01063,2.53672,0.35994,1.24648,0.4725,0.37077,0.36881,1.55364,15.42917,0.94053,0.53602,25.3293339427789,0.02698,0.02798,1.44571,16.11533,23.5872
"3","2010_Q4",26.13359375,"Up",264665000,-82007000,182658000,-72015000,-15278000,-52104000,-4633000,110643000,-45100000,-45519000,419000,65543000,-5142000,60401000,-1657000,58352000,58894000,-996000,57898000,57898000,33790000,33790000,41985000,41985000,75775000,5273353000,6689899000,-1416546000,164829000,164829000,286860000,16044000,270816000,5725042000,5800817000,236733000,202985000,33748000,236733000,2895547000,252351000,252351000,3147898000,3384631000,2626713000,39346000,2587367000,-249047000,23816000,2401482000,14704000,2416186000,5800817000,58894000,52200000,3601000,4039000,-438000,23707000,23707000,138402000,-219839000,2568000,2568000,-216242000,-216242000,-6165000,-27200000,-247039000,-84092000,200058000,-1868449053.75601,-1868449053.75601,-1450000,114516000,5879000,5879000,5996000,162843000,2895547000,-31632000,0.69015,0.41805,0.21876,0.02396,0.00998,-0.54634,0.32009,1.40082,0.49916,0.36964,0.36657,1.68972,15.332,-0.20195,0.53688,12.6235002285421,0.02552,-0.00569,1.45242,17.57372,25.86478
"4","2011_Q1",27.0617741935484,"Up",251761000,-79884000,171877000,-65120000,-14011000,-46224000,-4885000,106757000,-39701000,-39025000,-676000,67056000,-10817000,56239000,-2849000,53118000,78702000,-1119000,77583000,77583000,21812000,21812000,38940000,38940000,60752000,5279519000,6747699000,-1468180000,149263000,149263000,268487000,15332000,253155000,5697269000,5758021000,226439000,207143000,19296000,226439000,2900044000,241333000,241333000,3141377000,3367816000,2616234000,39391000,2576843000,-255628000,26868000,2386726000,3479000,2390205000,5758021000,78702000,51142000,-7569000,3950000,-11519000,-20772000,-20772000,101503000,-9330000,32566000,32566000,-35284000,-35284000,-6612000,-24114000,-33443999.9999999,-84164000,-1677000.00000006,0,0,5708000,-80133000.0000001,-12074000,-12074000,-11978000,157899000,2900044000,130646000,0.6827,0.42404,0.30816,0.03246,0.01347,1.68395,0.26829,1.40901,0.50365,0.495,0.4902,1.60629,15.22788,0.83355,0.53699,6,0.02924,0.02362,1.08483,18.22831,26.96059
"5","2011_Q2",27.7373015873016,"Up",268432000,-86787000,181645000,-71682000,-14832000,-51314000,-5536000,109963000,-41741000,-41740000,-1000.00000000047,68222000,-22969000,45253000,3197000,48280000,49046000,-62000,48984000,48984000,41899000,41899000,35399000,35399000,77298000,5243424000,6764463000,-1521039000,130608000,130608000,242768000,15011000,227757000,5616800000,5694098000,238137000,203594000,34543000,238137000,2571368000,238146000,238146000,2809514000,3047651000,2915697000,40818000,2874879000,-300382000,28097000,2643404000,3043000,2646447000,5694098000,49046000,51759000,17070000,4016000,13054000,12894000,12894000,130769000,-7963000,0,0,0,0,-7963000,16594000,31681000,-93738000,-348439000,299926000,299926000,-205000,-142456000,19994000,19994000,20087000,161722000,2571368000,163456000,0.67669,0.40965,0.18248,0.01851,0.0086,3.33693,0.32459,1.1516,0.45158,0.30535,0.30233,1.67331,16.47802,1.01893,0.58433,3.70883325715264,0.02616,0.02996,1.91365,15.64085,23.00291
"6","2011_Q3",26.59515625,"Down",357553000,-144172000,213381000,-102264000,-15554000,-78756000,-7954000,111117000,-43034000,-51090000,8056000,68083000,-55813000,12270000,6110000,18297000,19734000,-58000.0000000001,19676000,19676000,26702000,26702000,64261000,64261000,90963000,8580948000,10182610000,-1601662000,634472000,634472000,327650000,14765000,312885000,9543070000,9634033000,427709000,401151000,26558000,427709000,5007080000,279668000,279668000,5286748000,5714457000,4301200000,47063000,4254137000,-412694000,28212000,3916718000,2858000,3919576000,9634033000,19734000,80755000,-15673000,4352000,-20025000,-29285000,-29285000,55531000,-275737000,0,0,-264464000,-264464000,-11273000,-500550000,-776287000,-108211000,814623000,0,0,-861000,705551000,-15205000,-15205000,-15197000,191872000,5007080000,-119260000,0.59678,0.31077,0.05503,0.00502,0.00204,-6.06119,0.21267,1.45793,0.51973,0.11163,0.11057,2.02853,22.221,-0.67661,0.61392,4,0.01389,-0.01295,5.49964,25.95677,44.82103
"7","2011_Q4",27.2380952380952,"Up",555378000,-207427000,347951000,-183564000,-20624000,-156593000,-6347000,164387000,-83400000,-69518000,-13882000,80987000,7292000,88279000,13732000,102193000,101984000,901000,102885000,102885000,57482000,57482000,84783000,84783000,142265000,15996042000,17757177000,-1761135000,302264000,302264000,765199000,119322000,645877000,17063505000,17205770000,1194691000,1128706000,65985000,1194691000,6313141000,274852000,274852000,6587993000,7782684000,9667520000,72025000,9595495000,-439015000,19237000,9245762000,177324000,9423086000,17205770000,101984000,161027000,-7056000,5228000,-12284000,1646000,1646000,257601000,-97917000,14961000,14961000,-80223000,-80223000,-32655000,-401000,-98318000,-152983000,30526000,-2.98023223876953e-08,-2.98023223876953e-08,-5848000,-128305000,30978000,30978000,30780000,325414000,6313141000,215411000,0.62651,0.29599,0.18525,0.01092,0.00598,2.09371,0.11908,0.82592,0.36692,0.35803,0.35381,1.93266,32.17428,0.74961,0.53236,5,0.01598,0.01345,1.48693,19.22369,38.05446
"8","2012_Q1",29.8856451612903,"Up",550341000,-206696000,343645000,-188302000,-23527000,-157530000,-7245000,155343000,-62899000,-61456000,-1443000,92444000,92222000,184666000,7621000,192306000,192497000,451000,192948000,192948000,45807000,45807000,76590000,76590000,122397000,15913732000,17830262000,-1916530000,212577000,212577000,1023204000,105303000,917901000,17149513000,17271910000,1123291000,1085597000,37694000,1123291000,6429116000,260722000,260722000,6689838000,7813129000,9665823000,72240000,9593583000,-412181000,22062000,9274957000,183824000,9458781000,17271910000,192497000,166163000,-15266000,5750000,-21016000,-14098000,-14098000,329296000,-227434000,5657000,5657000,-186918000,-186918000,-46173000,72919000,-154515000,-166114000,-4579999.99999988,-79000,-79000,-15735000,-186508000,-11727000,-11727000,-11675000,321506000,6429116000,72352999.9999999,0.62442,0.28227,0.3506,0.0204,0.01117,0.374989999999999,0.10896,0.82602,0.37223,0.66588,0.65988,1.89927,32.00855,0.2497,0.57327,5,0.02223,0.00448,0.86093,19.8544,41.09171
"9","2012_Q2",31.0020634920635,"Up",566424000,-215837000,350587000,-185607000,-22198000,-160421000,-2988000,164980000,-69706000,-68130000,-1576000,95274000,-37525000,57749000,-11338000,46728000,90092000,534000,90626000,90626000,53224000,53224000,114420000,114420000,167644000,15747019000,17831231000,-2084212000,222218000,222218000,1052078000,106086000,945992000,17021315000,17188959000,1118688000,1060647000,58041000,1118688000,6430364000,271408000,271408000,6701772000,7820460000,9664153000,72273000,9591880000,-500808000,23926000,9186735000,181764000,9368499000,17188959000,90092000,164636000,-11384000,4834000,-16218000,1617000,1617000,244961000,-32946000,8847000,8847000,-5e+05,-5e+05,-41293000,-7366000,-40312000,-179253000,-13869000,1.49011611938477e-08,1.49011611938477e-08,-4165000,-197287000,7362000,7362000,7417000,329616000,6430364000,309625000,0.61895,0.29127,0.16,0.00967,0.00527,3.41651,0.14986,0.83476,0.3741,0.31426,0.31163,1.96419,31.85691,1.07369,0.6216,5,0.01679,0.01927,1.97794,19.34718,38.65402
"10","2012_Q3",34.7701587301587,"Up",611626000,-236652000,374974000,-217404000,-26423000,-187142000,-3839000,157570000,-74058000,-72548000,-1510000,83512000,-46657000,36855000,5179000,42548000,73736000,289000,74025000,74025000,52803000,52803000,114883000,114883000,167686000,16723953000,18980150000,-2256197000,213193000,213193000,1117429000,104636000,1012793000,18054575000,18222261000,1107227000,1059385000,47842000,1107227000,7204727000,271066000,271066000,7475793000,8583020000,10006694000,73855000,9932839000,-609487000,21404000,9418611000,220630000,9639241000,18222261000,73736000,201769000,-45416000,6252000,-51668000,-14242000,-14242000,215847000,-941984000,-7.45058059692383e-09,-7.45058059692383e-09,-898904000,-898904000,-43080000,7245000,-934739000,-182704000,548808000,342469000,342469000,9935000,718508000,-384000.000000004,-384000.000000004,-421000,359339000,7204727000,-602066000,0.61308,0.25762,0.12103,0.00768,0.00406,-8.13328,0.15145,0.89042,0.39538,0.25509,0.253,2.1077,32.45704,-2.07475,0.62961,6,0.015,-0.03518,2.46814,19.903,45.38887
