"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.707619047619,"Up",258429000,-78671000,179758000,-157417000,-102669000,-78598000,-24071000,-50690000,-4058000,22341000,-524000,-524000,21817000,21817000,-3954000,17863000,17863000,17863000,17863000,226933000,226933000,185007000,185007000,127333000,30431000,539273000,57526000,705893000,176411000,404894000,89680000,34908000,763419000,1302692000,148356000,15496000,117346000,306719000,255986000,529111000,0,73345000,5789000,28493000,39063000,73345000,602456000,1780312000,-1055391000,-24685000,700236000,700236000,1302692000,17863000,15923000,13946000,-24972000,22760000,-7877000,-7877000,-7877000,-8459000,8704425.74382798,-1081000,3991000,-15432000,-16513000,-2212000,-2212000,-1766000,-3978000,38264000,74036000,9369000,0.69558,0.08645,0.06912,0.02551,0.01371,0.52449,1.01921,0.86036,0.05683,0.15366,0.14749,2.22299,6.02338,0.08059,1.29791765319122,0.02107,0.01105,-3.99584,-6.84378
"2","2010_Q3",17.7040625,"Down",240556000,-77166000,163390000,-151879000,-97944000,-75137000,-22807000,-49960000,-3975000,11511000,-605000,-605000,10906000,10906000,-1904000,9002000,9002000,9002000,9002000,222692000,222692000,151117000,151117000,176892000,28773000,550701000,61935000,699189000,143552000,415887000,106699000,33051000,761124000,1311825000,128386000,-388327.878226988,116797000,311857000,262597000,473771000,3.72529029846191e-09,96295000,6302000,24970000,65023000,96295000,570066000,1790561000,-1001664000,-47138000,741759000,741759000,1311825000,9002000,15976000,12771000,30199000,67948000,-9225000,-9225000,-9225000,-10730000,-19720000,-36946000,3054000,-4514000,-61180000,-3962000,-3962000,-4490000,-8452000,27487000,33528000,50365000,0.67922,0.04785,0.03742,0.01214,0.00686,5.59487,1.16238,0.76853,0.02556,0.07763,0.0751,2.07456,6.39696,0.43435,7,0.01033,0.05779,-6.88194,-16.43332
"3","2010_Q4",21.65609375,"Up",242998000,-74711000,168287000,-156309000,-101876000,-79121000,-22755000,-50597000,-3836000,11978000,-320000,-320000,11658000,11658000,-940000,10718000,10718000,10718000,10718000,219019000,219019000,149034000,149034000,166178000,45245000,534231000,59473000,675336000,129420000,404589000,103752000,37575000,734809000,1269040000,134400000,-3468427.87822699,123017000,304632000,251571000,439032000,51816639.3498429,95413000,6986000,23201000,65226000,95413000,534445000,1788495000,-990945000,-62955000,734595000,734595000,1269040000,10718000,15639000,11624000,12387000,50368000,-4582000,-4582000,-4582000,-4582000,-31112000,-13495000,1479000,-78000,-44685000,1101000,1101000,-4774000,-3673000,27617000,0,36362000,0.69254,0.04929,0.04411,0.01459,0.00845,3.39261,1.21684,0.72754,0,0.09304,0.09006,2.10939,6.3768,0.31565,7,0.01291,0.04381,-7.93059,-18.28511
"4","2011_Q1",22.9827419354839,"Up",268066000,-77147000,190919000,-161974000,-107918000,-84676000,-23242000,-50320000,-3736000,28945000,-229000,4174000,28716000,37755000,-50970000,-13215000,-13215000,-13215000,-13215000,240253000,240253000,169281000,169281000,158723000,32116000,568257000,58064000,680743000,127931000,418509000,90458000,43845000,738807000,1307064000,214173000,516000.000000004,201923000,238821000,238821000,452994000,129535975.635675,106766000,7019000,22452000,77295000,106766000,559760000,1803944000,-1004160000,-52480000,747304000,747304000,1307064000,-13215000,14644000,33637000,-19498000,15568000,-5045000,-5045000,-5045000,-5679000,0,4264000,6760000,-2621000,1643000,11532000,11532000,9702000,21234000,43589000,0,70016000,0.71221,0.10798,-0.0493,-0.01768,-0.01011,-5.29822,1.25445,0.74904,1.73472347597681e-18,-0.11476,-0.11039,2.32797,6.48983,0.60804,5,-0.01547,0.08198,-5.51178,-8.30033
"5","2011_Q2",22.7680952380952,"Down",266552000,-86061000,180491000,-163381000,-108005000,-84521000,-23484000,-51522000,-3854000,17110000,-1886000,-1886000,15224000,15224000,-1964000,13260000,13260000,13260000,13260000,182915000,182915000,174581000,174581000,181339000,33433000,538835000,56517000,672159000,119285000,415280000,92563000,45031000,728676000,1267511000,137974000,4267000,121629000,260154000,260154000,398128000,206346992.246585,105343000,5996000,20997000,78350000,105343000,503471000,1810291000,-990900000,-55351000,764040000,764040000,1267511000,13260000,14069000,10792000,-86159000,-48038000,-5412000,-5412000,-5412000,-5412000,169702722.768516,12232000,12232000,-16906000,-4674000,-58124000,-58124000,786000,-57338000,31179000,0,-58428000,0.67713,0.06419,0.04975,0.01736,0.01046,-4.40633,1.35342,0.65896,0,0.1135,0.10945,2.2816,6.53993,-0.50012,5.66744557367086,0.01525,-0.06721,-5.86661,-10.69053
"6","2011_Q3",18.790625,"Down",269189000,-81771000,187418000,-163192000,-105875000,-81163000,-24712000,-53051000,-4266000,24226000,-822000,-821999.999999999,23404000,23404000,-4387000,19017000,19017000,19017000,19017000,259504000,259504000,178558000,178558000,186941000,44589000,625003000,55780000,666318000,115959000,425794000,91569000,32996000,722098000,1347101000,143291000,2824000,127280000,294418000,294418000,437709000,255438672.571664,106364000,5851000,21201000,79312000,106364000,544073000,1819384000,-971883000,-44473000,803028000,803028000,1347101000,19017000,14651000,9730000,34878000,78276000,-6148000,-6148000,-6148000,-6148000.00000001,326929871.28086,3742000,3742000,-4520000,-778000.000000007,71350000,71350000,5239000,76589000,38877000,7.45058059692383e-09,71994000,0.69623,0.09,0.07065,0.02368,0.01412,3.78577,1.4279,0.67753,0,0.16092,0.15654,2.27788,6.79524,0.60922,7,0.02091,0.07917,-6.675,-10.7118
"7","2011_Q4",19.317619047619,"Up",291783000,-90409000,201374000,-176844000,-120988000,-89106000,-31882000,-51103000,-4753000,24530000,-6271000,-6271000,18259000,18259000,-2733000,15526000,15526000,15526000,15526000,260751000,260751000,186874000,186874000,170633000,42430000,618258000,60704000,1002551000,228244000,623638000,116615000,34054000,1063255000,1681513000,177182000,10933000,152895000,308048000,308048000,485230000,2.5e+08,144139000,9592000,53993000,80554000,394139000,879369000,1800300000,-956358000,-41798000,802144000,802144000,1681513000,15526000,15827000,9494000,7586000,48433000,-6735000,-6735000,-6735000,-271888000,2.5e+08,-33660000,6287000,1681000,218021000,-5434000,-5434000,6681000,1247000,40357000,2.5e+08,43941000,0.69015,0.08407,0.05321,0.01936,0.00923,2.83016,1.27415,1.09627,0.14868,0.13173,0.12851,2.47559,6.80567,0.37281,6,0.01298,0.03673,-0.2664,-0.43828
"8","2012_Q1",25.0525806451613,"Up",339425000,-98527000,240898000,-189650000,-128474000,-98261000,-30213000,-55730000,-5446000,51248000,-3587000,12016000,47661000,47661000,-10040000,37621000,37621000,37621000,37621000,167878000,167878000,230220000,230220000,194166000,30582000,592264000,62569000,974849000,222017000,613394000,98064000,41374000,1037418000,1629682000,180949000,11895000,152080000,284375000,279935000,465324000,2e+08,141668000,14389000,25919000,101360000,341668000,806992000,1806190000,-918736000,-64764000,822690000,822690000,1629682000,37621000,17847000,-24969000,-30472000,27000,-9522000,-9522000,-9522000,-24394999.9999999,-5e+07,-12479000,2495000,330000,-62149000,-86517000,-86517000,-6356000,-92873000,69095000,2e+08,39141000,0.70972,0.15098,0.11084,0.04573,0.02308,1.0404,1.2728,0.98092,0.12272,0.32032,0.31234,2.88995,7.0046,0.33326,5,0.03231,0.03362,0.4649,0.626799999999999
"9","2012_Q2",20.9830158730159,"Down",318276000,-98219000,220057000,-187552000,-127350000,-97778000,-29572000,-54993000,-5209000,32505000,-2643000,-2643000,29862000,29862000,-7739000,22123000,22123000,22123000,22123000,187351000,187351000,221436000,221436000,179501000,31405000,588288000,62156000,962941000,211931000,610139000,104183000,36688000,1025097000,1613385000,156274000,16548000,127088000,272119000,268145000,428393000,2e+08,137263000,15152000,24767000,97344000,337263000,765656000,1814031000,-896613000,-69689000,847729000,847729000,1613385000,22123000,17026000,13333000,-15997000,36485000,-7570000,-7570000,-7570000,-8450000,0,7196000,7196000,-12511000,-5315000,22720000,22720000,-3247000,19473000,49531000,2e+08,33703000,0.6914,0.10213,0.06951,0.0261,0.01371,1.52344,1.37324,0.90318,0.12396,0.18794,0.18348,2.70378,7.20154,0.28631,8,0.01867,0.02844,0.25538,0.38914
"10","2012_Q3",21.251746031746,"Up",301125000,-93216000,207909000,-180204000,-120496000,-90962000,-29534000,-54576000,-5132000,27705000,-2967000,-2967000,24738000,3936000,-366999.999999999,3569000,3569000,3569000,3569000,224107000,224107000,204437000,204437000,202716000,32398000,631260000,64021000,963335000,205128000,616599000,112092000,29516000,1027356000,1658616000,178041000,17094000,142986000,328491000,327313000,506532000,1.6e+08,134091000,14041000,23830000,96220000,294091000,800623000,1812159000,-893043000,-61123000,857993000,857993000,1658616000,3569000,16259000,12499000,64222000,96549000,-9054000,-9054000,-9054000,-9344000,-4e+07,-8056000,6927000,-6501000,-54557000,32648000,32648000,4108000,36756000,43964000,1.6e+08,99499000,0.69044,0.092,0.01185,0.00416,0.00215,27.87868,1.24624,0.93313,0.09647,0.02999,0.0294,2.53053,7.21021,0.83615,4,0.0031,0.08636,-1.45817,-2.31391
