"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.4980952380952,"Up",441775000,-303791000,137984000,-106900000,-93062000,-27820000,-65242000,-13838000,31084000,-5515000,-5667000,152000,25569000,25569000,-9234000,16335000,16335000,16335000,16335000,79703000,79703000,421117000,421117000,299031000,78947000,30720000,878798000,394269000,913780000,658228000,10904000,1308049000,2186847000,197997000,113739000,3432000,77153000,77633000,208885000,159690000,49195000,484515000,452467000,186186000,125966000,22530000,37690000,638653000,1123168000,73599000,993252000,-3172000,1063679000,1063679000,2186847000,16335000,19510000,4584000,-63428000,-22999000,-11890000,474000,474000,-12364000,-10878000,-1153000,-13043000,46628000,5192000,30000,51850000,15808000,15808000,-1115000,14693000,50594000,530100000,-15490000,0.31234,0.07036,0.03698,0.01536,0.00747,-0.94827,1.81377,1.05593,0.2424,0.35789,0.35389,9.67913,23.30483,-0.33938,2,0.00918,-0.0087,8.90218,14.48967
"2","2010_Q3",26.670625,"Down",462165000,-307782000,154383000,-110955000,-97117000,-28520000,-68597000,-13838000,43428000,-5316000,-5700000,384000,38112000,38112000,-12214000,25898000,25898000,25898000,25898000,71744000,71744000,452822000,452822000,296116000,85935000,38588000,906617000,388053000,939331000,676022000,13316000,1327384000,2234001000,213282000,114400000,4579000,90625000,77704000,196740000,158025000,38715000,487726000,477270000,200326000,130912000,28284000,41130000,677596000,1165322000,76783000,1015478000,-23582000,1068679000,1068679000,2234001000,25898000,19526000,2805000,-22644000,25585000,-12031000,-455000,-455000,-11576000,-11465000,-40926000,-52957000,24977000,311000,137000,21758000,-5613999.99999999,-5613999.99999999,-2345000,-7958999.99999999,62954000,554974000,40493000,0.33404,0.09397,0.05604,0.02423,0.01159,1.56356,1.85887,1.09043,0.24842,0.5662,0.55926,10.10418,23.36421,0.88529,5,0.01621,0.0222,7.67592,11.12715
"3","2010_Q4",29.11640625,"Up",465813000,-310096000,155717000,-107631000,-94413000,-27560000,-66853000,-13218000,48086000,-5729000,-5815000,86000,42357000,42357000,-14573000,27784000,27784000,27784000,27784000,83913000,83913000,472680000,472680000,301720000,86615000,39458000,944928000,395370000,946310000,689461000,10651000,1341680000,2286608000,215560000,111013000,3767000,97088000,2551000,183710000,142782000,40928000,401821000,543155000,214186000,136941000,30230000,47015000,757341000,1159162000,83865000,1039563000,4018000,1127446000,1127446000,2286608000,27784000,19837000,4704000,-17219000,35106000,-15648000,725000,725000,-16373000,-16459000,-121000,-15769000,-10252000,4228000,55000,-9654000,9683000,9683000,2486000,12169000,67923000,545706000,49629000,0.33429,0.10323,0.05965,0.02464,0.01215,1.78624,2.35161,1.02813,0.23865,0.60514,0.60018,10.14556,24.55614,1.08094,7,0.01667,0.0263,6.79877,9.60348
"4","2011_Q1",32.5972580645161,"Up",484760000,-326579000,158181000,-114094000,-100857000,-27873000,-72984000,-13237000,44087000,-4972000,-4925000,-47000,39115000,39115000,-11248000,27867000,32163000,32163000,32163000,68119000,68119000,461632000,461632000,281103000,89173000,40605000,900027000,397280000,944711000,693572000,9909000,1341991000,2242018000,236257000,133180000,3111000,99966000,2602000,189080000,146770000,42310000,427939000,413133000,240843000,166591000,26815000,47437000,653976000,1081915000,90457000,1072459000,-2813000,1160103000,1160103000,2242018000,32163000,21073000,5559000,75012000,133807000,-14064000,0,0,-14064000,-13967000,0,-14064000,-130024000,828999.999999999,763000,-135809000,-16066000,-16066000,272000,-15794000,65160000,415735000,137356000,0.32631,0.09095,0.06635,0.02772,0.01435,4.27062,2.10317,0.9326,0.18543,0.69924,0.69125,10.53895,25.22128,2.98619,5,0.02176,0.07561,5.33481,7.88477
"5","2011_Q2",30.5714285714286,"Down",452931000,-307028000,145903000,-106712000,-93115000,-29223000,-63892000,-13597000,39191000,-5069000,-5121000,52000,34122000,34122000,-11155000,22967000,24516000,24516000,24516000,51966000,51966000,500212000,500212000,308709000,82290000,33102000,943177000,406906000,956030000,703858000,10162000,1362936000,2306113000,204234000,120232000,1863000,78422000,2590000,197164000,152351000,44813000,403988000,466136000,227848000,155665000,25975000,46208000,693984000,1097972000,99531000,1093258000,15352000,1208141000,1208141000,2306113000,24516000,20522000,4000,-87827000,-42785000,-19127000,118000,118000,-19245000,-19245000,-13250000,-32377000,52976000,5895000,3000,58874000,-16288000,-16288000,135000,-16153000,59713000,468726000,-36086000,0.32213,0.08653,0.05413,0.02029,0.01063,-1.47194,2.33467,0.90881,0.20325,0.53071,0.52191,9.80476,26.15307,-0.78117,5,0.01287,-0.01895,6.97938,10.63407
"6","2011_Q3",27.54140625,"Down",505672000,-340091000,165581000,-116655000,-101526000,-29936000,-71590000,-15129000,48926000,-4942000,-4967000,25000,43984000,43984000,-13905000,30079000,31796000,31796000,31796000,63088000,63088000,501868000,501868000,332706000,87338000,37186000,9.85e+08,424214000,968951000,713257000,10783000,1393165000,2378165000,226303000,134530000,2940000,85112000,2641000,190259000,147576000,42683000,419203000,477271000,234665000,158023000,26968000,49674000,711936000,1131139000,102267000,1121340000,23419000,1247026000,1247026000,2378165000,31796000,21722000,1932000,2388000.00000003,57838000,-18121000,189000,189000,-18310000,-18294000,-40354000,-58475000,11976000,20000,864000,9150000,8513000,8513000,2609000,11122000,70648000,479912000,68820000,0.32745,0.09675,0.06288,0.0255,0.01337,2.16442,2.3497,0.90707,0.2018,0.68666,0.6764,10.92046,26.9307,1.48623,7,0.0181,0.03508,5.90001,8.51948
"7","2011_Q4",29.8631746031746,"Up",507664000,-343873000,163791000,-121225000,-103520000,-30918000,-72602000,-17705000,42566000,-5068000,-5033000,-35000,37498000,37498000,-8204000,29294000,31913000,31913000,31913000,54982000,54982000,550997000,550997000,328954000,84491000,30269000,1019424000,430283000,1001685000,742086000,10174000,1431968000,2451392000,221041000,112502000,2339000,102465000,227240000,218212000,168357000,49855000,666493000,302276000,240786000,151309000,35795000,53682000,543062000,1209555000,109550000,1151957000,-19670000,1241837000,1241837000,2451392000,31913000,22952000,2927000,-20023000,37769000,-21487000,1276000,1276000,-22763000,-22757000,-70640000,-92127000,49552000,4754000,1000,50578000,-3780000,-3780000,-4326000,-8106000,65518000,529516000,32212000,0.32264,0.08385,0.06286,0.0257,0.01302,1.00937,1.52953,0.974,0.21601,0.68654,0.67969,10.92126,26.71536,0.69297,6,0.01771,0.01601,7.2428,11.14819
"8","2012_Q1",34.883064516129,"Up",550475000,-368803000,181672000,-125501000,-109817000,-29361000,-80456000,-15684000,56171000,-4893000,-5713000,820000,51278000,51278000,-14998000,36280000,38164000,38164000,38164000,194387000,194387000,543009000,543009000,313045000,100230000,45955000,1150671000,442728000,1042148000,759442000,9121000,1484876000,2635547000,259638000,150281000,4161000,105196000,2502000,250018000,206061000,43957000,512158000,602995000,315419000,232794000,24980000,57645000,918414000,1430572000,106181000,1163925000,-65131000,1204975000,1204975000,2635547000,38164000,23104000,6135000,81628000,149031000,-23112000,914000,914000,-24026000,-24026000,-45736000,-68848000,75282000,-7101000,475000,61202000,141385000,141385000,-1980000,139405000,79275000,605497000,152789000,0.33003,0.10204,0.06933,0.03167,0.01448,4.00348,2.24671,1.18722,0.22974,0.82066,0.80997,11.83715,25.91121,3.2855,7,0.02146,0.07187,5.18587,7.3189
"9","2012_Q2",30.5788888888889,"Down",501661000,-342387000,159274000,-123715000,-108368000,-32481000,-75887000,-15347000,35559000,-6380000,-6482000,102000,29179000,29179000,-9337000,19842000,41312000,41312000,41312000,231064000,231064000,581991000,581991000,342741000,93615000,39738000,1249411000,440545000,1043769000,763960000,9350000,1484314000,2733725000,258995000,132813000,17752000,104673000,2466000,259746000,217804000,41942000,521207000,591164000,321822000,233397000,25575000,62850000,912986000,1434193000,117896000,1225544000,-43908000,1299532000,1299532000,2733725000,41312000,23534000,-28944000,-40621000,-4719000,-22096000,502077.010523807,502077.010523807,-22096000,-20167000,51225000,29129000,-25000,8340000,20000,8335000,32745000,32745000,3932000,36677000,59093000,593630000,5713000,0.31749,0.07088,0.08235,0.03179,0.01511,0.13829,2.39715,1.10362,0.21715,0.88487,0.86843,10.7452,27.83499,0.12237,3,0.01865,0.00258,6.13552,10.19618
"10","2012_Q3",28.715873015873,"Down",526386000,-362379000,164007000,-123467000,-108116000,-32888000,-75228000,-15351000,40540000,-6396000,-6526000,130000,34144000,34144000,-11309000,22835000,22740000,22740000,22740000,213081000,213081000,556194000,556194000,354483000,89801000,35647000,1213559000,436763000,1032317000,759660000,10546000,1469080000,2682639000,231305000,125333000,5679000,96077000,2466000,236416000,197850000,38566000,470187000,605784000,308308000,231302000,24759000,52247000,914092000,1384279000,115863000,1244073000,-61576000,1298360000,1298360000,2682639000,22740000,23104000,9416000.00000001,-32301000,22959000,-20030000,369000,369000,-20399000,-20549000,-7207000,-27237000,-25000,-4259000,999.999999999942,-8035000,-12313000,-12313000,-5670000,-17983000,63644000,608250000,22622000,0.31157,0.07702,0.0432,0.01751,0.00848,0.99481,2.58101,1.06618,0.22674,0.48603,0.47907,11.25069,27.75044,0.483510000000001,4,0.01196,0.01021,6.20905,9.74763
