"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"21","2016_Q1",4.21622950819672,"Down",43750,-17090840,-2318965,-10389436,-23338299,66232,66232,-23272067,-24740736,-24743136,-24743136,-24743136,-24743136,98754256,81214354,4116905,4116905,102871161,4526848,24869905,24824116,45789,29396753,132267914,14231887,5031706,9200181,1451136,1348011,15900571,6204917,6204917,6745709,22646280,427025272,-316712041,110176822,109621634,132267914,3250239,9472663,-12020234,-834961,5844843,190761,190761,136932,-6038459,-6038459,-6038459,758340,-533.44683,-565.55739,-0.22571,-0.18707,6.46965,0.20659,0.00573,-0.41557,-0.41557,0.00073,1.85047,-0.21223,4.19893
"22","2016_Q2",5.70578125,"Up",43750,-15465134,-1951609,-10338833,-19341270,100380,100380,-19240890,-19264414,-19264414,-19264414,-19264414,-19264414,76596586,62165088,5687228,5687228,82283814,4666411,24430914,24385125,45789,29097325,111381139,10628657,5288922,5339735,1480910,1371535,12328014,6198891,6198891,6684733,19012747,428990626,-335976455,92923580,92368392,111381139,2512270,-4395925,-21148069,-406612,2593388,3702542.01948315,3702542.01948315,-494585,-19049266,-19049266,-19049266,704289,-442.08617,-440.32946,-0.20856,-0.17296,6.67454,0.20584,0.00632,-0.32351,-0.32351,0.00073,1.56046,-0.19406,3.92385
"23","2016_Q3",6.48140625,"Up",43750,-17059912,-3818335,-10020826,-21264855,79060,79060,-21185795,-20815860,-20815860,-20815860,-20815860,-20815860,61461289,50300847,4682204,4682204,66143493,4381628,24082350,23960017,122333,28463978,94607471,12771771,7542498,5229273,1067225,1001600,14058345,6192224,6192224,6622889,20681234,431213811,-356792315,74481425,73926237,94607471,2117961,3950064,-14747835,-94022,3105978,25544,25544,-222384,-11864241,-11864241,-11864241,650014,-486.05383,-475.79109,-0.28158,-0.22002,4.70493,0.27975,0.00687,-0.34822,-0.34822,0.00073,1.24597,-0.25772,2.85971
"24","2016_Q4",4.25952380952381,"Down",39583,-15267807,-2275627,-9423195,-19341486,34103,34103,-19307383,-19420742,-19420742,-19420742,-19420742,-19420742,44647099,43616543,4954333,4954333,49601432,12274821,23657243,23534910,122333,35932064,85533496,13338179,5945370,7392809,1141001,1114959,14840268,8305870,8305870,11268062,26108330,436224107,-376213057,59980354,59425166,85533496,2886030,-1815491,-18350203,-647114,9460886,2259511,2259511,2205013,-6684304,-6684304,-6684304,3323280,-488.63113,-490.6334,-0.32681,-0.22705,3.34235,0.43935,0.03885,-0.32386,-0.32386,0.00066,1.00024,-0.27332,2.13654
"25","2017_Q1",1.98322580645161,"Down",31250.0000000001,-37919853,-15549317,-32334964,-25606762,109603,109603,-25497159,-22219586,-22221986,-22221986,-22221986,-22221986,85366448,85366448,5061095,5061095,90502543,15386761,22287201,22164868,122333,37673962,128176505,20790079,12232906,8557173,4659405,2089613,25643794,4974997,2474997,7508452,33152246,494007025,-398435043,95579447,95024259,128176505,4612479,7428128,-10181379,-2712489,-1712489,53698498,53698498,53643773,41749905,41749905,41749905,2727765,-819.41638,-711.10355,-0.23386,-0.17337,3.52922,0.34888,0.02128,-0.34234,-0.34234,0.00048,1.47247,-0.21632,3.22722
"26","2017_Q2",1.61873015873016,"Down",4365496,-14991278,-1854174,-9527051,-14901887,1331948,1331948,-13569939,-12086108,-12086108,-12086108,-12086108,-12086108,102105569,102105569,4064784,4064784,106230353,16165659,21862094,21739761,122333,38027753,144258106,10610416,3698297,6912119,26189963,605782,36998092,7568818,2388703,10051593,47049685,508469919,-410521151,97763609,97208421,144258106,940611.000000001,21145688,10000191,-5296653,-5296653,12500000,12500000,12035583,16739121,16739121,16739121,2680488,-3.41355999999996,-2.76855,-0.12433,-0.08378,2.87124,0.48401,0.01858,-0.16917,-0.16917,0.0611,1.36838,-0.11247,6.67198
"27","2017_Q3",2.38174603174603,"Up",8985930,-19391679,-6302317,-16699415,-6129644,114468,114468,-6015176,-6042559,-6042559,-6042559,-6042559,-6042559,86629463,61718971,2479635,2479635,89689923,15714948,21466772,21314653,152119,37181720,126871643,5548025,2597889,2950136,21802356,633165,27551628,3552408,2302408,5983526,33535154,510486082,-416563710,93891677,93336489,126871643,1707227,-9990725,-14326057,-1356505,-26202610,191937.000000007,191937.000000007,142069,-40386598,-40386598,-40386598,2632365,-0.68214,-0.67245,-0.06474,-0.04763,3.25534,0.35929,0.02075,-0.08101,-0.08101,0.12046,1.25869,-0.06072,13.70342
"28","2017_Q4",3.7147619047619,"Up",9342497,-15056662,-3919921,-11136741,-5714165,131358,131358,-5582807,-5519742,-5519742,-5519742,-5519742,-5519742,75137889,38383135,1827192,1827192,77902394,16134991,21044164,20889546,154618,37179155,115081549,6261664,3233421,3028243,13853106,570100,20319614,2841113,2216113,5219651,25539265,512199310,-422083452,90097472,89542284,115081549,1574509,-6464399,-10409632,-1157596,-12926204,0,0,-4.65661287307739e-10,-23335836,-23335836,-23335836,2583382,-0.611630000000015,-0.59082000000001,-0.06164,-0.04796,3.83385,0.28522,0.02245,-0.07382,-0.07382,0.12495,1.20496,-0.05812,12.69731
"29","2018_Q1",6.15885245901639,"Up",8713786,-18963999,-5422740,-13541259,-10250213,149878,149878,-10100335,-10729486,-10731886,-10731886,-10731886,-10731886,65608106,24838567,2227001,2227001,67902904,15513019,20606357,20464439,141918,36119376,104022280,12040700,4076514,7964186,6451842,1182101,18701048,2129052,2129052,4454070,23155118,514204456,-432815338,81422350,80867162,104022280,2735367,-1206955,-9203474,-107444,-4218751,0,0,-122343,-13544568,-13544568,-13544568,2533524,-1.17632,-1.2316,-0.13271,-0.10317,3.63097,0.28634,0.02436,-0.14351,-0.14351,0.11652,1.08878,-0.12548,6.15349
"30","2018_Q2",9.34765625,"Up",3509821,-17323169,-4403551,-12919618,-13813348,163731,163731,-13649617,-13198878,-13198878,-13198878,-13198878,-13198878,50700721,11531345,2256225,2256225,53106877,14932366,20181250,20039332,141918,35113616,88220493,11121583,5707047,5414536,2382433,507432,13716249,2034392,2034392,4304934,18021183,516745010,-446014216,70754498,70199310,88220493,1749585,-3241187,-14690480,-135414,1356966,224082,224082,26292,-13307222,-13307222,-13307222,2482775,-3.93563,-3.76056,-0.18802,-0.14961,3.87182,0.25671,0.02814,-0.17638,-0.17638,0.0469,0.94552,-0.17665,3.49068
